simulation_id,numeric_simulation_id,P,VX,LS,ST,LS_source_m,LS_definition,feature_units,T0_melt_pool_width_um,T0_penetration_depth_um,T0_melt_pool_kinetic_energy_nJ,adaptive_melt_pool_kinetic_energy_nJ,T0_total_vertical_height_um,adaptive_total_vertical_height_um,T0_observation_count,adaptive_observation_count,T0_definition,adaptive_definition,kinetic_source_unit,kinetic_report_unit,total_height_internal_unit,total_height_report_unit,kinetic_invalid_row_count,phase1_unstable_depth_window,huggingface_revision
sim_00024,24,133.003569327,0.736244453131,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",118.38922,54.76636,1.472449,1.266215,80.16863,75.5363107600715,13750,61240,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00025,25,133.058435031,0.81650327798,47.858730396199995,362.382821566,4.78587303962e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",116.672535,46.692315,1.0885715,1.0498904999999998,67.79281,64.21621219487861,12360,63214,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00026,26,133.757797566,0.645163458122,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",126.32101,62.056760000000004,1.545804,1.3402290000000001,87.94537,79.00076161604375,13751,60186,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00027,27,134.442185153,0.806363522352,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",112.75596,50.8492,1.473876,1.285091,76.45266,72.56982644321397,13751,61891,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00028,28,135.171981101,0.652238458987,58.900144727299995,362.997098414,5.89001447273e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",143.341645,49.30793,1.201006,1.153065,74.61554,72.48701513162814,15540,79474,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00029,29,135.208661893,0.295797438033,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",167.08695,119.1028,1.474215,1.1438975,139.68542,83.49893687409349,13751,50112,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00030,30,136.115095044,0.8200930762,63.966613334399995,362.502989524,6.39666133344e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",135.32405500000002,42.780620000000006,1.2338040000000001,1.11582,68.65836500000002,63.91212809830904,12348,63145,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00031,31,136.984349172,0.357723834949,51.7808569448,373.061688931,5.17808569448e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",171.66867,58.804159999999996,1.4193765,1.205555,82.71786,76.56741581740789,17916,74184,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00032,32,137.340072051,0.708357837186,84.8461574474,331.337392673,8.48461574474e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",160.39622,38.749285,1.2219185,1.0970710000000001,69.379865,63.82491483236663,14324,73254,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00033,33,137.601432421,0.461948695475,64.8780591522,397.490087405,6.48780591522e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",175.24007,58.25875,1.38681,1.155867,86.98210999999999,77.78667350066826,19137,83762,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
