experiment_name,has_keyhole,has_conduction,labelled_frame_count,relevant_physical_frame_count,keyhole_frame_count,keyhole_fraction_of_relevant_physical_frames,keyhole_segment_count,maximum_keyhole_segment_frames,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes,keyhole_timing_relative_to_T0,keyhole_persistence_group,collapsed_physical_sequence,frames_csv_sha256,label_sequence_sha256,keyhole_negative_contains_conduction,keyhole_negative_without_conduction
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,False,True,372,219,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,428d82c075309bbe3c418ad874e8ca4c231caada888ee561f7eacbe822260bb1,f93346803fe3860e414335f0e9ea4ccfbb8d2b10984495eb7b2831d7b14bd9e8,True,False
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,False,True,294,214,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,041793b2450d73989d419864c65199dc04323baaccbe11dea38e22ca060ab81b,ee90cf76edbe84304757dfccd5c93fa338ddb3a8728de95463b01aefc7be3ec8,True,False
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,False,True,276,202,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,3cf22b9cda1209358ffe0b4e0a450f832e11770295029c4ec4a181c4ea4d6924,58ac978618523ed9de2a8ffbb708dae2370770bcc7f970e7d1b34303cf60159d,True,False
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,False,True,179,149,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,115d291a017e132765b55beb4ff807dc8aad0c5635f5c11411f8b66e5b7ab444,b0fc37ee0ee7cadba6b7c8f63e2289bb900359d8cea7582aa455861c24b14f69,True,False
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,False,True,358,219,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,76bdb1cd775b28bfbdb2ac1782b32c7de0e74a3a3e6715099136c25a87b9ebb3,e0d644335e42f1051907e382ffb6d2a7e4c866e21de25e5ee72ae46cd0f2155b,True,False
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,False,True,274,204,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,d1193853b803681006be90bc0326446f2a49ea0b10e4b9752a499c6931eefcc0,0876a66b0a003bccc0f70e115608f1e1da70f7f70a8cf2a3f4b59aac06c5a567,True,False
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,False,True,194,162,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,e8ea8ee82fc236e1845bab9946fbdde88b8b90767db8ba7f5fb117dfaa6ba385,74c385effc6dccbd16c47d90cd041ab2d07b45bf2d732462a881808e10b173e5,True,False
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,False,True,280,212,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,75848213e69f91de5d6903b7f4e34e2c24d0fc5fedb281fb9c8ac358e1944e04,7694e178d7612da6a9fcc437102d978eb94eeeedead7258f8de96edc591c3500,True,False
P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,False,True,317,214,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,a5043ab8c60a1823fd643e2613b3a8c6be8c239e97e22397f7d2ae4a5289a51f,3f56c11560b896bf77bb2785ac9ab7a027b8639091d2ee290fc4b1119bb03bb2,True,False
P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,False,True,416,205,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,8250951b109566ac0d226d267a39ce67483f3bdc071a951b14a5dcae50d551bd,d29005a085fbe62547fbe9726a0753a549bc10ce5b0807d3ac90fdb9475352fe,True,False
