model,subset,budget,mean_accuracy,ci_lower,ci_upper
P0,B1_q20,50,0.8494117647058825,0.8400000000000001,0.8594117647058825
P0,B1_q20,51,0.8488235294117648,0.8394117647058824,0.8588235294117649
P0,B1_q20,52,0.8464705882352941,0.8376470588235294,0.8552941176470588
P0,B1_q20,53,0.8494117647058823,0.84175,0.858235294117647
P0,B1_q20,54,0.8482352941176471,0.8400000000000001,0.8564705882352943
P0,B1_q20,55,0.8511764705882353,0.8441176470588235,0.8582352941176472
P0,B1_q20,56,0.8452941176470589,0.8382352941176471,0.8523529411764705
P0,B1_q20,57,0.8441176470588235,0.8370588235294119,0.851764705882353
P0,B1_q20,58,0.8476470588235294,0.8411764705882353,0.8535294117647061
P0,B1_q20,59,0.8505882352941176,0.8441176470588235,0.8570588235294119
P0,B1_q20,60,0.8494117647058823,0.8429411764705883,0.8558823529411764
P0,B1_q20,61,0.8529411764705882,0.8458823529411765,0.86
P0,B1_q20,62,0.8505882352941176,0.8441176470588235,0.8570588235294119
P0,B1_q20,63,0.85,0.841764705882353,0.8588235294117647
P0,B1_q20,64,0.8523529411764705,0.8447058823529412,0.86
P0,B1_q20,65,0.851764705882353,0.8429411764705883,0.8605882352941178
P0,B1_q20,66,0.8523529411764705,0.8441176470588235,0.8611764705882352
P0,B1_q20,67,0.8535294117647059,0.8447058823529412,0.8617647058823529
P0,B1_q20,68,0.85,0.841764705882353,0.8570735294117646
P0,B1_q20,69,0.8511764705882353,0.8441176470588235,0.8582352941176472
P0,B1_q20,70,0.8552941176470588,0.8494117647058823,0.8611764705882354
P0,B1_q20,71,0.8541176470588235,0.8482352941176471,0.8600000000000001
P0,B1_q20,72,0.8529411764705882,0.8458823529411765,0.8594117647058825
P0,B1_q20,73,0.8564705882352943,0.8511764705882353,0.8617647058823531
P0,B1_q20,74,0.8582352941176472,0.8541176470588235,0.8629411764705883
P0,B1_q20,75,0.8588235294117649,0.8541176470588236,0.863529411764706
P0,B1_q20,76,0.8564705882352941,0.8523529411764705,0.8605882352941177
P0,B1_q20,77,0.8576470588235295,0.8529411764705882,0.8623529411764708
P0,B1_q20,78,0.8594117647058823,0.8547058823529412,0.8635294117647059
P0,B1_q20,79,0.8588235294117647,0.8541176470588235,0.8629411764705882
P0,B1_q20,80,0.8576470588235294,0.8529411764705882,0.8617647058823529
P0,B1_q30,16,0.8320000000000002,0.8144,0.8480000000000001
P0,B1_q30,17,0.8484000000000002,0.8352,0.8608
P0,B1_q30,18,0.8512000000000001,0.8348000000000001,0.8636000000000001
P0,B1_q30,19,0.8564,0.8428000000000001,0.8680000000000001
P0,B1_q30,20,0.8584000000000002,0.8444,0.86921
P0,B1_q30,21,0.8548000000000002,0.8404000000000001,0.8660000000000002
P0,B1_q30,22,0.8624,0.8512000000000001,0.8720000000000001
P0,B1_q30,23,0.8608,0.8516000000000001,0.8684000000000003
P0,B1_q30,24,0.8668000000000001,0.8588000000000001,0.8744000000000002
P0,B1_q30,25,0.8704000000000001,0.8628000000000002,0.8779999999999999
P0,B1_q30,26,0.8695999999999999,0.8624,0.8768
P0,B1_q30,27,0.8720000000000002,0.8652000000000003,0.8784000000000003
P0,B1_q30,28,0.874,0.8676,0.8808000000000001
P0,B1_q30,29,0.8748000000000001,0.8680000000000001,0.8816
P0,B1_q30,30,0.8736,0.8668000000000001,0.8812000000000003
P0,B1_q30,31,0.8748000000000001,0.8692,0.8804000000000002
P0,B1_q30,32,0.8776000000000002,0.8712000000000002,0.8832000000000002
P0,B1_q30,33,0.8768000000000002,0.8700000000000001,0.8836000000000002
P0,B1_q30,34,0.8764000000000003,0.8692000000000002,0.8836000000000002
P0,B1_q30,35,0.8768,0.8716000000000002,0.8820000000000002
P0,B1_q30,36,0.8784000000000003,0.8732000000000001,0.8836000000000002
P0,B1_q30,37,0.8756000000000002,0.8680000000000001,0.8832000000000001
P0,B1_q30,38,0.8812000000000001,0.8752000000000001,0.8876000000000002
P0,B1_q30,39,0.8832000000000002,0.8776000000000002,0.8888000000000001
P0,B1_q30,40,0.8876000000000002,0.8824000000000002,0.8932000000000002
P0,B1_q30,41,0.8868000000000003,0.8816000000000003,0.8916000000000002
P0,B1_q30,42,0.8864000000000001,0.8816,0.8912000000000002
P0,B1_q30,43,0.8904000000000002,0.8860000000000001,0.8944000000000001
P0,B1_q30,44,0.8916000000000001,0.8855999999999999,0.8976000000000001
