run_id,repeat,fold,first_divergence_budget,paths_identical_through_B16,shared_B40,jaccard_B40,unique_P0_B40,unique_P1_B40,shared_B80,jaccard_B80,unique_P0_B80,unique_P1_B80
w85__r06_f02,6,2,17,True,31,0.6326530612244898,9,9,64,0.6666666666666666,16,16
w85__r06_f03,6,3,17,True,31,0.6326530612244898,9,9,63,0.6494845360824743,17,17
w85__r06_f04,6,4,17,True,26,0.48148148148148145,14,14,67,0.7204301075268817,13,13
w85__r06_f05,6,5,17,True,30,0.6,10,10,69,0.7582417582417582,11,11
w85__r07_f01,7,1,17,True,29,0.5686274509803921,11,11,62,0.6326530612244898,18,18
w85__r07_f02,7,2,17,True,33,0.7021276595744681,7,7,68,0.7391304347826086,12,12
w85__r07_f03,7,3,17,True,22,0.3793103448275862,18,18,64,0.6666666666666666,16,16
w85__r07_f04,7,4,17,True,28,0.5384615384615384,12,12,70,0.7777777777777778,10,10
w85__r07_f05,7,5,17,True,33,0.7021276595744681,7,7,62,0.6326530612244898,18,18
w85__r08_f01,8,1,17,True,31,0.6326530612244898,9,9,54,0.5094339622641509,26,26
w85__r08_f02,8,2,17,True,30,0.6,10,10,64,0.6666666666666666,16,16
w85__r08_f03,8,3,17,True,26,0.48148148148148145,14,14,66,0.7021276595744681,14,14
w85__r08_f04,8,4,17,True,31,0.6326530612244898,9,9,68,0.7391304347826086,12,12
w85__r08_f05,8,5,17,True,28,0.5384615384615384,12,12,68,0.7391304347826086,12,12
w85__r09_f01,9,1,17,True,28,0.5384615384615384,12,12,70,0.7777777777777778,10,10
w85__r09_f02,9,2,17,True,32,0.6666666666666666,8,8,63,0.6494845360824743,17,17
w85__r09_f03,9,3,17,True,31,0.6326530612244898,9,9,68,0.7391304347826086,12,12
w85__r09_f04,9,4,17,True,27,0.5094339622641509,13,13,66,0.7021276595744681,14,14
w85__r09_f05,9,5,17,True,32,0.6666666666666666,8,8,62,0.6326530612244898,18,18
w85__r10_f01,10,1,17,True,28,0.5384615384615384,12,12,60,0.6,20,20
w85__r10_f02,10,2,17,True,32,0.6666666666666666,8,8,62,0.6326530612244898,18,18
w85__r10_f03,10,3,17,True,31,0.6326530612244898,9,9,65,0.6842105263157895,15,15
w85__r10_f04,10,4,17,True,28,0.5384615384615384,12,12,67,0.7204301075268817,13,13
w85__r10_f05,10,5,17,True,32,0.6666666666666666,8,8,71,0.797752808988764,9,9
w85__r11_f01,11,1,17,True,28,0.5384615384615384,12,12,69,0.7582417582417582,11,11
w85__r11_f02,11,2,17,True,27,0.5094339622641509,13,13,65,0.6842105263157895,15,15
w85__r11_f03,11,3,17,True,28,0.5384615384615384,12,12,66,0.7021276595744681,14,14
w85__r11_f04,11,4,17,True,30,0.6,10,10,69,0.7582417582417582,11,11
w85__r11_f05,11,5,17,True,30,0.6,10,10,62,0.6326530612244898,18,18
w85__r12_f01,12,1,17,True,33,0.7021276595744681,7,7,68,0.7391304347826086,12,12
w85__r12_f02,12,2,17,True,31,0.6326530612244898,9,9,65,0.6842105263157895,15,15
w85__r12_f03,12,3,17,True,30,0.6,10,10,63,0.6494845360824743,17,17
w85__r12_f04,12,4,17,True,30,0.6,10,10,66,0.7021276595744681,14,14
w85__r12_f05,12,5,17,True,30,0.6,10,10,68,0.7391304347826086,12,12
w85__r13_f01,13,1,18,True,31,0.6326530612244898,9,9,67,0.7204301075268817,13,13
w85__r13_f02,13,2,17,True,28,0.5384615384615384,12,12,69,0.7582417582417582,11,11
w85__r13_f03,13,3,17,True,30,0.6,10,10,69,0.7582417582417582,11,11
w85__r13_f04,13,4,17,True,28,0.5384615384615384,12,12,65,0.6842105263157895,15,15
w85__r13_f05,13,5,17,True,29,0.5686274509803921,11,11,65,0.6842105263157895,15,15
w85__r14_f01,14,1,17,True,33,0.7021276595744681,7,7,63,0.6494845360824743,17,17
w85__r14_f02,14,2,17,True,32,0.6666666666666666,8,8,61,0.6161616161616161,19,19
w85__r14_f03,14,3,17,True,30,0.6,10,10,63,0.6494845360824743,17,17
w85__r14_f04,14,4,17,True,32,0.6666666666666666,8,8,69,0.7582417582417582,11,11
w85__r14_f05,14,5,17,True,31,0.6326530612244898,9,9,66,0.7021276595744681,14,14
w85__r15_f01,15,1,17,True,28,0.5384615384615384,12,12,73,0.8390804597701149,7,7
w85__r15_f02,15,2,17,True,28,0.5384615384615384,12,12,69,0.7582417582417582,11,11
w85__r15_f03,15,3,17,True,31,0.6326530612244898,9,9,70,0.7777777777777778,10,10
w85__r15_f04,15,4,17,True,29,0.5686274509803921,11,11,66,0.7021276595744681,14,14
w85__r15_f05,15,5,17,True,30,0.6,10,10,62,0.6326530612244898,18,18
w85__r16_f01,16,1,17,True,31,0.6326530612244898,9,9,70,0.7777777777777778,10,10
w85__r16_f02,16,2,17,True,31,0.6326530612244898,9,9,68,0.7391304347826086,12,12
w85__r16_f03,16,3,17,True,27,0.5094339622641509,13,13,65,0.6842105263157895,15,15
w85__r16_f04,16,4,17,True,25,0.45454545454545453,15,15,61,0.6161616161616161,19,19
w85__r16_f05,16,5,18,True,32,0.6666666666666666,8,8,62,0.6326530612244898,18,18
w85__r17_f01,17,1,17,True,30,0.6,10,10,66,0.7021276595744681,14,14
w85__r17_f02,17,2,17,True,32,0.6666666666666666,8,8,66,0.7021276595744681,14,14
w85__r17_f03,17,3,17,True,32,0.6666666666666666,8,8,68,0.7391304347826086,12,12
w85__r17_f04,17,4,17,True,31,0.6326530612244898,9,9,67,0.7204301075268817,13,13
w85__r17_f05,17,5,17,True,28,0.5384615384615384,12,12,69,0.7582417582417582,11,11
w85__r18_f01,18,1,17,True,32,0.6666666666666666,8,8,61,0.6161616161616161,19,19
w85__r18_f02,18,2,17,True,30,0.6,10,10,69,0.7582417582417582,11,11
w85__r18_f03,18,3,17,True,28,0.5384615384615384,12,12,61,0.6161616161616161,19,19
w85__r18_f04,18,4,17,True,29,0.5686274509803921,11,11,71,0.797752808988764,9,9
w85__r18_f05,18,5,17,True,30,0.6,10,10,70,0.7777777777777778,10,10
w85__r19_f01,19,1,17,True,28,0.5384615384615384,12,12,61,0.6161616161616161,19,19
w85__r19_f02,19,2,17,True,34,0.7391304347826086,6,6,66,0.7021276595744681,14,14
w85__r19_f03,19,3,17,True,30,0.6,10,10,73,0.8390804597701149,7,7
w85__r19_f04,19,4,17,True,27,0.5094339622641509,13,13,68,0.7391304347826086,12,12
w85__r19_f05,19,5,17,True,31,0.6326530612244898,9,9,63,0.6494845360824743,17,17
w85__r20_f01,20,1,17,True,27,0.5094339622641509,13,13,69,0.7582417582417582,11,11
w85__r20_f02,20,2,17,True,29,0.5686274509803921,11,11,64,0.6666666666666666,16,16
w85__r20_f03,20,3,17,True,29,0.5686274509803921,11,11,72,0.8181818181818182,8,8
w85__r20_f04,20,4,17,True,31,0.6326530612244898,9,9,66,0.7021276595744681,14,14
w85__r20_f05,20,5,17,True,21,0.3559322033898305,19,19,48,0.42857142857142855,32,32
