model,scope,metric,mean,median,q1,q3,n
P1,B16,l_ST,13.722223761646449,0.9997906049701171,0.6931428844470622,0.9999918089569654,100
P1,B40,residual_sd,0.9610970407014464,1.0,1.0,1.0,100
P1,B40,residual_sd_lower_bound_hit,0.01,0.0,0.0,0.0,100
P1,B40,residual_sd_upper_bound_hit,0.86,1.0,1.0,1.0,100
P1,B40,residual_sd_any_bound_hit,0.87,1.0,1.0,1.0,100
P1,B40,any_length_lower_bound_hit,0.01,0.0,0.0,0.0,100
P1,B40,any_length_upper_bound_hit,0.9,1.0,1.0,1.0,100
P1,B40,any_length_bound_hit,0.91,1.0,1.0,1.0,100
P1,B40,optimizer_converged,0.98,1.0,1.0,1.0,100
P1,B40,anisotropy_ratio,450.1713036585827,233.75057024946994,196.39775536493804,314.2447370521787,100
P1,B40,l_P,58.21610733406335,100.00000000000004,1.2873411217058806,100.00000000000004,100
P1,B40,l_VX,6.389166596052758,0.4306721170917315,0.33019348958661243,0.522540093726043,100
P1,B40,l_LS,46.28556637764778,4.998638498344775,0.7290617308795917,100.00000000000004,100
P1,B40,l_ST,68.90400751288715,100.00000000000004,6.171152688494111,100.00000000000004,100
P1,B80,residual_sd,0.9830837368309082,1.0,1.0,1.0,100
P1,B80,residual_sd_lower_bound_hit,0.0,0.0,0.0,0.0,100
P1,B80,residual_sd_upper_bound_hit,0.83,1.0,1.0,1.0,100
P1,B80,residual_sd_any_bound_hit,0.83,1.0,1.0,1.0,100
P1,B80,any_length_lower_bound_hit,0.0,0.0,0.0,0.0,100
P1,B80,any_length_upper_bound_hit,0.67,1.0,0.0,1.0,100
P1,B80,any_length_bound_hit,0.67,1.0,0.0,1.0,100
P1,B80,optimizer_converged,0.84,1.0,1.0,1.0,100
P1,B80,anisotropy_ratio,149.58830159552792,172.065162750958,88.23451500125898,199.66697450787677,100
P1,B80,l_P,26.86509825811752,1.8717966293161399,1.1317625101469808,71.30215312601506,100
P1,B80,l_VX,0.5318172051542356,0.5275574090633927,0.48556801574115765,0.5901898073354404,100
P1,B80,l_LS,54.52920714720043,54.80001801364459,3.421538169357185,100.00000000000004,100
P1,B80,l_ST,54.131154622192305,63.03575441031434,4.553654646931164,100.00000000000004,100
