arm,c,region,component,association,candidate_rho,repeat_mean_rho,ci_lower,ci_upper,bottom_B1_quartile_mean,top_B1_quartile_mean,top_minus_bottom
M3_MARGIN,0.0,OVERALL_B17_80,r_N,B1_top_vs_bottom_quartile,,,,,0.2302409580288072,0.15607460659509134,-0.07416635143371586
M3_MARGIN,0.0,OVERALL_B17_80,r_T,spearman_vs_B1,-0.1018957480127334,-0.10409302681472014,-0.12035677781064988,-0.08850783998668087,,,
M3_MARGIN,0.0,OVERALL_B17_80,r_T,B1_top_vs_bottom_quartile,,,,,0.6131315485700569,0.5042298631159683,-0.10890168545408863
M3_MARGIN,0.0,OVERALL_B17_80,r_ST,spearman_vs_B1,0.23791390954481545,0.23882915499567559,0.22367939692911534,0.2529151662421075,,,
M3_MARGIN,0.0,OVERALL_B17_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.15662749340113596,0.33969553028894034,0.18306803688780438
REP_C025,0.25,EARLY_B17_24,r_N,spearman_vs_B1,0.017206907787658716,0.04656362304148228,-0.03874254180471137,0.126661518615232,,,
REP_C025,0.25,EARLY_B17_24,r_N,B1_top_vs_bottom_quartile,,,,,0.1973663401577159,0.19602137045052684,-0.0013449697071890587
REP_C025,0.25,EARLY_B17_24,r_T,spearman_vs_B1,-0.13934305399441557,-0.13734636688376273,-0.20516580043434704,-0.06571483511897244,,,
REP_C025,0.25,EARLY_B17_24,r_T,B1_top_vs_bottom_quartile,,,,,0.6264302885886791,0.5005616959161053,-0.12586859267257378
REP_C025,0.25,EARLY_B17_24,r_ST,spearman_vs_B1,0.18223347086052877,0.15781470940949247,0.0619187101228955,0.24981674079212873,,,
REP_C025,0.25,EARLY_B17_24,r_ST,B1_top_vs_bottom_quartile,,,,,0.17620337125360502,0.3034169336333678,0.12721356237976278
REP_C025,0.25,MID_B25_40,r_N,spearman_vs_B1,-0.13505485943001197,-0.15931674766997675,-0.2160159656134322,-0.10443226925613738,,,
REP_C025,0.25,MID_B25_40,r_N,B1_top_vs_bottom_quartile,,,,,0.19013616158953506,0.16156985197857313,-0.028566309610961932
REP_C025,0.25,MID_B25_40,r_T,spearman_vs_B1,-0.19557168622666352,-0.18129434263388036,-0.23242914250849295,-0.13358608804690797,,,
REP_C025,0.25,MID_B25_40,r_T,B1_top_vs_bottom_quartile,,,,,0.7058673295076608,0.4976831974431857,-0.20818413206447517
REP_C025,0.25,MID_B25_40,r_ST,spearman_vs_B1,0.2346843088674836,0.24015302283440362,0.19798970581424521,0.2837744471837114,,,
