experiment_name,folder_name_valid,P,VX,LS,ST,XI,XF,XL,TE,DT,material,folder_hash,partition,P_unit,VX_unit,LS_unit,ST_unit,parameter_values_match_folder_and_partition,parameter_units_match_week6,label_frame_count,frames_csv_row_count,frames_csv_schema_valid,frames_csv_frame_index_valid,frames_csv_timestep_matches_partition_ledger,frames_csv_label_matches_final_label,parameters_path,parameters_sha256,frames_csv_path,frames_csv_sha256
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,True,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,0.0002,0.0014,0.0012,0.0021,5.46835745177e-06,TI64,2afbe2208b,new-data,W,m/s,m,K,True,True,381,381,True,True,True,True,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b/parameters.json,89e1edb5752e007238e0034b699c2814b6d783e4e226c14f3c5551011bcafff4,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b/frames.csv,e4312981a6b42e6c23803be2bb35d3aa4ed984e76857cb81fd43ab9de9a2b6e4
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,True,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,0.0002,0.0014,0.0012,0.0021,8.97539805031e-06,TI64,1d842653b1,new-data,W,m/s,m,K,True,True,234,234,True,True,True,True,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1/parameters.json,56aabfe29590b274bed011dd2ac856bd375e78ca0be4a1af1d5e2d55e74861f0,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1/frames.csv,5ee8ce97a6136f4d14568b8c533c6a10d7adc01119ec3aa5b337b20a8cd92c74
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,True,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,0.0002,0.0014,0.0012,0.0021,2.34328450209e-05,TI64,1d842653b1,new-data,W,m/s,m,K,True,True,91,91,True,True,True,True,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1/parameters.json,36aab8ffc07b9a71e7726b7528f4296a3d5452bbb43718254f3aa04c1c980a79,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1/frames.csv,31529922f3892341f2b789661fc7b96ec84c0d2bbff47bee0c8a19266d5fc916
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,True,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,0.0002,0.0014,0.0012,0.0021,8.40281414912e-06,TI64,0e4c2fc094,new-data,W,m/s,m,K,True,True,249,249,True,True,True,True,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094/parameters.json,92c2e03d65f72f0875db2e7e5e37400a4e7bb2fc2a34127503394b2da8396a4d,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094/frames.csv,edad08fd8998abaf707482c44e9eaf71599fd9ae38c5ef7b19b91202c86fb211
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,True,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,0.0002,0.0014,0.0012,0.0021,1.11456982002e-05,TI64,dfd65b549a,new-data,W,m/s,m,K,True,True,186,186,True,True,True,True,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a/parameters.json,fa6a594993b771689e161cdad17ef6d0c9ac02fcb61d1e14b4eceefc79512eec,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a/frames.csv,826677d0f496fc8282cbad4b8ac22a8d13e65d0a356e1019110148c0473aba3b
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,True,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,0.0002,0.0014,0.0012,0.0021,1.09303269174e-05,TI64,2934a8b202,new-data,W,m/s,m,K,True,True,192,192,True,True,True,True,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202/parameters.json,8fb3c3ae275ef7d578532678c19ce08b626017e1dc7e8a728b98e4402b8fd63c,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202/frames.csv,10ffcda684ae85e0d7b42a712bbecec365f45f1952d87a1b2406f05a757284b0
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,True,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,0.0002,0.0014,0.0012,0.0021,6.0510594144e-06,TI64,0e4c2fc094,new-data,W,m/s,m,K,True,True,344,344,True,True,True,True,P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094/parameters.json,5f8e726874d8f84739aa26c9e39ef87678ef0698c728b45a6b2fe1dfc09be41f,P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094/frames.csv,4304398871f772179a9f791d64d4f6a55fbd9622fcd599fdfb15fe5fabe2f6b6
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,True,140.236446589,0.550532928497,7.91865165046e-05,370.758962256,0.0002,0.0014,0.0012,0.0021,8.76263771576e-06,TI64,a88ac79600,new-data,W,m/s,m,K,True,True,237,237,True,True,True,True,P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600/parameters.json,4c93d9a72beb245dbb738dcf4e6a44d24e3a919c26071367bd9ecfe78be972dc,P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600/frames.csv,6b9dea32d0631295f20c4975890f1da80bb9f8e046439a3c28bd5cee56354eb9
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,True,143.707582907,0.952433280409,8.80948922839e-05,329.530804101,0.0002,0.0014,0.0012,0.0021,5.06504833697e-06,TI64,1605f46060,new-data,W,m/s,m,K,True,True,402,402,True,True,True,True,P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060/parameters.json,79619b970c3ca13dbea98fca36a6f86dae7642d19ff31b98b3f2872276c0bb34,P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060/frames.csv,55ec84b67e40ebc889b19f7532863c92de925fc793cfb7001155d956c755ccc7
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,True,144.087720513,0.415546267467,5.02923295381e-05,327.07537462,0.0002,0.0014,0.0012,0.0021,1.16091058462e-05,TI64,0602c4a780,new-data,W,m/s,m,K,True,True,182,182,True,True,True,True,P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780/parameters.json,88368a920bfd99c70df0099bbaafdb3e13ab52c15023edc9042c5c0de342b068,P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780/frames.csv,27d25a20f71b8b55f5ddabc91c313853bc9a6513ac78a4ecba3ad4a2fad93293
