experiment_name,complete_content_bundle_sha256,file_count,total_size_bytes,partition
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,e7836b9b92e5a7963add687f7f8c747ea07cb6ae6a7137de33edf59c43e5426d,822,67970319,new-data
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,bd7c7c7c895f7f5d1ab8a58847e53fcec5b6d311f78043eeaa911608fc09a14d,864,68265429,new-data
P-121p661876009_VX-0p281641526906_LS-7p16631028882e-05_ST-330p429005364_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p71285841829e-05_H-25d163a2a5,e753b1f7b246cb840c554e2c4d99cd263e85170c1537c7434dcd7eccd3608924,411,65363126,old-data-remote-clean
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,8ecd9a9328da33096c90b06eef9380ba6bd5fcf97850624df90a40f5761a5269,1555,16999300,old-data-local
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,72a3ba34ae3c644e114f4eddecd108b75e33f073461e562fd86ab5d6df7cb04f,1182,68873028,new-data
P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,3e8f1ecd05ea413a164917b6f1baa09c6a3d41e3a95e710bda89df3b2171a51c,1278,69376118,old-data-local
P-123p578555013_VX-0p413960648538_LS-5p40122226787e-05_ST-380p745973079_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16535729182e-05_H-f404b6f8f4,d02cc7aeae929d166a0a3ae244b44024a74fedbc5df2f2b629cba8e277c98d23,576,66504835,old-data-local
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,c405103f2c4cd69948e761a3caab4c2035b70416669cf7b2e6f4a611eca78b25,741,67471322,new-data
P-124p939831153_VX-0p895565001264_LS-4p79284796095e-05_ST-395p904294171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p38667834965e-06_H-cf6d926251,8114733e4187122bbba280ce90107667e238b9b1ad23b03181cedf3429320dc1,1188,68849899,old-data-local
P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,f45acc084d8601d7cf6bb68338e69e9063987df3ef73a7e7ace314a28d8e4e48,415,9379996,old-data-local
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,a4f07dc192ce3c8b9c5bbfc172ed3a8986a43552a5493ddb9e7a62afc527fbd4,312,64685753,new-data
P-126p429096271_VX-0p381791494837_LS-8p54596605095e-05_ST-336p470624887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p26354847299e-05_H-bf3689621a,c69cbb51e8919d02a8c06e44fbd59e0253e2a8375aa62d23a80509cb45b77663,543,66255744,old-data-local
P-126p512169142_VX-0p57236868357_LS-7p44940442576e-05_ST-386p738254947_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p42834477408e-06_H-d7a336064e,cbda29ca865aca4111af5039216772cf1f51ea884f57e45ee4c69daa2d2cd418,792,67759442,old-data-remote-clean
P-128p682231034_VX-0p601925389683_LS-8p082715257e-05_ST-394p322355105_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p01448266795e-06_H-b41981edcb,d00e4eb766200f2d249e9eba887ba2aaf62e653f391d88a74d1d2551cbeed21a,828,68087038,old-data-remote-clean
