partition,collapsed_label_sequence,experiment_count,partition_experiment_count,experiment_percent
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
