simulation_id,numeric_simulation_id,relative_path,present_in_primary_hfapi_enumeration,present_in_http_enumeration,recursive_enumeration_method,recursive_pages_consumed,recursive_page_count_interpretation,pagination_complete,recursive_item_count,file_count,nested_folder_count
sim_00176,176,final_data_processed/sim_00176,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1166,1161,5
sim_00177,177,final_data_processed/sim_00177,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,440,435,5
sim_00178,178,final_data_processed/sim_00178,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1172,1167,5
sim_00179,179,final_data_processed/sim_00179,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,848,843,5
sim_00180,180,final_data_processed/sim_00180,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,785,780,5
sim_00181,181,final_data_processed/sim_00181,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,599,594,5
sim_00182,182,final_data_processed/sim_00182,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1220,1215,5
sim_00183,183,final_data_processed/sim_00183,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,629,624,5
sim_00184,184,final_data_processed/sim_00184,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,344,339,5
sim_00185,185,final_data_processed/sim_00185,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1136,1131,5
sim_00186,186,final_data_processed/sim_00186,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,416,411,5
sim_00187,187,final_data_processed/sim_00187,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,797,792,5
sim_00188,188,final_data_processed/sim_00188,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,833,828,5
sim_00189,189,final_data_processed/sim_00189,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,425,420,5
sim_00190,190,final_data_processed/sim_00190,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1064,1059,5
sim_00191,191,final_data_processed/sim_00191,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1073,1068,5
sim_00192,192,final_data_processed/sim_00192,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,497,492,5
sim_00193,193,final_data_processed/sim_00193,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1118,1113,5
sim_00194,194,final_data_processed/sim_00194,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1220,1215,5
sim_00195,195,final_data_processed/sim_00195,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,815,810,5
sim_00196,196,final_data_processed/sim_00196,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,536,531,5
sim_00197,197,final_data_processed/sim_00197,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,380,375,5
sim_00198,198,final_data_processed/sim_00198,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,431,426,5
sim_00199,199,final_data_processed/sim_00199,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,788,783,5
