arm,model,path,budget,subset,metric,value
Y01,M0,A1,16,B1_q20,conduction_recall,0.8748966311466312
Y01,M0,A1,16,B1_q20,false_negative,3.28
Y01,M0,A1,16,B1_q20,false_positive,1.28
Y01,M0,A1,16,B1_q20,keyhole_recall,0.4974920634920635
Y01,M0,A1,16,B1_q30,accuracy,0.7884
Y01,M0,A1,16,B1_q30,balanced_accuracy,0.7196344944400285
Y01,M0,A1,16,B1_q30,conduction_recall,0.9095316151426833
Y01,M0,A1,16,B1_q30,false_negative,3.8
Y01,M0,A1,16,B1_q30,false_positive,1.49
Y01,M0,A1,16,B1_q30,keyhole_recall,0.5297373737373737
Y01,M0,A1,16,full81,accuracy,0.9296296296296296
Y01,M0,A1,16,full81,balanced_accuracy,0.8461251534535117
Y01,M0,A1,16,full81,conduction_recall,0.9763455450022615
Y01,M0,A1,16,full81,false_negative,4.13
Y01,M0,A1,16,full81,false_positive,1.57
Y01,M0,A1,16,full81,keyhole_recall,0.7159047619047619
Y01,M0,A1,20,B1_q20,accuracy,0.75
Y01,M0,A1,20,B1_q20,balanced_accuracy,0.7208791763791764
Y01,M0,A1,20,B1_q20,conduction_recall,0.8517186702186702
Y01,M0,A1,20,B1_q20,false_negative,2.7
Y01,M0,A1,20,B1_q20,false_positive,1.55
Y01,M0,A1,20,B1_q20,keyhole_recall,0.5900396825396825
Y01,M0,A1,20,B1_q30,accuracy,0.8104
Y01,M0,A1,20,B1_q30,balanced_accuracy,0.7612320834265494
Y01,M0,A1,20,B1_q30,conduction_recall,0.8996542822932142
Y01,M0,A1,20,B1_q30,false_negative,3.04
Y01,M0,A1,20,B1_q30,false_positive,1.7
Y01,M0,A1,20,B1_q30,keyhole_recall,0.6228098845598846
Y01,M0,A1,20,full81,accuracy,0.9376543209876543
Y01,M0,A1,20,full81,balanced_accuracy,0.8759823932286619
Y01,M0,A1,20,full81,conduction_recall,0.9721076436001809
Y01,M0,A1,20,full81,false_negative,3.2
Y01,M0,A1,20,full81,false_positive,1.85
Y01,M0,A1,20,full81,keyhole_recall,0.7798571428571428
Y01,M0,A1,30,B1_q20,accuracy,0.7717647058823529
Y01,M0,A1,30,B1_q20,balanced_accuracy,0.7426517787767787
Y01,M0,A1,30,B1_q20,conduction_recall,0.8811487956487956
Y01,M0,A1,30,B1_q20,false_negative,2.64
Y01,M0,A1,30,B1_q20,false_positive,1.24
Y01,M0,A1,30,B1_q20,keyhole_recall,0.6041547619047619
Y01,M0,A1,30,B1_q30,accuracy,0.8271999999999999
Y01,M0,A1,30,B1_q30,balanced_accuracy,0.7776028180196137
Y01,M0,A1,30,B1_q30,conduction_recall,0.9199296620132533
Y01,M0,A1,30,B1_q30,false_negative,2.97
Y01,M0,A1,30,B1_q30,false_positive,1.35
Y01,M0,A1,30,B1_q30,keyhole_recall,0.635275974025974
Y01,M0,A1,30,full81,accuracy,0.942716049382716
Y01,M0,A1,30,full81,balanced_accuracy,0.8805064935064935
Y01,M0,A1,30,full81,conduction_recall,0.9777272727272728
Y01,M0,A1,30,full81,false_negative,3.16
Y01,M0,A1,30,full81,false_positive,1.48
Y01,M0,A1,30,full81,keyhole_recall,0.7832857142857143
Y01,M0,A1,40,B1_q20,accuracy,0.7988235294117646
Y01,M0,A1,40,B1_q20,balanced_accuracy,0.7727930125430126
Y01,M0,A1,40,B1_q20,conduction_recall,0.8809669774669774
Y01,M0,A1,40,B1_q20,false_negative,2.19
Y01,M0,A1,40,B1_q20,false_positive,1.23
Y01,M0,A1,40,B1_q20,keyhole_recall,0.6646190476190477
Y01,M0,A1,40,B1_q30,accuracy,0.8488
Y01,M0,A1,40,B1_q30,balanced_accuracy,0.8086179551657493
Y01,M0,A1,40,B1_q30,conduction_recall,0.9188477429433312
Y01,M0,A1,40,B1_q30,false_negative,2.42
Y01,M0,A1,40,B1_q30,false_positive,1.36
Y01,M0,A1,40,B1_q30,keyhole_recall,0.6983881673881673
Y01,M0,A1,40,full81,accuracy,0.9501234567901234
Y01,M0,A1,40,full81,balanced_accuracy,0.9017121212121212
Y01,M0,A1,40,full81,conduction_recall,0.9774242424242425
Y01,M0,A1,40,full81,false_negative,2.54
Y01,M0,A1,40,full81,false_positive,1.5
Y01,M0,A1,40,full81,keyhole_recall,0.826
Y01,M0,A1,60,B1_q20,accuracy,0.8447058823529412
Y01,M0,A1,60,B1_q20,balanced_accuracy,0.8310668775668776
Y01,M0,A1,60,B1_q20,conduction_recall,0.8866655011655011
Y01,M0,A1,60,B1_q20,false_negative,1.48
Y01,M0,A1,60,B1_q20,false_positive,1.16
Y01,M0,A1,60,B1_q20,keyhole_recall,0.775468253968254
Y01,M0,A1,60,B1_q30,accuracy,0.8887999999999999
Y01,M0,A1,60,B1_q30,balanced_accuracy,0.8665891962140028
Y01,M0,A1,60,B1_q30,conduction_recall,0.9273584068580198
Y01,M0,A1,60,B1_q30,false_negative,1.57
Y01,M0,A1,60,B1_q30,false_positive,1.21
Y01,M0,A1,60,B1_q30,keyhole_recall,0.8058199855699856
Y01,M0,A1,60,full81,accuracy,0.9645679012345678
Y01,M0,A1,60,full81,balanced_accuracy,0.93463539445629
Y01,M0,A1,60,full81,conduction_recall,0.981318407960199
Y01,M0,A1,60,full81,false_negative,1.63
Y01,M0,A1,60,full81,false_positive,1.24
Y01,M0,A1,60,full81,keyhole_recall,0.8879523809523809
Y01,M0,A1,80,B1_q20,accuracy,0.8376470588235294
Y01,M0,A1,80,B1_q20,balanced_accuracy,0.8212456987456987
Y01,M0,A1,80,B1_q20,conduction_recall,0.8868644133644134
Y01,M0,A1,80,B1_q20,false_negative,1.59
Y01,M0,A1,80,B1_q20,false_positive,1.17
Y01,M0,A1,80,B1_q20,keyhole_recall,0.7556269841269841
Y01,M0,A1,80,B1_q30,accuracy,0.8856
Y01,M0,A1,80,B1_q30,balanced_accuracy,0.860206509885883
Y01,M0,A1,80,B1_q30,conduction_recall,0.9285248523835985
Y01,M0,A1,80,B1_q30,false_negative,1.66
Y01,M0,A1,80,B1_q30,false_positive,1.2
Y01,M0,A1,80,B1_q30,keyhole_recall,0.7918881673881674
Y01,M0,A1,80,full81,accuracy,0.9643209876543211
Y01,M0,A1,80,full81,balanced_accuracy,0.9331177876849519
Y01,M0,A1,80,full81,conduction_recall,0.9817593848937132
Y01,M0,A1,80,full81,false_negative,1.68
Y01,M0,A1,80,full81,false_positive,1.21
Y01,M0,A1,80,full81,keyhole_recall,0.8844761904761904
Y10,M1,A0,16,B1_q20,accuracy,0.7847058823529411
Y10,M1,A0,16,B1_q20,balanced_accuracy,0.7706618104118104
Y10,M1,A0,16,B1_q20,conduction_recall,0.8192204462204462
Y10,M1,A0,16,B1_q20,false_negative,1.79
Y10,M1,A0,16,B1_q20,false_positive,1.87
Y10,M1,A0,16,B1_q20,keyhole_recall,0.7221031746031745
Y10,M1,A0,16,B1_q30,accuracy,0.8308
Y10,M1,A0,16,B1_q30,balanced_accuracy,0.8108440150750522
Y10,M1,A0,16,B1_q30,conduction_recall,0.8646678281299025
Y10,M1,A0,16,B1_q30,false_negative,1.97
Y10,M1,A0,16,B1_q30,false_positive,2.26
Y10,M1,A0,16,B1_q30,keyhole_recall,0.757020202020202
Y10,M1,A0,16,full81,accuracy,0.9429629629629629
Y10,M1,A0,16,full81,balanced_accuracy,0.9090506881178523
Y10,M1,A0,16,full81,conduction_recall,0.9619109000452284
Y10,M1,A0,16,full81,false_negative,2.09
Y10,M1,A0,16,full81,false_positive,2.53
Y10,M1,A0,16,full81,keyhole_recall,0.8561904761904762
Y10,M1,A0,20,B1_q20,accuracy,0.8105882352941177
Y10,M1,A0,20,B1_q20,balanced_accuracy,0.7934875679875679
Y10,M1,A0,20,B1_q20,conduction_recall,0.8567052947052948
Y10,M1,A0,20,B1_q20,false_negative,1.73
Y10,M1,A0,20,B1_q20,false_positive,1.49
Y10,M1,A0,20,B1_q20,keyhole_recall,0.7302698412698413
Y10,M1,A0,20,B1_q30,accuracy,0.8536
Y10,M1,A0,20,B1_q30,balanced_accuracy,0.8313358392983006
Y10,M1,A0,20,B1_q30,conduction_recall,0.892348085523008
Y10,M1,A0,20,B1_q30,false_negative,1.84
Y10,M1,A0,20,B1_q30,false_positive,1.82
Y10,M1,A0,20,B1_q30,keyhole_recall,0.770323593073593
Y10,M1,A0,20,full81,accuracy,0.9525925925925925
Y10,M1,A0,20,full81,balanced_accuracy,0.9200850940104671
Y10,M1,A0,20,full81,conduction_recall,0.9707892356399819
Y10,M1,A0,20,full81,false_negative,1.9
Y10,M1,A0,20,full81,false_positive,1.94
Y10,M1,A0,20,full81,keyhole_recall,0.8693809523809525
Y10,M1,A0,30,B1_q20,accuracy,0.8247058823529412
Y10,M1,A0,30,B1_q20,balanced_accuracy,0.8102186840936841
Y10,M1,A0,30,B1_q20,conduction_recall,0.8660881618381618
Y10,M1,A0,30,B1_q20,false_negative,1.6
Y10,M1,A0,30,B1_q20,false_positive,1.38
Y10,M1,A0,30,B1_q20,keyhole_recall,0.7543492063492063
Y10,M1,A0,30,B1_q30,accuracy,0.8652
Y10,M1,A0,30,B1_q30,balanced_accuracy,0.8440497585489846
Y10,M1,A0,30,B1_q30,conduction_recall,0.9008347263331784
Y10,M1,A0,30,B1_q30,false_negative,1.71
Y10,M1,A0,30,B1_q30,false_positive,1.66
Y10,M1,A0,30,B1_q30,keyhole_recall,0.7872647907647908
Y10,M1,A0,30,full81,accuracy,0.9574074074074074
Y10,M1,A0,30,full81,balanced_accuracy,0.92757039477935
Y10,M1,A0,30,full81,conduction_recall,0.9740931705110809
Y10,M1,A0,30,full81,false_negative,1.73
Y10,M1,A0,30,full81,false_positive,1.72
Y10,M1,A0,30,full81,keyhole_recall,0.881047619047619
Y10,M1,A0,40,B1_q20,accuracy,0.8352941176470589
Y10,M1,A0,40,B1_q20,balanced_accuracy,0.8191056582306583
Y10,M1,A0,40,B1_q20,conduction_recall,0.8901557609057609
Y10,M1,A0,40,B1_q20,false_negative,1.66
Y10,M1,A0,40,B1_q20,false_positive,1.14
Y10,M1,A0,40,B1_q20,keyhole_recall,0.7480555555555556
Y10,M1,A0,40,B1_q30,accuracy,0.8752
Y10,M1,A0,40,B1_q30,balanced_accuracy,0.8513736053678004
Y10,M1,A0,40,B1_q30,conduction_recall,0.9188074560458461
Y10,M1,A0,40,B1_q30,false_negative,1.75
Y10,M1,A0,40,B1_q30,false_positive,1.37
Y10,M1,A0,40,B1_q30,keyhole_recall,0.7839397546897547
Y10,M1,A0,40,full81,accuracy,0.9607407407407408
Y10,M1,A0,40,full81,balanced_accuracy,0.9287853266136848
Y10,M1,A0,40,full81,conduction_recall,0.9786182722749887
Y10,M1,A0,40,full81,false_negative,1.76
Y10,M1,A0,40,full81,false_positive,1.42
Y10,M1,A0,40,full81,keyhole_recall,0.878952380952381
Y10,M1,A0,60,B1_q20,accuracy,0.8329411764705883
Y10,M1,A0,60,B1_q20,balanced_accuracy,0.8123144633144633
Y10,M1,A0,60,B1_q20,conduction_recall,0.8975654345654346
Y10,M1,A0,60,B1_q20,false_negative,1.78
Y10,M1,A0,60,B1_q20,false_positive,1.06
Y10,M1,A0,60,B1_q20,keyhole_recall,0.727063492063492
Y10,M1,A0,60,B1_q30,accuracy,0.8756
Y10,M1,A0,60,B1_q30,balanced_accuracy,0.8469639465926231
Y10,M1,A0,60,B1_q30,conduction_recall,0.9269448484522013
Y10,M1,A0,60,B1_q30,false_negative,1.88
Y10,M1,A0,60,B1_q30,false_positive,1.23
Y10,M1,A0,60,B1_q30,keyhole_recall,0.7669830447330448
Y10,M1,A0,60,full81,accuracy,0.9612345679012345
Y10,M1,A0,60,full81,balanced_accuracy,0.9255675518511339
Y10,M1,A0,60,full81,conduction_recall,0.9811827227498869
Y10,M1,A0,60,full81,false_negative,1.89
Y10,M1,A0,60,full81,false_positive,1.25
Y10,M1,A0,60,full81,keyhole_recall,0.8699523809523809
Y10,M1,A0,80,B1_q20,accuracy,0.8364705882352941
Y10,M1,A0,80,B1_q20,balanced_accuracy,0.8138184315684316
Y10,M1,A0,80,B1_q20,conduction_recall,0.9065019425019425
Y10,M1,A0,80,B1_q20,false_negative,1.82
Y10,M1,A0,80,B1_q20,false_positive,0.96
Y10,M1,A0,80,B1_q20,keyhole_recall,0.7211349206349206
Y10,M1,A0,80,B1_q30,accuracy,0.8812000000000001
Y10,M1,A0,80,B1_q30,balanced_accuracy,0.8498749082659687
Y10,M1,A0,80,B1_q30,conduction_recall,0.9371920964742172
Y10,M1,A0,80,B1_q30,false_negative,1.92
Y10,M1,A0,80,B1_q30,false_positive,1.05
Y10,M1,A0,80,B1_q30,keyhole_recall,0.76255772005772
Y10,M1,A0,80,full81,accuracy,0.9632098765432099
Y10,M1,A0,80,full81,balanced_accuracy,0.925671157201008
Y10,M1,A0,80,full81,conduction_recall,0.9841994572591588
Y10,M1,A0,80,full81,false_negative,1.93
Y10,M1,A0,80,full81,false_positive,1.05
Y10,M1,A0,80,full81,keyhole_recall,0.8671428571428572
Y11,M1,A1,16,B1_q20,accuracy,0.7847058823529411
Y11,M1,A1,16,B1_q20,balanced_accuracy,0.7706618104118104
Y11,M1,A1,16,B1_q20,conduction_recall,0.8192204462204462
Y11,M1,A1,16,B1_q20,false_negative,1.79
Y11,M1,A1,16,B1_q20,false_positive,1.87
Y11,M1,A1,16,B1_q20,keyhole_recall,0.7221031746031745
Y11,M1,A1,16,B1_q30,accuracy,0.8308
Y11,M1,A1,16,B1_q30,balanced_accuracy,0.8108440150750522
Y11,M1,A1,16,B1_q30,conduction_recall,0.8646678281299025
Y11,M1,A1,16,B1_q30,false_negative,1.97
Y11,M1,A1,16,B1_q30,false_positive,2.26
Y11,M1,A1,16,B1_q30,keyhole_recall,0.757020202020202
Y11,M1,A1,16,full81,accuracy,0.9429629629629629
Y11,M1,A1,16,full81,balanced_accuracy,0.9090506881178523
Y11,M1,A1,16,full81,conduction_recall,0.9619109000452284
Y11,M1,A1,16,full81,false_negative,2.09
Y11,M1,A1,16,full81,false_positive,2.53
Y11,M1,A1,16,full81,keyhole_recall,0.8561904761904762
Y11,M1,A1,20,B1_q20,accuracy,0.8158823529411764
Y11,M1,A1,20,B1_q20,balanced_accuracy,0.8003599456099457
Y11,M1,A1,20,B1_q20,conduction_recall,0.8686722721722723
Y11,M1,A1,20,B1_q20,false_negative,1.76
Y11,M1,A1,20,B1_q20,false_positive,1.37
Y11,M1,A1,20,B1_q20,keyhole_recall,0.7320476190476191
Y11,M1,A1,20,B1_q30,accuracy,0.86
Y11,M1,A1,20,B1_q30,balanced_accuracy,0.8376360058500151
Y11,M1,A1,20,B1_q30,conduction_recall,0.9009725889006074
Y11,M1,A1,20,B1_q30,false_negative,1.84
Y11,M1,A1,20,B1_q30,false_positive,1.66
Y11,M1,A1,20,B1_q30,keyhole_recall,0.7742994227994228
Y11,M1,A1,20,full81,accuracy,0.955432098765432
Y11,M1,A1,20,full81,balanced_accuracy,0.9227025263293921
Y11,M1,A1,20,full81,conduction_recall,0.9736431478968792
Y11,M1,A1,20,full81,false_negative,1.86
Y11,M1,A1,20,full81,false_positive,1.75
Y11,M1,A1,20,full81,keyhole_recall,0.8717619047619047
Y11,M1,A1,30,B1_q20,accuracy,0.8229411764705883
Y11,M1,A1,30,B1_q20,balanced_accuracy,0.8005458291708291
Y11,M1,A1,30,B1_q20,conduction_recall,0.8942781662781663
Y11,M1,A1,30,B1_q20,false_negative,1.91
Y11,M1,A1,30,B1_q20,false_positive,1.1
Y11,M1,A1,30,B1_q20,keyhole_recall,0.7068134920634921
Y11,M1,A1,30,B1_q30,accuracy,0.8687999999999999
Y11,M1,A1,30,B1_q30,balanced_accuracy,0.8378090078780868
Y11,M1,A1,30,B1_q30,conduction_recall,0.9249019262900842
Y11,M1,A1,30,B1_q30,false_negative,2.01
Y11,M1,A1,30,B1_q30,false_positive,1.27
Y11,M1,A1,30,B1_q30,keyhole_recall,0.7507160894660895
Y11,M1,A1,30,full81,accuracy,0.9592592592592593
Y11,M1,A1,30,full81,balanced_accuracy,0.9208867674613944
Y11,M1,A1,30,full81,conduction_recall,0.9807259158751696
Y11,M1,A1,30,full81,false_negative,2.02
Y11,M1,A1,30,full81,false_positive,1.28
Y11,M1,A1,30,full81,keyhole_recall,0.8610476190476191
Y11,M1,A1,40,B1_q20,accuracy,0.8341176470588235
Y11,M1,A1,40,B1_q20,balanced_accuracy,0.8129428349428349
Y11,M1,A1,40,B1_q20,conduction_recall,0.8978063048063047
Y11,M1,A1,40,B1_q20,false_negative,1.76
Y11,M1,A1,40,B1_q20,false_positive,1.06
Y11,M1,A1,40,B1_q20,keyhole_recall,0.728079365079365
Y11,M1,A1,40,B1_q30,accuracy,0.878
Y11,M1,A1,40,B1_q30,balanced_accuracy,0.8487649059317016
Y11,M1,A1,40,B1_q30,conduction_recall,0.9291585997421911
Y11,M1,A1,40,B1_q30,false_negative,1.86
Y11,M1,A1,40,B1_q30,false_positive,1.19
Y11,M1,A1,40,B1_q30,keyhole_recall,0.7683712121212122
Y11,M1,A1,40,full81,accuracy,0.9622222222222221
Y11,M1,A1,40,full81,balanced_accuracy,0.9266638237384507
Y11,M1,A1,40,full81,conduction_recall,0.9820895522388059
Y11,M1,A1,40,full81,false_negative,1.87
Y11,M1,A1,40,full81,false_positive,1.19
Y11,M1,A1,40,full81,keyhole_recall,0.8712380952380953
Y11,M1,A1,60,B1_q20,accuracy,0.84
Y11,M1,A1,60,B1_q20,balanced_accuracy,0.8191909063159063
Y11,M1,A1,60,B1_q20,conduction_recall,0.9071357808857808
Y11,M1,A1,60,B1_q20,false_negative,1.76
Y11,M1,A1,60,B1_q20,false_positive,0.96
Y11,M1,A1,60,B1_q20,keyhole_recall,0.7312460317460318
Y11,M1,A1,60,B1_q30,accuracy,0.8832
Y11,M1,A1,60,B1_q30,balanced_accuracy,0.8534202536369719
Y11,M1,A1,60,B1_q30,conduction_recall,0.9368340137674502
Y11,M1,A1,60,B1_q30,false_negative,1.86
Y11,M1,A1,60,B1_q30,false_positive,1.06
Y11,M1,A1,60,B1_q30,keyhole_recall,0.7700064935064935
Y11,M1,A1,60,full81,accuracy,0.9637037037037036
Y11,M1,A1,60,full81,balanced_accuracy,0.9276148801447309
Y11,M1,A1,60,full81,conduction_recall,0.9838964269561283
Y11,M1,A1,60,full81,false_negative,1.87
Y11,M1,A1,60,full81,false_positive,1.07
Y11,M1,A1,60,full81,keyhole_recall,0.8713333333333333
Y11,M1,A1,80,B1_q20,accuracy,0.8458823529411764
Y11,M1,A1,80,B1_q20,balanced_accuracy,0.8239717504717504
Y11,M1,A1,80,B1_q20,conduction_recall,0.9150903263403264
Y11,M1,A1,80,B1_q20,false_negative,1.75
Y11,M1,A1,80,B1_q20,false_positive,0.87
Y11,M1,A1,80,B1_q20,keyhole_recall,0.7328531746031746
Y11,M1,A1,80,B1_q30,accuracy,0.8876000000000001
Y11,M1,A1,80,B1_q30,balanced_accuracy,0.8569152349628355
Y11,M1,A1,80,B1_q30,conduction_recall,0.9425025478477491
Y11,M1,A1,80,B1_q30,false_negative,1.85
Y11,M1,A1,80,B1_q30,false_positive,0.96
Y11,M1,A1,80,B1_q30,keyhole_recall,0.7713279220779221
Y11,M1,A1,80,full81,accuracy,0.9651851851851851
Y11,M1,A1,80,full81,balanced_accuracy,0.9287294049234347
Y11,M1,A1,80,full81,conduction_recall,0.9855540479421075
Y11,M1,A1,80,full81,false_negative,1.86
Y11,M1,A1,80,full81,false_positive,0.96
Y11,M1,A1,80,full81,keyhole_recall,0.8719047619047618
