policy,runs,AULC_16_80,d_16_80,ci_16_80,pos_16_80,AULC_16_40,d_16_40,ci_16_40,pos_16_40,AULC_41_80,d_41_80,ci_41_80,pos_41_80,B40_q20_KH_recall
sched_bmm_B40,50,0.848639705882353,0.0022426470588235484,"[-0.0008, +0.0055]",7/10,0.8320098039215688,0.006715686274509805,"[-0.0013, +0.0153]",6/10,0.8587782805429863,-0.0004977375565610885,"[-0.0023, +0.0011]",5/10,0.7399126984126984
sched_bmm_B32,50,0.8482169117647059,0.0018198529411764697,"[-0.0010, +0.0045]",6/10,0.8300245098039214,0.004730392156862731,"[-0.0016, +0.0108]",6/10,0.8594268476621417,0.00015082956259426122,"[-0.0021, +0.0021]",7/10,0.7387936507936508
misfit_margin,50,0.8481158088235295,0.0017187500000000202,"[-0.0005, +0.0039]",6/10,0.8256617647058824,0.0003676470588235348,"[-0.0015, +0.0023]",5/10,0.8618552036199094,0.0025791855203619973,"[-0.0002, +0.0053]",8/10,0.7352222222222222
band_maximin,50,0.8477941176470588,0.0013970588235294114,"[-0.0029, +0.0056]",6/10,0.8293627450980391,0.004068627450980385,"[-0.0034, +0.0114]",7/10,0.8590346907993965,-0.00024132730015081994,"[-0.0055, +0.0051]",5/10,0.7534126984126983
bisect_cov_B40,50,0.8477389705882353,0.0013419117647058966,"[-0.0005, +0.0032]",7/10,0.8309558823529412,0.0056617647058823575,"[-0.0006, +0.0123]",6/10,0.8579939668174963,-0.001282051282051282,"[-0.0027, +0.0001]",4/10,0.7453888888888888
misfit_margin_l1,50,0.8476286764705883,0.0012316176470588333,"[-0.0013, +0.0037]",6/10,0.8262745098039216,0.0009803921568627507,"[-0.0025, +0.0048]",3/10,0.8607239819004525,0.0014479638009049765,"[-0.0012, +0.0042]",7/10,0.7457460317460317
conflict_margin,50,0.8475091911764707,0.0011121323529411841,"[-0.0002, +0.0025]",6/10,0.8265931372549019,0.0012990196078431393,"[-0.0002, +0.0029]",8/10,0.8603318250377073,0.0010558069381598621,"[-0.0005, +0.0027]",5/10,0.7433650793650795
cov_x_w2_B40,50,0.8474908088235295,0.001093750000000011,"[-0.0013, +0.0031]",6/10,0.8286519607843137,0.003357843137254881,"[-0.0033, +0.0097]",6/10,0.8589894419306183,-0.00028657616892910695,"[-0.0018, +0.0012]",4/10,0.7499365079365079
sched_bmaximin_B40,50,0.8474264705882352,0.0010294117647058833,"[-0.0017, +0.0035]",6/10,0.8293627450980391,0.004068627450980385,"[-0.0032, +0.0115]",7/10,0.858552036199095,-0.0007239819004524773,"[-0.0038, +0.0018]",5/10,0.7534126984126983
density_bisect,50,0.84703125,0.0006341911764705843,"[-0.0006, +0.0019]",6/10,0.8288970588235293,0.003602941176470584,"[-0.0001, +0.0090]",6/10,0.8580392156862744,-0.0012368024132730017,"[-0.0035, +0.0005]",5/10,0.7642698412698412
band_margin_maximin,50,0.8467922794117648,0.00039522058823528974,"[-0.0035, +0.0046]",6/10,0.8320098039215688,0.006715686274509805,"[-0.0013, +0.0150]",6/10,0.8557315233785822,-0.003544494720965305,"[-0.0060, -0.0009]",3/10,0.7399126984126984
sched_qbc_B40,50,0.8467647058823531,0.00036764705882352583,"[-0.0022, +0.0031]",6/10,0.8292892156862745,0.003995098039215681,"[-0.0017, +0.0101]",7/10,0.8576772247360482,-0.0015987933634992579,"[-0.0039, +0.0005]",5/10,0.7348888888888889
qbc_bootstrap,50,0.8463235294117648,-7.35294117647235e-05,"[-0.0033, +0.0029]",6/10,0.8292892156862745,0.003995098039215681,"[-0.0018, +0.0100]",7/10,0.8569683257918551,-0.002307692307692284,"[-0.0049, +0.0004]",2/10,0.7348888888888889
band_fill,50,0.8462316176470588,-0.00016544117647057524,"[-0.0079, +0.0071]",6/10,0.8256862745098039,0.000392156862745101,"[-0.0102, +0.0107]",4/10,0.8589592760180996,-0.0003167420814479807,"[-0.0079, +0.0073]",4/10,0.7133492063492062
falsi_margin,50,0.8462316176470588,-0.00016544117647058197,"[-0.0017, +0.0014]",5/10,0.8263480392156864,0.0010539215686274559,"[-0.0049, +0.0065]",6/10,0.8584766214177978,-0.0007993966817496136,"[-0.0030, +0.0018]",2/10,0.7384444444444443
falsi_cov_B40,50,0.8458639705882354,-0.0005330882352941013,"[-0.0031, +0.0022]",5/10,0.8259068627450982,0.0006127450980392066,"[-0.0077, +0.0099]",6/10,0.8581146304675715,-0.0011613876319758608,"[-0.0029, +0.0005]",4/10,0.7290555555555556
margin_tempered,50,0.8453952205882354,-0.0010018382352941168,"[-0.0046, +0.0019]",6/10,0.8200735294117648,-0.005220588235294159,"[-0.0140, +0.0021]",4/10,0.8610859728506786,0.001809954751131233,"[-0.0011, +0.0045]",7/10,0.7500873015873016
strata_B40,50,0.8443290441176471,-0.0020680147058823374,"[-0.0041, +0.0000]",2/10,0.8201225490196079,-0.0051715686274509814,"[-0.0116, +0.0010]",4/10,0.859185520361991,-9.049773755657195e-05,"[-0.0027, +0.0020]",6/10,0.7541269841269841
depth_x_margin,50,0.8428768382352942,-0.0035202205882353017,"[-0.0072, -0.0001]",3/10,0.8237009803921569,-0.0015931372549019642,"[-0.0079, +0.0047]",4/10,0.8545701357466062,-0.004705882352941169,"[-0.0084, -0.0011]",3/10,0.7420793650793651
band_maximin_ctx,50,0.8428676470588234,-0.00352941176470589,"[-0.0075, +0.0002]",5/10,0.8206862745098039,-0.004607843137254906,"[-0.0102, +0.0020]",3/10,0.8565309200603316,-0.0027450980392156607,"[-0.0066, +0.0013]",4/10,0.7377301587301587
band_random,50,0.8419944852941174,-0.0044025735294117825,"[-0.0090, +0.0001]",3/10,0.8200980392156861,-0.00519607843137255,"[-0.0143, +0.0038]",4/10,0.8553393665158369,-0.003936651583710394,"[-0.0091, +0.0008]",4/10,0.7389365079365079
depth_straddle,50,0.8392371323529413,-0.007159926470588258,"[-0.0110, -0.0038]",1/10,0.8192892156862744,-0.006004901960784321,"[-0.0115, -0.0007]",3/10,0.8516138763197586,-0.0076621417797888116,"[-0.0144, -0.0018]",2/10,0.7033650793650793
local_bracket,50,0.8384926470588236,-0.00790441176470589,"[-0.0176, +0.0021]",3/10,0.8185539215686275,-0.006740196078431369,"[-0.0172, +0.0045]",3/10,0.8506033182503769,-0.008672699849170408,"[-0.0191, +0.0022]",2/10,0.7404603174603173
LEAKY_trueband_random,50,0.8350551470588237,-0.011341911764705895,"[-0.0199, -0.0031]",2/10,0.8123284313725488,-0.01296568627450979,"[-0.0279, +0.0005]",3/10,0.8490196078431371,-0.010256410256410229,"[-0.0151, -0.0052]",2/10,0.7444999999999999
asym65,50,0.8349080882352942,-0.011488970588235314,"[-0.0155, -0.0075]",0/10,0.8199509803921567,-0.005343137254901955,"[-0.0130, +0.0017]",5/10,0.8441025641025639,-0.01517345399698341,"[-0.0192, -0.0111]",0/10,0.7242857142857143
LEAKY_b1_nearest,50,0.8278308823529413,-0.018566176470588256,"[-0.0258, -0.0115]",0/10,0.8159803921568627,-0.009313725490196077,"[-0.0182, -0.0006]",2/10,0.8354147812971342,-0.023861236802413248,"[-0.0311, -0.0168]",0/10,0.7579365079365078
asym35,50,0.8230330882352941,-0.02336397058823532,"[-0.0306, -0.0164]",0/10,0.8067647058823529,-0.01852941176470587,"[-0.0256, -0.0110]",1/10,0.8330165912518853,-0.026259426847662092,"[-0.0352, -0.0175]",0/10,0.7504365079365078
random,50,0.7994025735294117,-0.04699448529411767,"[-0.0619, -0.0332]",0/10,0.7820588235294117,-0.04323529411764704,"[-0.0646, -0.0202]",2/10,0.8101055806938159,-0.04917043740573146,"[-0.0618, -0.0380]",0/10,0.7034841269841269
