population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
full_405,16,P2_MONO_BISECTION_M3,0.95,True,25.0,91
full_405,16,P2_MONO_BISECTION_M3,0.97,True,48.0,91
full_405,16,P2_MONO_BISECTION_M3,0.98,True,54.0,91
full_405,16,P3_MONO_EXPECTED_GAIN_M3,0.95,True,28.0,86
full_405,16,P3_MONO_EXPECTED_GAIN_M3,0.97,True,37.0,86
full_405,16,P3_MONO_EXPECTED_GAIN_M3,0.98,True,38.0,86
full_405,17,P0_M3_MARGIN_STANDARD,0.95,True,17.0,120
full_405,17,P0_M3_MARGIN_STANDARD,0.97,True,39.0,120
full_405,17,P0_M3_MARGIN_STANDARD,0.98,True,42.0,120
full_405,17,P1_M3_MARGIN_MONO,0.95,True,32.0,87
full_405,17,P1_M3_MARGIN_MONO,0.97,True,48.0,87
full_405,17,P1_M3_MARGIN_MONO,0.98,False,,87
full_405,17,P2_MONO_BISECTION_M3,0.95,True,35.0,95
full_405,17,P2_MONO_BISECTION_M3,0.97,True,50.0,95
full_405,17,P2_MONO_BISECTION_M3,0.98,True,59.0,95
full_405,17,P3_MONO_EXPECTED_GAIN_M3,0.95,True,30.0,87
full_405,17,P3_MONO_EXPECTED_GAIN_M3,0.97,True,50.0,87
full_405,17,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,87
full_405,18,P0_M3_MARGIN_STANDARD,0.95,True,23.0,120
full_405,18,P0_M3_MARGIN_STANDARD,0.97,True,38.0,120
full_405,18,P0_M3_MARGIN_STANDARD,0.98,True,41.0,120
full_405,18,P1_M3_MARGIN_MONO,0.95,True,25.0,85
full_405,18,P1_M3_MARGIN_MONO,0.97,True,46.0,85
full_405,18,P1_M3_MARGIN_MONO,0.98,False,,85
full_405,18,P2_MONO_BISECTION_M3,0.95,True,39.0,91
full_405,18,P2_MONO_BISECTION_M3,0.97,True,47.0,91
full_405,18,P2_MONO_BISECTION_M3,0.98,True,53.0,91
full_405,18,P3_MONO_EXPECTED_GAIN_M3,0.95,True,28.0,88
full_405,18,P3_MONO_EXPECTED_GAIN_M3,0.97,True,39.0,88
full_405,18,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,88
full_405,19,P0_M3_MARGIN_STANDARD,0.95,True,22.0,120
full_405,19,P0_M3_MARGIN_STANDARD,0.97,True,34.0,120
full_405,19,P0_M3_MARGIN_STANDARD,0.98,True,43.0,120
full_405,19,P1_M3_MARGIN_MONO,0.95,True,22.0,88
full_405,19,P1_M3_MARGIN_MONO,0.97,True,34.0,88
full_405,19,P1_M3_MARGIN_MONO,0.98,True,38.0,88
full_405,19,P2_MONO_BISECTION_M3,0.95,True,19.0,98
full_405,19,P2_MONO_BISECTION_M3,0.97,True,49.0,98
full_405,19,P2_MONO_BISECTION_M3,0.98,True,51.0,98
full_405,19,P3_MONO_EXPECTED_GAIN_M3,0.95,True,22.0,88
full_405,19,P3_MONO_EXPECTED_GAIN_M3,0.97,True,28.0,88
full_405,19,P3_MONO_EXPECTED_GAIN_M3,0.98,True,35.0,88
full_405,20,P0_M3_MARGIN_STANDARD,0.95,True,34.0,120
full_405,20,P0_M3_MARGIN_STANDARD,0.97,True,36.0,120
full_405,20,P0_M3_MARGIN_STANDARD,0.98,True,37.0,120
full_405,20,P1_M3_MARGIN_MONO,0.95,True,35.0,88
full_405,20,P1_M3_MARGIN_MONO,0.97,True,43.0,88
