population,repeat,arm,balanced_accuracy_AULC_16_120,accuracy_AULC_16_120
full_405,8,P2_MONO_BISECTION_M3,0.9836095898345756,0.9851733143399807
full_405,8,P3_MONO_EXPECTED_GAIN_M3,0.9796411012860713,0.9879748338081669
full_405,9,P0_M3_MARGIN_STANDARD,0.9857767807267,0.9910849952516619
full_405,9,P1_M3_MARGIN_MONO,0.9817316222212346,0.9898860398860397
full_405,9,P2_MONO_BISECTION_M3,0.9798927334734088,0.9894824311490976
full_405,9,P3_MONO_EXPECTED_GAIN_M3,0.9828274174146531,0.9905033238366568
full_405,10,P0_M3_MARGIN_STANDARD,0.9871045694897609,0.9929249762583096
full_405,10,P1_M3_MARGIN_MONO,0.9684518500768089,0.9866452991452989
full_405,10,P2_MONO_BISECTION_M3,0.9610038547234249,0.9855531813865147
full_405,10,P3_MONO_EXPECTED_GAIN_M3,0.9715176565058973,0.9860280151946819
full_405,11,P0_M3_MARGIN_STANDARD,0.9846744393273832,0.990372744539411
full_405,11,P1_M3_MARGIN_MONO,0.9807465174184617,0.9891975308641974
full_405,11,P2_MONO_BISECTION_M3,0.9774426671385221,0.9858024691358024
full_405,11,P3_MONO_EXPECTED_GAIN_M3,0.9843423681554455,0.9875118708452041
full_405,12,P0_M3_MARGIN_STANDARD,0.9852342391166349,0.9905745489078821
full_405,12,P1_M3_MARGIN_MONO,0.9813576950055224,0.9893993352326683
full_405,12,P2_MONO_BISECTION_M3,0.9789092156296415,0.9881647673314339
full_405,12,P3_MONO_EXPECTED_GAIN_M3,0.9828579663755123,0.9899216524216523
full_405,13,P0_M3_MARGIN_STANDARD,0.9836127637525867,0.9900641025641023
full_405,13,P1_M3_MARGIN_MONO,0.9798824182398718,0.988960113960114
full_405,13,P2_MONO_BISECTION_M3,0.9839300563687842,0.9828347578347576
full_405,13,P3_MONO_EXPECTED_GAIN_M3,0.9814326788185406,0.989648622981956
full_405,14,P0_M3_MARGIN_STANDARD,0.9887193994629728,0.9858855650522317
full_405,14,P1_M3_MARGIN_MONO,0.9855486553696343,0.985446343779677
full_405,14,P2_MONO_BISECTION_M3,0.9807352103355463,0.9879154795821461
full_405,14,P3_MONO_EXPECTED_GAIN_M3,0.9846131430357888,0.985849952516619
full_405,15,P0_M3_MARGIN_STANDARD,0.9852913696408394,0.9925213675213675
full_405,15,P1_M3_MARGIN_MONO,0.967988953971841,0.9862654320987654
full_405,15,P2_MONO_BISECTION_M3,0.9642503761092842,0.9843898385565051
full_405,15,P3_MONO_EXPECTED_GAIN_M3,0.9691968281450355,0.9866452991452991
full_405,16,P0_M3_MARGIN_STANDARD,0.9838741160638337,0.9904083570750236
full_405,16,P1_M3_MARGIN_MONO,0.9799461941549124,0.9892331433998099
full_405,16,P2_MONO_BISECTION_M3,0.9785165424606748,0.9837725546058878
full_405,16,P3_MONO_EXPECTED_GAIN_M3,0.9814161149339188,0.9898741690408356
full_405,17,P0_M3_MARGIN_STANDARD,0.9852913696408394,0.9925213675213675
full_405,17,P1_M3_MARGIN_MONO,0.967988953971841,0.9862654320987654
full_405,17,P2_MONO_BISECTION_M3,0.9642503761092842,0.9843898385565051
full_405,17,P3_MONO_EXPECTED_GAIN_M3,0.9691968281450355,0.9866452991452991
full_405,18,P0_M3_MARGIN_STANDARD,0.9868526397476101,0.9936490978157645
full_405,18,P1_M3_MARGIN_MONO,0.9675030469612909,0.9873219373219372
full_405,18,P2_MONO_BISECTION_M3,0.964357595027105,0.9847340930674263
full_405,18,P3_MONO_EXPECTED_GAIN_M3,0.9682568524889867,0.9867046533713199
full_405,19,P0_M3_MARGIN_STANDARD,0.9868836846331583,0.9842236467236467
full_405,19,P1_M3_MARGIN_MONO,0.9876592116622446,0.9836419753086418
full_405,19,P2_MONO_BISECTION_M3,0.9818600667157569,0.9837369420702753
full_405,19,P3_MONO_EXPECTED_GAIN_M3,0.9872827056381481,0.9830246913580246
full_405,20,P0_M3_MARGIN_STANDARD,0.982242027911435,0.9916073124406457
full_405,20,P1_M3_MARGIN_MONO,0.9679241862074217,0.9852326685660018
full_405,20,P2_MONO_BISECTION_M3,0.9596121908603858,0.9852089268755934
full_405,20,P3_MONO_EXPECTED_GAIN_M3,0.9636434634745517,0.9849952516619181
main_364,1,P0_M3_MARGIN_STANDARD,0.9889930010465727,0.9905034868977178
main_364,1,P1_M3_MARGIN_MONO,0.9844404107796962,0.9890241969568893
main_364,1,P2_MONO_BISECTION_M3,0.9882636708529566,0.9887336221470837
main_364,1,P3_MONO_EXPECTED_GAIN_M3,0.9843063186813183,0.9893147717666948
main_364,2,P0_M3_MARGIN_STANDARD,0.987681514913658,0.9916393702451398
main_364,2,P1_M3_MARGIN_MONO,0.9829588566195706,0.990054416737109
main_364,2,P2_MONO_BISECTION_M3,0.9801167582417579,0.9870694209636517
main_364,2,P3_MONO_EXPECTED_GAIN_M3,0.9832793694400834,0.9903185756551142
main_364,3,P0_M3_MARGIN_STANDARD,0.9813432103610675,0.9922205198647507
main_364,3,P1_M3_MARGIN_MONO,0.9628434065934065,0.9852863482671174
main_364,3,P2_MONO_BISECTION_M3,0.9571265044479328,0.9834900676246827
main_364,3,P3_MONO_EXPECTED_GAIN_M3,0.9662186028257456,0.9863429839391376
main_364,4,P0_M3_MARGIN_STANDARD,0.9860266221873364,0.993488482671175
main_364,4,P1_M3_MARGIN_MONO,0.9670362375719517,0.9861844885883345
main_364,4,P2_MONO_BISECTION_M3,0.9676085818942964,0.9860524091293321
main_364,4,P3_MONO_EXPECTED_GAIN_M3,0.9694368131868131,0.9867656382079457
main_364,5,P0_M3_MARGIN_STANDARD,0.9890224358974359,0.9946507819103972
main_364,5,P1_M3_MARGIN_MONO,0.970408163265306,0.9875316990701604
main_364,5,P2_MONO_BISECTION_M3,0.9656560701203561,0.9845467032967031
main_364,5,P3_MONO_EXPECTED_GAIN_M3,0.969286368393511,0.9872411242603548
main_364,6,P0_M3_MARGIN_STANDARD,0.9897762951334381,0.9890638207945902
main_364,6,P1_M3_MARGIN_MONO,0.9861002093144948,0.9887468300929838
main_364,6,P2_MONO_BISECTION_M3,0.9831076661433807,0.9837013947590871
main_364,6,P3_MONO_EXPECTED_GAIN_M3,0.9823358189429616,0.9844410397295013
main_364,7,P0_M3_MARGIN_STANDARD,0.990961865515437,0.9941488799661877
main_364,7,P1_M3_MARGIN_MONO,0.9720401622187336,0.9868713017751477
main_364,7,P2_MONO_BISECTION_M3,0.9621108058608058,0.9848636939983092
main_364,7,P3_MONO_EXPECTED_GAIN_M3,0.96781462585034,0.9865543110735415
main_364,8,P0_M3_MARGIN_STANDARD,0.986464874411303,0.9908997252747256
main_364,8,P1_M3_MARGIN_MONO,0.9819482600732599,0.9893940194420965
main_364,8,P2_MONO_BISECTION_M3,0.9801854395604394,0.985616546914624
main_364,8,P3_MONO_EXPECTED_GAIN_M3,0.9827953296703295,0.9900015849535081
main_364,9,P0_M3_MARGIN_STANDARD,0.988543301936159,0.994637573964497
main_364,9,P1_M3_MARGIN_MONO,0.9705962192569333,0.9874128275570582
main_364,9,P2_MONO_BISECTION_M3,0.9535730638409208,0.9818919061707521
main_364,9,P3_MONO_EXPECTED_GAIN_M3,0.9700794740973311,0.986831677937447
main_364,10,P0_M3_MARGIN_STANDARD,0.984275248560963,0.9900676246830096
main_364,10,P1_M3_MARGIN_MONO,0.9700778388278386,0.9868713017751477
main_364,10,P2_MONO_BISECTION_M3,0.9801429225536366,0.9883373837700761
main_364,10,P3_MONO_EXPECTED_GAIN_M3,0.9817781920460488,0.9901336644125105
main_364,11,P0_M3_MARGIN_STANDARD,0.9873855311355313,0.9916261622992395
main_364,11,P1_M3_MARGIN_MONO,0.9674597723704864,0.9866995984784445
main_364,11,P2_MONO_BISECTION_M3,0.9782509157509155,0.988746830092984
main_364,11,P3_MONO_EXPECTED_GAIN_M3,0.9836309523809521,0.990675190194421
main_364,12,P0_M3_MARGIN_STANDARD,0.9949895342752486,0.9967244294167372
main_364,12,P1_M3_MARGIN_MONO,0.9753957352171637,0.9892487320371934
main_364,12,P2_MONO_BISECTION_M3,0.9681122448979594,0.9854712595097209
main_364,12,P3_MONO_EXPECTED_GAIN_M3,0.9722789115646258,0.9874260355029583
main_364,13,P0_M3_MARGIN_STANDARD,0.9917598770277343,0.9912959636517333
main_364,13,P1_M3_MARGIN_MONO,0.987204016221873,0.989895921386306
main_364,13,P2_MONO_BISECTION_M3,0.9862719126111984,0.9890241969568893
main_364,13,P3_MONO_EXPECTED_GAIN_M3,0.9870503008895863,0.9906619822485208
main_364,14,P0_M3_MARGIN_STANDARD,0.9876308215593931,0.991599746407439
main_364,14,P1_M3_MARGIN_MONO,0.9829245159602299,0.9900412087912088
main_364,14,P2_MONO_BISECTION_M3,0.9816424646781787,0.9894072273879966
main_364,14,P3_MONO_EXPECTED_GAIN_M3,0.9823848770277339,0.9904374471682165
main_364,15,P0_M3_MARGIN_STANDARD,0.9919119570905284,0.9950073964497042
main_364,15,P1_M3_MARGIN_MONO,0.9725748953427524,0.9876505705832628
main_364,15,P2_MONO_BISECTION_M3,0.9598721219256932,0.9843749999999999
main_364,15,P3_MONO_EXPECTED_GAIN_M3,0.9678358843537412,0.986673182586644
main_364,16,P0_M3_MARGIN_STANDARD,0.9894623233908949,0.9896978021978023
main_364,16,P1_M3_MARGIN_MONO,0.9853545264259547,0.9884298393913779
main_364,16,P2_MONO_BISECTION_M3,0.9861917844060704,0.984837278106509
main_364,16,P3_MONO_EXPECTED_GAIN_M3,0.9862114076399794,0.9830938292476754
main_364,17,P0_M3_MARGIN_STANDARD,0.9834968602825747,0.9932903634826713
main_364,17,P1_M3_MARGIN_MONO,0.9645751569858712,0.9860127852916312
main_364,17,P2_MONO_BISECTION_M3,0.9589923469387753,0.9839259298393911
main_364,17,P3_MONO_EXPECTED_GAIN_M3,0.9683003008895864,0.986620350803043
main_364,18,P0_M3_MARGIN_STANDARD,0.9839939822082682,0.9899091293322066
main_364,18,P1_M3_MARGIN_MONO,0.9823603479853478,0.9897638419273035
main_364,18,P2_MONO_BISECTION_M3,0.9867592229199373,0.9886279585798816
main_364,18,P3_MONO_EXPECTED_GAIN_M3,0.9831452773417055,0.9906091504649197
main_364,19,P0_M3_MARGIN_STANDARD,0.9885007849293564,0.9941885038038886
main_364,19,P1_M3_MARGIN_MONO,0.9729510073260077,0.9865675190194418
main_364,19,P2_MONO_BISECTION_M3,0.9629693223443222,0.9856165469146236
main_364,19,P3_MONO_EXPECTED_GAIN_M3,0.9665767268445837,0.9865411031276413
main_364,20,P0_M3_MARGIN_STANDARD,0.9890060832025119,0.9903978233305158
main_364,20,P1_M3_MARGIN_MONO,0.984554879644165,0.9889977810650887
main_364,20,P2_MONO_BISECTION_M3,0.9816996991104131,0.987597738799662
main_364,20,P3_MONO_EXPECTED_GAIN_M3,0.9842997776033487,0.99010724852071
