population,repeat,arm,correct_resolution_threshold,error_cap,reached,first_true_query_budget,wrong_inference_rate_at_hit
full_405,8,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,8,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,8,P1_M3_MARGIN_MONO,0.8,0.01,True,40.0,0.0034602076124567475
full_405,8,P1_M3_MARGIN_MONO,0.9,0.01,True,58.0,0.003246753246753247
full_405,8,P1_M3_MARGIN_MONO,0.95,0.01,True,72.0,0.006349206349206349
full_405,8,P2_MONO_BISECTION_M3,0.8,0.01,True,43.0,0.0035087719298245615
full_405,8,P2_MONO_BISECTION_M3,0.9,0.01,True,60.0,0.0032679738562091504
full_405,8,P2_MONO_BISECTION_M3,0.95,0.01,True,78.0,0.006472491909385114
full_405,8,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,37.0,0.003472222222222222
full_405,8,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,56.0,0.003194888178913738
full_405,8,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,73.0,0.006369426751592357
full_405,9,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,9,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,9,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,9,P1_M3_MARGIN_MONO,0.8,0.01,True,37.0,0.003436426116838488
full_405,9,P1_M3_MARGIN_MONO,0.9,0.01,True,58.0,0.003246753246753247
full_405,9,P1_M3_MARGIN_MONO,0.95,0.01,True,73.0,0.006369426751592357
full_405,9,P2_MONO_BISECTION_M3,0.8,0.01,True,37.0,0.0
full_405,9,P2_MONO_BISECTION_M3,0.9,0.01,True,52.0,0.0
full_405,9,P2_MONO_BISECTION_M3,0.95,0.01,True,70.0,0.006309148264984227
full_405,9,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,31.0,0.0033783783783783786
full_405,9,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,52.0,0.0031847133757961785
full_405,9,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,71.0,0.006329113924050633
full_405,10,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,10,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,10,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,10,P1_M3_MARGIN_MONO,0.8,0.01,True,41.0,0.01
