population,repeat,arm,subset,metric,AULC_16_120
full_405,2,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9644734935203684
full_405,2,P1_M3_MARGIN_MONO,q20,accuracy,0.9359445701357466
full_405,2,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9224571261404196
full_405,2,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.8752973137973135
full_405,2,P1_M3_MARGIN_MONO,q30,accuracy,0.9540769230769227
full_405,2,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9397977284651475
full_405,2,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9015200736763236
full_405,2,P2_MONO_BISECTION_M3,q20,accuracy,0.9225226244343893
full_405,2,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.898763964334277
full_405,2,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.8065195741758239
full_405,2,P2_MONO_BISECTION_M3,q30,accuracy,0.9453692307692305
full_405,2,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9174699224467269
full_405,2,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.8406007464757466
full_405,2,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.941052036199095
full_405,2,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.927794803286991
full_405,2,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.8820304868742366
full_405,2,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9574846153846152
full_405,2,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.943693975145809
full_405,2,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9069161602286602
full_405,3,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9480910633484162
full_405,3,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9476680793832237
full_405,3,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9501072382478633
full_405,3,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9614346153846155
full_405,3,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9604013159432297
full_405,3,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9587225708319458
full_405,3,P1_M3_MARGIN_MONO,q20,accuracy,0.9431702488687783
full_405,3,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.939784857570314
full_405,3,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9313353556166053
full_405,3,P1_M3_MARGIN_MONO,q30,accuracy,0.9580884615384615
full_405,3,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.954126560322281
full_405,3,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9443452311577308
full_405,3,P2_MONO_BISECTION_M3,q20,accuracy,0.9369032805429864
full_405,3,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9421302965864267
full_405,3,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.9699937996031747
full_405,3,P2_MONO_BISECTION_M3,q30,accuracy,0.9501461538461539
full_405,3,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9562619803131356
full_405,3,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.9751677645271395
full_405,3,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9439394796380092
full_405,3,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9400566007843648
full_405,3,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.9293964438339436
full_405,3,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.958826923076923
full_405,3,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9542975203177378
full_405,3,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9429060106560103
full_405,4,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9724264705882353
full_405,4,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9721719498450269
full_405,4,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.974024916056166
full_405,4,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9793576923076923
full_405,4,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9792508957091374
full_405,4,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9795200268481519
full_405,4,P1_M3_MARGIN_MONO,q20,accuracy,0.9436142533936652
full_405,4,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9312483054472239
full_405,4,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.8897877556471303
full_405,4,P1_M3_MARGIN_MONO,q30,accuracy,0.959857692307692
full_405,4,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9472358492923008
full_405,4,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9138880425130425
full_405,4,P2_MONO_BISECTION_M3,q20,accuracy,0.9337782805429865
full_405,4,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9120362094502722
full_405,4,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.8289475160256408
full_405,4,P2_MONO_BISECTION_M3,q30,accuracy,0.9533230769230767
full_405,4,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9283115814730076
full_405,4,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.859597909035409
full_405,4,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9445984162895928
full_405,4,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.929312497131608
full_405,4,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.8745617177960925
full_405,4,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9605653846153843
full_405,4,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9441852547704259
full_405,4,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9002143724331224
full_405,5,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9595701357466063
full_405,5,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9562236403420299
full_405,5,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.944541475885226
full_405,5,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9711153846153848
full_405,5,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9666867903952896
full_405,5,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9547856830669331
full_405,5,P1_M3_MARGIN_MONO,q20,accuracy,0.9521606334841629
full_405,5,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9458666596491112
full_405,5,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9238275144993893
full_405,5,P1_M3_MARGIN_MONO,q30,accuracy,0.966076923076923
full_405,5,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9587583290996406
full_405,5,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9389287604756352
full_405,5,P2_MONO_BISECTION_M3,q20,accuracy,0.9410463800904977
full_405,5,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9309865242930144
full_405,5,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.8922475007631255
full_405,5,P2_MONO_BISECTION_M3,q30,accuracy,0.9572653846153846
full_405,5,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9445463883826893
full_405,5,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.9096464525058272
full_405,5,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9492760180995476
full_405,5,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9456932773423155
full_405,5,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.9356210126678872
full_405,5,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.962626923076923
full_405,5,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9584862767392358
full_405,5,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9479123914280161
full_405,6,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9578987556561086
full_405,6,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.947913866848963
full_405,6,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9068748855311356
full_405,6,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9687788461538461
full_405,6,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9556934663827712
full_405,6,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9193050057581308
full_405,6,P1_M3_MARGIN_MONO,q20,accuracy,0.9319032805429864
full_405,6,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9106773129381304
full_405,6,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.8298642017704515
full_405,6,P1_M3_MARGIN_MONO,q30,accuracy,0.9517249999999997
full_405,6,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9270281074758147
full_405,6,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.8595696248196248
full_405,6,P2_MONO_BISECTION_M3,q20,accuracy,0.93358314479638
full_405,6,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9109214726245978
full_405,6,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.822589934371184
full_405,6,P2_MONO_BISECTION_M3,q30,accuracy,0.9520519230769227
full_405,6,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9250235832118089
full_405,6,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.8505063859751361
full_405,6,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9369485294117648
full_405,6,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9187363910128334
full_405,6,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.8509296016483513
full_405,6,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.954278846153846
full_405,6,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9338739453857712
full_405,6,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.8783515477577978
full_405,7,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9542449095022625
full_405,7,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9513132705969246
full_405,7,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9422053762210012
full_405,7,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9679076923076925
full_405,7,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9635216399757817
full_405,7,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9519716047841047
full_405,7,P1_M3_MARGIN_MONO,q20,accuracy,0.9488716063348417
full_405,7,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9429915948768108
full_405,7,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9231182844932841
full_405,7,P1_M3_MARGIN_MONO,q30,accuracy,0.9642538461538461
full_405,7,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9569543223980636
full_405,7,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9373528017121764
full_405,7,P2_MONO_BISECTION_M3,q20,accuracy,0.9427234162895928
full_405,7,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9378041390367109
full_405,7,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.9218768696581192
full_405,7,P2_MONO_BISECTION_M3,q30,accuracy,0.9568307692307692
full_405,7,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9511912697968055
full_405,7,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.9362204306110554
full_405,7,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9314338235294118
full_405,7,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9413881918695624
full_405,7,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.9894849473443225
full_405,7,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9470076923076923
full_405,7,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9582367562078701
full_405,7,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9914278187090686
full_405,8,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9512415158371041
full_405,8,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9497670455212524
full_405,8,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9467909607753356
full_405,8,P0_M3_MARGIN_STANDARD,q30,accuracy,0.964692307692308
full_405,8,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9625332750919795
full_405,8,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9572249798812299
full_405,8,P1_M3_MARGIN_MONO,q20,accuracy,0.9454157239819005
full_405,8,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9409518841201531
full_405,8,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9270903922466419
full_405,8,P1_M3_MARGIN_MONO,q30,accuracy,0.960730769230769
full_405,8,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.955614822983802
full_405,8,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9421335175241422
full_405,8,P2_MONO_BISECTION_M3,q20,accuracy,0.9401385746606336
full_405,8,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9431288471144244
full_405,8,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.9605004387973138
full_405,8,P2_MONO_BISECTION_M3,q30,accuracy,0.9538346153846154
full_405,8,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9566969923591068
full_405,8,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.9661027201964701
full_405,8,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.945862556561086
full_405,8,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9405932427615118
full_405,8,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.923409493284493
full_405,8,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9613461538461539
full_405,8,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.955256359906202
full_405,8,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9391324699605946
full_405,9,P0_M3_MARGIN_STANDARD,q20,accuracy,0.958243778280543
full_405,9,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9561899709531922
full_405,9,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9507176053113553
full_405,9,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9711596153846156
full_405,9,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9678117894941283
full_405,9,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9591393103424354
full_405,9,P1_M3_MARGIN_MONO,q20,accuracy,0.9525311085972851
full_405,9,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9473389929381514
full_405,9,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9303866185897434
full_405,9,P1_M3_MARGIN_MONO,q30,accuracy,0.967275
full_405,9,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9608244583939632
full_405,9,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.943564921189921
full_405,9,P2_MONO_BISECTION_M3,q20,accuracy,0.9518410633484163
full_405,9,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9450561403740488
full_405,9,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.9207633737789984
full_405,9,P2_MONO_BISECTION_M3,q30,accuracy,0.9659788461538461
full_405,9,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9579761937274754
full_405,9,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.936260975135975
full_405,9,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9552290723981902
full_405,9,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9501875415583345
full_405,9,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.9338102297008544
full_405,9,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9692596153846154
full_405,9,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9631306676249165
full_405,9,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9468090381840379
full_405,10,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9679977375565609
full_405,10,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9645658638236763
full_405,10,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.951948469932845
full_405,10,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9773442307692307
full_405,10,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9728469151679421
full_405,10,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9603550130425129
full_405,10,P1_M3_MARGIN_MONO,q20,accuracy,0.9378619909502264
full_405,10,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9211789535251076
full_405,10,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.8610441468253965
full_405,10,P1_M3_MARGIN_MONO,q30,accuracy,0.9568442307692305
full_405,10,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9386504558954846
full_405,10,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.8894394546425797
full_405,10,P2_MONO_BISECTION_M3,q20,accuracy,0.933987556561086
full_405,10,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9120573436979688
full_405,10,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.8280487637362633
full_405,10,P2_MONO_BISECTION_M3,q30,accuracy,0.953532692307692
full_405,10,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9282570939444972
full_405,10,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.8589186802780553
full_405,10,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9370531674208146
full_405,10,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9241621975780632
full_405,10,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.8802229090354087
full_405,10,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9552673076923074
full_405,10,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9416181846724481
full_405,10,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9053869307775558
full_405,11,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9557494343891404
full_405,11,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9534529977901374
full_405,11,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.946943128052503
full_405,11,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9689769230769232
full_405,11,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.965372926727642
full_405,11,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9560152139527139
full_405,11,P1_M3_MARGIN_MONO,q20,accuracy,0.9501498868778282
full_405,11,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9448161129735646
full_405,11,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9272256181318677
full_405,11,P1_M3_MARGIN_MONO,q30,accuracy,0.9651692307692307
full_405,11,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9585641457522102
full_405,11,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9409134840853587
full_405,11,P2_MONO_BISECTION_M3,q20,accuracy,0.939493778280543
full_405,11,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.934732565644825
full_405,11,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.9198503891941388
full_405,11,P2_MONO_BISECTION_M3,q30,accuracy,0.954930769230769
full_405,11,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9494652146247176
full_405,11,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.9352629783411032
full_405,11,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9479835972850679
full_405,11,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9474680683899431
full_405,11,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.9516474358974355
full_405,11,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9607730769230769
full_405,11,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9607138029354041
full_405,11,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9620030126123873
full_405,12,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9567335972850679
full_405,12,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9548221987681124
full_405,12,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9497933646214896
full_405,12,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9695134615384617
full_405,12,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9662981695100464
full_405,12,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9580513531607282
full_405,12,P1_M3_MARGIN_MONO,q20,accuracy,0.9511340497737557
full_405,12,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9462572871172628
full_405,12,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9304080051892549
full_405,12,P1_M3_MARGIN_MONO,q30,accuracy,0.9657057692307691
full_405,12,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9595582286185722
full_405,12,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.943201354201354
full_405,12,P2_MONO_BISECTION_M3,q20,accuracy,0.9484643665158372
full_405,12,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9424281065488996
full_405,12,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.921863095238095
full_405,12,P2_MONO_BISECTION_M3,q30,accuracy,0.9618942307692306
full_405,12,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9546061179902214
full_405,12,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.9352681797369294
full_405,12,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9539790723981901
full_405,12,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9495714188989427
full_405,12,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.9357638888888885
full_405,12,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9673673076923077
full_405,12,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9621634543456925
full_405,12,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9485347360972358
full_405,13,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9542618778280544
full_405,13,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9513208255419795
full_405,13,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9421884348290598
full_405,13,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9679807692307694
full_405,13,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.963571324137187
full_405,13,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9519613372738372
full_405,13,P1_M3_MARGIN_MONO,q20,accuracy,0.9490016968325791
full_405,13,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9431567543700955
full_405,13,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9234165521978018
full_405,13,P1_M3_MARGIN_MONO,q30,accuracy,0.9644038461538462
full_405,13,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9571247382583254
full_405,13,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.9375839975996223
full_405,13,P2_MONO_BISECTION_M3,q20,accuracy,0.9331306561085972
full_405,13,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.939113156007988
full_405,13,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.9693067574786325
full_405,13,P2_MONO_BISECTION_M3,q30,accuracy,0.9468307692307694
full_405,13,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9536097833462802
full_405,13,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.974101474913975
full_405,13,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9520390271493214
full_405,13,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9467041121938955
full_405,13,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.9291828449328446
full_405,13,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9666192307692308
full_405,13,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9600955995565527
full_405,13,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.9427307119963366
full_405,14,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9447030542986425
full_405,14,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9511349007562951
full_405,14,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.983710718101343
full_405,14,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9566653846153848
full_405,14,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9644220286570426
full_405,14,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9874377497502498
full_405,14,P1_M3_MARGIN_MONO,q20,accuracy,0.9421351809954752
full_405,14,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9453677340954982
full_405,14,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.9658722145909642
full_405,14,P1_M3_MARGIN_MONO,q30,accuracy,0.9552423076923078
full_405,14,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.959775879722285
