population,repeat,arm,true_query_count_B120,queried_KH_fraction,queried_log_h_mean,queried_log_h_median,selected_margin_uncertainty_mean,selected_G_KH_mean,selected_G_C_mean,selected_expected_gain_mean,newly_inferred_targets_per_true_query,targets_later_conflicted_N,retrospectively_wrong_inferred_targets_N,wrong_targets_known_violation_points_N
full_405,6,P3_MONO_EXPECTED_GAIN_M3,87,0.39080459770114945,20.554178599039858,20.57645210322566,0.5926487060982497,0.9154929577464789,7.676056338028169,3.9893311409741967,3.67816091954023,0,3,3
full_405,7,P0_M3_MARGIN_STANDARD,120,0.36666666666666664,20.515128984977416,20.510982545482406,0.2897971816417521,0.0,0.0,0.0,0.0,0,0,0
full_405,7,P1_M3_MARGIN_MONO,88,0.38636363636363635,20.52725519445896,20.570030037438144,0.34224645747849103,2.1527777777777777,5.375,3.3120815327000965,3.6363636363636362,0,2,2
full_405,7,P2_MONO_BISECTION_M3,95,0.3157894736842105,20.4821570325613,20.480156626358145,0.3334007394247196,2.2531645569620253,3.4177215189873418,2.7103274984354537,3.294736842105263,0,2,2
full_405,7,P3_MONO_EXPECTED_GAIN_M3,90,0.3333333333333333,20.498752218884118,20.510982545482406,0.49707916280151154,2.4054054054054053,4.878378378378378,3.5839137505141907,3.533333333333333,0,2,2
full_405,8,P0_M3_MARGIN_STANDARD,120,0.35833333333333334,20.508060014417463,20.50574754710889,0.3196736585397271,0.0,0.0,0.0,0.0,0,0,0
full_405,8,P1_M3_MARGIN_MONO,87,0.39080459770114945,20.532912824143825,20.576388636556285,0.38820378259208227,2.2816901408450705,5.098591549295775,3.0745654479552713,3.6666666666666665,0,2,2
full_405,8,P2_MONO_BISECTION_M3,96,0.3125,20.471057887750348,20.471160004678044,0.3455374533566984,2.6125,3.8,3.1742409057198846,3.2291666666666665,0,2,2
full_405,8,P3_MONO_EXPECTED_GAIN_M3,88,0.38636363636363635,20.53217522716783,20.570030037438144,0.40076623488026447,2.0833333333333335,4.986111111111111,3.058694592528765,3.6136363636363638,0,2,2
full_405,9,P0_M3_MARGIN_STANDARD,120,0.35833333333333334,20.52900178701566,20.50574754710889,0.28613601797233107,0.0,0.0,0.0,0.0,0,0,0
full_405,9,P1_M3_MARGIN_MONO,87,0.39080459770114945,20.5607906437042,20.576388636556285,0.3399577524146506,2.112676056338028,5.267605633802817,3.65514637041795,3.7011494252873565,0,2,2
full_405,9,P2_MONO_BISECTION_M3,88,0.3522727272727273,20.53644434186148,20.530905293817057,0.34555104906913753,2.486111111111111,3.4027777777777777,2.6914980560852855,3.647727272727273,0,2,2
full_405,9,P3_MONO_EXPECTED_GAIN_M3,86,0.38372093023255816,20.55846399849152,20.570030037438144,0.39347859955740316,1.9714285714285715,4.7,3.782124004385804,3.755813953488372,0,2,2
full_405,10,P0_M3_MARGIN_STANDARD,120,0.39166666666666666,20.561949046553785,20.5360222727717,0.4986465317165581,0.0,0.0,0.0,0.0,0,0,0
full_405,10,P1_M3_MARGIN_MONO,86,0.38372093023255816,20.543144180739482,20.576420369890972,0.6010676400055954,0.8714285714285714,5.642857142857143,2.938677925078603,3.7325581395348837,0,3,3
full_405,10,P2_MONO_BISECTION_M3,88,0.3181818181818182,20.505474080614544,20.51243289128118,0.44488339628179663,1.625,2.6805555555555554,2.0266952645454905,3.625,0,3,3
full_405,10,P3_MONO_EXPECTED_GAIN_M3,84,0.36904761904761907,20.542358723755854,20.570030037438144,0.588017755941405,0.7352941176470589,6.147058823529412,3.192459833961821,3.8452380952380953,0,3,3
full_405,11,P0_M3_MARGIN_STANDARD,120,0.35833333333333334,20.504312168088973,20.50574754710889,0.2859211288215732,0.0,0.0,0.0,0.0,0,0,0
full_405,11,P1_M3_MARGIN_MONO,86,0.38372093023255816,20.519944833942276,20.570030037438144,0.34664539373015224,2.0,5.5,3.6252128964312718,3.7209302325581395,0,2,2
full_405,11,P2_MONO_BISECTION_M3,96,0.3125,20.47003492438228,20.478751267518597,0.3232959343495,2.6,3.6875,2.924465273012261,3.2291666666666665,0,2,2
full_405,11,P3_MONO_EXPECTED_GAIN_M3,84,0.35714285714285715,20.5129465120943,20.54954976826737,0.447654640273923,1.7352941176470589,6.279411764705882,4.29456727012317,3.8333333333333335,0,2,2
