budget,subset,boundary_definition,quantile,calibration_type,bin_index,bin_left,bin_right,row_count,mean_prediction_or_confidence,observed_positive_rate_or_accuracy,absolute_calibration_gap
20,B3_q20,B3,20,keyhole_probability_reliability,3,0.2,0.3,63,0.254048298224,0.15873015873,0.0953181394934
20,B3_q20,B3,20,keyhole_probability_reliability,4,0.3,0.4,48,0.354374871711,0.25,0.104374871711
20,B3_q20,B3,20,keyhole_probability_reliability,5,0.4,0.5,61,0.449439280806,0.360655737705,0.0887835431012
20,B3_q20,B3,20,keyhole_probability_reliability,6,0.5,0.6,28,0.551719206199,0.535714285714,0.0160049204846
20,B3_q20,B3,20,keyhole_probability_reliability,7,0.6,0.7,39,0.649320642985,0.820512820513,0.171192177528
20,B3_q20,B3,20,keyhole_probability_reliability,8,0.7,0.8,28,0.742746965368,0.821428571429,0.0786816060609
20,B3_q20,B3,20,keyhole_probability_reliability,9,0.8,0.9,13,0.853031848743,0.923076923077,0.0700450743344
20,B3_q20,B3,20,keyhole_probability_reliability,10,0.9,1,3,0.913393691741,1,0.0866063082595
20,B3_q30,B3,30,confidence_accuracy_reliability,1,0.5,0.55,50,0.526341082396,0.56,0.0336589176044
20,B3_q30,B3,30,confidence_accuracy_reliability,2,0.55,0.6,59,0.574309308199,0.661016949153,0.0867076409536
20,B3_q30,B3,30,confidence_accuracy_reliability,3,0.6,0.65,56,0.624204511858,0.75,0.125795488142
20,B3_q30,B3,30,confidence_accuracy_reliability,4,0.65,0.7,51,0.675068478673,0.843137254902,0.168068776229
20,B3_q30,B3,30,confidence_accuracy_reliability,5,0.7,0.75,73,0.725839430471,0.849315068493,0.123475638022
20,B3_q30,B3,30,confidence_accuracy_reliability,6,0.75,0.8,66,0.776449584603,0.939393939394,0.162944354791
20,B3_q30,B3,30,confidence_accuracy_reliability,7,0.8,0.85,58,0.82306865184,0.948275862069,0.125207210229
20,B3_q30,B3,30,confidence_accuracy_reliability,8,0.85,0.9,60,0.872452325775,0.95,0.0775476742252
20,B3_q30,B3,30,confidence_accuracy_reliability,9,0.9,0.95,27,0.922566301779,1,0.0774336982213
20,B3_q30,B3,30,confidence_accuracy_reliability,10,0.95,1,0,,,
20,B3_q30,B3,30,keyhole_probability_reliability,1,0,0.1,24,0.0762871219665,0,0.0762871219665
20,B3_q30,B3,30,keyhole_probability_reliability,2,0.1,0.2,99,0.151384640073,0.0505050505051,0.100879589568
20,B3_q30,B3,30,keyhole_probability_reliability,3,0.2,0.3,108,0.248015387057,0.0925925925926,0.155422794464
20,B3_q30,B3,30,keyhole_probability_reliability,4,0.3,0.4,63,0.352629749146,0.222222222222,0.130407526923
20,B3_q30,B3,30,keyhole_probability_reliability,5,0.4,0.5,69,0.447842005731,0.36231884058,0.0855231651514
20,B3_q30,B3,30,keyhole_probability_reliability,6,0.5,0.6,40,0.552560042474,0.575,0.0224399575259
20,B3_q30,B3,30,keyhole_probability_reliability,7,0.6,0.7,44,0.649991347103,0.818181818182,0.168190471079
20,B3_q30,B3,30,keyhole_probability_reliability,8,0.7,0.8,31,0.742503639042,0.838709677419,0.0962060383775
20,B3_q30,B3,30,keyhole_probability_reliability,9,0.8,0.9,19,0.845905301072,0.947368421053,0.10146311998
20,B3_q30,B3,30,keyhole_probability_reliability,10,0.9,1,3,0.913393691741,1,0.0866063082595
20,all_test,all,all,confidence_accuracy_reliability,1,0.5,0.55,57,0.526061049942,0.59649122807,0.070430178128
20,all_test,all,all,confidence_accuracy_reliability,2,0.55,0.6,71,0.574312390945,0.704225352113,0.129912961168
20,all_test,all,all,confidence_accuracy_reliability,3,0.6,0.65,82,0.625026417295,0.829268292683,0.204241875388
20,all_test,all,all,confidence_accuracy_reliability,4,0.65,0.7,88,0.675751685469,0.897727272727,0.221975587258
20,all_test,all,all,confidence_accuracy_reliability,5,0.7,0.75,155,0.726372507473,0.929032258065,0.202659750591
20,all_test,all,all,confidence_accuracy_reliability,6,0.75,0.8,195,0.778451682268,0.979487179487,0.20103549722
20,all_test,all,all,confidence_accuracy_reliability,7,0.8,0.85,286,0.826661571865,0.98951048951,0.162848917645
20,all_test,all,all,confidence_accuracy_reliability,8,0.85,0.9,403,0.876016486262,0.992555831266,0.116539345004
20,all_test,all,all,confidence_accuracy_reliability,9,0.9,0.95,279,0.919454446022,1,0.0805455539778
20,all_test,all,all,confidence_accuracy_reliability,10,0.95,1,4,0.954080109107,1,0.0459198908927
20,all_test,all,all,keyhole_probability_reliability,1,0,0.1,251,0.0797990196409,0,0.0797990196409
20,all_test,all,all,keyhole_probability_reliability,2,0.1,0.2,606,0.143885784617,0.00825082508251,0.135634959534
20,all_test,all,all,keyhole_probability_reliability,3,0.2,0.3,297,0.24439007873,0.03367003367,0.21072004506
20,all_test,all,all,keyhole_probability_reliability,4,0.3,0.4,113,0.347960944988,0.132743362832,0.215217582156
20,all_test,all,all,keyhole_probability_reliability,5,0.4,0.5,85,0.446762537096,0.305882352941,0.140880184155
20,all_test,all,all,keyhole_probability_reliability,6,0.5,0.6,43,0.552011052487,0.581395348837,0.0293842963507
20,all_test,all,all,keyhole_probability_reliability,7,0.6,0.7,57,0.64978774251,0.859649122807,0.209861380297
20,all_test,all,all,keyhole_probability_reliability,8,0.7,0.8,53,0.754144718555,0.905660377358,0.151515658804
20,all_test,all,all,keyhole_probability_reliability,9,0.8,0.9,83,0.851260710779,0.987951807229,0.13669109645
20,all_test,all,all,keyhole_probability_reliability,10,0.9,1,32,0.917927025203,1,0.0820729747972
30,B1_q20,B1,20,confidence_accuracy_reliability,1,0.5,0.55,32,0.526538071979,0.4375,0.0890380719792
30,B1_q20,B1,20,confidence_accuracy_reliability,2,0.55,0.6,21,0.570665338737,0.47619047619,0.0944748625463
30,B1_q20,B1,20,confidence_accuracy_reliability,3,0.6,0.65,26,0.623098933992,0.730769230769,0.107670296778
30,B1_q20,B1,20,confidence_accuracy_reliability,4,0.65,0.7,37,0.678874486801,0.756756756757,0.0778822699556
30,B1_q20,B1,20,confidence_accuracy_reliability,5,0.7,0.75,50,0.722344523036,0.86,0.137655476964
30,B1_q20,B1,20,confidence_accuracy_reliability,6,0.75,0.8,39,0.776464676608,0.769230769231,0.00723390737767
30,B1_q20,B1,20,confidence_accuracy_reliability,7,0.8,0.85,45,0.826556850676,0.866666666667,0.0401098159904
30,B1_q20,B1,20,confidence_accuracy_reliability,8,0.85,0.9,42,0.873950421612,0.97619047619,0.102240054579
30,B1_q20,B1,20,confidence_accuracy_reliability,9,0.9,0.95,35,0.924765563261,0.971428571429,0.0466630081678
30,B1_q20,B1,20,confidence_accuracy_reliability,10,0.95,1,13,0.963226602182,1,0.036773397818
30,B1_q20,B1,20,keyhole_probability_reliability,1,0,0.1,43,0.0634861633457,0.0232558139535,0.0402303493923
30,B1_q20,B1,20,keyhole_probability_reliability,2,0.1,0.2,67,0.147727448247,0.0746268656716,0.0731005825754
30,B1_q20,B1,20,keyhole_probability_reliability,3,0.2,0.3,51,0.256134332227,0.235294117647,0.0208402145803
30,B1_q20,B1,20,keyhole_probability_reliability,4,0.3,0.4,31,0.33870523136,0.290322580645,0.048382650715
30,B1_q20,B1,20,keyhole_probability_reliability,5,0.4,0.5,30,0.451666458352,0.5,0.0483335416478
30,B1_q20,B1,20,keyhole_probability_reliability,6,0.5,0.6,23,0.538399311625,0.391304347826,0.147094963799
30,B1_q20,B1,20,keyhole_probability_reliability,7,0.6,0.7,32,0.650587202112,0.78125,0.130662797888
30,B1_q20,B1,20,keyhole_probability_reliability,8,0.7,0.8,38,0.749005249556,0.894736842105,0.14573159255
30,B1_q20,B1,20,keyhole_probability_reliability,9,0.8,0.9,20,0.839935751033,0.9,0.0600642489667
30,B1_q20,B1,20,keyhole_probability_reliability,10,0.9,1,5,0.923729113272,1,0.0762708867283
30,B1_q30,B1,30,confidence_accuracy_reliability,1,0.5,0.55,34,0.526423515975,0.470588235294,0.0558352806814
30,B1_q30,B1,30,confidence_accuracy_reliability,2,0.55,0.6,26,0.571714821482,0.576923076923,0.00520825544152
30,B1_q30,B1,30,confidence_accuracy_reliability,3,0.6,0.65,37,0.624774020131,0.702702702703,0.0779286825722
30,B1_q30,B1,30,confidence_accuracy_reliability,4,0.65,0.7,44,0.678212739109,0.795454545455,0.117241806345
30,B1_q30,B1,30,confidence_accuracy_reliability,5,0.7,0.75,65,0.722633294658,0.892307692308,0.169674397649
30,B1_q30,B1,30,confidence_accuracy_reliability,6,0.75,0.8,55,0.774473907953,0.836363636364,0.0618897284105
30,B1_q30,B1,30,confidence_accuracy_reliability,7,0.8,0.85,78,0.823921371043,0.923076923077,0.0991555520342
30,B1_q30,B1,30,confidence_accuracy_reliability,8,0.85,0.9,73,0.873243081472,0.986301369863,0.113058288391
30,B1_q30,B1,30,confidence_accuracy_reliability,9,0.9,0.95,63,0.924373395836,0.984126984127,0.0597535882906
30,B1_q30,B1,30,confidence_accuracy_reliability,10,0.95,1,25,0.962006427258,1,0.0379935727421
30,B1_q30,B1,30,keyhole_probability_reliability,1,0,0.1,81,0.0639821128204,0.0123456790123,0.051636433808
30,B1_q30,B1,30,keyhole_probability_reliability,2,0.1,0.2,118,0.150909070039,0.0423728813559,0.108536188683
30,B1_q30,B1,30,keyhole_probability_reliability,3,0.2,0.3,74,0.255370190254,0.162162162162,0.0932080280916
30,B1_q30,B1,30,keyhole_probability_reliability,4,0.3,0.4,42,0.343272931321,0.238095238095,0.105177693225
30,B1_q30,B1,30,keyhole_probability_reliability,5,0.4,0.5,34,0.44817077966,0.441176470588,0.00699430907163
30,B1_q30,B1,30,keyhole_probability_reliability,6,0.5,0.6,26,0.538491977312,0.461538461538,0.076953515774
30,B1_q30,B1,30,keyhole_probability_reliability,7,0.6,0.7,39,0.650652881567,0.74358974359,0.0929368620229
30,B1_q30,B1,30,keyhole_probability_reliability,8,0.7,0.8,46,0.749230938456,0.913043478261,0.163812539805
30,B1_q30,B1,30,keyhole_probability_reliability,9,0.8,0.9,33,0.84302673192,0.939393939394,0.0963672074743
30,B1_q30,B1,30,keyhole_probability_reliability,10,0.9,1,7,0.924033679656,1,0.075966320344
30,B2_q20,B2,20,confidence_accuracy_reliability,1,0.5,0.55,33,0.525893051373,0.454545454545,0.071347596828
30,B2_q20,B2,20,confidence_accuracy_reliability,2,0.55,0.6,21,0.573084780801,0.571428571429,0.00165620937264
30,B2_q20,B2,20,confidence_accuracy_reliability,3,0.6,0.65,32,0.624017896204,0.625,0.000982103795757
30,B2_q20,B2,20,confidence_accuracy_reliability,4,0.65,0.7,39,0.675899843372,0.769230769231,0.0933309258587
30,B2_q20,B2,20,confidence_accuracy_reliability,5,0.7,0.75,47,0.721912156003,0.851063829787,0.129151673785
30,B2_q20,B2,20,confidence_accuracy_reliability,6,0.75,0.8,37,0.774701567433,0.756756756757,0.0179448106765
30,B2_q20,B2,20,confidence_accuracy_reliability,7,0.8,0.85,34,0.825979295638,0.823529411765,0.00244988387321
30,B2_q20,B2,20,confidence_accuracy_reliability,8,0.85,0.9,39,0.873544867595,0.974358974359,0.100814106764
30,B2_q20,B2,20,confidence_accuracy_reliability,9,0.9,0.95,37,0.926554619986,0.972972972973,0.0464183529869
30,B2_q20,B2,20,confidence_accuracy_reliability,10,0.95,1,21,0.965248442586,1,0.034751557414
30,B2_q20,B2,20,keyhole_probability_reliability,1,0,0.1,53,0.0578473081617,0.0188679245283,0.0389793836334
30,B2_q20,B2,20,keyhole_probability_reliability,2,0.1,0.2,48,0.145614137348,0.104166666667,0.0414474706817
30,B2_q20,B2,20,keyhole_probability_reliability,3,0.2,0.3,45,0.256781010856,0.266666666667,0.0098856558102
30,B2_q20,B2,20,keyhole_probability_reliability,4,0.3,0.4,32,0.342674564849,0.34375,0.00107543515119
30,B2_q20,B2,20,keyhole_probability_reliability,5,0.4,0.5,31,0.451368576179,0.548387096774,0.0970185205956
30,B2_q20,B2,20,keyhole_probability_reliability,6,0.5,0.6,23,0.538333780595,0.565217391304,0.0268836107093
30,B2_q20,B2,20,keyhole_probability_reliability,7,0.6,0.7,39,0.648570580646,0.74358974359,0.0950191629433
30,B2_q20,B2,20,keyhole_probability_reliability,8,0.7,0.8,39,0.747409610659,0.897435897436,0.150026286777
30,B2_q20,B2,20,keyhole_probability_reliability,9,0.8,0.9,25,0.845640979224,0.92,0.0743590207758
30,B2_q20,B2,20,keyhole_probability_reliability,10,0.9,1,5,0.923729113272,1,0.0762708867283
30,B2_q30,B2,30,confidence_accuracy_reliability,1,0.5,0.55,33,0.525893051373,0.454545454545,0.071347596828
30,B2_q30,B2,30,confidence_accuracy_reliability,2,0.55,0.6,21,0.573084780801,0.571428571429,0.00165620937264
30,B2_q30,B2,30,confidence_accuracy_reliability,3,0.6,0.65,37,0.625463846265,0.675675675676,0.050211829411
30,B2_q30,B2,30,confidence_accuracy_reliability,4,0.65,0.7,41,0.67538112668,0.780487804878,0.105106678198
30,B2_q30,B2,30,confidence_accuracy_reliability,5,0.7,0.75,53,0.721483976427,0.867924528302,0.146440551875
30,B2_q30,B2,30,confidence_accuracy_reliability,6,0.75,0.8,43,0.775309927085,0.790697674419,0.0153877473335
30,B2_q30,B2,30,confidence_accuracy_reliability,7,0.8,0.85,54,0.826741870119,0.888888888889,0.0621470187696
30,B2_q30,B2,30,confidence_accuracy_reliability,8,0.85,0.9,75,0.8761178422,0.986666666667,0.110548824467
30,B2_q30,B2,30,confidence_accuracy_reliability,9,0.9,0.95,88,0.928342446545,0.988636363636,0.0602939170915
30,B2_q30,B2,30,confidence_accuracy_reliability,10,0.95,1,55,0.963525534302,1,0.0364744656984
30,B2_q30,B2,30,keyhole_probability_reliability,1,0,0.1,138,0.0574681585784,0.00724637681159,0.0502217817668
30,B2_q30,B2,30,keyhole_probability_reliability,2,0.1,0.2,102,0.141703312172,0.0490196078431,0.0926837043292
30,B2_q30,B2,30,keyhole_probability_reliability,3,0.2,0.3,54,0.255288357349,0.222222222222,0.0330661351264
30,B2_q30,B2,30,keyhole_probability_reliability,4,0.3,0.4,39,0.345165747167,0.282051282051,0.063114465116
