repeat,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,log_loss,false_negative,false_positive,true_negative,true_positive,row_count,source
3,gpc_4d,B1_q30,0.9599303135888502,0.9051620473551028,0.896,0.860191637630662,0.7560975609756098,0.9642857142857144,0.0777217519475605,0.260245773185104,10,3,81,31,125,reused_phase1_5
3,gpc_4d,B1_q20,0.9372759856630823,0.8732290905178073,0.8588235294117647,0.8270609318996416,0.7096774193548387,0.9444444444444444,0.1008194405590123,0.3259926344298793,9,3,51,22,85,reused_phase1_5
3,log_h_logistic,full81,0.9887357649777192,0.9393594347948232,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0299019173071551,0.1088925570588062,10,6,326,63,405,reused_phase1_5
3,log_h_logistic,B1_q30,0.932636469221835,0.8124129225385439,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.0942472888592926,0.3335311649970586,10,6,78,31,125,reused_phase1_5
3,log_h_logistic,B1_q20,0.9074074074074074,0.7817820339656224,0.8470588235294118,0.8178016726403823,0.7096774193548387,0.925925925925926,0.1159755988336275,0.4207262381990324,9,4,50,22,85,reused_phase1_5
4,gpc_4d,full81,0.9923254662485558,0.9666645916266876,0.9530864197530864,0.9019227595312758,0.821917808219178,0.9819277108433736,0.0270130957197642,0.0962115074031927,13,6,326,60,405,reused_phase1_5
4,gpc_4d,B1_q30,0.9500860585197934,0.8946911488904742,0.848,0.8090935169248422,0.6904761904761905,0.927710843373494,0.085494690430992,0.281524786939213,13,6,77,29,125,reused_phase1_5
4,gpc_4d,B1_q20,0.9094579008073818,0.8366901915181234,0.7764705882352941,0.75,0.6176470588235294,0.8823529411764706,0.1211553365555623,0.3818419047628007,13,6,45,21,85,reused_phase1_5
4,log_h_logistic,full81,0.98956098366067,0.9475621358664732,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0295461974103928,0.1044541613466232,10,6,326,63,405,reused_phase1_5
4,log_h_logistic,B1_q30,0.9380378657487092,0.8411125309818419,0.872,0.8448078026391279,0.7619047619047619,0.927710843373494,0.0929874488362041,0.3184288954956814,10,6,77,32,125,reused_phase1_5
4,log_h_logistic,B1_q20,0.9013840830449826,0.808909743154662,0.8235294117647058,0.803921568627451,0.7058823529411765,0.9019607843137256,0.1286406869297751,0.4353048835883075,10,5,46,24,85,reused_phase1_5
5,gpc_4d,full81,0.9929443802607693,0.9693013911043422,0.965432098765432,0.930826043901634,0.8767123287671232,0.9849397590361446,0.0254875353797704,0.0910957383409009,9,5,327,64,405,reused_phase1_5
5,gpc_4d,B1_q30,0.9529411764705882,0.8971617638956537,0.888,0.8580882352941177,0.775,0.9411764705882352,0.0804102170626684,0.2663890824817625,9,5,80,31,125,reused_phase1_5
5,gpc_4d,B1_q20,0.9175317185697808,0.8737705675759473,0.8470588235294118,0.8333333333333333,0.7647058823529411,0.9019607843137256,0.1125714279084422,0.360310069141167,8,5,46,26,85,reused_phase1_5
5,log_h_logistic,full81,0.9902624195411784,0.9561983049865166,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0290649276366095,0.1000864747257816,10,6,326,63,405,reused_phase1_5
5,log_h_logistic,B1_q30,0.9379411764705882,0.8326679788826535,0.872,0.8397058823529412,0.75,0.9294117647058824,0.0920655576889427,0.3060902376052906,10,6,79,30,125,reused_phase1_5
5,log_h_logistic,B1_q20,0.895040369088812,0.8029922827002814,0.8117647058823529,0.7941176470588236,0.7058823529411765,0.8823529411764706,0.1312033150323797,0.4285009084144565,10,6,45,24,85,reused_phase1_5
