population_row_index,experiment_name,truth,P,VX,LS,LS_um,ST,log_h,heldout_q20_occurrences,corrected_occurrences,worsened_occurrences,mean_physics_probability,mean_residual_correction,mean_abs_residual_correction,mean_combined_probability
394,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,0,246.298220115,0.718479932945,4.8795144948e-05,48.795144948,311.768373355,20.563671438320007,20,0,3,0.36049816738669255,0.32225263944708094,0.32225263944708094,0.4460700827304967
285,P-227p786589532_VX-0p30483440954_LS-7p3391662288e-05_ST-359p259536614_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p58253807708e-05_H-180177fd7b,0,227.786589532,0.30483440954,7.3391662288e-05,73.39166228799999,359.259536614,20.30195279687689,1,0,0,0.05621315545112582,-0.31782639411054725,0.31782639411054725,0.08425579988784193
179,P-119p65849417_VX-0p305673131798_LS-5p10692886867e-05_ST-393p327897391_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p57819582462e-05_H-cb2618ba4f,0,119.65849417,0.305673131798,5.10692886867e-05,51.0692886867,393.327897391,20.20075214439884,2,0,0,0.04166932635544432,-0.2854462999205427,0.2854462999205427,0.06858606781798926
168,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,0,109.759946449,0.241926176876,4.5e-05,45.0,300.0,20.421129105174305,20,0,0,0.19702439527766885,0.27375489834713423,0.2794807702191215,0.27430933941464913
52,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,1,212.944274192,0.351323873231,4.80439392259e-05,48.043939225900004,351.894554175,20.799145738428294,20,0,2,0.6787670622970401,-0.27445700881624957,0.2744618293855105,0.5997455586791711
240,P-181p197687991_VX-0p643443519749_LS-5p49477846524e-05_ST-320p630170488_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p49734895908e-06_H-6014a1f9c3,0,181.197687991,0.643443519749,5.49477846524e-05,54.9477846524,320.630170488,20.1337399376317,20,0,0,0.04396945694340113,0.27118942802511237,0.2711894280251124,0.10302780917588734
25,P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,0,160.605564338,0.585171267024,4.89218084001e-05,48.921808400100005,323.833105745,20.234807725350827,20,0,0,0.06905216022761367,0.25510300329011193,0.25510300329011193,0.13698894628857944
296,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,1,238.319282705,0.253960262605,5.92121677448e-05,59.2121677448,384.128817665,20.760475285368955,20,0,0,0.6459797710464125,-0.24564797049248197,0.24564797049248197,0.5763018083305242
84,P-270p660461155_VX-0p506275452772_LS-4p55363433165e-05_ST-392p157982605_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p52864804446e-06_H-b5aba20bdc,1,270.660461155,0.506275452772,4.55363433165e-05,45.536343316499995,392.157982605,20.936702011785304,1,0,0,0.809901224275155,0.244481235747661,0.244481235747661,0.7928100328891787
148,P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155,1,420.548248194,0.890019823061,4.2728397196e-05,42.728397196,342.58191385,21.19078521316628,20,0,0,0.9574160599416954,-0.2413679919635629,0.2413679919635629,0.8850202077749799
374,P-196p499083559_VX-0p373706074139_LS-6p49065899682e-05_ST-353p001345311_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p290886324e-05_H-b789300819,0,196.499083559,0.373706074139,6.49065899682e-05,64.90658996820001,353.001345311,20.23664271036282,19,0,0,0.06688761296679994,-0.2378625746934457,0.2378625746934457,0.08771574688648798
370,P-188p623199531_VX-0p253450423389_LS-5p98563054886e-05_ST-373p9812389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90337839587e-05_H-b41981edcb,0,188.623199531,0.253450423389,5.98563054886e-05,59.8563054886,373.9812389,20.51139055856241,20,0,0,0.2759194220339346,-0.23467695468176034,0.23467695468176028,0.2578641469524996
375,P-199p092557979_VX-0p316505824784_LS-5p93128195415e-05_ST-330p512210532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p52418067071e-05_H-8bf1b39107,0,199.092557979,0.316505824784,5.93128195415e-05,59.312819541500005,330.512210532,20.468004290256484,20,0,0,0.21939519367744129,-0.23424594976635885,0.2342459497663588,0.21008853302140268
152,P-429p223744451_VX-0p993777087019_LS-4p49939505126e-05_ST-337p477091824_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p8543286679e-06_H-c87ffcf9e3,1,429.223744451,0.993777087019,4.49939505126e-05,44.9939505126,337.477091824,21.078573275235584,20,0,0,0.9088403174667269,-0.23196640910899644,0.2319666949708362,0.8226579001362182
234,P-173p720948038_VX-0p230617607979_LS-6p23730108092e-05_ST-383p499521736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p09182665855e-05_H-eb41f0639c,0,173.720948038,0.230617607979,6.23730108092e-05,62.373010809200004,383.499521736,20.414514266193482,20,0,0,0.1899243964676914,-0.23058132453119243,0.23180194726209963,0.1956863285890904
127,P-377p008330657_VX-0p791215989527_LS-4p31405408456e-05_ST-371p11107289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p09709695819e-06_H-3d091b92d3,1,377.008330657,0.791215989527,4.31405408456e-05,43.1405408456,371.11107289,21.125930499414125,20,0,0,0.9374937502937479,-0.22674214499423853,0.22736966313807122,0.8644811125441066
192,P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,1,135.208661893,0.295797438033,4.5e-05,45.0,300.0,20.529131526047987,20,0,0,0.29121890150619,0.22025016106536244,0.22025016106536244,0.3557581413054486
139,P-394p301389958_VX-0p965504599187_LS-4p1845661123e-05_ST-386p588977515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p99647604691e-06_H-aae9cbe76f,1,394.301389958,0.965504599187,4.1845661123e-05,41.845661123,386.588977515,21.1169514377136,20,0,0,0.9244730434983829,-0.21526739781887144,0.2152676557666219,0.8457027223555968
189,P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,0,133.757797566,0.645163458122,4.5e-05,45.0,300.0,20.128428571350423,1,0,0,0.05887477877478309,0.21270407927780172,0.21270407927780172,0.1289480264199483
150,P-423p354289604_VX-0p98992750487_LS-4p35270321082e-05_ST-379p923005206_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p87320594618e-06_H-4d45e0bf17,1,423.354289604,0.98992750487,4.35270321082e-05,43.527032108200004,379.923005206,21.116463753182078,20,0,0,0.9213052958071742,-0.21066052660439843,0.21066052660439846,0.8432461587549227
172,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,0,112.904894498,0.537693260466,4.63068354409e-05,46.3068354409,322.169166627,20.00711079843133,2,0,0,0.014547778971193278,0.2091565536080252,0.2091565536080252,0.06162014661225612
214,P-149p779509657_VX-0p251536582152_LS-4p84927831067e-05_ST-381p35096431_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p91786044071e-05_H-6af407d4ba,0,149.779509657,0.251536582152,4.84927831067e-05,48.4927831067,381.35096431,20.600391058659632,20,0,0,0.41249741117536054,-0.19557657532716197,0.19702490122316768,0.3839122548829742
123,P-372p630059968_VX-0p727703112845_LS-4p39975555357e-05_ST-362p949632289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p62924277478e-06_H-54d2aec398,1,372.630059968,0.727703112845,4.39975555357e-05,43.9975555357,362.949632289,21.126581916544882,14,0,0,0.93289247654309,-0.19686905235008423,0.19686905235008423,0.8639191208876947
164,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,0,101.127472137,0.52394730996,4.5e-05,45.0,300.0,19.95283600033355,4,0,0,0.010695021577792948,0.14665703369882876,0.1947546183692097,0.05165284596446895
137,P-389p770210211_VX-0p908238681403_LS-4p3221586392e-05_ST-323p581279452_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31151194261e-06_H-8b3ff695c9,1,389.770210211,0.908238681403,4.3221586392e-05,43.221586392,323.581279452,21.087437149631313,20,0,0,0.9138526420964151,-0.18902441803937883,0.19257906962896248,0.8373720252125139
354,P-134p93654729_VX-0p343298656719_LS-5p9412954069e-05_ST-389p435734624_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p40522559835e-05_H-b41981edcb,0,134.93654729,0.343298656719,5.9412954069e-05,59.412954069,389.435734624,20.03587930366137,1,0,0,0.007451144839729133,-0.1908778244261608,0.1908778244261608,0.03804173661569621
134,P-385p522203_VX-0p931994182449_LS-4p05647861864e-05_ST-365p262393292_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17612737704e-06_H-3a5de7627d,1,385.522203,0.931994182449,4.05647861864e-05,40.5647861864,365.262393292,21.158728444367096,9,0,0,0.9359017443475621,-0.18710868717378698,0.18710868717378698,0.87054487509498
104,P-335p17845091_VX-0p53366627312_LS-7p35439468085e-05_ST-327p916348879_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p03958306155e-06_H-1d842653b1,0,335.17845091,0.53366627312,7.35439468085e-05,73.5439468085,327.916348879,20.40509649732251,20,0,0,0.17112082744864926,0.1715321994299047,0.1733184793766003,0.2328719529529451
307,P-55p2363598851_VX-0p252312006514_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p41059847866e-06_H-fb250c7cf9,0,55.2363598851,0.252312006514,4.5e-05,45.0,300.0,19.713437950412867,13,0,0,0.005431108176907311,0.15196839153067362,0.1727768307006826,0.03698008173771191
230,P-167p779770961_VX-0p390580196452_LS-6p45833025222e-05_ST-394p852870083_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p23511653864e-05_H-73ae961aa0,0,167.779770961,0.390580196452,6.45833025222e-05,64.5833025222,394.852870083,20.06404519659045,2,0,0,0.024321157424724862,-0.1724381536115164,0.1724381536115164,0.05432821293527468
241,P-181p214517461_VX-0p293157847988_LS-6p39704529171e-05_ST-391p855294349_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p64557102466e-05_H-e6df4d4a2d,0,181.214517461,0.293157847988,6.39704529171e-05,63.9704529171,391.855294349,20.29883743275278,20,0,0,0.1024786400332226,-0.15408439748201963,0.16519624794746904,0.1350771483946005
162,P-449p184068185_VX-0p980953819102_LS-4p30284180995e-05_ST-381p816740361_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p91778563789e-06_H-c87ffcf9e3,1,449.184068185,0.980953819102,4.30284180995e-05,43.028418099499994,381.816740361,21.19752236486369,7,0,0,0.9407452501459012,-0.16178304865349874,0.16178304865349877,0.8764861753328432
141,P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155,1,400.342090514,0.84724542505,4.08786684736e-05,40.8786684736,395.5494372,21.23255511830873,20,0,0,0.955026831220002,-0.1608571154726176,0.16124581627382284,0.8925710120090798
42,P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,0,203.317554156,0.724937635215,5.40301996917e-05,54.0301996917,325.306920736,20.214555008347787,20,0,0,0.060188484452178795,0.15860964224858146,0.1611871230588507,0.11677274815172041
372,P-191p425479448_VX-0p407642571095_LS-6p68635438353e-05_ST-376p486404344_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p18341923663e-05_H-9a0fcdd2aa,0,191.425479448,0.407642571095,6.68635438353e-05,66.86354383529999,376.486404344,20.122465873346137,6,0,0,0.0394977192029741,-0.11677941911189921,0.16053845958029608,0.07898843463631995
251,P-193p81397439_VX-0p717380412454_LS-5p49903358659e-05_ST-340p433066031_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p72463384735e-06_H-ff88caf608,0,193.81397439,0.717380412454,5.49903358659e-05,54.9903358659,340.433066031,20.145502962571438,7,0,0,0.0405158039542342,0.14268816806253679,0.16029676665460432,0.09245073689360847
120,P-367p938083726_VX-0p695829187084_LS-4p35800266683e-05_ST-364p389584597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p93290924348e-06_H-c87ffcf9e3,1,367.938083726,0.695829187084,4.35800266683e-05,43.5800266683,364.389584597,21.15060763284449,7,0,0,0.9486546237019408,-0.15971676141183969,0.15985114998644323,0.8857556494196908
68,P-243p042265843_VX-0p642372627708_LS-5p19118052277e-05_ST-314p809567363_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p50984770355e-06_H-ac0fcec187,1,243.042265843,0.642372627708,5.19118052277e-05,51.9118052277,314.809567363,20.513475223999947,20,0,0,0.272610566877804,0.15322302598291643,0.15393893590508462,0.32705959990650124
64,P-238p364831187_VX-0p683428278389_LS-5p30391716287e-05_ST-377p396343519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p05870792234e-06_H-1d842653b1,0,238.364831187,0.683428278389,5.30391716287e-05,53.0391716287,377.396343519,20.43083892981622,20,0,0,0.1806289177820563,0.1452438532630327,0.1500745188485716,0.23960514154045712
217,P-151p630328889_VX-0p596649793105_LS-5p54888002616e-05_ST-323p086654154_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p0798550665e-05_H-bf889bf790,0,151.630328889,0.596649793105,5.54888002616e-05,55.488800261600005,323.086654154,19.978652018293502,14,0,0,0.019904219080151202,0.14937530134229554,0.14937530134229554,0.06185455531187602
306,P-53p4525830151_VX-0p394191978834_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-4p7433308439e-06_H-306f9d252b,0,53.4525830151,0.394191978834,4.5e-05,45.0,300.0,19.457525680630205,9,0,0,0.0016404297791504324,0.1467170398537253,0.14684869960956026,0.02697358473063913
89,P-282p804328276_VX-0p543976889672_LS-5p22197252327e-05_ST-303p777238342_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p8682454983e-06_H-cfd320609e,1,282.804328276,0.543976889672,5.22197252327e-05,52.2197252327,303.777238342,20.739254881256468,12,0,0,0.5623530952133848,0.1437667631916126,0.1437667631916126,0.5837643493317761
113,P-353p971838789_VX-0p831374608218_LS-4p0859447809e-05_ST-397p346534493_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p80258352291e-06_H-eac21b41c2,1,353.971838789,0.831374608218,4.0859447809e-05,40.859447809,397.346534493,21.119613479665734,20,0,0,0.9249948052923355,-0.1421258625033552,0.14356807595054974,0.8592418799811128
103,P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,0,328.176471421,0.746856862244,5.78341655667e-05,57.8341655667,308.284457774,20.576388636556285,20,0,0,0.3867608396401233,0.13352105043014967,0.14089159680645905,0.4302044719105849
308,P-59p3859586774_VX-0p222677981218_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p39680224058e-06_H-306f9d252b,0,59.3859586774,0.222677981218,4.5e-05,45.0,300.0,19.848344205589267,20,0,0,0.012025071868089291,0.11817490740569676,0.1397764870369457,0.050640281265845036
27,P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,0,163.562272254,0.729793018519,5.10150522361e-05,51.0150522361,318.261957537,20.07977568889144,6,0,0,0.023961399711542375,0.1391676203387918,0.1391676203387918,0.07229085869708267
115,P-355p313197397_VX-0p977425276438_LS-4p00293473664e-05_ST-317p253821106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p9355390323e-06_H-4dbd940f3b,1,355.313197397,0.977425276438,4.00293473664e-05,40.0293473664,317.253821106,21.07326289656434,8,0,0,0.9252271957378354,-0.1384701057168939,0.1384701057168939,0.8546969909047846
194,P-136p984349172_VX-0p357723834949_LS-5p17808569448e-05_ST-373p061688931_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p34856001521e-05_H-270d04032e,0,136.984349172,0.357723834949,5.17808569448e-05,51.7808569448,373.061688931,20.23659873127434,2,0,0,0.1327198765611542,-0.13842527471972702,0.13842527471972702,0.15882952237325298
129,P-378p283018896_VX-0p735158781064_LS-4p42419225112e-05_ST-367p022862863_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p56201180925e-06_H-36d24309a8,1,378.283018896,0.735158781064,4.42419225112e-05,44.241922511199995,367.022862863,21.128233647861514,17,0,0,0.9217374255183204,-0.13732995813918406,0.13732995813918403,0.8614909302286364
161,P-447p413798058_VX-0p91078629156_LS-5p3177056457e-05_ST-328p907838563_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p29665482201e-06_H-1553ff852f,1,447.413798058,0.91078629156,5.3177056457e-05,53.177056457,328.907838563,20.913032673436486,14,0,0,0.8109616796880287,-0.1333470746338907,0.1369227883107743,0.7402550710726103
381,P-218p352277735_VX-0p662592791038_LS-5p96508880483e-05_ST-307p55260089_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p28067173121e-06_H-b41981edcb,0,218.352277735,0.662592791038,5.96508880483e-05,59.650888048300004,307.55260089,20.182409328769907,20,0,0,0.06139476790372798,0.11106722159792351,0.13461598991124996,0.11294294865858774
40,P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,0,199.601335125,0.449852506485,5.7030843283e-05,57.030843283,364.706449651,20.353617298886796,20,0,0,0.13452803786175685,0.0013401541769367698,0.13085993401006307,0.1733255053086566
264,P-208p39901443_VX-0p201684842681_LS-6p50424237325e-05_ST-372p154003234_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-3p19456481434e-05_H-bf889bf790,0,208.39901443,0.201684842681,6.50424237325e-05,65.0424237325,372.154003234,20.60068531522624,20,0,0,0.4075528596505446,-0.12821034659665267,0.12879111681930436,0.3919136280522665
271,P-218p135837307_VX-0p411781802704_LS-5p72773552436e-05_ST-307p427986374_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p17152350379e-05_H-b40dbd8ddd,0,218.135837307,0.411781802704,5.72773552436e-05,57.2773552436,307.427986374,20.480156626358145,16,0,0,0.23937841502496585,0.09537979772607127,0.12815809417140794,0.2843550773170538
59,P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,0,231.081894821,0.850370876493,5.5190986405e-05,55.190986405,302.777484886,20.230879882083443,3,0,0,0.10446297020931106,-0.02032513730516731,0.12400111120964367,0.1570246423342875
125,P-374p135097027_VX-0p852003077267_LS-4p24872306812e-05_ST-324p485874926_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p66209293338e-06_H-c87ffcf9e3,1,374.135097027,0.852003077267,4.24872306812e-05,42.4872306812,324.485874926,21.104159996967834,14,0,0,0.9259940065849399,-0.122417718364176,0.122417718364176,0.8645143851635007
33,P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,0,172.471893954,0.300060565388,5.45268436948e-05,54.5268436948,394.546009672,20.47734590867905,20,0,0,0.23803394124883223,-0.07247738498490774,0.12136317819304825,0.26058262897349493
314,P-74p5163352518_VX-0p201002332148_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p30229491189e-06_H-fb250c7cf9,0,74.5163352518,0.201002332148,4.5e-05,45.0,300.0,20.126509852898195,20,0,0,0.03929433530624763,0.06040485602554311,0.12012093076072579,0.08619731304998482
19,P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,0,144.087720513,0.415546267467,5.02923295381e-05,50.2923295381,327.07537462,20.255989923062774,16,0,0,0.08756687931841727,0.06424170758913106,0.11936394156057492,0.13254112143124885
67,P-242p307622127_VX-0p748861384084_LS-6p09484851001e-05_ST-306p16946129_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p44194066558e-06_H-1d842653b1,0,242.307622127,0.748861384084,6.09484851001e-05,60.9484851001,306.16946129,20.19303111072375,18,0,0,0.05411762467312489,0.056845187246205936,0.11635150967574316,0.10232905578670978
87,P-277p972333632_VX-0p331196372511_LS-4p5620211888e-05_ST-324p411035281_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p4565741063e-05_H-0e4c2fc094,1,277.972333632,0.331196372511,4.5620211888e-05,45.620211888,324.411035281,21.172783038710023,19,0,0,0.9463784516818116,0.11041978362664291,0.1162000654210876,0.903927886611553
96,P-308p624203673_VX-0p258745269308_LS-8p46230110859e-05_ST-352p536460601_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p86442852305e-05_H-19ea1511f8,0,308.624203673,0.258745269308,8.46230110859e-05,84.6230110859,352.536460601,20.47403647066787,20,0,0,0.22603198132656158,0.08283963533127826,0.11116903968580209,0.27666195197734
