run_id,repeat,fold,model,B1_q20_AULC_16_80,B1_q30_AULC_16_80
w85__r14_f04,14,4,physics_ridge_residual_gp,0.9361213235294119,0.9437500000000001
w85__r14_f05,14,5,physics_ridge_residual_gp,0.7564338235294117,0.834375
w85__r15_f01,15,1,physics_ridge_residual_gp,0.8630514705882354,0.906875
w85__r15_f02,15,2,physics_ridge_residual_gp,0.8166360294117646,0.874375
w85__r15_f03,15,3,physics_ridge_residual_gp,0.8814338235294119,0.9156249999999999
w85__r15_f04,15,4,physics_ridge_residual_gp,0.7049632352941178,0.7665624999999998
w85__r15_f05,15,5,physics_ridge_residual_gp,0.880514705882353,0.91625
w85__r16_f01,16,1,physics_ridge_residual_gp,0.827205882352941,0.881875
w85__r16_f02,16,2,physics_ridge_residual_gp,0.8988970588235294,0.93125
w85__r16_f03,16,3,physics_ridge_residual_gp,0.8892463235294119,0.923125
w85__r16_f04,16,4,physics_ridge_residual_gp,0.8308823529411763,0.8843749999999999
w85__r16_f05,16,5,physics_ridge_residual_gp,0.7633272058823528,0.8062499999999999
w85__r17_f01,17,1,physics_ridge_residual_gp,0.9021139705882354,0.930625
w85__r17_f02,17,2,physics_ridge_residual_gp,0.8134191176470587,0.873125
w85__r17_f03,17,3,physics_ridge_residual_gp,0.7587316176470589,0.8331249999999999
w85__r17_f04,17,4,physics_ridge_residual_gp,0.9227941176470589,0.9475
w85__r17_f05,17,5,physics_ridge_residual_gp,0.8538602941176471,0.846875
w85__r18_f01,18,1,physics_ridge_residual_gp,0.7426470588235294,0.7821874999999998
w85__r18_f02,18,2,physics_ridge_residual_gp,0.8635110294117647,0.9071875
w85__r18_f03,18,3,physics_ridge_residual_gp,0.822610294117647,0.879375
w85__r18_f04,18,4,physics_ridge_residual_gp,0.8763786764705883,0.9159375
w85__r18_f05,18,5,physics_ridge_residual_gp,0.8235294117647057,0.8353124999999999
w85__r19_f01,19,1,physics_ridge_residual_gp,0.8791360294117648,0.9178125
w85__r19_f02,19,2,physics_ridge_residual_gp,0.8800551470588237,0.8637499999999999
w85__r19_f03,19,3,physics_ridge_residual_gp,0.9140625000000001,0.9415625
w85__r19_f04,19,4,physics_ridge_residual_gp,0.9227941176470589,0.9474999999999999
w85__r19_f05,19,5,physics_ridge_residual_gp,0.5896139705882353,0.7209374999999998
w85__r20_f01,20,1,physics_ridge_residual_gp,0.8000919117647057,0.860625
w85__r20_f02,20,2,physics_ridge_residual_gp,0.8965992647058825,0.9284375
w85__r20_f03,20,3,physics_ridge_residual_gp,0.9232536764705883,0.9478125
w85__r20_f04,20,4,physics_ridge_residual_gp,0.8189338235294116,0.8768750000000001
w85__r20_f05,20,5,physics_ridge_residual_gp,0.7288602941176471,0.8156249999999999
