population,candidate_id,candidate_name,unit,cv_scheme,cv_n,balanced_accuracy,sensitivity_keyhole_recall,specificity,precision,f1,true_negative,false_positive,false_negative,true_positive,full_data_descriptive_direction,full_data_descriptive_threshold,full_data_descriptive_balanced_accuracy,full_data_threshold_is_predictive_performance
old-data-local,T0_width,T0 width,um,exact_leave_one_simulation_out,178,0.6073529411764707,0.75,0.4647058823529412,0.061855670103092786,0.11428571428571428,79,91,2,6,higher,145.19675999999998,0.7323529411764707,False
old-data-remote-clean,R3,R3 persistent aspect ratio,dimensionless,exact_leave_one_simulation_out,63,1.0,1.0,1.0,1.0,1.0,61,0,0,2,higher,0.7624954501869492,1.0,False
old-data-remote-clean,max_depth,Maximum penetration depth,um,exact_leave_one_simulation_out,63,0.75,0.5,1.0,1.0,0.6666666666666666,61,0,1,1,higher,123.209585,1.0,False
old-data-remote-clean,G3,G3 persistent depth,um,exact_leave_one_simulation_out,63,0.75,0.5,1.0,1.0,0.6666666666666666,61,0,1,1,higher,118.326565,1.0,False
old-data-remote-clean,R0,R0 T0 aspect ratio,dimensionless,exact_leave_one_simulation_out,63,0.7418032786885246,0.5,0.9836065573770492,0.5,0.5,60,1,1,1,higher,0.49366705561391555,1.0,False
old-data-remote-clean,T0_depth,T0 penetration depth,um,exact_leave_one_simulation_out,63,0.7336065573770492,0.5,0.9672131147540983,0.3333333333333333,0.4,59,2,1,1,higher,80.68371,0.9836065573770492,False
old-data-remote-clean,T0_total_height,T0 total height,um,exact_leave_one_simulation_out,63,0.7254098360655737,0.5,0.9508196721311475,0.25,0.3333333333333333,58,3,1,1,higher,106.7644,0.9754098360655737,False
old-data-remote-clean,T0_kinetic_energy,T0 kinetic energy,nJ,exact_leave_one_simulation_out,63,0.709016393442623,0.5,0.9180327868852459,0.16666666666666666,0.25,56,5,1,1,higher,2.83404825,0.9672131147540983,False
old-data-remote-clean,T0_width,T0 width,um,exact_leave_one_simulation_out,63,0.16393442622950818,0.0,0.32786885245901637,0.0,0.0,20,41,2,0,higher,151.60846750000002,0.6721311475409836,False
all-old,max_depth,Maximum penetration depth,um,exact_leave_one_simulation_out,241,1.0,1.0,1.0,1.0,1.0,231,0,0,10,higher,107.169935,1.0,False
all-old,G3,G3 persistent depth,um,exact_leave_one_simulation_out,240,0.9586956521739131,1.0,0.9173913043478261,0.3448275862068966,0.5128205128205128,211,19,0,10,higher,76.43563499999999,0.9586956521739131,False
all-old,T0_depth,T0 penetration depth,um,exact_leave_one_simulation_out,241,0.9218614718614719,0.9,0.9437229437229437,0.4090909090909091,0.5625,218,13,1,9,higher,78.59645499999999,0.924025974025974,False
all-old,R3,R3 persistent aspect ratio,dimensionless,exact_leave_one_simulation_out,240,0.8804347826086957,0.9,0.8608695652173913,0.21951219512195122,0.35294117647058826,198,32,1,9,higher,0.431491418489115,0.9304347826086956,False
all-old,R0,R0 T0 aspect ratio,dimensionless,exact_leave_one_simulation_out,241,0.874025974025974,0.8,0.948051948051948,0.4,0.5333333333333333,219,12,2,8,higher,0.4559295168357515,0.9261904761904762,False
all-old,T0_total_height,T0 total height,um,exact_leave_one_simulation_out,241,0.8525974025974026,0.9,0.8051948051948052,0.16666666666666666,0.28125,186,45,1,9,higher,92.69389000000001,0.9025974025974026,False
all-old,T0_kinetic_energy,T0 kinetic energy,nJ,exact_leave_one_simulation_out,241,0.685930735930736,0.9,0.47186147186147187,0.06870229007633588,0.1276595744680851,109,122,1,9,higher,1.4730165,0.7380952380952381,False
all-old,T0_width,T0 width,um,exact_leave_one_simulation_out,241,0.6642857142857143,0.9,0.42857142857142855,0.06382978723404255,0.11920529801324503,99,132,1,9,higher,145.19675999999998,0.7142857142857143,False
all-combined,max_depth,Maximum penetration depth,um,exact_leave_one_simulation_out,405,0.9916446608351213,0.9863013698630136,0.9969879518072289,0.9863013698630136,0.9863013698630136,331,1,1,72,higher,108.601,0.9984939759036144,False
all-combined,G3,G3 persistent depth,um,exact_leave_one_simulation_out,404,0.9794520547945205,0.958904109589041,1.0,1.0,0.9790209790209791,331,0,3,70,higher,100.9587625,0.9794520547945205,False
all-combined,R3,R3 persistent aspect ratio,dimensionless,exact_leave_one_simulation_out,404,0.9695815916897736,0.9452054794520548,0.9939577039274925,0.971830985915493,0.9583333333333334,329,2,4,69,higher,0.5519829667262584,0.9764309067582668,False
all-combined,R0,R0 T0 aspect ratio,dimensionless,exact_leave_one_simulation_out,405,0.9052236342630797,0.8767123287671232,0.9337349397590361,0.7441860465116279,0.8050314465408805,310,22,9,64,higher,0.4559295168357515,0.9204282884964515,False
all-combined,T0_depth,T0 penetration depth,um,exact_leave_one_simulation_out,405,0.8608681300544645,0.8904109589041096,0.8313253012048193,0.5371900826446281,0.6701030927835051,276,56,8,65,higher,77.778445,0.9092053144083182,False
all-combined,T0_kinetic_energy,T0 kinetic energy,nJ,exact_leave_one_simulation_out,405,0.8475614787918798,0.7945205479452054,0.9006024096385542,0.6373626373626373,0.7073170731707317,299,33,15,58,higher,3.0908675,0.8681094239973592,False
all-combined,T0_total_height,T0 total height,um,exact_leave_one_simulation_out,405,0.7828024426473015,0.7945205479452054,0.7710843373493976,0.43283582089552236,0.5603864734299517,256,76,15,58,higher,95.90286499999999,0.8459523023601254,False
all-combined,T0_width,T0 width,um,exact_leave_one_simulation_out,405,0.5960967156296418,0.9452054794520548,0.2469879518072289,0.21630094043887146,0.3520408163265306,82,250,4,69,higher,134.07150000000001,0.5960967156296418,False
