run_id,repeat,subset,train_labels,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count
w85__r63_f03,63,full81,324,0.995959595959596,0.9859649122807017,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81
w85__r63_f04,63,B1_q20,324,0.9583333333333333,0.959375,0.7058823529411765,0.6875,0.375,1.0,5,0,9,3,17
w85__r63_f04,63,B1_q30,324,0.9805194805194806,0.9777495232040686,0.8,0.7727272727272727,0.5454545454545454,1.0,5,0,14,6,25
w85__r63_f04,63,full81,324,0.9968017057569296,0.985969387755102,0.9382716049382716,0.8214285714285714,0.6428571428571429,1.0,5,0,67,9,81
w85__r63_f05,63,B1_q20,324,0.8472222222222222,0.7436011904761906,0.8823529411764706,0.8819444444444444,0.875,0.8888888888888888,1,1,8,7,17
w85__r63_f05,63,B1_q30,324,0.9117647058823528,0.7371909340659342,0.92,0.9080882352941176,0.875,0.9411764705882353,1,1,16,7,25
w85__r63_f05,63,full81,324,0.9868686868686869,0.9349752099752098,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,1,1,65,14,81
w85__r64_f01,64,B1_q20,324,0.8888888888888888,0.7713789682539682,0.8235294117647058,0.8194444444444444,0.75,0.8888888888888888,2,1,8,6,17
w85__r64_f01,64,B1_q30,324,0.9285714285714286,0.8087990292535747,0.88,0.8733766233766234,0.8181818181818182,0.9285714285714286,2,1,13,9,25
w85__r64_f01,64,full81,324,0.9888888888888889,0.9268402893402894,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,65,13,81
w85__r64_f02,64,B1_q20,324,0.9545454545454545,0.9305555555555556,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0,11,4,17
w85__r64_f02,64,B1_q30,324,0.9761904761904762,0.947845804988662,0.92,0.8571428571428572,0.7142857142857143,1.0,2,0,18,5,25
w85__r64_f02,64,full81,324,0.996969696969697,0.9877124183006536,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81
w85__r64_f03,64,B1_q20,324,0.9333333333333333,0.885,0.8823529411764706,0.8583333333333334,0.8,0.9166666666666666,1,1,11,4,17
w85__r64_f03,64,B1_q30,324,0.9682539682539683,0.9367346938775509,0.92,0.9007936507936507,0.8571428571428571,0.9444444444444444,1,1,17,6,25
w85__r64_f03,64,full81,324,0.994949494949495,0.9796825396825397,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,1,1,65,14,81
w85__r64_f04,64,B1_q20,324,0.9545454545454546,0.9444444444444444,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0,11,4,17
w85__r64_f04,64,B1_q30,324,0.9791666666666666,0.9722222222222223,0.92,0.8888888888888888,0.7777777777777778,1.0,2,0,16,7,25
w85__r64_f04,64,full81,324,0.9957356076759062,0.9841269841269842,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81
w85__r64_f05,64,B1_q20,324,0.8333333333333334,0.7577380952380951,0.7647058823529411,0.7045454545454546,0.5,0.9090909090909091,3,1,10,3,17
w85__r64_f05,64,B1_q30,324,0.9047619047619048,0.7825757575757575,0.84,0.7579365079365079,0.5714285714285714,0.9444444444444444,3,1,17,4,25
w85__r64_f05,64,full81,324,0.9861407249466951,0.9368596681096679,0.9506172839506173,0.8853944562899787,0.7857142857142857,0.9850746268656716,3,1,66,11,81
w85__r65_f01,65,B1_q20,324,1.0,1.0,0.9411764705882353,0.9,0.8,1.0,1,0,12,4,17
w85__r65_f01,65,B1_q30,324,1.0,1.0,0.96,0.9166666666666667,0.8333333333333334,1.0,1,0,19,5,25
w85__r65_f01,65,full81,324,1.0,1.0,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81
w85__r65_f02,65,B1_q20,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,12,5,17
w85__r65_f02,65,B1_q30,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,19,6,25
w85__r65_f02,65,full81,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,67,14,81
w85__r65_f03,65,B1_q20,324,1.0,1.0,0.9411764705882353,0.9444444444444444,0.8888888888888888,1.0,1,0,8,8,17
w85__r65_f03,65,B1_q30,324,0.9930555555555556,0.9888888888888889,0.96,0.9444444444444444,0.8888888888888888,1.0,1,0,16,8,25
w85__r65_f03,65,full81,324,0.9978678038379531,0.9910714285714285,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,1,0,67,13,81
w85__r65_f04,65,B1_q20,324,0.7916666666666666,0.7300094966761633,0.7647058823529411,0.7638888888888888,0.7777777777777778,0.75,2,2,6,7,17
w85__r65_f04,65,B1_q30,324,0.8766233766233765,0.759732313141404,0.84,0.8376623376623377,0.8181818181818182,0.8571428571428571,2,2,12,9,25
w85__r65_f04,65,full81,324,0.9787878787878788,0.8684974393797924,0.9506172839506173,0.9181818181818182,0.8666666666666667,0.9696969696969697,2,2,64,13,81
w85__r65_f05,65,B1_q20,324,0.6666666666666667,0.58994708994709,0.6470588235294118,0.5757575757575758,0.3333333333333333,0.8181818181818182,4,2,9,2,17
w85__r65_f05,65,B1_q30,324,0.8125,0.7603581603581604,0.76,0.7152777777777778,0.5555555555555556,0.875,4,2,14,5,25
w85__r65_f05,65,full81,324,0.9707070707070707,0.902459411933096,0.9259259259259259,0.8515151515151516,0.7333333333333333,0.9696969696969697,4,2,64,11,81
w85__r66_f01,66,B1_q20,324,0.8833333333333334,0.6595238095238095,0.8235294117647058,0.7583333333333333,0.6,0.9166666666666666,2,1,11,3,17
w85__r66_f01,66,B1_q30,324,0.9285714285714285,0.7253968253968254,0.88,0.8293650793650793,0.7142857142857143,0.9444444444444444,2,1,17,5,25
w85__r66_f01,66,full81,324,0.9888888888888889,0.9399098504980857,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,65,13,81
w85__r66_f02,66,B1_q20,324,0.9242424242424242,0.8555555555555555,0.7058823529411765,0.6212121212121212,0.3333333333333333,0.9090909090909091,4,1,10,2,17
w85__r66_f02,66,B1_q30,324,0.963235294117647,0.9206845238095238,0.8,0.7205882352941176,0.5,0.9411764705882353,4,1,16,4,25
w85__r66_f02,66,full81,324,0.9946695095948828,0.9745225013082155,0.9382716049382716,0.8496801705756929,0.7142857142857143,0.9850746268656716,4,1,66,10,81
w85__r66_f03,66,B1_q20,324,0.9142857142857144,0.9038342609771179,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2,1,9,5,17
w85__r66_f03,66,B1_q30,324,0.9545454545454546,0.9483011937557392,0.88,0.8733766233766234,0.8181818181818182,0.9285714285714286,2,1,13,9,25
w85__r66_f03,66,full81,324,0.9914712153518124,0.9610845503702645,0.9629629629629629,0.9211087420042643,0.8571428571428571,0.9850746268656716,2,1,66,12,81
w85__r66_f04,66,B1_q20,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,12,5,17
w85__r66_f04,66,B1_q30,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,18,7,25
w85__r66_f04,66,full81,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,66,15,81
w85__r66_f05,66,B1_q20,324,0.986111111111111,0.9861111111111112,0.9411764705882353,0.9375,0.875,1.0,1,0,9,7,17
w85__r66_f05,66,B1_q30,324,0.9930555555555556,0.9888888888888889,0.96,0.9444444444444444,0.8888888888888888,1.0,1,0,16,8,25
w85__r66_f05,66,full81,324,0.998989898989899,0.9958333333333333,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81
w85__r67_f01,67,B1_q20,324,0.8653846153846154,0.7152777777777777,0.8235294117647058,0.7115384615384616,0.5,0.9230769230769231,2,1,12,2,17
w85__r67_f01,67,B1_q30,324,0.9199999999999999,0.800909090909091,0.88,0.7749999999999999,0.6,0.95,2,1,19,3,25
w85__r67_f01,67,full81,324,0.9909090909090909,0.9666178266178266,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,65,13,81
w85__r67_f02,67,B1_q20,324,0.8571428571428572,0.7205009276437848,0.8823529411764706,0.8785714285714286,0.8571428571428571,0.9,1,1,9,6,17
w85__r67_f02,67,B1_q30,324,0.9166666666666666,0.7625932709266042,0.92,0.9131944444444444,0.8888888888888888,0.9375,1,1,15,8,25
w85__r67_f02,67,full81,324,0.9861407249466951,0.9149677703249133,0.9753086419753086,0.9568230277185501,0.9285714285714286,0.9850746268656716,1,1,66,13,81
w85__r67_f03,67,B1_q20,324,1.0,0.9999999999999999,0.8235294117647058,0.85,0.7,1.0,3,0,7,7,17
w85__r67_f03,67,B1_q30,324,1.0,0.9999999999999999,0.88,0.85,0.7,1.0,3,0,15,7,25
w85__r67_f03,67,full81,324,1.0,1.0,0.9629629629629629,0.9,0.8,1.0,3,0,66,12,81
w85__r67_f04,67,B1_q20,324,0.9848484848484849,0.9761904761904762,0.9411764705882353,0.9166666666666667,0.8333333333333334,1.0,1,0,11,5,17
w85__r67_f04,67,B1_q30,324,0.9852941176470588,0.975,0.96,0.9375,0.875,1.0,1,0,17,7,25
w85__r67_f04,67,full81,324,0.997979797979798,0.992156862745098,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81
w85__r67_f05,67,B1_q20,324,0.9714285714285714,0.9617346938775511,0.9411764705882353,0.95,1.0,0.9,0,1,9,7,17
w85__r67_f05,67,B1_q30,324,0.9779411764705882,0.9526289682539683,0.96,0.9705882352941176,1.0,0.9411764705882353,0,1,16,8,25
w85__r67_f05,67,full81,324,0.9968017057569296,0.9846415489272633,0.9876543209876543,0.9925373134328358,1.0,0.9850746268656716,0,1,66,14,81
w85__r68_f01,68,B1_q20,324,0.8333333333333333,0.8092592592592593,0.8235294117647058,0.7878787878787878,0.6666666666666666,0.9090909090909091,2,1,10,4,17
w85__r68_f01,68,B1_q30,324,0.8809523809523809,0.8064935064935064,0.84,0.8015873015873016,0.7142857142857143,0.8888888888888888,2,2,16,5,25
w85__r68_f01,68,full81,324,0.9848484848484849,0.9493776246636658,0.9506172839506173,0.9181818181818182,0.8666666666666667,0.9696969696969697,2,2,64,13,81
w85__r68_f02,68,B1_q20,324,1.0,1.0,0.9411764705882353,0.9615384615384616,1.0,0.9230769230769231,0,1,12,4,17
w85__r68_f02,68,B1_q30,324,1.0,1.0,0.96,0.975,1.0,0.95,0,1,19,5,25
w85__r68_f02,68,full81,324,0.998989898989899,0.9958333333333333,0.9876543209876543,0.9924242424242424,1.0,0.9848484848484849,0,1,65,15,81
w85__r68_f03,68,B1_q20,324,0.8888888888888888,0.7713789682539682,0.8235294117647058,0.8194444444444444,0.75,0.8888888888888888,2,1,8,6,17
w85__r68_f03,68,B1_q30,324,0.9411764705882353,0.7713789682539682,0.88,0.8455882352941176,0.75,0.9411764705882353,2,1,16,6,25
w85__r68_f03,68,full81,324,0.9914712153518124,0.9481877249734392,0.9629629629629629,0.9211087420042643,0.8571428571428571,0.9850746268656716,2,1,66,12,81
w85__r68_f04,68,B1_q20,324,0.9444444444444444,0.9415178571428571,0.7647058823529411,0.75,0.5,1.0,4,0,9,4,17
w85__r68_f04,68,B1_q30,324,0.9733333333333334,0.9622222222222222,0.8,0.75,0.5,1.0,5,0,15,5,25
w85__r68_f04,68,full81,324,0.9959595959595959,0.9829505135387488,0.9382716049382716,0.8333333333333333,0.6666666666666666,1.0,5,0,66,10,81
w85__r68_f05,68,B1_q20,324,0.986111111111111,0.9861111111111112,0.8823529411764706,0.875,0.75,1.0,2,0,9,6,17
w85__r68_f05,68,B1_q30,324,0.9930555555555556,0.9888888888888889,0.92,0.8888888888888888,0.7777777777777778,1.0,2,0,16,7,25
w85__r68_f05,68,full81,324,0.9989339019189765,0.9952380952380953,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81
w85__r69_f01,69,B1_q20,324,0.7499999999999999,0.48666666666666664,0.7058823529411765,0.675,0.6,0.75,2,3,9,3,17
w85__r69_f01,69,B1_q30,324,0.8500000000000001,0.48666666666666664,0.8,0.725,0.6,0.85,2,3,17,3,25
w85__r69_f01,69,full81,324,0.9808102345415778,0.9184894470608755,0.9382716049382716,0.906183368869936,0.8571428571428571,0.9552238805970149,2,3,64,12,81
w85__r69_f02,69,B1_q20,324,1.0,1.0,0.9411764705882353,0.9,0.8,1.0,1,0,12,4,17
w85__r69_f02,69,B1_q30,324,1.0,1.0,0.96,0.9166666666666667,0.8333333333333334,1.0,1,0,19,5,25
w85__r69_f02,69,full81,324,1.0,1.0,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81
w85__r69_f03,69,B1_q20,324,0.9428571428571428,0.948051948051948,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,1,0,10,6,17
w85__r69_f03,69,B1_q30,324,0.9666666666666668,0.9666666666666667,0.96,0.95,0.9,1.0,1,0,15,9,25
w85__r69_f03,69,full81,324,0.9939393939393939,0.9809523809523809,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81
w85__r69_f04,69,B1_q20,324,0.9090909090909091,0.7999999999999999,0.7647058823529411,0.7045454545454546,0.5,0.9090909090909091,3,1,10,3,17
w85__r69_f04,69,B1_q30,324,0.9444444444444444,0.9017195767195767,0.84,0.8020833333333333,0.6666666666666666,0.9375,3,1,15,6,25
w85__r69_f04,69,full81,324,0.98989898989899,0.9587545409526834,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3,1,65,12,81
w85__r69_f05,69,B1_q20,324,1.0,0.9999999999999999,0.8823529411764706,0.9,0.8,1.0,2,0,7,8,17
w85__r69_f05,69,B1_q30,324,1.0,0.9999999999999999,0.92,0.9,0.8,1.0,2,0,15,8,25
w85__r69_f05,69,full81,324,1.0,1.0,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81
w85__r70_f01,70,B1_q20,324,0.8571428571428572,0.8404761904761904,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2,1,9,5,17
w85__r70_f01,70,B1_q30,324,0.9305555555555556,0.9002525252525253,0.88,0.8576388888888888,0.7777777777777778,0.9375,2,1,15,7,25
w85__r70_f01,70,full81,324,0.9898989898989898,0.9616785175608705,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,65,13,81
w85__r70_f02,70,B1_q20,324,0.9833333333333333,0.9666666666666668,0.9411764705882353,0.9583333333333333,1.0,0.9166666666666666,0,1,11,5,17
w85__r70_f02,70,B1_q30,324,0.9791666666666666,0.9626543209876544,0.96,0.96875,1.0,0.9375,0,1,15,9,25
w85__r70_f02,70,full81,324,0.9959595959595959,0.981498778998779,0.9876543209876543,0.9924242424242424,1.0,0.9848484848484849,0,1,65,15,81
w85__r70_f03,70,B1_q20,324,0.9696969696969696,0.9583333333333334,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0,11,4,17
w85__r70_f03,70,B1_q30,324,0.9841269841269841,0.9682539682539681,0.92,0.8571428571428572,0.7142857142857143,1.0,2,0,18,5,25
w85__r70_f03,70,full81,324,0.997979797979798,0.9921568627450981,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81
w85__r70_f04,70,B1_q20,324,0.7878787878787878,0.5981481481481481,0.6470588235294118,0.5757575757575758,0.3333333333333333,0.8181818181818182,4,2,9,2,17
w85__r70_f04,70,B1_q30,324,0.8771929824561404,0.5981481481481481,0.76,0.6140350877192983,0.3333333333333333,0.8947368421052632,4,2,17,2,25
w85__r70_f04,70,full81,324,0.9829424307036247,0.9216303206351857,0.9259259259259259,0.8422174840085288,0.7142857142857143,0.9701492537313433,4,2,65,10,81
w85__r70_f05,70,B1_q20,324,1.0,1.0,0.8235294117647058,0.7857142857142857,0.5714285714285714,1.0,3,0,10,4,17
w85__r70_f05,70,B1_q30,324,0.9861111111111112,0.9765432098765432,0.88,0.8333333333333333,0.6666666666666666,1.0,3,0,16,6,25
w85__r70_f05,70,full81,324,0.997867803837953,0.9901360544217687,0.9629629629629629,0.8928571428571428,0.7857142857142857,1.0,3,0,67,11,81
w85__r71_f01,71,B1_q20,324,1.0,1.0,0.9411764705882353,0.9166666666666667,0.8333333333333334,1.0,1,0,11,5,17
w85__r71_f01,71,B1_q30,324,1.0,1.0,0.96,0.9444444444444444,0.8888888888888888,1.0,1,0,16,8,25
w85__r71_f01,71,full81,324,1.0,1.0,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81
w85__r71_f02,71,B1_q20,324,0.9833333333333333,0.9666666666666668,0.9411764705882353,0.9583333333333333,1.0,0.9166666666666666,0,1,11,5,17
w85__r71_f02,71,B1_q30,324,0.99,0.9666666666666668,0.96,0.975,1.0,0.95,0,1,19,5,25
w85__r71_f02,71,full81,324,0.998989898989899,0.9958333333333333,0.9876543209876543,0.9924242424242424,1.0,0.9848484848484849,0,1,65,15,81
w85__r71_f03,71,B1_q20,324,0.7571428571428571,0.7767316017316017,0.7647058823529411,0.7357142857142858,0.5714285714285714,0.9,3,1,9,4,17
w85__r71_f03,71,B1_q30,324,0.875,0.8372525078407431,0.84,0.8020833333333333,0.6666666666666666,0.9375,3,1,15,6,25
w85__r71_f03,71,full81,324,0.9797979797979798,0.9282117736065104,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3,1,65,12,81
w85__r71_f04,71,B1_q20,324,0.8888888888888888,0.7713789682539682,0.8823529411764706,0.8819444444444444,0.875,0.8888888888888888,1,1,8,7,17
w85__r71_f04,71,B1_q30,324,0.9375,0.7856701940035273,0.92,0.9131944444444444,0.8888888888888888,0.9375,1,1,15,8,25
w85__r71_f04,71,full81,324,0.9872068230277186,0.8939360242931671,0.9753086419753086,0.9568230277185501,0.9285714285714286,0.9850746268656716,1,1,66,13,81
w85__r71_f05,71,B1_q20,324,0.9571428571428572,0.947845804988662,0.8235294117647058,0.7857142857142857,0.5714285714285714,1.0,3,0,10,4,17
w85__r71_f05,71,B1_q30,324,0.9779411764705882,0.959375,0.88,0.8125,0.625,1.0,3,0,17,5,25
w85__r71_f05,71,full81,324,0.9968017057569296,0.985969387755102,0.9629629629629629,0.8928571428571428,0.7857142857142857,1.0,3,0,67,11,81
w85__r72_f01,72,B1_q20,324,0.9857142857142858,0.982142857142857,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2,0,10,5,17
w85__r72_f01,72,B1_q30,324,0.9920634920634921,0.982142857142857,0.92,0.8571428571428572,0.7142857142857143,1.0,2,0,18,5,25
w85__r72_f01,72,full81,324,0.9989339019189765,0.9952380952380953,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81
w85__r72_f02,72,B1_q20,324,0.8714285714285714,0.7253968253968254,0.7647058823529411,0.7571428571428571,0.7142857142857143,0.8,2,2,8,5,17
w85__r72_f02,72,B1_q30,324,0.9285714285714285,0.7253968253968254,0.84,0.8015873015873016,0.7142857142857143,0.8888888888888888,2,2,16,5,25
w85__r72_f02,72,full81,324,0.98989898989899,0.9482431838314191,0.9506172839506173,0.9181818181818182,0.8666666666666667,0.9696969696969697,2,2,64,13,81
w85__r72_f03,72,B1_q20,324,0.8484848484848484,0.8061868686868686,0.7647058823529411,0.7424242424242424,0.6666666666666666,0.8181818181818182,2,2,9,4,17
w85__r72_f03,72,B1_q30,324,0.9047619047619049,0.8361067503924646,0.8,0.7738095238095238,0.7142857142857143,0.8333333333333334,2,3,15,5,25
w85__r72_f03,72,full81,324,0.9868686868686869,0.955084175084175,0.9382716049382716,0.9106060606060606,0.8666666666666667,0.9545454545454546,2,3,63,13,81
w85__r72_f04,72,B1_q20,324,0.9305555555555556,0.9603174603174602,0.8235294117647058,0.8333333333333333,0.6666666666666666,1.0,3,0,8,6,17
w85__r72_f04,72,B1_q30,324,0.9666666666666668,0.9666666666666667,0.88,0.85,0.7,1.0,3,0,15,7,25
w85__r72_f04,72,full81,324,0.9949494949494949,0.9833333333333332,0.9629629629629629,0.9,0.8,1.0,3,0,66,12,81
w85__r72_f05,72,B1_q20,324,0.9696969696969696,0.9583333333333334,0.9411764705882353,0.9166666666666667,0.8333333333333334,1.0,1,0,11,5,17
w85__r72_f05,72,B1_q30,324,0.9852941176470588,0.975,0.96,0.9375,0.875,1.0,1,0,17,7,25
w85__r72_f05,72,full81,324,0.9978678038379531,0.9910714285714285,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81
w85__r73_f01,73,B1_q20,324,0.8787878787878788,0.775,0.7647058823529411,0.7045454545454546,0.5,0.9090909090909091,3,1,10,3,17
w85__r73_f01,73,B1_q30,324,0.9191176470588235,0.8358630952380952,0.84,0.7830882352941176,0.625,0.9411764705882353,3,1,16,5,25
w85__r73_f01,73,full81,324,0.9861407249466951,0.9315210583067723,0.9506172839506173,0.8853944562899787,0.7857142857142857,0.9850746268656716,3,1,66,11,81
w85__r73_f02,73,B1_q20,324,0.9583333333333333,0.959375,0.8823529411764706,0.875,0.75,1.0,2,0,9,6,17
w85__r73_f02,73,B1_q30,324,0.9722222222222222,0.9598765432098766,0.92,0.8888888888888888,0.7777777777777778,1.0,2,0,16,7,25
w85__r73_f02,73,full81,324,0.995959595959596,0.9844444444444445,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81
w85__r73_f03,73,B1_q20,324,0.9722222222222222,0.9704861111111112,0.9411764705882353,0.9444444444444444,1.0,0.8888888888888888,0,1,8,8,17
w85__r73_f03,73,B1_q30,324,0.9861111111111112,0.9765432098765432,0.96,0.96875,1.0,0.9375,0,1,15,9,25
w85__r73_f03,73,full81,324,0.997979797979798,0.9913888888888889,0.9876543209876543,0.9924242424242424,1.0,0.9848484848484849,0,1,65,15,81
w85__r73_f04,73,B1_q20,324,0.846153846153846,0.6428571428571428,0.8235294117647058,0.625,0.25,1.0,3,0,13,1,17
w85__r73_f04,73,B1_q30,324,0.8888888888888888,0.7761131725417441,0.84,0.7142857142857143,0.42857142857142855,1.0,4,0,18,3,25
w85__r73_f04,73,full81,324,0.9828282828282828,0.9367698658410732,0.9506172839506173,0.8666666666666667,0.7333333333333333,1.0,4,0,66,11,81
