feature,n_states,rho_median,rho_mean,rho_block_mean,rho_block_sd,rho_frac_states_pos,auroc_top5,ap_top5,prec@k_top5,enrich_top5,auroc_top10,ap_top10,prec@k_top10,enrich_top10,auroc_top20,ap_top20,prec@k_top20,enrich_top20,rho_B16,rho_B24,rho_B32,rho_B40
m3_margin,74,0.012850079936623121,-0.0013194436042090864,-0.006198992664725382,0.16950983888190757,0.5405405405405406,0.6555655783249894,0.2611201247823585,0.19754837956745422,4.679342405954679,0.6555257506558515,0.26310375264963065,0.20592276380390742,4.763649232133427,0.659633100642899,0.2696657453102917,0.21373607118618035,4.7807525684329235,0.026822323372218196,-0.02499961502416513,0.011430026707037758,-0.02080224487679795
logLS,74,0.011736232086617122,-0.006325260849901205,-0.02027945582557292,0.130899513227778,0.527027027027027,0.4951686783098538,0.17386399684181708,0.1325279133971765,0.999670532352023,0.49359679154400155,0.17401545448452754,0.13166584443165924,0.9763946702830576,0.4946176322377789,0.1790433391583759,0.13443929224821052,0.9590291104439422,-0.017110961761086896,-0.011694549999757296,-0.05958631536234518,0.0666489368026751
m3_latent_v,74,0.008330106343631799,0.008589196242387773,0.013784600365603425,0.08046604309761278,0.5540540540540541,0.45845010775034833,0.15332397258673294,0.10290914359844126,0.7558298223919886,0.4579529564342315,0.15365412885575636,0.10290914359844126,0.7558298223919886,0.4566357942901445,0.15665287112758278,0.10795797407830622,0.7596134283899212,-0.030599294261325433,0.056901020119429005,0.0022343007639715716,0.008350946457594247
ST_z,74,0.00438860990293188,-0.018448048855276174,-0.02068424011643515,0.0540413187490136,0.5135135135135135,0.4776666873647498,0.1481807130714605,0.10337548457672939,0.7333219053077816,0.4782049621487143,0.1500404175821457,0.1058385387639215,0.7547856632247414,0.4745917622385905,0.15329758307744695,0.11077050813554606,0.7542907951135188,-0.046150322585469944,-0.01707406983343729,-0.033106664679729336,0.024892244430567815
T_tau_sd,74,0.0007763992607471267,0.003981300437592639,0.006074669587227797,0.08814821715572253,0.5,0.4908961756495931,0.17488412209425697,0.12317545021147085,1.0075673946174484,0.49166545506111387,0.17585178640492144,0.13154983444792404,1.0918742207961956,0.48971344942355755,0.17958760782225605,0.13261761245535725,1.0669337229518505,-0.0077491377496650676,0.02161770607159197,-0.03256549774361621,0.03730419985919689
revealed_density_r05,73,0.0,0.022828973142195386,0.046463695856452505,0.12644732016287355,0.4657534246575342,0.5216359346874554,0.15550072352509192,0.12298018616426869,0.8163921817705508,0.521182887085285,0.15592973320776854,0.12360675258030879,0.7935815838471709,0.5216052867624572,0.16121223184057848,0.12697497305379243,0.782260000032291,0.03390077253846882,0.03340141995908342,0.049732743595850795,-0.02721369743871345
local_label_entropy,74,0.0,-0.015329185906814218,-0.013786843439501493,0.08330728809892295,0.4864864864864865,0.506600956664011,0.1300317317257069,0.108630329594817,0.5226429386135137,0.5068560942467347,0.13120396307035204,0.11010816210713227,0.5235014889301921,0.5059920946293213,0.13634749219014036,0.1137541808393579,0.5108200656076857,0.01158058433088783,-0.020187781683381294,-0.014043744180547123,-0.04023220275888123
cfg_main,74,0.0,-0.02295262021101285,-0.02687444782176171,0.09024347170295252,0.47297297297297297,0.48022902148680047,0.12079327408633893,0.09768537775975365,0.5115772839689458,0.47839064594152836,0.12144561025591649,0.09571493440999997,0.47036686876838274,0.47868233994164067,0.12636682386182765,0.09666154527040392,0.4428782829114411,0.0007783066142710235,-0.015835059593013606,-0.06254480869630384,-0.013327737965671224
local_frac_kh,74,-0.0008259674848866521,0.009325152654036604,0.014689102357368597,0.12896523430848972,0.47297297297297297,0.48830371176321097,0.1551064032419435,0.12841752209206223,0.7217448188212271,0.488224823537771,0.15613267581994023,0.12841752209206223,0.7217448188212271,0.48866874339925276,0.16178612503360654,0.13741283712186,0.7492300961046587,0.030758696087005363,-0.014929954958707093,0.02793021184134824,-0.008682709165737877
in_band,53,-0.003824014887377818,0.01699233562712173,-0.008550567425856123,0.17638143964251898,0.4716981132075472,0.5991532875718911,0.1779402728375745,0.21196333374437004,7.219831345080074,0.5991532875718911,0.1779402728375745,0.21196333374437004,7.219831345080074,0.602043155748139,0.18544262610263962,0.22016346694450326,7.22767415162418,0.12530734038022587,0.07259318473872087,0.02054336402577151,-0.08587173194152146
nn_revealed_c,74,-0.004475143427428648,-0.013299832875166022,-0.00925936188003969,0.11874904979594927,0.47297297297297297,0.42227362185684886,0.15468907920921476,0.1279979673823285,0.8340491865389715,0.421945276830228,0.15553976002102432,0.1279979673823285,0.8340491865389715,0.4202865048680541,0.15985390917696196,0.13169087409247657,0.8335080592950751,-0.004100515332685695,-0.02386610930677892,-0.0025621128978897665,-0.023778207158851733
nn_revealed,74,-0.00802963904497355,-0.0208595410295061,-0.020186911746019505,0.06117900996030539,0.4594594594594595,0.4493579702292404,0.15326432110757518,0.11862990525541071,0.7681195302249092,0.4468583952512172,0.15334291238631378,0.12269394466427772,0.7877711839898635,0.44561695136372637,0.15572916727500433,0.1226297129190115,0.7462980498293789,-0.0245641151270092,-0.019932514458403088,-0.04165044021866395,0.004069765313088537
pool_density_r05,74,-0.04066275538759438,-0.020209639550540597,-0.01662786284350042,0.08786290799337693,0.3783783783783784,0.4225111097651315,0.14608736951513993,0.09076151470423352,0.46646562255596496,0.42368036077274457,0.14697454640048574,0.09076151470423352,0.46646562255596496,0.42242459551373956,0.15142082706830343,0.09320734473627043,0.465381279664453,-0.012072471094454683,-0.01769655627246878,-0.013684852406769164,-0.03819923151735074
T_flips2,74,-0.05939456991418708,-0.03865048089913138,-0.032467902661739226,0.11893385885830823,0.4189189189189189,0.37074322828728745,0.12064734900048464,0.05001442736848653,0.16735889450334343,0.36915833170239076,0.12100439988307939,0.05001442736848653,0.16735889450334343,0.3687219785149737,0.12462909600604459,0.050350298394012734,0.16580385527477084,-0.06759917761259078,-0.0441143184564006,-0.050528096067152306,0.009907796977478178
h_p,74,-0.06294276190092621,-0.015726505661233323,-0.003551087152359461,0.16510166842257679,0.40540540540540543,0.5175852371431927,0.16658431025137832,0.101787793761854,0.49879482945827724,0.5186726506875028,0.16757766312647465,0.101787793761854,0.49879482945827724,0.5178896091242449,0.1722265109714773,0.10790344535164352,0.5212928947466611,-0.015450225561244074,0.014219251852781686,0.001958780937257252,-0.06463169469031035
m3_p,74,-0.06411287876454214,-0.03175436938706879,-0.018644482010185176,0.17176039523630157,0.36486486486486486,0.5107389647486589,0.1659887351600839,0.10423261884510103,0.5115023949588454,0.511826378292969,0.16698208803518028,0.10423261884510103,0.5115023949588454,0.5111060569275806,0.17167897745732325,0.10868123536268307,0.5238396406015787,-0.04526591550808556,0.002458486509830009,-0.005541793524063808,-0.07937386778939962
m3_latent_m,74,-0.06411287876454214,-0.024054303096321734,-0.01134613108908316,0.16495673190344032,0.35135135135135137,0.5089982016437511,0.16554960269380806,0.09704383474994699,0.44840044761136866,0.5100856151880613,0.1665429555689044,0.09704383474994699,0.44840044761136866,0.5093844904661154,0.1712246989480913,0.10315948633973651,0.4708985128997525,-0.01857052671646439,-0.008553514691628192,0.0009521738375343597,-0.07173924777660168
logh,74,-0.06844883556511,-0.019322742455357415,-0.00674897915759534,0.16590766495558254,0.3918918918918919,0.5095206156078066,0.16655435358613493,0.09546595468139424,0.4438139865463999,0.5106080291521166,0.1675477064612313,0.09546595468139424,0.4438139865463999,0.5098249875888587,0.17219655430623393,0.10158160627118375,0.46631205183478375,-0.015356407371618386,0.00034761153706412543,0.000919314429560732,-0.06454639908136152
dist_thr_logh,74,-0.06844883556511,-0.019322742455357415,-0.00674897915759534,0.16590766495558254,0.3918918918918919,0.5095206156078066,0.16655435358613493,0.09546595468139424,0.4438139865463999,0.5106080291521166,0.1675477064612313,0.09546595468139424,0.4438139865463999,0.5098249875888587,0.17219655430623393,0.10158160627118375,0.46631205183478375,-0.015356407371618386,0.00034761153706412543,0.000919314429560732,-0.06454639908136152
abs_m3_latent_m,74,-0.0761857493977735,-0.044150612925130554,-0.035797627933805344,0.15691449163363427,0.35135135135135137,0.2903961435259441,0.10912252994082744,0.04583977116137174,0.13160863333605538,0.29043597119508213,0.10962158155792776,0.04583977116137174,0.13160863333605538,0.28636737889058195,0.11254157260792029,0.047253228393794484,0.13422924065920694,-0.0649246494438529,-0.05100611395832339,-0.05094629764916389,-0.008193739469028969
abs_dist_thr,74,-0.08614986039456599,-0.053400272488659924,-0.04907211898508236,0.14255561194769778,0.33783783783783783,0.2864386241494965,0.10703710483928384,0.040489114364570325,0.09342834907404153,0.28647845181863457,0.10753615645638416,0.040489114364570325,0.09342834907404153,0.28245866231067634,0.1103321410238423,0.04111887253743195,0.09273604673632105,-0.07405608159006521,-0.05775032841560616,-0.05855196449302009,-0.021808965394516818
