budget,method,subset,boundary_definition,quantile,outer_run_count,pooled_prediction_count,pooled_mean_confidence,pooled_median_confidence,mean_run_confidence,ci95_mean_run_confidence_lower,ci95_mean_run_confidence_upper,fraction_confidence_ge_080,count_confidence_ge_080,accuracy_confidence_ge_080,fraction_confidence_ge_090,count_confidence_ge_090,accuracy_confidence_ge_090,pooled_accuracy,pooled_brier_score,probability_ece_10_equal_width_bins,confidence_ece_10_equal_width_bins,probabilities_authoritatively_saved,probabilities_posthoc_calibrated,repeated_cv_predictions_not_independent_physical_trials,physical_boundary_certainty_claim_allowed
30,binary_uncertainty_repulsion,B2_q30,B2,30,20,500,0.793679912094,0.821107571568,0.793679912094,0.775038175621,0.812321648567,0.544,272,0.970588235294,0.286,143,0.993006993007,0.856,0.10455148692,0.0743503844597,0.0718770922744,True,False,True,False
30,binary_uncertainty_repulsion,B3_q20,B3,20,20,340,0.745168443563,0.753381955667,0.745168443563,0.726414108439,0.763922778688,0.391176470588,133,0.93984962406,0.123529411765,42,0.97619047619,0.802941176471,0.13855378895,0.0758599431554,0.0758599431554,True,False,True,False
30,binary_uncertainty_repulsion,B3_q30,B3,30,20,500,0.773649608909,0.786357048041,0.773649608909,0.752377940433,0.794921277386,0.476,238,0.966386554622,0.194,97,0.989690721649,0.85,0.111629307013,0.0892546125356,0.0892546125356,True,False,True,False
30,binary_uncertainty_repulsion,all_test,all,all,20,1620,0.854136716534,0.8886873739,0.854136716534,0.834865835431,0.873407597638,0.756790123457,1226,0.993474714519,0.456790123457,740,0.998648648649,0.953086419753,0.0471327686344,0.100868705269,0.102582651816,True,False,True,False
40,binary_uncertainty_repulsion,B1_q20,B1,20,20,340,0.774284605226,0.79119256371,0.774284605226,0.752597924285,0.795971286167,0.482352941176,164,0.932926829268,0.220588235294,75,0.986666666667,0.811764705882,0.132834069903,0.0536142837326,0.0560252279923,True,False,True,False
40,binary_uncertainty_repulsion,B1_q30,B1,30,20,500,0.795333137109,0.818539450736,0.795333137109,0.774456494506,0.816209779712,0.554,277,0.960288808664,0.272,136,0.992647058824,0.862,0.103843781326,0.0774896357796,0.0774896357796,True,False,True,False
40,binary_uncertainty_repulsion,B2_q20,B2,20,20,340,0.774040600589,0.789451101352,0.774040600589,0.754423084116,0.793658117063,0.476470588235,162,0.932098765432,0.223529411765,76,0.986842105263,0.802941176471,0.135170303788,0.0590029171542,0.0502669663627,True,False,True,False
40,binary_uncertainty_repulsion,B2_q30,B2,30,20,500,0.817425791484,0.853721705522,0.817425791484,0.799475786988,0.835375795981,0.608,304,0.963815789474,0.364,182,0.994505494505,0.864,0.0970966586233,0.0663547889808,0.0606194475043,True,False,True,False
40,binary_uncertainty_repulsion,B3_q20,B3,20,20,340,0.767980657469,0.786276417193,0.767980657469,0.749337149183,0.786624165755,0.467647058824,159,0.937106918239,0.208823529412,71,0.985915492958,0.823529411765,0.129642199945,0.0763861799968,0.0671301429064,True,False,True,False
40,binary_uncertainty_repulsion,B3_q30,B3,30,20,500,0.801255926962,0.838878113699,0.801255926962,0.780999676279,0.821512177644,0.574,287,0.961672473868,0.308,154,0.993506493506,0.862,0.102228272237,0.0752995912427,0.0715644258554,True,False,True,False
40,binary_uncertainty_repulsion,all_test,all,all,20,1620,0.886743887205,0.930648929983,0.886743887205,0.870057341051,0.903430433358,0.826543209877,1339,0.991784914115,0.612345679012,992,0.998991935484,0.956790123457,0.0386906713873,0.0717908627334,0.0720658448301,True,False,True,False
60,binary_uncertainty_repulsion,B1_q20,B1,20,20,340,0.807880359582,0.841002051415,0.807880359582,0.791358440672,0.824402278491,0.570588235294,194,0.938144329897,0.379411764706,129,0.961240310078,0.835294117647,0.117313558667,0.04702419767,0.0474904007289,True,False,True,False
60,binary_uncertainty_repulsion,B1_q30,B1,30,20,500,0.83428972423,0.879183913805,0.83428972423,0.817531181541,0.851048266918,0.646,323,0.962848297214,0.442,221,0.977375565611,0.886,0.0868900241442,0.0610021332391,0.0609996885142,True,False,True,False
60,binary_uncertainty_repulsion,B2_q20,B2,20,20,340,0.808751018746,0.827727752616,0.808751018746,0.79045373394,0.827048303552,0.547058823529,186,0.935483870968,0.361764705882,123,0.959349593496,0.835294117647,0.118673281792,0.0463697267667,0.0569638331191,True,False,True,False
60,binary_uncertainty_repulsion,B2_q30,B2,30,20,500,0.852694184118,0.908556762108,0.852694184118,0.838360681403,0.867027686832,0.676,338,0.96449704142,0.518,259,0.980694980695,0.886,0.0832636573551,0.046104050867,0.0467643014603,True,False,True,False
60,binary_uncertainty_repulsion,B3_q20,B3,20,20,340,0.8031078375,0.819377287067,0.8031078375,0.786271063818,0.819944611183,0.532352941176,181,0.933701657459,0.35,119,0.957983193277,0.844117647059,0.116882923738,0.0619228392591,0.053536734764,True,False,True,False
60,binary_uncertainty_repulsion,B3_q30,B3,30,20,500,0.837607762206,0.887441952952,0.837607762206,0.821257773271,0.853957751142,0.65,325,0.963076923077,0.472,236,0.978813559322,0.886,0.0869617649049,0.0589725745919,0.0576816505375,True,False,True,False
60,binary_uncertainty_repulsion,all_test,all,all,20,1620,0.923153439123,0.968344047918,0.923153439123,0.913233475158,0.933073403087,0.87962962963,1425,0.991578947368,0.77962962963,1263,0.996041171813,0.964814814815,0.0292442617293,0.0437643848318,0.0445284783909,True,False,True,False
80,binary_uncertainty_repulsion,B1_q20,B1,20,20,340,0.819340751914,0.875553345201,0.819340751914,0.80268854001,0.835992963818,0.6,204,0.941176470588,0.438235294118,149,0.946308724832,0.823529411765,0.119186840805,0.0363988604106,0.0487212157007,True,False,True,False
80,binary_uncertainty_repulsion,B1_q30,B1,30,20,500,0.847909409518,0.906753094235,0.847909409518,0.832152598188,0.863666220848,0.69,345,0.965217391304,0.518,259,0.969111969112,0.878,0.0871552612618,0.0379265241504,0.0467856960206,True,False,True,False
80,binary_uncertainty_repulsion,B2_q20,B2,20,20,340,0.818794458744,0.867832177493,0.818794458744,0.799582696416,0.838006221073,0.591176470588,201,0.940298507463,0.426470588235,145,0.944827586207,0.823529411765,0.121423775628,0.0498411808593,0.0510744571133,True,False,True,False
80,binary_uncertainty_repulsion,B2_q30,B2,30,20,500,0.863640761924,0.932436087346,0.863640761924,0.84830917038,0.878972353468,0.706,353,0.966005665722,0.58,290,0.972413793103,0.878,0.0848460128059,0.0376004679996,0.0365207039153,True,False,True,False
80,binary_uncertainty_repulsion,B3_q20,B3,20,20,340,0.814649292103,0.848338805237,0.814649292103,0.796462077302,0.832836506903,0.579411764706,197,0.939086294416,0.408823529412,139,0.942446043165,0.832352941176,0.11889788188,0.0422256187526,0.0446790903978,True,False,True,False
80,binary_uncertainty_repulsion,B3_q30,B3,30,20,500,0.849951861039,0.916468630161,0.849951861039,0.834066863344,0.865836858734,0.684,342,0.964912280702,0.538,269,0.970260223048,0.878,0.0876269952132,0.0375317845066,0.0431029003665,True,False,True,False
80,binary_uncertainty_repulsion,all_test,all,all,20,1620,0.935495418092,0.977909808669,0.935495418092,0.929984250948,0.941006585235,0.896913580247,1453,0.991741225052,0.82962962963,1344,0.994047619048,0.962345679012,0.0283258496716,0.0280400851044,0.0314967922188,True,False,True,False
