simulation_id,frame_count,first_timestep,last_timestep,stored_sequence,unique_label_count,label_change_count,initial_emptiness_frames,forming_phase_frames,conduction_frames,keyhole_frames,screenshot_bug_frames,usable_physical_label_frames,any_keyhole,any_conduction,both_conduction_and_keyhole,conduction_only_definition,no_usable_physical_label,keyhole_fraction,persistent_keyhole_3_consecutive_frames,first_keyhole_timestep,first_keyhole_position_s,labels_dense_relative_to_monitor
sim_00050,219,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,57,129,0,33,186,False,True,False,True,False,0.0,False,,,False
sim_00051,111,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,44,31,0,35,75,False,True,False,True,False,0.0,False,,,False
sim_00052,370,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,179,129,0,61,308,False,True,False,True,False,0.0,False,,,False
sim_00053,422,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,52,236,0,134,288,False,True,False,True,False,0.0,False,,,False
sim_00054,116,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,32,58,0,26,90,False,True,False,True,False,0.0,False,,,False
sim_00055,247,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,65,153,0,29,218,False,True,False,True,False,0.0,False,,,False
sim_00056,379,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,56,233,0,90,289,False,True,False,True,False,0.0,False,,,False
sim_00057,231,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,61,138,0,32,199,False,True,False,True,False,0.0,False,,,False
sim_00058,326,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,56,234,0,36,290,False,True,False,True,False,0.0,False,,,False
sim_00059,201,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,43,126,0,32,169,False,True,False,True,False,0.0,False,,,False
sim_00060,406,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,47,245,0,114,292,False,True,False,True,False,0.0,False,,,False
sim_00061,109,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,40,44,0,25,84,False,True,False,True,False,0.0,False,,,False
sim_00062,197,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,58,107,0,32,165,False,True,False,True,False,0.0,False,,,False
sim_00063,404,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,48,244,0,112,292,False,True,False,True,False,0.0,False,,,False
sim_00064,99,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,32,43,0,24,75,False,True,False,True,False,0.0,False,,,False
sim_00065,402,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,47,252,0,103,299,False,True,False,True,False,0.0,False,,,False
sim_00066,213,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,58,121,0,34,179,False,True,False,True,False,0.0,False,,,False
sim_00067,170,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,55,83,0,32,138,False,True,False,True,False,0.0,False,,,False
sim_00068,418,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,51,265,0,102,316,False,True,False,True,False,0.0,False,,,False
sim_00069,103,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,43,26,0,34,69,False,True,False,True,False,0.0,False,,,False
sim_00070,390,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,57,244,0,89,301,False,True,False,True,False,0.0,False,,,False
sim_00071,102,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,44,24,0,34,68,False,True,False,True,False,0.0,False,,,False
sim_00072,425,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,53,264,0,108,317,False,True,False,True,False,0.0,False,,,False
sim_00073,253,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,49,169,0,35,218,False,True,False,True,False,0.0,False,,,False
sim_00074,337,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,46,256,0,35,302,False,True,False,True,False,0.0,False,,,False
sim_00075,339,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,51,249,0,38,300,False,True,False,True,False,0.0,False,,,False
sim_00076,290,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,51,204,0,34,255,False,True,False,True,False,0.0,False,,,False
sim_00077,280,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,47,200,0,33,247,False,True,False,True,False,0.0,False,,,False
sim_00078,129,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,45,50,0,34,95,False,True,False,True,False,0.0,False,,,False
sim_00079,339,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,48,247,0,44,295,False,True,False,True,False,0.0,False,,,False
sim_00080,401,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,42,254,0,105,296,False,True,False,True,False,0.0,False,,,False
sim_00081,365,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,63,242,0,60,305,False,True,False,True,False,0.0,False,,,False
sim_00082,211,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,56,121,0,34,177,False,True,False,True,False,0.0,False,,,False
