run_id,repeat,fold,arm,prediction_model,horizon,B1_q20_AULC_16_80,B1_q30_AULC_16_80,persistent_q20_0_80_crossing,persistent_q20_0_80_observed,budget40_full81_accuracy,budget40_full81_balanced_accuracy,budget40_full81_keyhole_recall,budget40_full81_conduction_recall,budget40_full81_false_negative,budget40_full81_false_positive,budget40_B1_q30_accuracy,budget40_B1_q30_balanced_accuracy,budget40_B1_q30_keyhole_recall,budget40_B1_q30_conduction_recall,budget40_B1_q30_false_negative,budget40_B1_q30_false_positive,budget40_B1_q20_accuracy,budget40_B1_q20_balanced_accuracy,budget40_B1_q20_keyhole_recall,budget40_B1_q20_conduction_recall,budget40_B1_q20_false_negative,budget40_B1_q20_false_positive
w85__r12_f04,12,4,h_margin,h_model_h_acquisition,160,0.870404411764706,0.911875,16.0,True,0.9629629629629629,0.9211087420042643,0.8571428571428571,0.9850746268656716,2,1,0.88,0.8070175438596491,0.6666666666666666,0.9473684210526315,2,1,0.8235294117647058,0.7878787878787878,0.6666666666666666,0.9090909090909091,2,1
w85__r12_f05,12,5,assisted_product,gpc4_assisted_product,80,0.8589154411764706,0.8990625,21.0,True,0.9753086419753086,0.9568230277185501,0.9285714285714286,0.9850746268656716,1,1,0.92,0.9007936507936507,0.8571428571428571,0.9444444444444444,1,1,0.8823529411764706,0.8712121212121212,0.8333333333333334,0.9090909090909091,1,1
w85__r12_f05,12,5,gpc5_margin,gpc5_margin,80,0.8745404411764706,0.9146875,18.0,True,0.9876543209876543,0.9925373134328358,1.0,0.9850746268656716,0,1,0.96,0.9722222222222222,1.0,0.9444444444444444,0,1,0.9411764705882353,0.9545454545454546,1.0,0.9090909090909091,0,1
w85__r12_f05,12,5,h_margin,gpc4_h_acquisition,160,0.8653492647058822,0.9003125,22.0,True,0.9753086419753086,0.9568230277185501,0.9285714285714286,0.9850746268656716,1,1,0.92,0.9007936507936507,0.8571428571428571,0.9444444444444444,1,1,0.8823529411764706,0.8712121212121212,0.8333333333333334,0.9090909090909091,1,1
w85__r12_f05,12,5,h_margin,h_model_h_acquisition,160,0.7789522058823529,0.8437499999999999,19.0,True,0.9506172839506173,0.9136460554371002,0.8571428571428571,0.9701492537313433,2,2,0.84,0.8015873015873016,0.7142857142857143,0.8888888888888888,2,2,0.7647058823529411,0.7424242424242424,0.6666666666666666,0.8181818181818182,2,2
w85__r13_f01,13,1,assisted_product,gpc4_assisted_product,80,0.799172794117647,0.859375,24.0,True,0.9506172839506173,0.8853944562899787,0.7857142857142857,0.9850746268656716,3,1,0.84,0.8166666666666667,0.7,0.9333333333333333,3,1,0.7647058823529411,0.7357142857142858,0.5714285714285714,0.9,3,1
w85__r13_f01,13,1,gpc5_margin,gpc5_margin,80,0.7890624999999999,0.8499999999999999,42.0,True,0.9506172839506173,0.8853944562899787,0.7857142857142857,0.9850746268656716,3,1,0.84,0.8166666666666667,0.7,0.9333333333333333,3,1,0.7647058823529411,0.7357142857142858,0.5714285714285714,0.9,3,1
w85__r13_f01,13,1,h_margin,gpc4_h_acquisition,160,0.7881433823529411,0.850625,24.0,True,0.9506172839506173,0.8853944562899787,0.7857142857142857,0.9850746268656716,3,1,0.84,0.8166666666666667,0.7,0.9333333333333333,3,1,0.7647058823529411,0.7357142857142858,0.5714285714285714,0.9,3,1
w85__r13_f01,13,1,h_margin,h_model_h_acquisition,160,0.7996323529411763,0.8259375,35.0,True,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1,3,0.84,0.8500000000000001,0.9,0.8,1,3,0.8235294117647058,0.8285714285714285,0.8571428571428571,0.8,1,2
w85__r13_f02,13,2,assisted_product,gpc4_assisted_product,80,0.84375,0.8803125,19.0,True,0.9382716049382716,0.9106060606060606,0.8666666666666667,0.9545454545454546,2,3,0.84,0.75,0.6,0.9,2,2,0.8235294117647058,0.7583333333333333,0.6,0.9166666666666666,2,1
w85__r13_f02,13,2,gpc5_margin,gpc5_margin,80,0.8529411764705883,0.8996875,16.0,True,0.9506172839506173,0.9181818181818182,0.8666666666666667,0.9696969696969697,2,2,0.84,0.75,0.6,0.9,2,2,0.7647058823529411,0.7166666666666667,0.6,0.8333333333333334,2,2
w85__r13_f02,13,2,h_margin,gpc4_h_acquisition,160,0.8235294117647058,0.8596874999999999,16.0,True,0.9382716049382716,0.9106060606060606,0.8666666666666667,0.9545454545454546,2,3,0.84,0.75,0.6,0.9,2,2,0.8235294117647058,0.7583333333333333,0.6,0.9166666666666666,2,1
w85__r13_f02,13,2,h_margin,h_model_h_acquisition,160,0.9402573529411766,0.9590624999999999,16.0,True,0.9876543209876543,0.9924242424242424,1.0,0.9848484848484849,0,1,0.96,0.975,1.0,0.95,0,1,0.9411764705882353,0.9583333333333333,1.0,0.9166666666666666,0,1
w85__r13_f03,13,3,assisted_product,gpc4_assisted_product,80,0.8106617647058822,0.8709374999999999,32.0,True,0.9506172839506173,0.8666666666666667,0.7333333333333333,1.0,4,0,0.88,0.8125,0.625,1.0,3,0,0.8235294117647058,0.8125,0.625,1.0,3,0
w85__r13_f03,13,3,gpc5_margin,gpc5_margin,80,0.827205882352941,0.8821874999999999,16.0,True,0.9629629629629629,0.9,0.8,1.0,3,0,0.88,0.8125,0.625,1.0,3,0,0.8235294117647058,0.8125,0.625,1.0,3,0
w85__r13_f03,13,3,h_margin,gpc4_h_acquisition,160,0.8409926470588235,0.8909374999999999,16.0,True,0.9629629629629629,0.9,0.8,1.0,3,0,0.92,0.875,0.75,1.0,2,0,0.8823529411764706,0.875,0.75,1.0,2,0
w85__r13_f03,13,3,h_margin,h_model_h_acquisition,160,0.8226102941176469,0.8771875,16.0,True,0.9629629629629629,0.9,0.8,1.0,3,0,0.88,0.8125,0.625,1.0,3,0,0.8235294117647058,0.8125,0.625,1.0,3,0
w85__r13_f04,13,4,assisted_product,gpc4_assisted_product,80,0.6415441176470589,0.7503124999999999,,False,0.9135802469135802,0.8630063965884862,0.7857142857142857,0.9402985074626866,3,4,0.72,0.6948529411764706,0.625,0.7647058823529411,3,4,0.5882352941176471,0.5681818181818181,0.5,0.6363636363636364,3,4
w85__r13_f04,13,4,gpc5_margin,gpc5_margin,80,0.6502757352941176,0.756875,,False,0.9382716049382716,0.906183368869936,0.8571428571428571,0.9552238805970149,2,3,0.8,0.7867647058823529,0.75,0.8235294117647058,2,3,0.7058823529411765,0.696969696969697,0.6666666666666666,0.7272727272727273,2,3
w85__r13_f04,13,4,h_margin,gpc4_h_acquisition,160,0.6576286764705883,0.7596874999999998,,False,0.9135802469135802,0.8630063965884862,0.7857142857142857,0.9402985074626866,3,4,0.72,0.6948529411764706,0.625,0.7647058823529411,3,4,0.5882352941176471,0.5681818181818181,0.5,0.6363636363636364,3,4
w85__r13_f04,13,4,h_margin,h_model_h_acquisition,160,0.8060661764705881,0.8674999999999999,16.0,True,0.9506172839506173,0.9136460554371002,0.8571428571428571,0.9701492537313433,2,2,0.84,0.8161764705882353,0.75,0.8823529411764706,2,2,0.7647058823529411,0.7424242424242424,0.6666666666666666,0.8181818181818182,2,2
w85__r13_f05,13,5,assisted_product,gpc4_assisted_product,80,0.9255514705882353,0.936875,17.0,True,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,0.92,0.9,0.8,1.0,2,0,0.8823529411764706,0.8888888888888888,0.7777777777777778,1.0,2,0
w85__r13_f05,13,5,gpc5_margin,gpc5_margin,80,0.849264705882353,0.895625,22.0,True,0.9629629629629629,0.9,0.8,1.0,3,0,0.88,0.85,0.7,1.0,3,0,0.8235294117647058,0.8333333333333333,0.6666666666666666,1.0,3,0
