benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
branin,Thresholded Branin,gpr_fixed_or_existing,straddle,straddle,0,7,0.18166666666666667,0.8416666666666667,0.15792398244136138,0.029271299999891198,0.35,60,0.85,0.17068898238420865,0.3333333333333333,120,0.8416666666666667,0.17262710791538152,0.2833333333333333,180,0.85,0.16535975132838054
branin,Thresholded Branin,gpr_fixed_or_existing,straddle,straddle,0,8,0.18,0.54,0.07718423126034216,0.03772759999992559,0.43333333333333335,60,0.7166666666666667,0.11134729299923177,0.3416666666666667,120,0.725,0.11130211534769482,0.2722222222222222,180,0.6722222222222223,0.09516501143590739
branin,Thresholded Branin,gpr_fixed_or_existing,straddle,straddle,0,9,0.15833333333333333,0.5933333333333334,0.09180971505152218,0.032385900000008405,0.4,60,0.75,0.14065375594499854,0.3333333333333333,120,0.7583333333333333,0.14329345117746656,0.2777777777777778,180,0.7444444444444445,0.13078351496959395
branin,Thresholded Branin,gpr_fixed_or_existing,straddle,straddle,0,10,0.13833333333333334,0.5666666666666667,0.0843366482057713,0.03003540000099747,0.43333333333333335,60,0.7333333333333333,0.1358014781700336,0.375,120,0.725,0.13947937754460113,0.28888888888888886,180,0.7166666666666667,0.1284523833394755
branin,Thresholded Branin,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,6,0.2833333333333333,0.85,0.1630326823609525,0.028822799999034032,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
branin,Thresholded Branin,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,7,0.18166666666666667,0.8416666666666667,0.15792398244136138,0.02894639999976789,0.35,60,0.85,0.17068898238420865,0.3333333333333333,120,0.8416666666666667,0.17262710791538152,0.2833333333333333,180,0.85,0.16535975132838054
branin,Thresholded Branin,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,8,0.18,0.54,0.07718423126034216,0.03789460000007239,0.43333333333333335,60,0.7166666666666667,0.11134729299923177,0.3416666666666667,120,0.725,0.11130211534769482,0.2722222222222222,180,0.6722222222222223,0.09516501143590739
branin,Thresholded Branin,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,9,0.15833333333333333,0.5933333333333334,0.09180971505152218,0.0319710000003397,0.4,60,0.75,0.14065375594499854,0.3333333333333333,120,0.7583333333333333,0.14329345117746656,0.2777777777777778,180,0.7444444444444445,0.13078351496959395
branin,Thresholded Branin,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,10,0.13833333333333334,0.5666666666666667,0.0843366482057713,0.02975739999965299,0.43333333333333335,60,0.7333333333333333,0.1358014781700336,0.375,120,0.725,0.13947937754460113,0.28888888888888886,180,0.7166666666666667,0.1284523833394755
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0,6,0.2833333333333333,0.85,0.1630326823609525,0.029662099999768543,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
