simulation_id,numeric_simulation_id,relative_path,experiment_details_available,parameters_available,metadata_available,labeling_provenance_available,frames_csv_available,monitor_available,monitor_dat_count,front_frame_image_count,side_frame_image_count,top_frame_image_count,frames_csv_row_count,missing_or_incomplete,unexpected_files,complete_for_phase1
sim_00165,165,final_data_processed/sim_00165,True,True,True,True,True,True,34,336,336,336,336,,,True
sim_00166,166,final_data_processed/sim_00166,True,True,True,True,True,True,34,263,263,263,263,,,True
sim_00167,167,final_data_processed/sim_00167,True,True,True,True,True,True,34,311,311,311,311,,,True
sim_00168,168,final_data_processed/sim_00168,True,True,True,True,True,True,34,276,276,276,276,,,True
sim_00169,169,final_data_processed/sim_00169,True,True,True,True,True,True,34,140,140,140,140,,,True
sim_00170,170,final_data_processed/sim_00170,True,True,True,True,True,True,34,400,400,400,400,,,True
sim_00171,171,final_data_processed/sim_00171,True,True,True,True,True,True,34,348,348,348,348,,,True
sim_00172,172,final_data_processed/sim_00172,True,True,True,True,True,True,34,347,347,347,347,,,True
sim_00173,173,final_data_processed/sim_00173,True,True,True,True,True,True,34,447,447,447,447,,,True
sim_00174,174,final_data_processed/sim_00174,True,True,True,True,True,True,34,176,176,176,176,,,True
sim_00175,175,final_data_processed/sim_00175,True,True,True,True,True,True,34,171,171,171,171,,,True
sim_00176,176,final_data_processed/sim_00176,True,True,True,True,True,True,34,374,374,374,374,,,True
sim_00177,177,final_data_processed/sim_00177,True,True,True,True,True,True,34,132,132,132,132,,,True
sim_00178,178,final_data_processed/sim_00178,True,True,True,True,True,True,34,376,376,376,376,,,True
sim_00179,179,final_data_processed/sim_00179,True,True,True,True,True,True,34,268,268,268,268,,,True
sim_00180,180,final_data_processed/sim_00180,True,True,True,True,True,True,34,247,247,247,247,,,True
sim_00181,181,final_data_processed/sim_00181,True,True,True,True,True,True,34,185,185,185,185,,,True
sim_00182,182,final_data_processed/sim_00182,True,True,True,True,True,True,34,392,392,392,392,,,True
sim_00183,183,final_data_processed/sim_00183,True,True,True,True,True,True,34,195,195,195,195,,,True
sim_00184,184,final_data_processed/sim_00184,True,True,True,True,True,True,34,100,100,100,100,,,True
sim_00185,185,final_data_processed/sim_00185,True,True,True,True,True,True,34,364,364,364,364,,,True
sim_00186,186,final_data_processed/sim_00186,True,True,True,True,True,True,34,124,124,124,124,,,True
sim_00187,187,final_data_processed/sim_00187,True,True,True,True,True,True,34,251,251,251,251,,,True
sim_00188,188,final_data_processed/sim_00188,True,True,True,True,True,True,34,263,263,263,263,,,True
sim_00189,189,final_data_processed/sim_00189,True,True,True,True,True,True,34,127,127,127,127,,,True
sim_00190,190,final_data_processed/sim_00190,True,True,True,True,True,True,34,340,340,340,340,,,True
sim_00191,191,final_data_processed/sim_00191,True,True,True,True,True,True,34,343,343,343,343,,,True
sim_00192,192,final_data_processed/sim_00192,True,True,True,True,True,True,34,151,151,151,151,,,True
sim_00193,193,final_data_processed/sim_00193,True,True,True,True,True,True,34,358,358,358,358,,,True
sim_00194,194,final_data_processed/sim_00194,True,True,True,True,True,True,34,392,392,392,392,,,True
sim_00195,195,final_data_processed/sim_00195,True,True,True,True,True,True,34,257,257,257,257,,,True
sim_00196,196,final_data_processed/sim_00196,True,True,True,True,True,True,34,164,164,164,164,,,True
sim_00197,197,final_data_processed/sim_00197,True,True,True,True,True,True,34,112,112,112,112,,,True
sim_00198,198,final_data_processed/sim_00198,True,True,True,True,True,True,34,129,129,129,129,,,True
sim_00199,199,final_data_processed/sim_00199,True,True,True,True,True,True,34,248,248,248,248,,,True
sim_00200,200,final_data_processed/sim_00200,True,True,True,True,True,True,34,413,413,413,413,,,True
sim_00201,201,final_data_processed/sim_00201,True,True,True,True,True,True,34,422,422,422,422,,,True
sim_00202,202,final_data_processed/sim_00202,True,True,True,True,True,True,34,390,390,390,390,,,True
sim_00203,203,final_data_processed/sim_00203,True,True,True,True,True,True,34,116,116,116,116,,,True
sim_00204,204,final_data_processed/sim_00204,True,True,True,True,True,True,34,348,348,348,348,,,True
sim_00205,205,final_data_processed/sim_00205,True,True,True,True,True,True,34,293,293,293,293,,,True
sim_00206,206,final_data_processed/sim_00206,True,True,True,True,True,True,34,371,371,371,371,,,True
sim_00207,207,final_data_processed/sim_00207,True,True,True,True,True,True,34,409,409,409,409,,,True
sim_00208,208,final_data_processed/sim_00208,True,True,True,True,True,True,34,112,112,112,112,,,True
sim_00209,209,final_data_processed/sim_00209,True,True,True,True,True,True,34,278,278,278,278,,,True
sim_00210,210,final_data_processed/sim_00210,True,True,True,True,True,True,34,176,176,176,176,,,True
sim_00211,211,final_data_processed/sim_00211,True,True,True,True,True,True,34,351,351,351,351,,,True
sim_00212,212,final_data_processed/sim_00212,True,True,True,True,True,True,34,163,163,163,163,,,True
sim_00213,213,final_data_processed/sim_00213,True,True,True,True,True,True,34,139,139,139,139,,,True
sim_00214,214,final_data_processed/sim_00214,True,True,True,True,True,True,34,205,205,205,205,,,True
sim_00215,215,final_data_processed/sim_00215,True,True,True,True,True,True,34,134,134,134,134,,,True
sim_00216,216,final_data_processed/sim_00216,True,True,True,True,True,True,34,140,140,140,140,,,True
sim_00217,217,final_data_processed/sim_00217,True,True,True,True,True,True,34,105,105,105,105,,,True
sim_00218,218,final_data_processed/sim_00218,True,True,True,True,True,True,34,145,145,145,145,,,True
sim_00219,219,final_data_processed/sim_00219,True,True,True,True,True,True,34,285,285,285,285,,,True
sim_00220,220,final_data_processed/sim_00220,True,True,True,True,True,True,34,382,382,382,382,,,True
sim_00221,221,final_data_processed/sim_00221,True,True,True,True,True,True,34,426,426,426,426,,,True
sim_00222,222,final_data_processed/sim_00222,True,True,True,True,True,True,34,249,249,249,249,,,True
sim_00223,223,final_data_processed/sim_00223,True,True,True,True,True,True,34,107,107,107,107,,,True
