run_id,repeat,fold,budget,revealed_count,candidate_count,revealed_prefix_sha256,source
w85__r03_f03,3,3,16,16,308,81709cd7f626c071236603c09b6ce60bbda9c61d43842cb494d95cd02df35879,Phase 1.14 published M3-margin path
w85__r03_f03,3,3,24,24,300,2608d4e237c662566c9d8a002d4f29b266cec2a6e8630e8fba1eabd5d119318a,Phase 1.14 published M3-margin path
w85__r03_f03,3,3,32,32,292,817a068c992c5014bce4685f56ebbdf7cf9ab0d88e6361c744c9c2e1d61dfef4,Phase 1.14 published M3-margin path
w85__r03_f03,3,3,40,40,284,d95779c5d24eab22fead81c8ebd7157995e47dcc8e22c10398d94cbe9d9366e7,Phase 1.14 published M3-margin path
w85__r03_f03,3,3,60,60,264,ef39f0392d805e2d05573e559cf011b63551665889cde0352404b3d9461274a8,Phase 1.14 published M3-margin path
w85__r03_f03,3,3,80,80,244,bd4f630adf970f92affb2ef1c7e7fe81652daab71d3d61951c3b02d4d5147b15,Phase 1.14 published M3-margin path
w85__r03_f04,3,4,16,16,308,75e53933b5bb25d55dde8f42ecad1a62dd24407134b93d28d71be47a28a9cef9,Phase 1.14 published M3-margin path
w85__r03_f04,3,4,24,24,300,a3ac345820bfdff136f88cdc68e5f20ed29ce5f87f878470e89fec7e49c7b153,Phase 1.14 published M3-margin path
w85__r03_f04,3,4,32,32,292,3f6f842d49467f8e95ec93b492af8295337499d1b46a5b1832954f754517a3c5,Phase 1.14 published M3-margin path
w85__r03_f04,3,4,40,40,284,1d5067c09578bdf6eee77a19ff3ba9372b587a2db650b19add01cc1db1a2b35f,Phase 1.14 published M3-margin path
w85__r03_f04,3,4,60,60,264,546a322b3c57abd73217f529a8da0d3f30094152b091f6a5993254c64d484f41,Phase 1.14 published M3-margin path
w85__r03_f04,3,4,80,80,244,54c943f39c18ab43cdbf3bb00df4837fb767cae621f1521b76f102bc02c914fa,Phase 1.14 published M3-margin path
w85__r03_f05,3,5,16,16,308,4d39f95168040cc4362979dc8cf6122049a9f7472c06eddf902e8299a58b6802,Phase 1.14 published M3-margin path
w85__r03_f05,3,5,24,24,300,7492a2435a2e5543b7cdbb2a95a953af3e064bac830056514c060fe1c88c1024,Phase 1.14 published M3-margin path
w85__r03_f05,3,5,32,32,292,d1dc14d7b4c46a5cf6cec84c65a6fdb247c93935397a121a3d7bc681878b359d,Phase 1.14 published M3-margin path
w85__r03_f05,3,5,40,40,284,7d94a41f66489fed4feb42274584b503368112f3a0f24f9918b8abfb9d530fe8,Phase 1.14 published M3-margin path
w85__r03_f05,3,5,60,60,264,c1da69553c9adf1d8405b90a0cf35921ab17e94db46e21be3e42e359bbe65a7c,Phase 1.14 published M3-margin path
w85__r03_f05,3,5,80,80,244,dbb92dfbaf2c46e5ea9addbcfc1760b3b3e82d89d5c2a38fb0cff179805d8537,Phase 1.14 published M3-margin path
w85__r04_f01,4,1,16,16,308,5d51a5d5f5572f0e49e2db6851df2a185ebdf1b931ad614de8412c4a8404b752,Phase 1.14 published M3-margin path
w85__r04_f01,4,1,24,24,300,4951c30219178f7b81bfb3e0bc1da6972f82f97543e2a5910212bf76457906ae,Phase 1.14 published M3-margin path
w85__r04_f01,4,1,32,32,292,263b87e42eba25cde2b7ab556cd82bcc5ac71b3bad99cc26ebd6ee65d0d9651d,Phase 1.14 published M3-margin path
w85__r04_f01,4,1,40,40,284,851c4d0c0984723c4964c4aa3b14622bba6a86d6878ca4e22f2d87d138cae328,Phase 1.14 published M3-margin path
