simulation_id,numeric_simulation_id,P,VX,LS,ST,melt_pool_depth_below_surface_selected_primary_scalar_target_m,depth_target_um,flag_primary_window_unstable,depth_bootstrap_variance_um2,depth_bootstrap_std_um,fold_index
sim_00023,23,129.840936159,0.750604494449,8.84568803437e-05,319.185657099,3.4760245e-05,34.760245000000005,False,9.129104710421032e-05,0.0095546348493393,19
sim_00024,24,133.003569327,0.736244453131,4.5e-05,300.0,5.476636e-05,54.76636,False,5.992656216433163e-05,0.0077412248491005,20
sim_00025,25,133.058435031,0.81650327798,4.78587303962e-05,362.382821566,4.6692315e-05,46.692315,False,0.0003496027406476,0.0186976667166706,21
sim_00026,26,133.757797566,0.645163458122,4.5e-05,300.0,6.205676e-05,62.056760000000004,False,0.0007115312555875,0.0266745432123509,22
sim_00027,27,134.442185153,0.806363522352,4.5e-05,300.0,5.08492e-05,50.8492,False,2.734050915270632e-05,0.005228815272383,23
sim_00028,28,135.171981101,0.652238458987,5.89001447273e-05,362.997098414,4.930793e-05,49.30793,False,0.3492097499131882,0.5909397176643217,24
sim_00030,30,136.115095044,0.8200930762,6.39666133344e-05,362.502989524,4.278062e-05,42.780620000000006,False,7.693188554210193e-06,0.002773659776218,25
sim_00031,31,136.984349172,0.357723834949,5.17808569448e-05,373.061688931,5.880416e-05,58.804159999999996,False,1.991689602564966e-05,0.0044628349762958,26
sim_00032,32,137.340072051,0.708357837186,8.48461574474e-05,331.337392673,3.8749285e-05,38.749285,False,2.4382489020442343e-05,0.0049378627988677,27
sim_00033,33,137.601432421,0.461948695475,6.48780591522e-05,397.490087405,5.825875e-05,58.25875,False,0.0440791251856558,0.2099502921780672,28
sim_00034,34,138.247900083,0.876957934743,4.5e-05,300.0,4.6733375e-05,46.733375,False,3.95876681426845e-05,0.0062918731823427,29
sim_00035,35,139.278080234,0.813607985113,8.25985701782e-05,356.830860854,3.879481e-05,38.79481,False,1.3753303206012849e-05,0.0037085446210087,30
sim_00037,37,140.320645521,0.612281673664,8.56006119926e-05,348.910931315,4.274968e-05,42.74968,False,5.5932261412822405e-05,0.0074787874293111,31
sim_00039,39,140.573028588,0.551169304036,6.78791919712e-05,377.8442615,5.832933e-05,58.32933,False,4.074858091021636e-05,0.0063834615147438,32
sim_00040,40,140.974625597,0.98622838083,4.5e-05,300.0,4.684275e-05,46.84275,False,3.587259258757349e-05,0.0059893733050773,33
sim_00041,41,143.879945116,0.336279357485,6.76007351295e-05,398.207663754,5.874863e-05,58.74863,False,1.4013483076552736e-05,0.0037434587050684,34
sim_00042,42,143.909481867,0.917293492006,5.50242100517e-05,352.206869428,4.650832e-05,46.50832,False,0.0012371034084084,0.0351724808395485,35
sim_00043,43,144.684844876,0.221020126644,8.32765690701e-05,337.418493583,5.873507e-05,58.73507,False,4.01456656673293e-06,0.0020036383323177,36
sim_00044,44,144.999955433,0.569412101686,7.52189895652e-05,349.795043891,4.985055e-05,49.850550000000005,False,0.3887125408933364,0.6234681554765539,37
sim_00045,45,145.249113956,0.501139719932,7.51242767898e-05,325.186450026,5.335957e-05,53.35957,False,0.1439672114251607,0.3794301140199084,38
sim_00046,46,145.536707456,0.311971481812,7.55813970315e-05,356.422554756,6.249203e-05,62.49203,False,0.0001234335435971,0.0111100649681805,39
sim_00047,47,146.427721311,0.978546391515,4.61745657385e-05,377.807319924,4.6563705e-05,46.563705000000006,False,0.0009757864485715,0.031237580709324,40
sim_00048,48,149.217972816,0.206404715799,4.87379527164e-05,365.118947745,6.273913e-05,62.73913,False,1.6854699712526118e-05,0.0041054475654337,41
sim_00049,49,149.254341218,0.887957223036,4.5e-05,300.0,5.444253e-05,54.44253,False,7.664508619599019e-05,0.0087547179392593,42
