experiment_name,partition,exact_sph_v2_revision,P_W,VX_m_per_s,LS_um,ST_K,has_conduction,has_keyhole,keyhole_frame_count,keyhole_segment_count,keyhole_timing_relative_to_T0,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes,keyhole_persistence_group,physical_target_extraction_success,extraction_status,extraction_failure_reasons,geometry_target_ready,kinetic_energy_target_ready,source_label_modified,simulation_silently_removed,parameters_sha256,frames_csv_sha256,frames_csv_path,side_png_count,gif_count,ready__T0_depth,value__T0_depth,ready__max_depth,value__max_depth,ready__G3,value__G3,ready__R3,value__R3,ready__T0_width,value__T0_width,ready__T0_total_height,value__T0_total_height,ready__T0_kinetic_energy,value__T0_kinetic_energy,ready__R0,value__R0
P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,212.944274192,0.351323873231,48.0439392259,351.894554175,True,True,7,1,before_T0,True,False,False,transient Keyhole,True,PASS,,True,True,False,False,fe4af7bdef7e57490a40b7ac10a7245ad9a9c756b0e7aa5db60e43c8aa9e05c6,e565e6f965749f6a25ddd13c6d6b77f8fb09e42b5183604340eb69b526208953,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959/frames.csv,154,3,True,78.70302,True,119.0752,True,114.5273,True,0.6341750377176019,True,182.997545,True,101.489975,True,2.2680105,True,0.43007691715208524
P-213p315910834_VX-0p426447159191_LS-8p60684535809e-05_ST-346p722503996_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13123525366e-05_H-6aeda8a35c,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,213.315910834,0.426447159191,86.0684535809,346.722503996,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,528290b910c8e52e0d33131098781bc2fd4f48eaadcc59e00b5310b4e101dbda,edab497f8beccb17630b40ffe0d9193d9a09bb73e31197d87644c7e706f4caa6,P-213p315910834_VX-0p426447159191_LS-8p60684535809e-05_ST-346p722503996_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13123525366e-05_H-6aeda8a35c/frames.csv,185,3,True,78.75622,True,78.93777,True,78.77935,True,0.3407551431036969,True,231.1905,True,110.53784,True,2.56185,True,0.34065508747115475
P-217p682945702_VX-0p631899079757_LS-7p17459883069e-05_ST-324p134516573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p63432129838e-06_H-7c2e16b959,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,217.682945702,0.631899079757,71.74598830689999,324.134516573,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,bc2c947dd0f4b0d7f607343e46e5420e5009d464224729cd11c59fb2007de305,b707d9e8fed5efb968abd462cf33acaf58fe4b0460c7d80540401b04abd5b169,P-217p682945702_VX-0p631899079757_LS-7p17459883069e-05_ST-324p134516573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p63432129838e-06_H-7c2e16b959/frames.csv,275,3,True,67.46731,True,74.68508,True,74.38219,True,0.4131706483824879,True,180.14202,True,97.78083,True,2.382778,True,0.37452289032841973
P-222p079289377_VX-0p741891960581_LS-8p7279944479e-05_ST-335p366959171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p50245704137e-06_H-0f2c16c7e5,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,222.079289377,0.741891960581,87.27994447900001,335.366959171,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,c04aaad7c9055f4e2974a058715f0e761a91c4ed4fe13a841feff893957370cc,ad90eb232e6ef252c5dcaa1f9870fd851d6ad9a7d933d1a3d8d2d6d75dd0d600,P-222p079289377_VX-0p741891960581_LS-8p7279944479e-05_ST-335p366959171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p50245704137e-06_H-0f2c16c7e5/frames.csv,321,3,True,58.95031,True,62.83974,True,62.617895,True,0.3351277312286675,True,187.36341,True,91.73953,True,2.50483,True,0.3146308556190347
P-225p007853492_VX-0p825221323097_LS-8p70957490335e-05_ST-338p940755161_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p84585064393e-06_H-c2c7cd9590,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,225.007853492,0.825221323097,87.0957490335,338.940755161,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,5c4d35be5bb2d9dd851c1ee88176695e6339b9b7a9e74b47a82b9c9d36313e72,90d322ca76b32a266bdc3693148f609bc1fda15221890943c2d9605a21057fcb,P-225p007853492_VX-0p825221323097_LS-8p70957490335e-05_ST-338p940755161_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p84585064393e-06_H-c2c7cd9590/frames.csv,356,3,True,58.68753,True,58.96711,True,58.85763,True,0.3276051192780102,True,179.33855,True,90.16446,True,2.553097,True,0.3272443654752422
P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,227.095146149,0.485569900572,46.1845747353,309.475761642,False,True,143,1,spans_multiple_T0_regions,False,True,False,persistent Keyhole,True,PASS,,True,True,False,False,a0f0e0041950dcf8cc9a55c1560b08a37e907c402413120102733339dcad0995,95e0becfbd39854d95d572cb5cd209d0aba356b158314eea7e0b931b31d3541d,P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67/frames.csv,213,3,True,138.5759,True,207.3806,True,187.6205,True,1.1760164980876044,True,159.19671,True,162.66568999999998,True,2.781811,True,0.8704696221423168
P-230p324353521_VX-0p227660683076_LS-8p68191306555e-05_ST-386p564919231_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p11899592755e-05_H-0602c4a780,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,230.324353521,0.227660683076,86.8191306555,386.564919231,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,f10d6139f3e83404940bd5a24243c6119eb40c2c15e5dabbb59d1511a31f8854,c938a893ae97ee84a7a1e9ef191aab459bf96004f57b731360fce0c95adedb1d,P-230p324353521_VX-0p227660683076_LS-8p68191306555e-05_ST-386p564919231_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p11899592755e-05_H-0602c4a780/frames.csv,101,3,True,74.64661000000001,True,74.786,True,74.60725500000001,True,0.2874873959209154,True,270.3758,True,91.9299,True,3.041865,True,0.2760846569848337
P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,231.081894821,0.850370876493,55.190986405,302.777484886,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,24fb79c8ab7ed3a003e32c8fbbf9c90276d4da86fef1de8f3b4d2239bff811f7,99395c70725bf8c244f76d3f0b7b205b5f21e0f2ae573d4195fe35d3b303b211,P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71/frames.csv,364,3,True,62.65886999999999,True,66.55402000000001,True,62.800715,True,0.4395123597190725,True,143.04066500000002,True,86.97557499999999,True,2.533465,True,0.4380493477152108
P-233p106311211_VX-0p310101846937_LS-6p6327379673e-05_ST-336p786172861_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p55565684328e-05_H-add9572a86,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,233.106311211,0.310101846937,66.32737967300001,336.786172861,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,5c29ff2b4a69cb5b719aadd5eb699e586c763f33c6af064bc62c55c9ccdd6b89,51edafaa0abbe13c9628a019c995761a702d8b28f3e6f9f5d9acce5eb4faadd8,P-233p106311211_VX-0p310101846937_LS-6p6327379673e-05_ST-336p786172861_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p55565684328e-05_H-add9572a86/frames.csv,136,3,True,82.64645,True,82.84798,True,82.59051000000001,True,0.3580815927193547,True,230.9656,True,105.04311,True,2.794187,True,0.35783012708386014
P-233p11801175_VX-0p947725383123_LS-6p63357513021e-05_ST-310p062780041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p09020934642e-06_H-1d842653b1,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,233.11801175,0.947725383123,66.3357513021,310.062780041,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,8ecabeac9e75ccee67f833221a0d190cbcb98cd3a631027449ffd45467acbd20,2d42713f91fa52340286d5f45156d36f222db631efebb31d2c6c56d350ec0ace,P-233p11801175_VX-0p947725383123_LS-6p63357513021e-05_ST-310p062780041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p09020934642e-06_H-1d842653b1/frames.csv,408,3,True,58.74257,True,59.03615,True,58.91176000000001,True,0.4118446053684531,True,142.84454,True,85.20879000000001,True,2.841927,True,0.4112342690872189
P-233p918914285_VX-0p55009860706_LS-6p76633993968e-05_ST-363p156889773_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76955611431e-06_H-9f078c62f6,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,233.918914285,0.55009860706,67.66339939679999,363.156889773,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,c3f31416f7a43af42c025def733e7c11069947b4bfc28bc47a8d92ae5d6c3a11,b24f75eb3822029d620120a0e800676a8340d8c47a299624e9c6a0630e125aa7,P-233p918914285_VX-0p55009860706_LS-6p76633993968e-05_ST-363p156889773_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76955611431e-06_H-9f078c62f6/frames.csv,240,3,True,73.72658,True,82.8999,True,82.49965,True,0.432404073021801,True,188.91404,True,104.23083,True,2.837739,True,0.3902652232729764
P-236p369825033_VX-0p606859942193_LS-6p45901770765e-05_ST-328p218563755_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p94931460723e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,236.369825033,0.606859942193,64.5901770765,328.218563755,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,0decf7b7840c33494e8bd401b98789b968842188c984163f56dd40bde4e76fe7,80e32cefb699f8481d44a6f00a9d60562bc3230b59fdb5f214dc92eec613dc5f,P-236p369825033_VX-0p606859942193_LS-6p45901770765e-05_ST-328p218563755_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p94931460723e-06_H-0e4c2fc094/frames.csv,266,3,True,71.80616500000001,True,79.34149000000001,True,78.72644,True,0.4503745811725081,True,175.66239000000002,True,101.17085500000002,True,2.803819,True,0.408773699367292
