benchmark_population,run_id,repeat,fold,method,formulation,query_order,selection_stage,population_row_index,experiment_name,partition,P,VX,LS,ST,revealed_has_keyhole,revealed_max_depth_um,revealed_G3_um,empirical_boundary_distance_evaluation_only,boundary_score_consulted_before_selection,hidden_label_consulted_before_selection,hidden_physical_response_consulted_before_selection,known_before_query,revealed_by_query,acquisition_metadata_json
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,21,shared_random_after_warm_start,82,P-267p46239641_VX-0p483361678819_LS-7p67845272617e-05_ST-366p829607628_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p98035387249e-06_H-1d842653b1,new-data,267.46239641,0.483361678819,7.67845272617e-05,366.829607628,0,90.95953,90.78383000000001,1.1190588891528876,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 20}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,22,shared_random_after_warm_start,165,P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,0,26.93815,26.758460000000003,3.254328238655684,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 21}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,23,shared_random_after_warm_start,296,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,old-data-local,238.319282705,0.253960262605,5.92121677448e-05,384.128817665,1,123.75569999999999,123.1746,0.609832824844942,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 22}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,24,shared_random_after_warm_start,66,P-241p526098173_VX-0p390351171714_LS-7p60309896784e-05_ST-322p459160533_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p23584119956e-05_H-0e4c2fc094,new-data,241.526098173,0.390351171714,7.60309896784e-05,322.459160533,0,94.03579,90.36786500000001,1.2118802271184341,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 23}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,25,shared_random_after_warm_start,14,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,new-data,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,0,58.50217,58.298370000000006,1.1855914009050184,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 24}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,26,shared_random_after_warm_start,1,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,0,27.37239,27.061709999999998,2.681387091414769,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 25}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,27,shared_random_after_warm_start,274,P-218p361623288_VX-0p747470791734_LS-7p1375293786e-05_ST-300p016423613_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45392523208e-06_H-a55a682ac9,old-data-local,218.361623288,0.747470791734,7.1375293786e-05,300.016423613,0,63.18565,62.96796,1.5196082481174273,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 26}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,28,shared_random_after_warm_start,237,P-176p64993117_VX-0p775213670345_LS-6p57722012124e-05_ST-360p022077993_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p222956054e-06_H-5731c00627,old-data-local,176.64993117,0.775213670345,6.57722012124e-05,360.022077993,0,55.0918,54.935365,1.3542844239546996,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 27}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,29,shared_random_after_warm_start,390,P-235p890696826_VX-0p62852965691_LS-7p09715556056e-05_ST-349p581827429_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p6752473809e-06_H-765072ed36,old-data-remote-clean,235.890696826,0.62852965691,7.09715556056e-05,349.581827429,0,74.97139,74.82339,1.042577540260156,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 28}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,30,shared_random_after_warm_start,359,P-145p199982561_VX-0p253198682602_LS-7p7513591008e-05_ST-398p693210886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90527081478e-05_H-2d34966482,old-data-remote-clean,145.199982561,0.253198682602,7.7513591008e-05,398.693210886,0,59.07345,58.806844999999996,1.6611727062629216,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""acquisition_definition"": ""shared_predetermined_random_pool_order"", ""shared_permutation_position"": 29}"
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,1,shared_sequential_random_warm_start,339,P-99p0936052974_VX-0p300439480401_LS-4p95355776339e-05_ST-340p036700638_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60568797302e-05_H-701e6757d1,old-data-local,99.0936052974,0.300439480401,4.95355776339e-05,340.036700638,0,51.022310000000004,50.76388,1.264387191161119,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 0}"
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,2,shared_sequential_random_warm_start,320,P-78p3109819881_VX-0p819836919071_LS-8p42620704062e-05_ST-359p367913591_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88424415978e-06_H-cedd8dc36d,old-data-local,78.3109819881,0.819836919071,8.42620704062e-05,359.367913591,0,19.117600000000003,18.9878,2.7842426561241993,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 1}"
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,3,shared_sequential_random_warm_start,77,P-260p125654688_VX-0p378472963537_LS-6p21275317791e-05_ST-359p026868384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27462753427e-05_H-0602c4a780,new-data,260.125654688,0.378472963537,6.21275317791e-05,359.026868384,0,86.94682999999999,86.74683,0.7647688655124604,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 2}"
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,4,shared_sequential_random_warm_start,364,P-162p201106716_VX-0p908426857038_LS-8p56302518524e-05_ST-395p218711567_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31041169208e-06_H-b41981edcb,old-data-remote-clean,162.201106716,0.908426857038,8.56302518524e-05,395.218711567,0,43.3943,42.84402,2.888075605662368,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 3}"
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,5,shared_sequential_random_warm_start,52,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,new-data,212.944274192,0.351323873231,4.80439392259e-05,351.894554175,1,119.0752,114.5273,0.6187742015491088,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 4}"
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,6,shared_sequential_random_warm_start,393,P-243p325077963_VX-0p998321353283_LS-5p70160449472e-05_ST-337p156153016_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p83223221376e-06_H-d7a336064e,old-data-remote-clean,243.325077963,0.998321353283,5.70160449472e-05,337.156153016,0,59.27349,58.932255,1.7170541977419052,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 5}"
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,7,shared_sequential_random_warm_start,243,P-183p86712976_VX-0p92773562332_LS-4p77447546287e-05_ST-393p876492884_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p19988721113e-06_H-95ed9fb76f,old-data-local,183.86712976,0.92773562332,4.77447546287e-05,393.876492884,0,55.367140000000006,54.833909999999996,1.6196448735346667,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 6}"
