simulation_id,analysis_domain,window_type,window_value,window_distance_um,candidate_id,value,unit,event_position_s,available,typical_window_observation_count,minimum_required_observations,minimum_span_fraction,any_keyhole,record_type,availability_count,availability_fraction,median_value,roc_auc_any_keyhole,pr_auc_any_keyhole,prevalence,positive_count,negative_count,median_window_observation_count
sim_00002,common_interior,normalized_track_fraction,1.0,12.12,R3,0.1905198812230316,dimensionless,0.2859326895065743,True,728.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,2.5,30.3,G3,22.96911,um,0.4977666751292284,True,1819.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,2.5,30.3,G4,23.09795,um,0.3980483193846156,True,1819.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,2.5,30.3,R3,0.1896755738153125,dimensionless,0.2985876809021961,True,1819.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,5.0,60.6,G3,22.94013,um,0.35169740092730545,True,3637.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,5.0,60.6,G4,23.003220000000002,um,0.42628424005989296,True,3637.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,5.0,60.6,R3,0.18829838104819666,dimensionless,0.3053278796394497,True,3637.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,20.0,20.0,G3,35.0861,um,0.5228957782447098,True,1724.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,20.0,20.0,G4,35.12587,um,0.5221010393846165,True,1724.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,20.0,20.0,R3,0.2761105216092566,dimensionless,0.32431034626217103,True,1724.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,50.0,49.99999999999999,G3,34.942479999999996,um,0.34488803506743543,True,4309.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,50.0,49.99999999999999,G4,35.092268000000004,um,0.5227138735762747,True,4309.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,50.0,49.99999999999999,R3,0.2758077184472268,dimensionless,0.34101952911871647,True,4309.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,100.0,99.99999999999999,G3,34.91819,um,0.5895983747501672,True,8617.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,100.0,99.99999999999999,G4,35.030664,um,0.4025322536187444,True,8617.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,physical_um,100.0,99.99999999999999,R3,0.2751853782120196,dimensionless,0.36267920798222897,True,8617.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,1.0,12.12,G3,35.11611,um,0.5221105827889605,True,1045.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,1.0,12.12,G4,35.179058000000005,um,0.5220340246502453,True,1045.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,1.0,12.12,R3,0.27690987650440757,dimensionless,0.3404450267224068,True,1045.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,2.5,30.3,G3,35.0175,um,0.5238820706295638,True,2611.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,2.5,30.3,G4,35.11611,um,0.5221105827889605,True,2611.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,2.5,30.3,R3,0.27612445686640735,dimensionless,0.3392672335387828,True,2611.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,5.0,60.6,G3,34.932280000000006,um,0.5549162724883657,True,5222.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,5.0,60.6,G4,35.073258,um,0.5547248771415776,True,5222.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,adaptive_active_interior,normalized_track_fraction,5.0,60.6,R3,0.2755934527065351,dimensionless,0.3494842651418764,True,5222.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,20.0,20.0,G3,35.0861,um,0.5228957782447098,True,1724.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,20.0,20.0,G4,35.12587,um,0.5221010393846165,True,1724.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,20.0,20.0,R3,0.2761105216092566,dimensionless,0.32431034626217103,True,1724.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,50.0,49.99999999999999,G3,34.942479999999996,um,0.34488803506743543,True,4309.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,50.0,49.99999999999999,G4,35.092268000000004,um,0.5227138735762747,True,4309.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,50.0,49.99999999999999,R3,0.2758077184472268,dimensionless,0.34101952911871647,True,4309.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,100.0,99.99999999999999,G3,34.87421,um,0.3667392147297178,True,8617.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,100.0,99.99999999999999,G4,35.030664,um,0.4025322536187444,True,8617.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,physical_um,100.0,99.99999999999999,R3,0.2751853782120196,dimensionless,0.36267920798222897,True,8617.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,1.0,12.12,G3,35.11611,um,0.5221105827889605,True,1045.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,1.0,12.12,G4,35.179058000000005,um,0.5220340246502453,True,1045.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,1.0,12.12,R3,0.27690987650440757,dimensionless,0.3404450267224068,True,1045.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,2.5,30.3,G3,35.0175,um,0.5238820706295638,True,2611.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,2.5,30.3,G4,35.11611,um,0.5221105827889605,True,2611.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,2.5,30.3,R3,0.27612445686640735,dimensionless,0.3392672335387828,True,2611.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,5.0,60.6,G3,34.929390000000005,um,0.35289310590235856,True,5222.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,5.0,60.6,G4,35.066968,um,0.5232405007728919,True,5222.0,5,0.8,False,simulation,,,,,,,,,
sim_00003,common_interior,normalized_track_fraction,5.0,60.6,R3,0.2755934527065351,dimensionless,0.3494842651418764,True,5222.0,5,0.8,False,simulation,,,,,,,,,
sim_00004,adaptive_active_interior,physical_um,20.0,20.0,G3,46.89331,um,0.35973376398345014,True,3434.0,5,0.8,False,simulation,,,,,,,,,
sim_00004,adaptive_active_interior,physical_um,20.0,20.0,G4,46.947016,um,0.3546009369762111,True,3434.0,5,0.8,False,simulation,,,,,,,,,
