target,target_label,target_unit,model,model_label,n,target_median_abs_scale,relative_error_denominator_definition,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2
total_height,T0 total vertical melt-pool height,um,training_mean,Training-fold mean,12,98.17129,median(abs(y_observed)),59.33852613636365,60.44386921712411,76.74541658469121,78.17501082515184,-0.19008264462809943
width,T0 melt-pool width,um,linear_ridge,Linear Ridge,12,152.09991250000002,median(abs(y_observed)),6.591774694920445,4.333845159128835,8.235705745747142,5.414668299527879,0.866594679228094
width,T0 melt-pool width,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",12,152.09991250000002,median(abs(y_observed)),6.53766258258975,4.298268470463288,8.699632696705843,5.719682906922015,0.8511416014022275
width,T0 melt-pool width,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,12,152.09991250000002,median(abs(y_observed)),6.537691391056608,4.298287410952066,8.699678312548789,5.719712897631541,0.8511400403434172
width,T0 melt-pool width,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,12,152.09991250000002,median(abs(y_observed)),9.90129889905373,6.509733461584817,17.60815909854274,11.576705606942896,0.3901831558239156
width,T0 melt-pool width,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",12,152.09991250000002,median(abs(y_observed)),9.901421991403295,6.509814390197821,17.608398668096246,11.57686311495823,0.39016656186402376
width,T0 melt-pool width,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,12,152.09991250000002,median(abs(y_observed)),9.901444815045043,6.509829395888075,17.608420509064644,11.576877474577536,0.39016504902218485
width,T0 melt-pool width,um,rbf_no_nugget,"RBF, numerical jitter",12,152.09991250000002,median(abs(y_observed)),9.809251879741984,6.449215991325427,17.6094989683838,11.577586521217622,0.3900903458622784
width,T0 melt-pool width,um,rbf_learned_nugget,RBF + learned nugget,12,152.09991250000002,median(abs(y_observed)),10.124265865904894,6.6563258975608495,17.649022362064397,11.603571673365948,0.38734946706006845
width,T0 melt-pool width,um,polynomial_ridge_degree2,Polynomial Ridge degree 2,12,152.09991250000002,median(abs(y_observed)),16.731309532102888,11.00020983385042,22.08706775771604,14.521420423378636,0.04049413026489057
width,T0 melt-pool width,um,training_mean,Training-fold mean,12,152.09991250000002,median(abs(y_observed)),19.952079545454538,13.117745577568648,24.598170442846982,16.172376458695844,-0.19008264462809943
