benchmark,metric,tolerance,surrogate_variant,acquisition_rule,method,mean_curve_first_budget,seed_0_first_budget,seed_1_first_budget,seed_2_first_budget,seed_3_first_budget,seed_4_first_budget
branin,global_error,0.08,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,45,33,24,null,30,25
branin,global_error,0.08,fixed_iso_gpc,classifier_margin,classifier_margin,null,41,null,null,46,null
branin,global_error,0.08,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,27,25,null,38,24
branin,global_error,0.08,fixed_iso_gpc,random,random,null,null,null,null,null,null
branin,global_error,0.08,optimized_ard_gpc,classifier_entropy,classifier_entropy,46,28,null,34,42,46
branin,global_error,0.08,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,34,24,31,31,31,37
branin,global_error,0.08,optimized_ard_gpc,classifier_margin,classifier_margin,48,18,null,34,42,46
branin,global_error,0.08,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,33,23,26,31,36,40
branin,global_error,0.08,optimized_ard_gpc,random,random,null,null,null,28,39,null
branin,global_error,0.08,optimized_iso_gpc,classifier_entropy,classifier_entropy,39,38,28,36,36,42
branin,global_error,0.08,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,30,18,26,29,37,33
branin,global_error,0.08,optimized_iso_gpc,classifier_margin,classifier_margin,36,21,28,36,36,42
branin,global_error,0.08,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,31,27,24,22,33,26
branin,global_error,0.08,optimized_iso_gpc,random,random,null,null,null,29,37,null
branin,global_error,0.06,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,null,null,null,null,null
branin,global_error,0.06,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,37,32,null,null,null
branin,global_error,0.06,fixed_iso_gpc,classifier_margin,classifier_margin,null,null,null,null,null,null
branin,global_error,0.06,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,34,38,null,null,null
branin,global_error,0.06,fixed_iso_gpc,random,random,null,null,null,null,null,null
branin,global_error,0.06,optimized_ard_gpc,classifier_entropy,classifier_entropy,null,42,null,39,46,46
branin,global_error,0.06,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,39,31,39,39,32,40
branin,global_error,0.06,optimized_ard_gpc,classifier_margin,classifier_margin,null,37,null,39,46,46
branin,global_error,0.06,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,40,29,28,32,37,43
branin,global_error,0.06,optimized_ard_gpc,random,random,null,null,null,null,null,null
branin,global_error,0.06,optimized_iso_gpc,classifier_entropy,classifier_entropy,43,46,29,41,null,46
branin,global_error,0.06,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,38,30,31,47,38,38
branin,global_error,0.06,optimized_iso_gpc,classifier_margin,classifier_margin,41,28,29,41,45,46
branin,global_error,0.06,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,39,36,30,39,45,37
branin,global_error,0.06,optimized_iso_gpc,random,random,null,null,null,null,null,null
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_entropy,classifier_entropy,6,6,6,6,23,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,6,6,6,6,12,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_margin,classifier_margin,6,6,6,6,23,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,6,6,6,6,12,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,random,random,6,6,6,6,24,6
branin,near_boundary_error_q20,0.5,optimized_ard_gpc,classifier_entropy,classifier_entropy,6,6,6,6,16,6
branin,near_boundary_error_q20,0.5,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,6,6,6,6,19,6
branin,near_boundary_error_q20,0.5,optimized_ard_gpc,classifier_margin,classifier_margin,6,6,6,6,16,6
branin,near_boundary_error_q20,0.5,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,6,6,6,6,17,6
branin,near_boundary_error_q20,0.5,optimized_ard_gpc,random,random,6,6,6,6,16,6
branin,near_boundary_error_q20,0.5,optimized_iso_gpc,classifier_entropy,classifier_entropy,6,6,6,6,17,6
branin,near_boundary_error_q20,0.5,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,6,6,6,6,26,6
branin,near_boundary_error_q20,0.5,optimized_iso_gpc,classifier_margin,classifier_margin,6,6,6,6,17,6
branin,near_boundary_error_q20,0.5,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,6,6,6,6,21,6
branin,near_boundary_error_q20,0.5,optimized_iso_gpc,random,random,6,6,6,6,19,6
branin,near_boundary_error_q20,0.45,fixed_iso_gpc,classifier_entropy,classifier_entropy,8,8,7,6,23,6
branin,near_boundary_error_q20,0.45,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,11,8,15,6,16,6
branin,near_boundary_error_q20,0.45,fixed_iso_gpc,classifier_margin,classifier_margin,8,8,7,6,23,6
branin,near_boundary_error_q20,0.45,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,11,8,10,6,16,6
branin,near_boundary_error_q20,0.45,fixed_iso_gpc,random,random,7,7,7,6,26,6
branin,near_boundary_error_q20,0.45,optimized_ard_gpc,classifier_entropy,classifier_entropy,9,6,9,6,18,6
branin,near_boundary_error_q20,0.45,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,17,6,17,6,25,6
branin,near_boundary_error_q20,0.45,optimized_ard_gpc,classifier_margin,classifier_margin,10,6,9,6,18,6
branin,near_boundary_error_q20,0.45,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,12,6,9,6,23,6
branin,near_boundary_error_q20,0.45,optimized_ard_gpc,random,random,13,6,8,6,21,6
branin,near_boundary_error_q20,0.45,optimized_iso_gpc,classifier_entropy,classifier_entropy,6,6,6,6,20,6
branin,near_boundary_error_q20,0.45,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,6,6,6,6,27,6
branin,near_boundary_error_q20,0.45,optimized_iso_gpc,classifier_margin,classifier_margin,6,6,6,6,20,6
branin,near_boundary_error_q20,0.45,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,6,6,6,6,27,6
branin,near_boundary_error_q20,0.45,optimized_iso_gpc,random,random,6,6,6,6,21,6
branin,near_boundary_error_q20,0.4,fixed_iso_gpc,classifier_entropy,classifier_entropy,15,8,7,6,24,7
branin,near_boundary_error_q20,0.4,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,12,12,16,6,17,7
branin,near_boundary_error_q20,0.4,fixed_iso_gpc,classifier_margin,classifier_margin,15,8,7,6,24,7
branin,near_boundary_error_q20,0.4,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,13,11,20,6,17,7
branin,near_boundary_error_q20,0.4,fixed_iso_gpc,random,random,16,7,7,6,37,8
branin,near_boundary_error_q20,0.4,optimized_ard_gpc,classifier_entropy,classifier_entropy,15,6,11,6,18,7
branin,near_boundary_error_q20,0.4,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,17,6,27,6,27,12
branin,near_boundary_error_q20,0.4,optimized_ard_gpc,classifier_margin,classifier_margin,14,6,11,6,18,7
branin,near_boundary_error_q20,0.4,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,17,6,11,6,25,7
branin,near_boundary_error_q20,0.4,optimized_ard_gpc,random,random,15,6,12,6,21,13
branin,near_boundary_error_q20,0.4,optimized_iso_gpc,classifier_entropy,classifier_entropy,16,6,7,6,21,8
branin,near_boundary_error_q20,0.4,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,18,6,7,6,28,7
branin,near_boundary_error_q20,0.4,optimized_iso_gpc,classifier_margin,classifier_margin,13,6,7,6,21,8
branin,near_boundary_error_q20,0.4,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,20,6,7,6,28,7
branin,near_boundary_error_q20,0.4,optimized_iso_gpc,random,random,13,6,7,6,21,7
branin,near_boundary_error_q20,0.35,fixed_iso_gpc,classifier_entropy,classifier_entropy,23,8,16,12,24,15
branin,near_boundary_error_q20,0.35,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,21,12,19,16,20,12
branin,near_boundary_error_q20,0.35,fixed_iso_gpc,classifier_margin,classifier_margin,23,8,16,12,24,15
branin,near_boundary_error_q20,0.35,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,21,12,20,16,20,13
branin,near_boundary_error_q20,0.35,fixed_iso_gpc,random,random,36,8,8,28,37,9
branin,near_boundary_error_q20,0.35,optimized_ard_gpc,classifier_entropy,classifier_entropy,20,23,11,16,19,14
branin,near_boundary_error_q20,0.35,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,27,17,28,13,30,30
branin,near_boundary_error_q20,0.35,optimized_ard_gpc,classifier_margin,classifier_margin,18,13,11,16,19,14
branin,near_boundary_error_q20,0.35,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,23,17,11,17,25,23
branin,near_boundary_error_q20,0.35,optimized_ard_gpc,random,random,21,15,18,15,21,17
branin,near_boundary_error_q20,0.35,optimized_iso_gpc,classifier_entropy,classifier_entropy,20,21,12,20,21,10
