model,budget,mean,lower,upper
P0,53,0.8283720029970029,0.8175568618881118,0.839428220043845
P0,54,0.8280226162726162,0.817782631951382,0.8388040001665001
P0,55,0.8295861638361638,0.8201688058469309,0.8386553196803197
P0,56,0.8229770368520368,0.8130216571622823,0.8332130383505383
P0,57,0.8210325924075923,0.8098451388888889,0.8324176212676212
P0,58,0.8258520368520369,0.8160438554501053,0.8355618763181262
P0,59,0.8279038045288045,0.8178807827589076,0.8379901334776336
P0,60,0.826411741036741,0.8165787233599734,0.8356453192640692
P0,61,0.8307273976023977,0.8214383703102454,0.8397361020923519
P0,62,0.8266680541680541,0.8173220945720946,0.8359931443556443
P0,63,0.8259380203130202,0.8144672695360196,0.83790061500999
P0,64,0.8283411588411587,0.8181355987762239,0.8387352799977801
P0,65,0.828630661005661,0.817374878940504,0.8396767017704517
P0,66,0.8284324286824287,0.8175810911310911,0.8395535384754137
P0,67,0.8289627317127317,0.8179300012487513,0.8398507260101009
P0,68,0.8239703074703074,0.8136317678848929,0.8343523736679986
P0,69,0.8254804084804084,0.8151430812243313,0.8360842442279943
P0,70,0.8300738428238427,0.8208789054695305,0.8390111954018203
P0,71,0.827773754023754,0.8188889506327005,0.8362398088023087
P0,72,0.8272304084804085,0.817587439990565,0.8368732881701632
P0,73,0.8316029387279388,0.8221472073065822,0.8400884154040406
P0,74,0.83312277999778,0.8247360601204353,0.8409334464146964
P0,75,0.8343349012099012,0.8269529536435785,0.8415472343628595
P0,76,0.8303570873570874,0.8221620837495837,0.8375652975496725
P0,77,0.8312797064047064,0.8225490561521812,0.8387803394522145
P0,78,0.8348630397380397,0.8267848200410701,0.8417195165945167
P0,79,0.8329564740814741,0.824541778013653,0.8402898976023976
P0,80,0.8320654206904207,0.8230401352120102,0.8400071987040737
P1,16,0.7719142107892109,0.7507896346708847,0.7901782817876568
P1,17,0.7908708097458097,0.773699828990454,0.8072117056554556
P1,18,0.7877465312465313,0.7744581605894106,0.7996343906093907
P1,19,0.7948740564990565,0.7810632489038739,0.8075493284493284
P1,20,0.7970638666888668,0.7843001477688978,0.8085362876706625
P1,21,0.7985142635142635,0.7896617327117328,0.8075288527444778
P1,22,0.7983080946830948,0.78650705509768,0.8091621572871573
P1,23,0.7986371545121546,0.7892175494644246,0.8075597388722389
P1,24,0.7988360528360529,0.7888610347985348,0.8083456803613055
P1,25,0.8112233183483182,0.7997102994227996,0.8223937777500276
P1,26,0.8125178155178154,0.8014634983072482,0.823622067862693
P1,27,0.8119383255633256,0.8016212665806416,0.8230501297313797
P1,28,0.8169698912198913,0.8099187621406372,0.8243545308857809
P1,29,0.8104482461982461,0.797832512973138,0.8224595904095904
P1,30,0.8090102952602951,0.7955171672077922,0.8215418352480854
P1,31,0.8097426184926185,0.7980514357170607,0.8208237123987124
P1,32,0.8132126762126763,0.802134075993451,0.8240202564796315
P1,33,0.8083496364746365,0.7969119727494727,0.8187462710900211
P1,34,0.8135442612942614,0.8030780969030968,0.8234075157481408
P1,35,0.819145757020757,0.8075392936924188,0.8317608738483738
P1,36,0.8148782606282607,0.801197181984682,0.8289462138555889
P1,37,0.8179510073260072,0.8059365519896771,0.8300584987928737
P1,38,0.8217669691419692,0.8097567581723832,0.8324705135142635
P1,39,0.8214192612942612,0.8105117108585859,0.8323498303779553
P1,40,0.8270682511932513,0.8174785176628926,0.8362087287712286
P1,41,0.8263516206016206,0.8175738473332224,0.8354680722055722
P1,42,0.8251075729825731,0.8149641341297591,0.8349770833333334
P1,43,0.8236795426795427,0.8122136231823731,0.8346962738650239
P1,44,0.8246631285381284,0.8146640723859474,0.8344004977661228
P1,45,0.831127775002775,0.8203920007076256,0.8413953300172051
P1,46,0.8291533882783882,0.8205614014457764,0.8372746739371738
P1,47,0.8282425491175491,0.817444893994894,0.8384402642496392
P1,48,0.8298996003996002,0.8181999701687201,0.8415285280691531
P1,49,0.8291732295482296,0.8185254766067266,0.8396192779442779
P1,50,0.8319472194472194,0.8213701933483183,0.8427215714840715
P1,51,0.8307275224775225,0.819116300019425,0.8419314470251971
P1,52,0.8275550283050283,0.8171834193584193,0.8381574408230659
P1,53,0.8319929098679097,0.8205342022560772,0.8432105325230326
P1,54,0.8340288045288045,0.8230727980352979,0.844392462051837
P1,55,0.8314176934176933,0.8204075143606393,0.8416043109668109
P1,56,0.8360208680208678,0.8261126911283161,0.8464474900099902
P1,57,0.836655969030969,0.8281275193556444,0.8459923808830057
P1,58,0.8351143023643024,0.8265272772366523,0.8437284000721502
P1,59,0.8329615245865247,0.8217266986485737,0.8438587977994229
P1,60,0.8328722388722388,0.8232355040792543,0.8418896031052281
P1,61,0.8338583499833501,0.8242068636224887,0.8425955103923854
P1,62,0.8312889055389056,0.8201026112776113,0.841512237068487
P1,63,0.832884324009324,0.8235411678599178,0.8419588883338883
P1,64,0.8337176573426573,0.8247862300893551,0.8415034992784994
P1,65,0.8330926573426574,0.8233969998751249,0.8419923975330226
P1,66,0.833884324009324,0.8244416472416473,0.8419671491702743
P1,67,0.834211704961705,0.8255301316738817,0.8418593073593074
P1,68,0.8346402763902765,0.8262651244588745,0.8419149832806082
P1,69,0.8340666833166834,0.8246303783022534,0.842268414918415
P1,70,0.8328978521478522,0.8238787188505937,0.8410859022921524
P1,71,0.8361049228549229,0.8259985857892108,0.8449686147186147
P1,72,0.8348350815850818,0.8251252299783548,0.8433900027056276
P1,73,0.8359479964479964,0.8250906402625153,0.844943221015096
P1,74,0.836263653013653,0.8263455086580088,0.845543662934288
P1,75,0.836902541902542,0.827280799062049,0.8455816874098123
P1,76,0.836402541902542,0.8261078990453989,0.8452438852813853
P1,77,0.8381525419025421,0.8283027326839827,0.847474255952381
P1,78,0.8371525419025421,0.8273579576673326,0.8460825667388167
P1,79,0.8363827006327009,0.8261725333694084,0.8454875888000888
P1,80,0.8359479964479967,0.8258555770618271,0.8446757065850816
P2,16,0.7719142107892109,0.7512744137806637,0.7901100847069598
P2,17,0.7770664474414474,0.7545658955627705,0.7973136769480518
P2,18,0.7844828088578087,0.7655466571622822,0.8021742486679987
P2,19,0.7881743672993673,0.7701300477300477,0.8041834009740259
P2,20,0.7988071234321233,0.7795633734321236,0.8162013843795095
P2,21,0.7963940642690643,0.7803657273282275,0.8112266819985569
P2,22,0.8024384365634365,0.7870563297813299,0.8165666847041847
P2,23,0.7967557165057164,0.7808146166333666,0.8099458107864357
P2,24,0.8057041292041293,0.7891995296370296,0.820039384920635
P2,25,0.8038884726384726,0.7914027132589633,0.8157123917748917
P2,26,0.8075946414696415,0.7938514821983571,0.8219865710678211
P2,27,0.8050830974580976,0.7895438943001444,0.8206262040043292
P2,28,0.8063902763902766,0.7915430194805194,0.8189635884948385
P2,29,0.7997441724941725,0.7882142406204907,0.8098949314574315
P2,30,0.8036873543123544,0.7906052579365079,0.8154309149184149
P2,31,0.8069512432012432,0.7939054473304473,0.8180859879703631
P2,32,0.8099183594183594,0.7975604062604061,0.8217038225663226
P2,33,0.8125749250749251,0.7980512778887779,0.8288957837301588
P2,34,0.8171266927516927,0.8044688797313798,0.8316007187257187
P2,35,0.819503316128316,0.8086963418525919,0.8297879044566543
P2,36,0.818537282162282,0.808626371198246,0.83023094509657
P2,37,0.8196321595071595,0.8101021301615051,0.8292734324703075
P2,38,0.8196717865467864,0.8075725697913199,0.8321072677322676
P2,39,0.8196590354090354,0.8092457736707737,0.8298247641247641
P2,40,0.8185542374292375,0.8105961115273616,0.8268507846320347
P2,41,0.8227807886557887,0.8148065014846266,0.8313520066738818
P2,42,0.8230452186702186,0.8150195890914641,0.8309819895382395
P2,43,0.8216837468087468,0.8141491116522366,0.8292055753274503
P2,44,0.8193641219891219,0.8099501352813854,0.828806843850594
P2,45,0.825418054168054,0.8159687395937396,0.8343888635669885
P2,46,0.8299815462315461,0.8201654387279387,0.8396344065656567
P2,47,0.8308190281940282,0.8210865728021979,0.8397882787351538
P2,48,0.8243692973692973,0.813372548978799,0.8346997672466423
P2,49,0.8229351343101342,0.813610960914086,0.8321294601232101
P2,50,0.8251436480186479,0.8141083409645908,0.8367907332251081
P2,51,0.8216178543678545,0.8104410925879675,0.8333373123404374
P2,52,0.823323717948718,0.8119248782467533,0.8345843781218782
P2,53,0.8271414835164836,0.8152414894133643,0.8386430243367744
P2,54,0.818845487845488,0.8080890952797203,0.8306660478410478
P2,55,0.8183619019869021,0.808231452922078,0.829058027042402
P2,56,0.8212866855366855,0.8110802114552114,0.8322857656232657
P2,57,0.8215190087690087,0.8110260163447665,0.8317392635142634
P2,58,0.8215291097791096,0.8123249490093241,0.8315755893412143
P2,59,0.8216898240648242,0.8111173836580087,0.8318766476578977
P2,60,0.8180967504717506,0.8082655126123877,0.8282394060800311
P2,61,0.8198068875568876,0.8099643086080587,0.8291546477827728
P2,62,0.8166481573981574,0.8072343510656012,0.8267571761571761
P2,63,0.8184517288267287,0.8103101807914308,0.8266001429126429
P2,64,0.8123862526362526,0.8040776712870463,0.8200834491896992
P2,65,0.8188427822177822,0.8096043862387612,0.8290552971334221
P2,66,0.8184538933288934,0.8090091196997446,0.8277581938894438
P2,67,0.8187118298368301,0.8088087332806084,0.828433275058275
P2,68,0.8202296869796871,0.8122459266428016,0.8285343632062381
P2,69,0.8213427822177823,0.8124032696470198,0.8310182137307136
P2,70,0.82039454989455,0.811843731962482,0.8286073658979909
P2,71,0.8207177822177822,0.8113418307387057,0.8296078151015652
P2,72,0.8253904012654013,0.816843914072039,0.8334005685286935
P2,73,0.825630661005661,0.8173387674825175,0.8336912778194028
P2,74,0.827593142968143,0.8184475170662671,0.8360041742979243
P2,75,0.827843142968143,0.8190205974580975,0.8360201884920634
P2,76,0.8307082223332223,0.8238420485764236,0.8373861714674216
P2,77,0.8301526667776669,0.8225023538961038,0.8373531929875678
P2,78,0.829249888999889,0.8212991824148076,0.8373286272755023
P2,79,0.8305871905871907,0.8218277104839605,0.8386279810467312
P2,80,0.8280650044400044,0.8187015078671329,0.8365267982017982
