repeat,model,subset,end_budget,AULC
19,P1,B1_q20,40,0.8159525717338217
19,P1,B1_q20,80,0.8244387925442613
19,P1,B1_q30,40,0.8497401208290334
19,P1,B1_q30,80,0.8635384080989852
19,P2,B1_q20,40,0.8113490155677656
19,P2,B1_q20,80,0.8204661029075092
19,P2,B1_q30,40,0.8402842277261783
19,P2,B1_q30,80,0.8561714920343138
20,P0,B1_q20,40,0.788560606060606
20,P0,B1_q20,80,0.795807178932179
20,P0,B1_q30,40,0.8323226664403135
20,P0,B1_q30,80,0.8447023477951786
20,P1,B1_q20,40,0.7779586038961039
20,P1,B1_q20,80,0.8060768961940837
20,P1,B1_q30,40,0.8377905808788162
20,P1,B1_q30,80,0.8574547603132162
20,P2,B1_q20,40,0.8046278258778259
20,P2,B1_q20,80,0.8029939743416307
20,P2,B1_q30,40,0.844999955790397
20,P2,B1_q30,80,0.8479595687706901
