model,budget,keyhole_count,keyhole_fraction
P1,17,5.68,0.3341176470588236
P1,18,6.1,0.33888888888888885
P1,19,6.62,0.3484210526315789
P1,20,7.11,0.3555
P1,21,7.59,0.3614285714285714
P1,22,8.12,0.3690909090909091
P1,23,8.54,0.37130434782608696
P1,24,9.0,0.375
P1,25,9.51,0.3804
P1,26,9.98,0.3838461538461539
P1,27,10.5,0.38888888888888884
P1,28,10.99,0.3925
P1,29,11.42,0.3937931034482759
P1,30,11.84,0.39466666666666667
P1,31,12.28,0.3961290322580645
P1,32,12.78,0.399375
P1,33,13.17,0.39909090909090905
P1,34,13.69,0.4026470588235294
P1,35,14.22,0.40628571428571425
P1,36,14.66,0.4072222222222222
P1,37,15.24,0.4118918918918919
P1,38,15.65,0.4118421052631579
P1,39,16.01,0.4105128205128205
P1,40,16.43,0.41075
P1,41,16.9,0.4121951219512195
P1,42,17.22,0.41
P1,43,17.6,0.40930232558139534
P1,44,17.97,0.40840909090909094
P1,45,18.33,0.4073333333333333
P1,46,18.6,0.40434782608695646
P1,47,18.92,0.40255319148936164
P1,48,19.29,0.401875
P1,49,19.64,0.4008163265306123
P1,50,20.02,0.4004
P1,51,20.44,0.40078431372549017
P1,52,20.84,0.4007692307692308
P1,53,21.24,0.40075471698113213
P1,54,21.62,0.4003703703703704
P1,55,21.95,0.39909090909090905
P1,56,22.31,0.39839285714285716
P1,57,22.65,0.3973684210526316
P1,58,22.99,0.3963793103448276
P1,59,23.4,0.3966101694915254
P1,60,23.89,0.3981666666666667
P1,61,24.31,0.3985245901639344
P1,62,24.73,0.39887096774193553
P1,63,25.23,0.40047619047619043
P1,64,25.69,0.40140625
P1,65,26.15,0.4023076923076923
P1,66,26.62,0.4033333333333334
P1,67,27.07,0.4040298507462686
P1,68,27.49,0.4042647058823529
P1,69,27.91,0.40449275362318843
P1,70,28.45,0.4064285714285715
P1,71,28.84,0.40619718309859154
P1,72,29.23,0.40597222222222223
P1,73,29.63,0.4058904109589041
P1,74,29.97,0.405
P1,75,30.31,0.40413333333333334
P1,76,30.64,0.4031578947368421
P1,77,30.98,0.4023376623376623
P1,78,31.43,0.40294871794871795
P1,79,31.78,0.40227848101265823
P1,80,32.08,0.401
P2,16,5.17,0.323125
P2,17,5.56,0.32705882352941174
P2,18,6.0,0.33333333333333337
P2,19,6.53,0.34368421052631576
P2,20,7.02,0.35100000000000003
P2,21,7.46,0.3552380952380952
P2,22,7.87,0.3577272727272727
P2,23,8.28,0.36
P2,24,8.74,0.36416666666666664
P2,25,9.16,0.3664
P2,26,9.62,0.37
P2,27,10.06,0.3725925925925926
P2,28,10.56,0.37714285714285717
P2,29,10.99,0.3789655172413793
P2,30,11.35,0.37833333333333335
P2,31,11.79,0.3803225806451613
P2,32,12.3,0.384375
P2,33,12.78,0.38727272727272727
P2,34,13.26,0.39
P2,35,13.7,0.39142857142857146
P2,36,14.09,0.39138888888888884
P2,37,14.53,0.39270270270270274
P2,38,15.0,0.39473684210526316
P2,39,15.54,0.3984615384615385
P2,40,15.89,0.39725
P2,41,16.32,0.3980487804878049
P2,42,16.79,0.39976190476190476
P2,43,17.3,0.4023255813953488
P2,44,17.73,0.40295454545454545
P2,45,18.15,0.4033333333333334
P2,46,18.56,0.40347826086956523
P2,47,19.02,0.4046808510638298
P2,48,19.45,0.40520833333333334
P2,49,19.7,0.40204081632653055
P2,50,20.09,0.4018
P2,51,20.44,0.40078431372549017
P2,52,20.8,0.4
P2,53,21.16,0.39924528301886797
P2,54,21.47,0.3975925925925926
P2,55,21.75,0.39545454545454545
P2,56,22.03,0.39339285714285716
P2,57,22.3,0.39122807017543854
P2,58,22.56,0.3889655172413793
P2,59,22.79,0.386271186440678
P2,60,23.09,0.38483333333333336
P2,61,23.38,0.3832786885245901
P2,62,23.56,0.38
P2,63,23.77,0.37730158730158725
P2,64,24.03,0.37546875
P2,65,24.3,0.3738461538461539
P2,66,24.56,0.37212121212121213
P2,67,24.74,0.3692537313432836
P2,68,24.98,0.3673529411764706
P2,69,25.23,0.3656521739130435
P2,70,25.51,0.36442857142857144
P2,71,25.85,0.36408450704225354
P2,72,26.07,0.36208333333333337
P2,73,26.34,0.36082191780821915
P2,74,26.43,0.3571621621621622
P2,75,26.64,0.3552
P2,76,26.87,0.3535526315789474
P2,77,27.04,0.3511688311688312
P2,78,27.26,0.3494871794871795
P2,79,27.51,0.34822784810126584
P2,80,27.76,0.34700000000000003
