budget,arm,mean_accuracy,q05,q95
51,binary_random,0.7815686274509802,0.6488235294117647,0.8729411764705882
52,binary_margin,0.8276470588235293,0.7058823529411765,0.9411764705882353
52,binary_random,0.7821960784313725,0.6486274509803922,0.8747058823529411
53,binary_margin,0.8311764705882351,0.7058823529411765,0.9411764705882353
53,binary_random,0.7821568627450981,0.6486274509803922,0.8785294117647059
54,binary_margin,0.8264705882352941,0.7058823529411765,0.9411764705882353
54,binary_random,0.7832352941176469,0.6484313725490196,0.8804901960784314
55,binary_margin,0.8258823529411764,0.7058823529411765,0.9411764705882353
55,binary_random,0.7837647058823529,0.6540196078431373,0.8804901960784314
56,binary_margin,0.83,0.7058823529411765,0.9411764705882353
56,binary_random,0.7844901960784313,0.6537254901960784,0.8803921568627451
57,binary_margin,0.8317647058823529,0.7058823529411765,0.9411764705882353
57,binary_random,0.7852156862745097,0.6503921568627451,0.8786274509803921
58,binary_margin,0.8305882352941175,0.7058823529411765,0.9411764705882353
58,binary_random,0.7860196078431372,0.653921568627451,0.8766666666666666
59,binary_margin,0.8341176470588235,0.7058823529411765,0.9411764705882353
59,binary_random,0.7864117647058824,0.6595098039215687,0.8803921568627451
60,binary_margin,0.8329411764705881,0.7058823529411765,0.9411764705882353
60,binary_random,0.786843137254902,0.6500980392156863,0.8766666666666666
61,binary_margin,0.8352941176470587,0.7058823529411765,0.9411764705882353
61,binary_random,0.7870392156862746,0.6540196078431373,0.8747058823529411
62,binary_margin,0.8347058823529412,0.7058823529411765,0.9411764705882353
62,binary_random,0.7879607843137254,0.6556862745098039,0.8785294117647059
63,binary_margin,0.8376470588235293,0.7058823529411765,0.9411764705882353
63,binary_random,0.7884509803921569,0.6579411764705883,0.8785294117647059
64,binary_margin,0.8370588235294116,0.7058823529411765,0.9411764705882353
64,binary_random,0.7894313725490194,0.6616666666666666,0.8786274509803921
65,binary_margin,0.8388235294117646,0.7058823529411765,0.9411764705882353
65,binary_random,0.7900392156862747,0.6633333333333333,0.8785294117647059
66,binary_margin,0.8388235294117646,0.7058823529411765,0.9411764705882353
66,binary_random,0.7908235294117648,0.6616666666666666,0.882549019607843
67,binary_margin,0.838235294117647,0.7058823529411765,0.9411764705882353
67,binary_random,0.791156862745098,0.6562745098039215,0.8807843137254902
68,binary_margin,0.84,0.7058823529411765,0.9411764705882353
68,binary_random,0.7913725490196079,0.6560784313725491,0.8808823529411764
69,binary_margin,0.836470588235294,0.7058823529411765,0.9411764705882353
69,binary_random,0.7917843137254902,0.6583333333333333,0.8810784313725489
70,binary_margin,0.838235294117647,0.7058823529411765,0.9411764705882353
70,binary_random,0.7921764705882353,0.6587254901960784,0.8826470588235293
