benchmark,method,seed,budget,global_error,latent_uncertainty_region_fraction,mean_true_boundary_distance_test,near_boundary_error_q10,near_boundary_test_size_q10,near_boundary_error_q20,near_boundary_test_size_q20,near_boundary_error_q30,near_boundary_test_size_q30
ackley,random,1,65,0.2851,0.963,1.306824449253322,0.47,1000,0.4385,2000,0.43566666666666665,3000
ackley,random,1,66,0.2842,0.9598,1.306824449253322,0.468,1000,0.4355,2000,0.43366666666666664,3000
ackley,random,1,67,0.2849,0.9559,1.306824449253322,0.464,1000,0.435,2000,0.434,3000
ackley,random,1,68,0.2836,0.9562,1.306824449253322,0.468,1000,0.436,2000,0.43433333333333335,3000
ackley,random,1,69,0.2856,0.9519,1.306824449253322,0.466,1000,0.436,2000,0.43533333333333335,3000
ackley,random,1,70,0.2803,0.9546,1.306824449253322,0.471,1000,0.4345,2000,0.43066666666666664,3000
ackley,random,1,71,0.2792,0.9533,1.306824449253322,0.465,1000,0.433,2000,0.42866666666666664,3000
ackley,random,1,72,0.285,0.9546,1.306824449253322,0.48,1000,0.443,2000,0.435,3000
ackley,random,1,73,0.2954,0.9529,1.306824449253322,0.487,1000,0.4495,2000,0.44033333333333335,3000
ackley,random,1,74,0.2972,0.9492,1.306824449253322,0.488,1000,0.451,2000,0.44133333333333336,3000
ackley,random,1,75,0.296,0.9454,1.306824449253322,0.489,1000,0.451,2000,0.441,3000
ackley,random,1,76,0.2891,0.9482,1.306824449253322,0.479,1000,0.451,2000,0.43466666666666665,3000
ackley,random,1,77,0.2909,0.9469,1.306824449253322,0.478,1000,0.4515,2000,0.434,3000
ackley,random,1,78,0.2913,0.9454,1.306824449253322,0.477,1000,0.4515,2000,0.43433333333333335,3000
ackley,random,1,79,0.2918,0.9411,1.306824449253322,0.477,1000,0.452,2000,0.435,3000
ackley,random,1,80,0.2951,0.9444,1.306824449253322,0.481,1000,0.455,2000,0.43533333333333335,3000
ackley,random,2,12,0.4141,0.878,1.3100941310865688,0.497,1000,0.5,2000,0.49033333333333334,3000
ackley,random,2,13,0.4165,0.909,1.3100941310865688,0.514,1000,0.503,2000,0.496,3000
ackley,random,2,14,0.4272,0.8817,1.3100941310865688,0.514,1000,0.505,2000,0.499,3000
ackley,random,2,15,0.4273,0.8924,1.3100941310865688,0.514,1000,0.507,2000,0.5,3000
ackley,random,2,16,0.4254,0.8667,1.3100941310865688,0.513,1000,0.5075,2000,0.49966666666666665,3000
ackley,random,2,17,0.4103,0.8435,1.3100941310865688,0.508,1000,0.5045,2000,0.49566666666666664,3000
ackley,random,2,18,0.3952,0.8166,1.3100941310865688,0.498,1000,0.4985,2000,0.48933333333333334,3000
ackley,random,2,19,0.3971,0.7782,1.3100941310865688,0.496,1000,0.501,2000,0.49166666666666664,3000
ackley,random,2,20,0.4017,0.8044,1.3100941310865688,0.504,1000,0.5025,2000,0.496,3000
ackley,random,2,21,0.38,0.8379,1.3100941310865688,0.499,1000,0.501,2000,0.492,3000
ackley,random,2,22,0.3858,0.8183,1.3100941310865688,0.5,1000,0.502,2000,0.49366666666666664,3000
ackley,random,2,23,0.3945,0.8461,1.3100941310865688,0.503,1000,0.4995,2000,0.492,3000
ackley,random,2,24,0.3969,0.8318,1.3100941310865688,0.506,1000,0.505,2000,0.49466666666666664,3000
ackley,random,2,25,0.4,0.8086,1.3100941310865688,0.502,1000,0.5015,2000,0.49466666666666664,3000
ackley,random,2,26,0.3833,0.9031,1.3100941310865688,0.49,1000,0.5,2000,0.48966666666666664,3000
ackley,random,2,27,0.3839,0.8934,1.3100941310865688,0.487,1000,0.4975,2000,0.4876666666666667,3000
ackley,random,2,28,0.3848,0.8897,1.3100941310865688,0.488,1000,0.498,2000,0.48633333333333334,3000
ackley,random,2,29,0.3824,0.8769,1.3100941310865688,0.492,1000,0.5,2000,0.48733333333333334,3000
ackley,random,2,30,0.3604,0.8995,1.3100941310865688,0.485,1000,0.4955,2000,0.4786666666666667,3000
ackley,random,2,31,0.3574,0.906,1.3100941310865688,0.496,1000,0.5,2000,0.48433333333333334,3000
ackley,random,2,32,0.3636,0.8944,1.3100941310865688,0.494,1000,0.4985,2000,0.4846666666666667,3000
ackley,random,2,33,0.3646,0.8855,1.3100941310865688,0.49,1000,0.498,2000,0.4846666666666667,3000
ackley,random,2,34,0.3614,0.8957,1.3100941310865688,0.494,1000,0.494,2000,0.48,3000
ackley,random,2,35,0.3553,0.8978,1.3100941310865688,0.487,1000,0.49,2000,0.47433333333333333,3000
ackley,random,2,36,0.3375,0.906,1.3100941310865688,0.483,1000,0.4845,2000,0.4666666666666667,3000
ackley,random,2,37,0.3252,0.9002,1.3100941310865688,0.481,1000,0.4785,2000,0.46066666666666667,3000
ackley,random,2,38,0.3312,0.8864,1.3100941310865688,0.489,1000,0.4795,2000,0.45966666666666667,3000
ackley,random,2,39,0.3363,0.8671,1.3100941310865688,0.489,1000,0.48,2000,0.461,3000
ackley,random,2,40,0.3321,0.8598,1.3100941310865688,0.483,1000,0.475,2000,0.45666666666666667,3000
ackley,random,2,41,0.3392,0.8482,1.3100941310865688,0.479,1000,0.4745,2000,0.45866666666666667,3000
ackley,random,2,42,0.3379,0.8354,1.3100941310865688,0.479,1000,0.474,2000,0.458,3000
ackley,random,2,43,0.3385,0.8203,1.3100941310865688,0.473,1000,0.4665,2000,0.4553333333333333,3000
ackley,random,2,44,0.3407,0.8074,1.3100941310865688,0.473,1000,0.4675,2000,0.456,3000
ackley,random,2,45,0.3406,0.7938,1.3100941310865688,0.469,1000,0.465,2000,0.455,3000
ackley,random,2,46,0.3333,0.7837,1.3100941310865688,0.479,1000,0.4725,2000,0.457,3000
ackley,random,2,47,0.3252,0.7809,1.3100941310865688,0.483,1000,0.4695,2000,0.451,3000
ackley,random,2,48,0.3159,0.794,1.3100941310865688,0.478,1000,0.458,2000,0.44,3000
ackley,random,2,49,0.3111,0.7915,1.3100941310865688,0.479,1000,0.457,2000,0.43933333333333335,3000
ackley,random,2,50,0.3165,0.8082,1.3100941310865688,0.482,1000,0.464,2000,0.44533333333333336,3000
ackley,random,2,51,0.3162,0.8019,1.3100941310865688,0.481,1000,0.4625,2000,0.44433333333333336,3000
ackley,random,2,52,0.3156,0.7845,1.3100941310865688,0.48,1000,0.4635,2000,0.44433333333333336,3000
ackley,random,2,53,0.3136,0.7739,1.3100941310865688,0.482,1000,0.4635,2000,0.44366666666666665,3000
ackley,random,2,54,0.3153,0.7817,1.3100941310865688,0.479,1000,0.4615,2000,0.44166666666666665,3000
ackley,random,2,55,0.3002,0.7933,1.3100941310865688,0.472,1000,0.4525,2000,0.43133333333333335,3000
ackley,random,2,56,0.2943,0.7814,1.3100941310865688,0.474,1000,0.4515,2000,0.431,3000
ackley,random,2,57,0.2872,0.8042,1.3100941310865688,0.468,1000,0.4545,2000,0.42866666666666664,3000
ackley,random,2,58,0.2841,0.8802,1.3100941310865688,0.459,1000,0.4465,2000,0.424,3000
ackley,random,2,59,0.2884,0.8769,1.3100941310865688,0.469,1000,0.4575,2000,0.432,3000
ackley,random,2,60,0.2866,0.8615,1.3100941310865688,0.468,1000,0.454,2000,0.429,3000
ackley,random,2,61,0.2873,0.8663,1.3100941310865688,0.462,1000,0.454,2000,0.42866666666666664,3000
ackley,random,2,62,0.2885,0.8568,1.3100941310865688,0.462,1000,0.4535,2000,0.428,3000
ackley,random,2,63,0.293,0.8507,1.3100941310865688,0.461,1000,0.453,2000,0.42833333333333334,3000
ackley,random,2,64,0.3011,0.8616,1.3100941310865688,0.473,1000,0.466,2000,0.43633333333333335,3000
ackley,random,2,65,0.3011,0.894,1.3100941310865688,0.485,1000,0.4675,2000,0.44033333333333335,3000
ackley,random,2,66,0.2948,0.8968,1.3100941310865688,0.481,1000,0.4645,2000,0.43633333333333335,3000
ackley,random,2,67,0.2923,0.899,1.3100941310865688,0.484,1000,0.463,2000,0.435,3000
ackley,random,2,68,0.2916,0.8923,1.3100941310865688,0.484,1000,0.463,2000,0.43466666666666665,3000
ackley,random,2,69,0.2905,0.899,1.3100941310865688,0.479,1000,0.456,2000,0.42966666666666664,3000
ackley,random,2,70,0.2874,0.9128,1.3100941310865688,0.472,1000,0.4525,2000,0.42866666666666664,3000
ackley,random,2,71,0.2836,0.9209,1.3100941310865688,0.477,1000,0.457,2000,0.432,3000
ackley,random,2,72,0.2838,0.916,1.3100941310865688,0.476,1000,0.456,2000,0.43166666666666664,3000
ackley,random,2,73,0.2843,0.9099,1.3100941310865688,0.477,1000,0.455,2000,0.43166666666666664,3000
ackley,random,2,74,0.2842,0.9105,1.3100941310865688,0.473,1000,0.4535,2000,0.43033333333333335,3000
ackley,random,2,75,0.2836,0.9191,1.3100941310865688,0.472,1000,0.4545,2000,0.43,3000
ackley,random,2,76,0.2857,0.9137,1.3100941310865688,0.474,1000,0.457,2000,0.43166666666666664,3000
ackley,random,2,77,0.2822,0.9104,1.3100941310865688,0.47,1000,0.4525,2000,0.42733333333333334,3000
ackley,random,2,78,0.2659,0.9085,1.3100941310865688,0.466,1000,0.4475,2000,0.41833333333333333,3000
ackley,random,2,79,0.2651,0.9045,1.3100941310865688,0.465,1000,0.4525,2000,0.42,3000
ackley,random,2,80,0.2644,0.9098,1.3100941310865688,0.472,1000,0.4545,2000,0.421,3000
ackley,random,3,12,0.4378,0.9997,1.2942599637845817,0.508,1000,0.497,2000,0.4886666666666667,3000
ackley,random,3,13,0.4291,0.9997,1.2942599637845817,0.503,1000,0.4925,2000,0.4866666666666667,3000
ackley,random,3,14,0.4374,0.9997,1.2942599637845817,0.506,1000,0.4965,2000,0.491,3000
ackley,random,3,15,0.4248,0.9997,1.2942599637845817,0.496,1000,0.493,2000,0.4876666666666667,3000
ackley,random,3,16,0.413,0.9997,1.2942599637845817,0.496,1000,0.492,2000,0.4886666666666667,3000
ackley,random,3,17,0.3985,0.9997,1.2942599637845817,0.499,1000,0.494,2000,0.489,3000
ackley,random,3,18,0.391,0.9997,1.2942599637845817,0.493,1000,0.491,2000,0.4836666666666667,3000
ackley,random,3,19,0.3846,0.9997,1.2942599637845817,0.491,1000,0.488,2000,0.47933333333333333,3000
ackley,random,3,20,0.3893,0.9997,1.2942599637845817,0.481,1000,0.4855,2000,0.4786666666666667,3000
ackley,random,3,21,0.3929,0.9997,1.2942599637845817,0.481,1000,0.4865,2000,0.48133333333333334,3000
ackley,random,3,22,0.3967,0.9997,1.2942599637845817,0.482,1000,0.4865,2000,0.483,3000
ackley,random,3,23,0.378,0.9997,1.2942599637845817,0.482,1000,0.4825,2000,0.4756666666666667,3000
ackley,random,3,24,0.381,0.9997,1.2942599637845817,0.482,1000,0.4845,2000,0.477,3000
ackley,random,3,25,0.3794,0.9997,1.2942599637845817,0.484,1000,0.486,2000,0.4766666666666667,3000
ackley,random,3,26,0.3734,0.9997,1.2942599637845817,0.483,1000,0.4855,2000,0.47433333333333333,3000
ackley,random,3,27,0.3694,0.9997,1.2942599637845817,0.485,1000,0.4865,2000,0.47333333333333333,3000
ackley,random,3,28,0.3706,0.9997,1.2942599637845817,0.482,1000,0.4795,2000,0.4693333333333333,3000
ackley,random,3,29,0.3792,0.9997,1.2942599637845817,0.483,1000,0.482,2000,0.4726666666666667,3000
ackley,random,3,30,0.3696,0.9959,1.2942599637845817,0.474,1000,0.48,2000,0.472,3000
ackley,random,3,31,0.3643,0.9977,1.2942599637845817,0.484,1000,0.4805,2000,0.4713333333333333,3000
ackley,random,3,32,0.3608,0.9973,1.2942599637845817,0.484,1000,0.48,2000,0.4706666666666667,3000
ackley,random,3,33,0.3612,0.9973,1.2942599637845817,0.482,1000,0.482,2000,0.4723333333333333,3000
ackley,random,3,34,0.3647,0.999,1.2942599637845817,0.483,1000,0.481,2000,0.4723333333333333,3000
ackley,random,3,35,0.3635,0.999,1.2942599637845817,0.481,1000,0.4785,2000,0.4676666666666667,3000
ackley,random,3,36,0.3388,0.9882,1.2942599637845817,0.475,1000,0.4725,2000,0.4563333333333333,3000
ackley,random,3,37,0.3356,0.9864,1.2942599637845817,0.472,1000,0.4725,2000,0.4543333333333333,3000
ackley,random,3,38,0.3331,0.9803,1.2942599637845817,0.474,1000,0.471,2000,0.453,3000
ackley,random,3,39,0.3326,0.9695,1.2942599637845817,0.474,1000,0.47,2000,0.45266666666666666,3000
ackley,random,3,40,0.3229,0.9765,1.2942599637845817,0.482,1000,0.48,2000,0.45566666666666666,3000
ackley,random,3,41,0.3232,0.9762,1.2942599637845817,0.485,1000,0.48,2000,0.4563333333333333,3000
ackley,random,3,42,0.321,0.9728,1.2942599637845817,0.483,1000,0.477,2000,0.452,3000
ackley,random,3,43,0.3151,0.9642,1.2942599637845817,0.477,1000,0.4685,2000,0.44733333333333336,3000
ackley,random,3,44,0.3129,0.9552,1.2942599637845817,0.476,1000,0.468,2000,0.44533333333333336,3000
ackley,random,3,45,0.3142,0.9535,1.2942599637845817,0.475,1000,0.465,2000,0.44233333333333336,3000
ackley,random,3,46,0.314,0.946,1.2942599637845817,0.479,1000,0.4675,2000,0.44366666666666665,3000
ackley,random,3,47,0.3128,0.95,1.2942599637845817,0.482,1000,0.472,2000,0.4513333333333333,3000
ackley,random,3,48,0.3124,0.942,1.2942599637845817,0.484,1000,0.474,2000,0.4523333333333333,3000
ackley,random,3,49,0.3105,0.9337,1.2942599637845817,0.489,1000,0.477,2000,0.454,3000
ackley,random,3,50,0.3107,0.9369,1.2942599637845817,0.479,1000,0.4665,2000,0.44433333333333336,3000
ackley,random,3,51,0.3089,0.9288,1.2942599637845817,0.483,1000,0.4675,2000,0.44333333333333336,3000
ackley,random,3,52,0.3114,0.923,1.2942599637845817,0.485,1000,0.467,2000,0.44433333333333336,3000
ackley,random,3,53,0.308,0.9079,1.2942599637845817,0.482,1000,0.4595,2000,0.439,3000
ackley,random,3,54,0.3274,0.9977,1.2942599637845817,0.48,1000,0.467,2000,0.45266666666666666,3000
ackley,random,3,55,0.3238,0.9969,1.2942599637845817,0.478,1000,0.463,2000,0.45066666666666666,3000
ackley,random,3,56,0.3204,0.997,1.2942599637845817,0.478,1000,0.4635,2000,0.4513333333333333,3000
ackley,random,3,57,0.3182,0.9958,1.2942599637845817,0.479,1000,0.4625,2000,0.45166666666666666,3000
ackley,random,3,58,0.3216,0.9948,1.2942599637845817,0.483,1000,0.465,2000,0.45366666666666666,3000
ackley,random,3,59,0.3215,0.9932,1.2942599637845817,0.483,1000,0.4655,2000,0.45366666666666666,3000
ackley,random,3,60,0.3184,0.9944,1.2942599637845817,0.483,1000,0.4665,2000,0.454,3000
ackley,random,3,61,0.3158,0.9927,1.2942599637845817,0.478,1000,0.462,2000,0.45,3000
