benchmark_population,run_id,repeat,fold,method,formulation,train_pool_count,untouched_test_count,nominal_warm_start,effective_warm_start,final_budget,fit_count,fit_status_counts_json,optimizer_warning_count,unique_optimizer_warning_count,kernel_bound_hit_count,runtime_seconds,query_trajectory_sha256,warm_start_sha256,split_sha256,checkpoint_fingerprint
primary_common,primary_common__r01_f03,1,3,max_depth_expected_feasibility,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,21.630907799990382,f1791029ff415a803ad7047e359e204a317a2b933677d9c59b0339b04035c031,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,672f77675d2ea413dfe50e4524568e59f1cf6843ea54d25e8e7a78c6f8fc3e43
primary_common,primary_common__r01_f03,1,3,binary_random,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",49,1,49,7.848661300027743,3230d2d1fdbf16025866d25c55122fbd9d8e510c7fca2288c8cf576d749a92b2,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,4d5293ddf4890930f6ec21b984330583e4d5c04d825e21530dbb12a9d7fe1e75
primary_common,primary_common__r01_f03,1,3,binary_margin,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",28,1,28,6.186909100040793,799af39f41326c52d40b0543ba8f8ddfbbfdfcdb06c6e1fa5ba474d5aae47d7c,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,424a165ded1934968ea1a0fc749e436f4519c92afe52e89ddbdfa696a24589bb
primary_common,primary_common__r01_f03,1,3,binary_uncertainty_repulsion,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",17,1,17,6.954215399979148,1a7e21c92af442f29dd6687fc8956818cf418c602c0275554017225aad788c54,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,d133c0682f84d465a1e4911d9b51b938f9ae2a71ec48de519c0aa349479e75d6
primary_common,primary_common__r01_f04,1,4,max_depth_random,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,23.706362599972636,106d3d502d816ab28177b7e3fcba0c32b9ec09c6c22dfd25974e44b26a94a4c8,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,929bcdf106bc8c3447968b8eb94a35b6d97c93561df6ea521301db65fe49e1a3
primary_common,primary_common__r01_f04,1,4,max_depth_boundary_proximity,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,31.336060100002214,5aa0f02a40ff0c3b55a46cfbf417e53d9e4b96f2c4e7f69ee2e38e17ba434110,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,2d5ac2c35f83df6631bf2a3719325913fca1f1c8946b29983bfd8ad1774696bb
primary_common,primary_common__r01_f04,1,4,max_depth_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,24.815507599967532,214c7b29afabe4f4dfaa39bd005e0fcc0583e06db08d238b3ee74e11beb18e94,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,6268f4d0ebcd48bb19d31c62e89fc06632ff3ae48a4025ee99bb7404f03bcc0e
primary_common,primary_common__r01_f04,1,4,max_depth_randomized_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,24.599981900013518,4e717b6a67cb2f3aac52debe187cd09f3a5914e4c3ec2bd6dda4d07c9700a29d,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,ba2c077b3faa3a11e5367504ea91a98dda3e7c7c2e48327759623a132002da65
primary_common,primary_common__r01_f04,1,4,max_depth_expected_feasibility,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,26.0036245000083,2c4d068ef259059389f345c93eac2022a33f54a33f427ea0bec3833e4d8f243d,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,757198308e2702dc6ab551c8b232a620611403f5ef457d5fb4f14b64a0b83b0e
primary_common,primary_common__r01_f04,1,4,binary_random,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,8.088447600021027,106d3d502d816ab28177b7e3fcba0c32b9ec09c6c22dfd25974e44b26a94a4c8,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,75752acbf48447cc3f75dc81e80bae01e36cdac8366a21aca2bc3728249aa2da
