experiment_name,partition,P,VX,LS,ST,has_keyhole,physical_target_extraction_success,ready__max_depth,value__max_depth,ready__G3,value__G3,primary_ready,secondary_g3_ready,primary_exclusion_reasons,g3_exclusion_reasons,input_tuple_sha256,input_group_size,source_label_modified,simulation_silently_removed,depth_formula,T0_definition,active_region_definition,exact_sph_v2_revision
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,new-data,160.605564338,0.585171267024,4.89218084001e-05,323.833105745,False,True,True,87.34396000000001,True,73.78234,True,True,,,5449f79ff3159273a9d5f65cab9f38ab46ecde5d210965c45bca2a75a7f4e959,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,new-data,162.142815649,0.926926325143,6.49234891537e-05,377.454931887,False,True,True,47.2123,True,46.96848,True,True,,,7ac43de9e18e9bd9dfca647b20eb4f2a13bb1a5b4673fe4f05ee577d1efbf5e0,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,new-data,163.562272254,0.729793018519,5.10150522361e-05,318.261957537,False,True,True,58.92024,True,58.7476,True,True,,,7360b2160d4cf272fe209348aa2f82d906c7dd88649c0c6a15ec0285e27eae48,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,new-data,164.187091551,0.507792014735,6.92164167976e-05,301.020288893,False,True,True,66.76807,True,66.52321,True,True,,,317943711a6d8969ea1a9257041a3811c0993826e6eff39b0c86acc518bfc615,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,new-data,164.607131174,0.867199563125,5.32762751968e-05,314.058214573,False,True,True,51.07507,True,50.918299999999995,True,True,,,d22e2cac7360d9565c967b911888c6dc9e1f8cef5d29664430ab401988261862,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,new-data,166.111836501,0.454755470987,7.13150844087e-05,303.391516497,False,True,True,66.837,True,66.77135,True,True,,,dfb7ace985b0f9475d21051153fb5088f4f4a8dee85b9b68177dc9b0cb248ab3,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,new-data,167.350234557,0.509305540745,7.79284260895e-05,367.465417979,False,True,True,62.98711000000001,True,62.8944,True,True,,,c937309a31ebafd99f210c2e7d30ad316b2df067e1de8f1a875f670b474c573f,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,new-data,168.279672268,0.662944494492,8.51138696034e-05,361.222757169,False,True,True,54.55363,True,54.4569,True,True,,,c94fe8d7ba5ed3848fd5b4edeec77dcdf436c48993a92d86c1cfa5a264ef9eb6,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,new-data,172.471893954,0.300060565388,5.45268436948e-05,394.546009672,False,True,True,71.23713000000001,True,70.68087,True,True,,,fc814e698750e4c07510fea6b90a12de9b0523852fc9097ea280b9c9eee70099,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,new-data,173.043282634,0.866796851528,6.96390683614e-05,349.021338305,False,True,True,51.38208,True,50.830600000000004,True,True,,,f048e6fa1974a1dcf1e15909a04483d12376cb82216bbff69ebc260b592f0669,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,new-data,173.906668607,0.677544388934,8.62016404031e-05,334.396108383,False,True,True,54.75972,True,54.67042,True,True,,,d44495f83a1171f4d3ccf7d29ce8ee155f4659ff8188e1ae72850ba59bda6695,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,new-data,177.821134596,0.63969291749,8.76195222961e-05,320.228793407,False,True,True,55.06646,True,54.82933,True,True,,,3e494f9a83ed8ebbf4389cf3aa5292f3cde01560cc2ca96e87dc721d8c9e0099,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,new-data,185.872045369,0.416268682161,7.15564692144e-05,371.982346013,False,True,True,75.07011,True,74.83095,True,True,,,afb7409f3bb4b953056abe84d9df2b0a3445b61ebcc9c4f7d9e7a14b74eee95b,1,False,False,"max(0, -z_min)",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",b6dc254a2b607a31cb9f97b40990339c3d5ca1e8
