benchmark_population,formulation,model,probability_bin,row_count,mean_predicted_probability,observed_keyhole_fraction,status
primary_common,max_depth,rbf_gpr,"(0.7, 0.8]",26,0.7432243118411683,0.8076923076923077,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.8, 0.9]",23,0.8555204207139624,0.6956521739130435,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.9, 1.0]",193,0.988328218700177,0.9585492227979274,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(-0.001, 0.1]",1200,0.01416928123315813,0.0033333333333333335,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.1, 0.2]",54,0.13923882673120253,0.018518518518518517,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.2, 0.3]",25,0.2426203054810162,0.16,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.3, 0.4]",27,0.3591355108663368,0.3333333333333333,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.4, 0.5]",34,0.4471288930362566,0.6176470588235294,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.5, 0.6]",22,0.5415684023380574,0.5454545454545454,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.6, 0.7]",17,0.6492745456117044,0.9411764705882353,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.7, 0.8]",18,0.7488715457823724,0.7222222222222222,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.8, 0.9]",36,0.8480640834291491,0.9166666666666666,held_out_20_fold_pooled_diagnostic
secondary_g3_common,binary,binary_matern32_gpc_g3_common,"(0.9, 1.0]",183,0.9798778122480724,0.9781420765027322,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(-0.001, 0.1]",1235,0.004661239496088647,0.012145748987854251,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.1, 0.2]",22,0.13926156788806637,0.09090909090909091,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.2, 0.3]",21,0.24694365708448088,0.2857142857142857,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.3, 0.4]",4,0.3363794527576723,0.0,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.4, 0.5]",1,0.4645418736981104,0.0,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.5, 0.6]",8,0.543559397299012,0.25,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.6, 0.7]",9,0.6425427418100615,0.5555555555555556,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.7, 0.8]",13,0.7570283154306607,0.07692307692307693,held_out_20_fold_pooled_diagnostic
