comparison,method_a,method_b,metric,paired_run_count,mean_paired_difference_a_minus_b,median_paired_difference_a_minus_b,repeat_block_mean_differences_json,uncertainty_interpretation,selection_status
active_vs_shared_random__binary_margin,binary_margin,binary_random,common_normalized_aulc__q30_error,20,-0.03428125,-0.03953125000000002,"{""1"": -0.033125000000000016, ""2"": -0.04424999999999999, ""3"": -0.041374999999999995, ""4"": -0.018375000000000002}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__binary_margin,binary_margin,binary_random,common_normalized_aulc__balanced_accuracy,20,0.043900005855462915,0.05163944128787884,"{""1"": 0.02984102922885574, ""2"": 0.050422824998384685, ""3"": 0.05508512631646949, ""4"": 0.04025104287814174}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__binary_uncertainty_repulsion,binary_uncertainty_repulsion,binary_random,common_normalized_aulc__q20_error,20,-0.04269301470588236,-0.046645220588235295,"{""1"": -0.04255514705882352, ""2"": -0.06663602941176472, ""3"": -0.042371323529411795, ""4"": -0.0192095588235294}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__binary_uncertainty_repulsion,binary_uncertainty_repulsion,binary_random,common_normalized_aulc__q30_error,20,-0.035484375,-0.04078125000000001,"{""1"": -0.03350000000000003, ""2"": -0.04481249999999998, ""3"": -0.044375000000000005, ""4"": -0.019250000000000003}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__binary_uncertainty_repulsion,binary_uncertainty_repulsion,binary_random,common_normalized_aulc__balanced_accuracy,20,0.043576412024697884,0.051899857954545436,"{""1"": 0.028024755483943876, ""2"": 0.05037801556341663, ""3"": 0.05514153057763125, ""4"": 0.04076134647379979}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_boundary_proximity,max_depth_boundary_proximity,max_depth_random,common_normalized_aulc__q20_error,20,-0.031640625,-0.016314338235294115,"{""1"": -0.06865808823529411, ""2"": -0.042279411764705864, ""3"": -0.03373161764705883, ""4"": 0.01810661764705882}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_boundary_proximity,max_depth_boundary_proximity,max_depth_random,common_normalized_aulc__q30_error,20,-0.031296875,-0.025781250000000012,"{""1"": -0.060625000000000005, ""2"": -0.028250000000000004, ""3"": -0.031375, ""4"": -0.00493749999999997}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_boundary_proximity,max_depth_boundary_proximity,max_depth_random,common_normalized_aulc__balanced_accuracy,20,0.02392899796876006,0.0271306818181819,"{""1"": 0.010336855697163472, ""2"": 0.027895344705046267, ""3"": 0.05464144880306252, ""4"": 0.0028423426697679723}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_expected_feasibility,max_depth_expected_feasibility,max_depth_random,common_normalized_aulc__q20_error,20,-0.02412683823529411,-0.015395220588235295,"{""1"": -0.05606617647058822, ""2"": -0.045955882352941166, ""3"": -0.005147058823529421, ""4"": 0.010661764705882365}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_expected_feasibility,max_depth_expected_feasibility,max_depth_random,common_normalized_aulc__q30_error,20,-0.022078125000000004,-0.015156249999999996,"{""1"": -0.05225000000000002, ""2"": -0.029875000000000013, ""3"": -0.0044375, ""4"": -0.0017499999999999933}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_expected_feasibility,max_depth_expected_feasibility,max_depth_random,common_normalized_aulc__balanced_accuracy,20,0.026365468719713105,0.030504261363636376,"{""1"": 0.03644397230567933, ""2"": 0.027440471142663393, ""3"": 0.030880252754086658, ""4"": 0.010697178676423036}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_randomized_straddle,max_depth_randomized_straddle,max_depth_random,common_normalized_aulc__q20_error,20,-0.031939338235294115,-0.00988051470588236,"{""1"": -0.08391544117647058, ""2"": -0.02104779411764704, ""3"": -0.01875, ""4"": -0.004044117647058826}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_randomized_straddle,max_depth_randomized_straddle,max_depth_random,common_normalized_aulc__q30_error,20,-0.028484375000000013,-0.022343750000000023,"{""1"": -0.061812500000000006, ""2"": -0.015125000000000019, ""3"": -0.019375000000000014, ""4"": -0.017624999999999995}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_randomized_straddle,max_depth_randomized_straddle,max_depth_random,common_normalized_aulc__balanced_accuracy,20,0.02941642992424242,0.030441340376041792,"{""1"": 0.030339616850810814, ""2"": 0.032722260249079406, ""3"": 0.0368856811720617, ""4"": 0.017718161425017764}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_straddle,max_depth_straddle,max_depth_random,common_normalized_aulc__q20_error,20,-0.0321001838235294,-0.02045036764705882,"{""1"": -0.07408088235294116, ""2"": -0.040073529411764675, ""3"": -0.02582720588235296, ""4"": 0.01158088235294118}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_straddle,max_depth_straddle,max_depth_random,common_normalized_aulc__q30_error,20,-0.032390625000000006,-0.023593750000000024,"{""1"": -0.06681250000000002, ""2"": -0.02768750000000001, ""3"": -0.025312499999999988, ""4"": -0.00975}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__max_depth_straddle,max_depth_straddle,max_depth_random,common_normalized_aulc__balanced_accuracy,20,0.03222313629700522,0.03013715917167409,"{""1"": 0.0359920113313303, ""2"": 0.030868718501647675, ""3"": 0.048115217338631444, ""4"": 0.013916598016411453}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
