benchmark_population,run_id,repeat,fold,role,partition,row_count,keyhole_count,non_keyhole_count,keyhole_fraction
secondary_g3_common,secondary_g3_common__r04_f01,4,1,untouched_test,old-data-remote-clean,16,0,16,0.0
secondary_g3_common,secondary_g3_common__r04_f01,4,1,untouched_test,all,81,14,67,0.1728395061728395
secondary_g3_common,secondary_g3_common__r04_f02,4,2,training_pool,new-data,128,50,78,0.390625
secondary_g3_common,secondary_g3_common__r04_f02,4,2,training_pool,old-data-local,144,6,138,0.041666666666666664
secondary_g3_common,secondary_g3_common__r04_f02,4,2,training_pool,old-data-remote-clean,51,2,49,0.0392156862745098
secondary_g3_common,secondary_g3_common__r04_f02,4,2,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r04_f02,4,2,untouched_test,new-data,36,13,23,0.3611111111111111
secondary_g3_common,secondary_g3_common__r04_f02,4,2,untouched_test,old-data-local,33,2,31,0.06060606060606061
secondary_g3_common,secondary_g3_common__r04_f02,4,2,untouched_test,old-data-remote-clean,12,0,12,0.0
secondary_g3_common,secondary_g3_common__r04_f02,4,2,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r04_f03,4,3,training_pool,new-data,130,50,80,0.38461538461538464
secondary_g3_common,secondary_g3_common__r04_f03,4,3,training_pool,old-data-local,138,6,132,0.043478260869565216
secondary_g3_common,secondary_g3_common__r04_f03,4,3,training_pool,old-data-remote-clean,55,2,53,0.03636363636363636
secondary_g3_common,secondary_g3_common__r04_f03,4,3,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r04_f03,4,3,untouched_test,new-data,34,13,21,0.38235294117647056
secondary_g3_common,secondary_g3_common__r04_f03,4,3,untouched_test,old-data-local,39,2,37,0.05128205128205128
secondary_g3_common,secondary_g3_common__r04_f03,4,3,untouched_test,old-data-remote-clean,8,0,8,0.0
secondary_g3_common,secondary_g3_common__r04_f03,4,3,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r04_f04,4,4,training_pool,new-data,129,51,78,0.3953488372093023
secondary_g3_common,secondary_g3_common__r04_f04,4,4,training_pool,old-data-local,143,6,137,0.04195804195804196
secondary_g3_common,secondary_g3_common__r04_f04,4,4,training_pool,old-data-remote-clean,51,1,50,0.0196078431372549
secondary_g3_common,secondary_g3_common__r04_f04,4,4,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r04_f04,4,4,untouched_test,new-data,35,12,23,0.34285714285714286
secondary_g3_common,secondary_g3_common__r04_f04,4,4,untouched_test,old-data-local,34,2,32,0.058823529411764705
secondary_g3_common,secondary_g3_common__r04_f04,4,4,untouched_test,old-data-remote-clean,12,1,11,0.08333333333333333
secondary_g3_common,secondary_g3_common__r04_f04,4,4,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r04_f05,4,5,training_pool,new-data,137,51,86,0.3722627737226277
secondary_g3_common,secondary_g3_common__r04_f05,4,5,training_pool,old-data-local,139,7,132,0.050359712230215826
secondary_g3_common,secondary_g3_common__r04_f05,4,5,training_pool,old-data-remote-clean,48,1,47,0.020833333333333332
secondary_g3_common,secondary_g3_common__r04_f05,4,5,training_pool,all,324,59,265,0.18209876543209877
secondary_g3_common,secondary_g3_common__r04_f05,4,5,untouched_test,new-data,27,12,15,0.4444444444444444
secondary_g3_common,secondary_g3_common__r04_f05,4,5,untouched_test,old-data-local,38,1,37,0.02631578947368421
secondary_g3_common,secondary_g3_common__r04_f05,4,5,untouched_test,old-data-remote-clean,15,1,14,0.06666666666666667
secondary_g3_common,secondary_g3_common__r04_f05,4,5,untouched_test,all,80,14,66,0.175
