target,target_label,target_unit,varying_input,input_unit,profile,grid_index,input_value,predicted_mean,predictive_std,interval_lower_95,interval_upper_95,nearest_training_distance_standardized,support_distance_threshold,within_observed_support,reference_P,reference_VX,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
width,T0 melt-pool width,um,P,W,median_reference,39,238.19349594132,165.81251873114584,2.20703224723868,161.48673552655802,170.13830193573367,0.6592261008888812,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,40,241.6618382342,166.29554902926265,2.237163309938167,161.91070894178384,170.68038911674145,0.6771908440360757,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,41,245.13018052708,166.75975444373339,2.265054802310424,162.32024703120496,171.1992618562618,0.6963135929041413,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,42,248.59852281996,167.20554607449336,2.2906702778608,162.71583232988618,171.69525981910053,0.716501635269245,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,43,252.06686511284,167.63336473670716,2.3140397674332096,163.09784679253806,172.16888268087627,0.7376675133741327,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,44,255.53520740572,168.04367852855407,2.3352603381250776,163.46656826582893,172.6207887912792,0.7335959329980057,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,45,259.0035496986,168.4369804354058,2.3544946880115627,163.82217084690313,173.05179002390844,0.7175835885734407,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,46,262.47189199148,168.81378594453207,2.371967759934177,164.1647291350611,173.46284275400305,0.702813071543427,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,47,265.94023428436003,169.17463065083413,2.3879613763909666,164.49422635310785,173.85503494856042,0.6893642097892242,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,48,269.40857657724,169.5200678414745,2.4028069331585264,164.8105662524838,174.22956943046523,0.6773157367195769,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,49,272.87691887012,169.85066605988763,2.4168762478610963,165.11358861407987,174.58774350569539,0.6667435743532077,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,50,276.34526116300003,170.16700666097887,2.4305707498697773,165.40308799123412,174.93092533072362,0.6577189171205627,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,51,279.81360345587996,170.46968138291263,2.4443093103663416,165.6788351345946,175.26052763123064,0.6503061949565349,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,52,283.28194574876,170.7592899720518,2.4585151426882588,165.9406002923828,175.57797965172077,0.6445610240489986,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,53,286.75028804164003,171.03643790496278,2.473602332074242,166.18817733409728,175.8846984758283,0.6405282769019547,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,54,290.21863033451996,171.30173425565866,2.489962658435691,166.42140744512471,176.1820610661926,0.6382404143914165,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,55,293.6869726274,171.55578975297047,2.5079534323328256,166.64020102559812,176.47137848034282,0.6377162165710648,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,56,297.15531492028003,171.79921506529328,2.5278870519498877,166.8445564434715,176.75387368711506,0.638960024145913,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,57,300.62365721315996,172.032619336978,2.550022896122692,167.03457446057752,177.0306642133785,0.6419615606085964,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,58,304.09199950604,172.25660898419358,2.57456200167212,167.21046746091622,177.30275050747093,0.6466963517796818,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,59,307.56034179892004,172.47178673960855,2.6016447487595427,167.37256303203984,177.57101044717726,0.6531267034618333,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,60,311.02868409179996,172.67875092025486,2.6313515295509333,167.52130192233503,177.83619991817469,0.6612031483654168,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,61,314.49702638468,172.87809487897601,2.6637061364593837,167.65723085151564,178.0989589064364,0.6708662380127679,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,62,317.96536867756004,173.07040659163783,2.6986814132579227,167.7809910216523,178.35982216162336,0.6820485382039276,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,63,321.43371097043996,173.25626833009898,2.7362065849630413,167.8933034235714,178.61923323662654,0.6946766880286621,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,64,324.90205326332,173.43625637073944,2.776175631613409,167.99495213277717,178.8775606087017,0.7086733990904941,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,65,328.37039555620004,173.61094069634967,2.818456090959024,168.08676675806998,179.13511463462936,0.7239592982551745,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,66,331.83873784907996,173.780884654827,2.862897750999744,168.1696050628675,179.39216424678648,0.7404545480618105,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,67,335.30708014196,173.94664454865298,2.909340803033948,168.24433657470644,179.64895252259953,0.7580802089649636,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,68,338.77542243484004,174.10876913754907,2.957623151743798,168.31182776013122,179.90571051496693,0.7767593333632702,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,69,342.24376472771996,174.26779904558404,3.0075866990091296,168.37292911552615,180.16266897564194,0.7964178011403226,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,70,345.7121070206,174.42426606974573,3.059082524468875,168.42846432178672,180.42006781770473,0.8169849198382233,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,71,349.18044931348004,174.5786923940748,3.1119749705632227,168.47922145177088,180.67816333637873,0.83839382021613,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,72,352.64879160635996,174.73158971495582,3.166144698276459,168.52594610633395,180.9372333235777,0.8605816809424714,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,73,356.11713389924,174.88345828895734,3.221490820029173,168.56933628170017,181.1975802962145,0.8834898158069456,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,74,359.58547619212,175.0347859122875,3.277932233556175,168.6100387345174,181.45953309005762,0.9070636543038517,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,75,363.053818485,175.18604684541967,3.3354082866623065,168.64864660356156,181.72344708727778,0.9312526427061407,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
