experiment_name,partition,dataset_revision,P,VX,LS,ST,observed_depth_um,T0_depth_cv,T0_depth_valid_sample_count,T0_sample_count,flag_primary_window_unstable_week6_rule,flag_depth_bounding_box_ambiguity_candidate,recording_ends_before_90pct_domain,has_keyhole,keyhole_frame_count,keyhole_frames_before_T0,keyhole_frames_inside_T0,keyhole_frames_after_T0,keyhole_overlaps_T0,keyhole_timing_relative_to_T0,G3_persistent_depth_um,R3_persistent_depth_width_ratio,G3_event_row_index,max_depth_um,max_depth_minus_G3_um,max_depth_over_G3,max_depth_relative_to_T0,T0_start_row_index,T0_end_row_index,T0_start_time_s,T0_end_time_s,prediction__matern32_no_nugget,residual__matern32_no_nugget,absolute_residual__matern32_no_nugget,squared_error__matern32_no_nugget,residual_rank__matern32_no_nugget,prediction__matern32_learned_nugget,residual__matern32_learned_nugget,absolute_residual__matern32_learned_nugget,squared_error__matern32_learned_nugget,residual_rank__matern32_learned_nugget,prediction__matern52_no_nugget,residual__matern52_no_nugget,absolute_residual__matern52_no_nugget,squared_error__matern52_no_nugget,residual_rank__matern52_no_nugget,top20_configuration_count,consensus_mean_residual_rank,consensus_max_residual_rank,consensus_hard_case,mean_absolute_residual_across_models,keyhole_segment_count,maximum_keyhole_segment_frames,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,122.181848607,0.882188233955,49.840839933400005,370.38962934,42.580775,0.0389283575752461,11426.0,11426.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,42.9282,0.3874203598816666,49646.0,43.1616,0.2334000000000031,1.0054369854780774,before_T0,56624.0,68049.0,0.001028971,0.001236458,51.077095728202735,-8.496320728202733,8.496320728202733,72.18746591648741,57,49.40948446042062,-6.828709460420619,6.828709460420619,46.63127289483806,62,56.92007596073778,-14.33930096073778,14.33930096073778,205.61555204261543,43,0,54.0,62.0,False,9.888110383120377,0,0,False,False,False
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,124.08408212,0.537482635976,53.6452858207,384.350705088,46.98435,0.0663642563991,18827.0,18827.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,54.88154,0.3840636155704838,65350.0,55.08516,0.2036200000000008,1.0037101728559366,before_T0,92888.0,111714.0,0.001687554,0.002029449,52.61972858433288,-5.6353785843328765,5.6353785843328765,31.757491788757616,77,52.41744853154221,-5.433098531542214,5.433098531542214,29.51855965344616,72,54.04834531435274,-7.063995314352745,7.063995314352745,49.90002980119753,74,0,74.33333333333333,77.0,False,6.044157476742612,0,0,False,False,False
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,126.384227376,0.205870034079,45.5514058242,348.956388187,58.710765,0.0014545059641218,13978.0,13978.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,58.118385,0.3412277004390361,102225.0,58.86335,0.7449649999999934,1.0128180609285684,inside_T0,101622.0,115599.0,0.00184617,0.002100003,13.490861270064997,45.219903729935005,45.219903729935005,2044.8396933445897,10,2.101787015869576,56.608977984130426,56.608977984130426,3204.576388407764,8,34.048852245045225,24.661912754954777,24.661912754954777,608.2099407330011,24,2,14.0,24.0,True,42.16359815634007,0,0,False,False,False
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,129.716882801,0.574107735504,55.5330779174,369.509713723,47.43797,0.0727908953607267,17641.0,17641.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,54.82536,0.3839077370170473,86242.0,55.39056,0.5651999999999973,1.0103090978335572,before_T0,86945.0,104585.0,0.001579624,0.00189998,46.43620089723759,1.0017691027624096,1.0017691027624096,1.0035413352494031,145,46.433804286525394,1.004165713474606,1.004165713474606,1.0083487801179647,144,45.982900444699375,1.455069555300625,1.455069555300625,2.1172274107627587,142,0,143.66666666666666,145.0,False,1.1536681238458801,0,0,False,False,False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,131.192514944,0.432823544687,67.22366832659999,324.578264519,54.79085,0.0018333966904519,18862.0,18862.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,58.298370000000006,0.3326824124068773,85513.0,58.50217,0.2037999999999939,1.003495809574093,before_T0,96738.0,115599.0,0.001757473,0.002100003,63.811854834738014,-9.021004834738015,9.021004834738015,81.37852822836665,54,61.08835083704979,-6.297500837049789,6.297500837049789,39.65851679264279,64,68.66204655784995,-13.871196557849949,13.871196557849949,192.41009394650823,47,0,55.0,64.0,False,9.729900743212584,0,0,False,False,False
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,132.334528879,0.441351904611,80.5471929698,380.80221881,50.87139500000001,0.0227248626211646,18982.0,18982.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,54.76712,0.2924889751641945,87210.0,54.91077,0.1436500000000009,1.002622924119435,before_T0,96618.0,115599.0,0.001755293,0.002100003,56.25509310023539,-5.383698100235385,5.383698100235385,28.984205234478097,78,56.566720748484144,-5.695325748484137,5.695325748484137,32.4367353813464,70,56.57466394742428,-5.70326894742427,5.70326894742427,32.52727668665394,84,0,77.33333333333333,84.0,False,5.5940975987145976,0,0,False,False,False
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,132.644034819,0.797235702485,46.520297442,303.62522115,46.68914,0.0377207028740437,12653.0,12653.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,46.938615,0.4221861830091454,32384.0,47.18788,0.2492650000000011,1.0053104464202876,before_T0,62652.0,75304.0,0.001138444,0.001368214,50.91608089012543,-4.226940890125427,4.226940890125427,17.867029288614333,88,50.4231753589223,-3.7340353589222985,3.7340353589222985,13.94302006168198,92,52.01505719094742,-5.325917190947415,5.325917190947415,28.365393924829203,91,0,90.33333333333333,92.0,False,4.42896447999838,0,0,False,False,False
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,140.236446589,0.550532928497,79.18651650460001,370.758962256,46.6948,0.0626410005565364,18495.0,18495.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,50.88819,0.2910129259667585,59941.0,51.04514,0.1569500000000019,1.0030842126630954,before_T0,90571.0,109065.0,0.001645475,0.001981341,45.372472995116425,1.3223270048835758,1.3223270048835758,1.7485487078443682,137,46.91235654809781,-0.2175565480978107,0.2175565480978107,0.047330851620235,161,43.49075987946683,3.204040120533172,3.204040120533172,10.265873093986222,120,0,139.33333333333334,161.0,False,1.5813078911715195,0,0,False,False,False
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,143.707582907,0.952433280409,88.09489228390001,329.530804101,34.780725,0.002105586451022,10628.0,10628.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,34.9027,0.2691378352333123,47454.0,34.96528,0.0625799999999969,1.0017929844969014,inside_T0,52401.0,63028.0,0.0009522777,0.001145273,35.44654953055054,-0.6658245305505446,0.6658245305505446,0.443322305482853,149,35.165039373621354,-0.3843143736213577,0.3843143736213577,0.1476975377719765,151,36.353865244756335,-1.5731402447563383,1.5731402447563383,2.474770229672032,140,0,146.66666666666666,151.0,False,0.8744263829760802,0,0,False,False,False
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,144.087720513,0.415546267467,50.2923295381,327.07537462,62.416985,0.0129151400086168,18632.0,18632.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,62.83395499999999,0.3952053026805145,78833.0,63.06074,0.2267850000000066,1.0036092746350282,before_T0,96968.0,115599.0,0.00176165,0.002100003,57.55010062292786,4.86688437707214,4.86688437707214,23.686563539788867,81,58.41395540954832,4.003029590451675,4.003029590451675,16.024245902031705,86,56.09104712793972,6.32593787206028,6.32593787206028,40.01748996116654,76,0,81.0,86.0,False,5.065283946528031,0,0,False,False,False
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,148.299467422,0.674162518859,57.557139752000005,331.520012414,51.7807,0.056358682840367,15055.0,15055.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,54.961940000000006,0.3928879904730948,60394.0,55.35622,0.3942799999999948,1.0071736914672225,before_T0,74004.0,89058.0,0.001344605,0.001617998,49.47352276634702,2.307177233652986,2.307177233652986,5.3230667874866455,120,48.98813940594474,2.79256059405526,2.79256059405526,7.798394671470267,105,49.76784515758597,2.012854842414029,2.012854842414029,4.051584616629606,136,0,120.33333333333333,136.0,False,2.3708642233740918,0,0,False,False,False
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,150.071418192,0.423845414489,86.7749479825,322.128190627,58.764745,0.0011629332174488,18918.0,18918.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,58.799795,0.2926466377426032,82349.0,58.95469,0.1548950000000033,1.002634277891615,before_T0,96682.0,115599.0,0.001756456,0.002100003,60.76208928664419,-1.9973442866441928,1.9973442866441928,3.9893841993902,126,59.084550561761226,-0.3198055617612283,0.3198055617612283,0.1022755973334148,156,63.94769569894846,-5.18295069894846,5.18295069894846,26.86297794773033,92,0,124.66666666666667,156.0,False,2.500033515784627,0,0,False,False,False
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,155.252053768,0.916931554055,73.5634948929,366.816583574,42.78011,0.0019754880022946,11078.0,11078.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,42.92189,0.3036196407012663,39899.0,43.39815,0.4762599999999963,1.011095969911856,before_T0,54392.0,65469.0,0.0009884359,0.001189603,45.54283220809614,-2.762722208096136,2.762722208096136,7.63263399910759,116,45.267503589400185,-2.4873935894001846,2.4873935894001846,6.187126868589134,117,47.05199922418252,-4.271889224182516,4.271889224182516,18.249037543686697,107,0,113.33333333333333,117.0,False,3.1740016738929455,0,0,False,False,False
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,155.610380822,0.863747905944,48.2199969556,303.817651114,50.43674,0.036138847353382,11709.0,11709.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,50.89622,0.4280329412256277,59250.0,51.09016,0.1939399999999977,1.003810499090109,inside_T0,57795.0,69503.0,0.001050237,0.001262864,49.09160483593064,1.3451351640693616,1.3451351640693616,1.8093886096159084,136,49.69738810360186,0.7393518963981407,0.7393518963981407,0.546641226707527,146,48.67331169842631,1.7634283015736898,1.7634283015736898,3.1096793747910683,137,0,139.66666666666666,146.0,False,1.2826384540137308,0,0,False,False,False
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,157.183722649,0.714259673467,73.8607203139,347.368293375,50.11429,0.0386839567068568,14260.0,14260.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,50.91924,0.3197799182715969,62737.0,51.23838,0.3191399999999973,1.006267571943336,before_T0,69797.0,84056.0,0.001268203,0.001527158,48.469020977593296,1.6452690224067013,1.6452690224067013,2.7069101560911024,131,48.10151829239642,2.0127717076035765,2.0127717076035765,4.051249946929417,126,48.88998848041977,1.22430151958023,1.22430151958023,1.4989142108464604,146,0,134.33333333333334,146.0,False,1.6274474165301693,0,0,False,False,False
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,160.605564338,0.585171267024,48.921808400100005,323.833105745,58.49999,0.0771613817904105,17330.0,17330.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,73.78234,0.5225746772885577,79935.0,87.34396000000001,13.561620000000003,1.183805772492442,before_T0,85278.0,102607.0,0.00154935,0.001864058,65.63120324373972,-7.131213243739722,7.131213243739722,50.85420232768882,63,65.39467663355663,-6.894686633556631,6.894686633556631,47.53670377494447,61,66.0100641891953,-7.510074189195308,7.510074189195308,56.40121432721756,70,0,64.66666666666667,70.0,False,7.178658022163887,0,0,False,False,False
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,162.142815649,0.926926325143,64.92348915369999,377.454931887,46.77227,0.00948397135506,10962.0,10962.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,46.96848,0.3480761918269847,37893.0,47.2123,0.2438199999999994,1.0051911409524004,before_T0,53802.0,64763.0,0.0009777211,0.001176781,46.72150170358446,0.0507682964155407,0.0507682964155407,0.0025774199209362,164,47.05241210104621,-0.2801421010462093,0.2801421010462093,0.0784795967785845,157,45.97160399110325,0.8006660088967479,0.8006660088967479,0.6410660578026471,152,0,157.66666666666666,164.0,False,0.37719213545283264,0,0,False,False,False
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,163.562272254,0.729793018519,51.0150522361,318.261957537,54.79702,0.050741179088904,13897.0,13897.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,58.7476,0.4495189244627134,46938.0,58.92024,0.1726400000000012,1.0029386732394174,before_T0,68371.0,82267.0,0.001242306,0.001494668,50.7975266408713,3.9994933591287065,3.9994933591287065,15.995947129714624,91,50.91898278652845,3.878037213471551,3.878037213471551,15.039172629070189,89,49.96705658809665,4.82996341190335,4.82996341190335,23.328546560325048,97,0,92.33333333333333,97.0,False,4.235831328167869,0,0,False,False,False
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,164.187091551,0.507792014735,69.21641679759999,301.020288893,58.543,0.0605521020842368,19583.0,19583.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,66.52321,0.3670669968405353,94688.0,66.76807,0.2448599999999885,1.0036808205737515,before_T0,96017.0,115599.0,0.001744379,0.002100003,64.51122826120493,-5.968228261204935,5.968228261204935,35.61974857784528,74,64.75120058390686,-6.208200583906866,6.208200583906866,38.541754490021546,65,64.4437923101016,-5.9007923101016,5.9007923101016,34.819349886954186,82,0,73.66666666666667,82.0,False,6.025740385071134,0,0,False,False,False
