target,target_label,target_unit,grid_index,P,VX,predicted_mean,predictive_std,nearest_training_distance_standardized,inside_pairwise_convex_hull,within_observed_support,plot_value_masked_outside_support,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
depth,T0 penetration depth,um,480,276.34526116300003,0.596759083715,97.55585852207781,21.472700134673644,0.6474696141648869,True,True,97.55585852207781,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,481,287.9064021392667,0.596759083715,103.56177063029607,21.741978774046075,0.6290256198144958,True,True,103.56177063029607,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,482,299.4675431155333,0.596759083715,110.2769559445555,22.137783618899558,0.6302420489037328,True,True,110.2769559445555,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,483,311.0286840918,0.596759083715,117.68501202556433,22.729385262716253,0.6510087025047525,True,True,117.68501202556433,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,484,322.5898250680667,0.596759083715,125.71015995919605,23.517497475952695,0.6895615287808982,True,True,125.71015995919605,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,485,334.15096604433336,0.596759083715,134.2227641600512,24.45126425326764,0.7431375067371845,True,True,134.2227641600512,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,486,345.7121070206,0.596759083715,143.05001084841004,25.461766157169507,0.8087565063550648,True,True,143.05001084841004,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,487,357.27324799686664,0.596759083715,151.9874529599288,26.489500024217083,0.8837399503988277,True,True,151.9874529599288,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,488,368.83438897313334,0.596759083715,160.80980919720082,27.49721995047412,0.9659094129354873,True,True,160.80980919720082,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,489,380.3955299494,0.596759083715,169.2816531057121,28.471272694384407,1.053584912938209,True,True,169.2816531057121,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,490,391.9566709256667,0.596759083715,177.16926651795777,29.41726345960616,1.0856864495428291,True,True,177.16926651795777,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,491,403.5178119019333,0.596759083715,184.254370738576,30.353912994194623,1.0474331747034367,True,True,184.254370738576,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,492,415.0789528782,0.596759083715,190.34927441566373,31.30669638022861,1.0200945666578696,True,True,190.34927441566373,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,493,426.64009385446667,0.596759083715,195.31161073126475,32.30177330301453,1.0045621310240973,True,True,195.31161073126475,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,494,438.20123483073337,0.596759083715,199.05577730147047,33.36065729851853,1.0013853933214856,True,True,199.05577730147047,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,495,449.762375807,0.596759083715,201.55809871068965,34.49632601533769,1.0106808682936264,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,496,102.928146519,0.622970311792,47.04881549347625,19.383863385600133,0.5231469280483855,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,497,114.48928749526667,0.622970311792,48.448296356720896,16.929317930118934,0.4333734440754647,True,True,48.448296356720896,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,498,126.05042847153334,0.622970311792,50.29039972808504,14.633386356090561,0.35639564593353107,True,True,50.29039972808504,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,499,137.61156944779998,0.622970311792,52.51870989192101,12.75121027761137,0.30215666724086937,True,True,52.51870989192101,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,500,149.17271042406668,0.622970311792,55.06038663560155,11.704692427452567,0.28399811158354865,True,True,55.06038663560155,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,501,160.73385140033332,0.622970311792,57.83869805238477,11.735838273921463,0.3083612879644844,True,True,57.83869805238477,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,502,172.2949923766,0.622970311792,60.784097497637084,12.586836497664798,0.36687044191974816,True,True,60.784097497637084,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,503,183.85613335286666,0.622970311792,63.84065281461478,13.817485628902702,0.44629210064804936,True,True,63.84065281461478,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,504,195.41727432913333,0.622970311792,66.97189621495818,15.167182484421463,0.5374335658986027,True,True,66.97189621495818,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,505,206.9784153054,0.622970311792,70.1686086095231,16.54427306922334,0.5372467515851591,True,True,70.1686086095231,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,506,218.53955628166668,0.622970311792,73.45538894722664,17.89763060124702,0.5565380935785493,True,True,73.45538894722664,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,507,230.10069725793335,0.622970311792,76.8914425016161,19.151437951467823,0.5965825239029956,True,True,76.8914425016161,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,508,241.6618382342,0.622970311792,80.56426074258098,20.21905427866413,0.6535765041340393,True,True,80.56426074258098,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,509,253.22297921046666,0.622970311792,84.57874424647235,21.045946477689377,0.7235255810217477,True,True,84.57874424647235,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,510,264.78412018673333,0.622970311792,89.04446197689012,21.638637526561514,0.7234144678020838,True,True,89.04446197689012,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,511,276.34526116300003,0.622970311792,94.06163530458669,22.06630677293979,0.6889915388699438,True,True,94.06163530458669,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,512,287.9064021392667,0.622970311792,99.70579936955752,22.437790058628238,0.6716886702562104,True,True,99.70579936955752,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,513,299.4675431155333,0.622970311792,106.01280045620236,22.863211529122317,0.6728279717534942,True,True,106.01280045620236,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,514,311.0286840918,0.622970311792,112.96789066301261,23.416729559147704,0.6923184022575646,True,True,112.96789066301261,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,515,322.5898250680667,0.622970311792,120.5023528681267,24.11900411943882,0.7286889194589109,True,True,120.5023528681267,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,516,334.15096604433336,0.622970311792,128.49779591181255,24.945694041382584,0.7795805239275188,True,True,128.49779591181255,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,517,345.7121070206,0.622970311792,136.7950699164838,25.850849474680906,0.8423654349147973,True,True,136.7950699164838,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,518,357.27324799686664,0.622970311792,145.20447091142566,26.78906466394528,0.9145975832564113,True,True,145.20447091142566,56.179604265950005,335.460786154,matern32_no_nugget,40,True
