effect,budget,subset,metric,mean,ci_lower,ci_upper
TOTAL,60,B1_q20,conduction_recall,0.012566239316239325,0.004407036713286724,0.021548674242424248
TOTAL,60,B1_q20,false_negative,0.01,-0.09,0.12
TOTAL,60,B1_q20,false_positive,-0.13000000000000003,-0.23000000000000004,-0.04
TOTAL,60,B1_q20,keyhole_recall,-8.333333333333908e-05,-0.016337797619047627,0.015357242063492052
TOTAL,60,B1_q30,accuracy,-0.0008000000000000016,-0.0076,0.0056000000000000025
TOTAL,60,B1_q30,balanced_accuracy,-0.0020203642461769497,-0.010310531202114028,0.005562278858911976
TOTAL,60,B1_q30,conduction_recall,0.002038275836650445,-0.005193476030763177,0.00951358804486706
TOTAL,60,B1_q30,false_negative,0.06,-0.04,0.17
TOTAL,60,B1_q30,false_positive,-0.04000000000000001,-0.16,0.07999999999999999
TOTAL,60,B1_q30,keyhole_recall,-0.006079004329004333,-0.021431836219336222,0.008167279942279932
TOTAL,60,full81,accuracy,-8.890457814381136e-18,-0.00222222222222223,0.0020987654320987724
TOTAL,60,full81,balanced_accuracy,-0.0009076694449828722,-0.005169224494411042,0.0031086378174064694
TOTAL,60,full81,conduction_recall,0.00047037539574853137,-0.0013432835820895517,0.00242876526458616
TOTAL,60,full81,false_negative,0.029999999999999992,-0.08,0.15000000000000002
TOTAL,60,full81,false_positive,-0.030000000000000006,-0.16,0.09000000000000001
TOTAL,60,full81,keyhole_recall,-0.002285714285714285,-0.010666666666666668,0.0052857142857142886
TOTAL,80,B1_q20,accuracy,0.012941176470588229,0.002941176470588228,0.023529411764705875
TOTAL,80,B1_q20,balanced_accuracy,0.010875291375291366,-0.0002549544205794314,0.022267428404928385
TOTAL,80,B1_q20,conduction_recall,0.021278360528360536,0.01199544483294484,0.030265797397047395
TOTAL,80,B1_q20,false_negative,0.010000000000000009,-0.15,0.16
TOTAL,80,B1_q20,false_positive,-0.22999999999999998,-0.32000000000000006,-0.13999999999999999
TOTAL,80,B1_q20,keyhole_recall,0.0004722222222222204,-0.02107708333333333,0.023964980158730144
TOTAL,80,B1_q30,accuracy,0.0084,5.16080234103104e-19,0.0168
TOTAL,80,B1_q30,balanced_accuracy,0.007600319593547141,-0.0020946563433986228,0.017931581055468427
TOTAL,80,B1_q30,conduction_recall,0.009870552607007713,0.0024253337080446277,0.016979462903582473
TOTAL,80,B1_q30,false_negative,-0.029999999999999992,-0.19,0.12999999999999998
TOTAL,80,B1_q30,false_positive,-0.18000000000000002,-0.30000000000000004,-0.06000000000000001
TOTAL,80,B1_q30,keyhole_recall,0.005330086580086576,-0.013536850649350656,0.02459742965367965
TOTAL,80,full81,accuracy,0.0027160493827160423,0.000246913580246896,0.005185185185185208
TOTAL,80,full81,balanced_accuracy,0.0027003618272274993,-0.0027759877560250726,0.008323806293209286
TOTAL,80,full81,conduction_recall,0.0027340569877883293,0.0007869176843057361,0.0045477159656264095
TOTAL,80,full81,false_negative,-0.04,-0.2,0.11999999999999997
TOTAL,80,full81,false_positive,-0.18000000000000002,-0.30000000000000004,-0.06
TOTAL,80,full81,keyhole_recall,0.002666666666666667,-0.008380952380952383,0.013714285714285717
ME_A0,16,B1_q20,accuracy,0.052941176470588235,0.028235294117647063,0.07882352941176467
ME_A0,16,B1_q20,balanced_accuracy,0.08446746309246309,0.0584186161061161,0.1105820668914419
ME_A0,16,B1_q20,conduction_recall,-0.05567618492618494,-0.07779137529137528,-0.03396644327894328
ME_A0,16,B1_q20,false_negative,-1.49,-1.78,-1.22
ME_A0,16,B1_q20,false_positive,0.59,0.35,0.8399999999999999
ME_A0,16,B1_q20,keyhole_recall,0.2246111111111111,0.18187986111111112,0.26761964285714285
ME_A0,16,B1_q30,accuracy,0.04240000000000001,0.022399999999999993,0.0632
ME_A0,16,B1_q30,balanced_accuracy,0.09120952063502372,0.06820515459235466,0.11611887075826219
ME_A0,16,B1_q30,conduction_recall,-0.04486378701278082,-0.06085018075212539,-0.028053125862355744
ME_A0,16,B1_q30,false_negative,-1.83,-2.1700000000000004,-1.51
ME_A0,16,B1_q30,false_positive,0.77,0.47000000000000003,1.0699999999999998
ME_A0,16,B1_q30,keyhole_recall,0.2272828282828283,0.18763430735930736,0.2690937049062049
ME_A0,16,full81,accuracy,0.013333333333333358,0.005802469135802492,0.020990740740740733
ME_A0,16,full81,balanced_accuracy,0.06292553466434066,0.048502017509853335,0.07802420446468955
ME_A0,16,full81,conduction_recall,-0.014434644957032974,-0.01954777250113067,-0.009167797376752574
ME_A0,16,full81,false_negative,-2.04,-2.44,-1.6700000000000004
ME_A0,16,full81,false_positive,0.96,0.6100000000000001,1.2999999999999998
ME_A0,16,full81,keyhole_recall,0.1402857142857143,0.1147619047619048,0.16723928571428573
ME_A0,20,B1_q20,accuracy,0.04705882352941176,0.034117647058823516,0.06117647058823528
ME_A0,20,B1_q20,balanced_accuracy,0.06391730491730493,0.048218742368742386,0.07993079836829838
ME_A0,20,B1_q20,conduction_recall,-0.011911421911421907,-0.03331448135198135,0.009761533605283614
ME_A0,20,B1_q20,false_negative,-0.9199999999999999,-1.1099999999999999,-0.74
ME_A0,20,B1_q20,false_positive,0.12,-0.10000000000000002,0.34
ME_A0,20,B1_q20,keyhole_recall,0.13974603174603176,0.10839652777777777,0.17187450396825393
ME_A0,20,B1_q30,accuracy,0.030800000000000004,0.019600000000000003,0.04280000000000001
ME_A0,20,B1_q30,balanced_accuracy,0.05686991012513459,0.043347951066391464,0.07136337042891318
ME_A0,20,B1_q30,conduction_recall,-0.01987020860975969,-0.0363127799584746,-0.002866494821612864
ME_A0,20,B1_q30,false_negative,-1.1,-1.3400000000000003,-0.8699999999999999
ME_A0,20,B1_q30,false_positive,0.33,0.04999999999999999,0.6
ME_A0,20,B1_q30,keyhole_recall,0.13361002886002887,0.10393145743145744,0.16584218073593074
ME_A0,20,full81,accuracy,0.010740740740740766,0.006419753086419788,0.015432098765432122
ME_A0,20,full81,balanced_accuracy,0.03887410350843187,0.030104558376946443,0.048101828519738966
ME_A0,20,full81,conduction_recall,-0.004966078697421943,-0.009776175938489335,-0.00013562867480773437
ME_A0,20,full81,false_negative,-1.2000000000000002,-1.48,-0.93
ME_A0,20,full81,false_positive,0.33000000000000007,2.4910629115027014e-17,0.6499999999999999
ME_A0,20,full81,keyhole_recall,0.08271428571428573,0.06476071428571431,0.10204761904761905
ME_A0,30,B1_q20,accuracy,0.027647058823529407,0.011764705882352944,0.04411764705882352
ME_A0,30,B1_q20,balanced_accuracy,0.040679709179709186,0.0224912681068931,0.060409086399711404
ME_A0,30,B1_q20,conduction_recall,-0.01920010545010544,-0.03562577283827284,-0.0027327020202020155
ME_A0,30,B1_q20,false_negative,-0.6699999999999999,-0.9199999999999999,-0.45
ME_A0,30,B1_q20,false_positive,0.2,0.029750000000000217,0.37
ME_A0,30,B1_q20,keyhole_recall,0.1005595238095238,0.0645110119047619,0.13976200396825395
ME_A0,30,B1_q30,accuracy,0.013600000000000004,0.0016000000000000048,0.02520000000000001
ME_A0,30,B1_q30,balanced_accuracy,0.03414945318699189,0.01857186510116561,0.05105302653519082
ME_A0,30,B1_q30,conduction_recall,-0.0236743980993207,-0.03494737671384342,-0.011955348542925952
ME_A0,30,B1_q30,false_negative,-0.7300000000000001,-0.9700000000000001,-0.51
ME_A0,30,B1_q30,false_positive,0.39,0.19,0.58
ME_A0,30,B1_q30,keyhole_recall,0.09197330447330448,0.06142769660894661,0.12536067821067817
ME_A0,30,full81,accuracy,0.006913580246913615,0.0014814814814815107,0.01296296296296301
ME_A0,30,full81,balanced_accuracy,0.030192285326613676,0.017136183530399914,0.04565222346061897
ME_A0,30,full81,conduction_recall,-0.006329715061058297,-0.009357813206693755,-0.0028787313432835355
ME_A0,30,full81,false_negative,-0.9800000000000001,-1.4600000000000002,-0.5999999999999999
ME_A0,30,full81,false_positive,0.42000000000000004,0.19999999999999998,0.63
ME_A0,30,full81,keyhole_recall,0.06671428571428575,0.040285714285714314,0.09785833333333332
ME_A0,40,B1_q20,accuracy,0.01823529411764707,0.010000000000000014,0.026470588235294124
ME_A0,40,B1_q20,balanced_accuracy,0.02199314574314574,0.011347539266289279,0.033668709068709064
ME_A0,40,B1_q20,conduction_recall,0.0069743867243867285,-0.006389815046065048,0.02066295093795095
ME_A0,40,B1_q20,false_negative,-0.25000000000000006,-0.39999999999999997,-0.10999999999999999
ME_A0,40,B1_q20,false_positive,-0.059999999999999984,-0.2,0.08
ME_A0,40,B1_q20,keyhole_recall,0.03701190476190476,0.012805158730158722,0.06407559523809524
ME_A0,40,B1_q30,accuracy,0.004400000000000004,-0.002399999999999995,0.011200000000000003
ME_A0,40,B1_q30,balanced_accuracy,0.011683975145081956,0.002233315428444097,0.02271542072371214
ME_A0,40,B1_q30,conduction_recall,-0.00783262691041329,-0.01787107489925795,0.0021758636788048453
ME_A0,40,B1_q30,false_negative,-0.25000000000000006,-0.41000000000000003,-0.09000000000000001
ME_A0,40,B1_q30,false_positive,0.14,-0.020000000000000014,0.3
ME_A0,40,B1_q30,keyhole_recall,0.031200577200577194,0.009743849206349195,0.054859217171717156
ME_A0,40,full81,accuracy,0.002839506172839545,-0.0006172839506172366,0.0071604938271605245
ME_A0,40,full81,balanced_accuracy,0.012792983136266724,0.004506124410415453,0.024209280706855348
ME_A0,40,full81,conduction_recall,-0.0028426051560379384,-0.005558570782451325,-0.0002691090004522377
ME_A0,40,full81,false_negative,-0.42000000000000004,-0.76,-0.16000000000000003
ME_A0,40,full81,false_positive,0.19,0.009999999999999995,0.37
ME_A0,40,full81,keyhole_recall,0.028428571428571442,0.011380952380952396,0.05123809523809525
ME_A0,60,B1_q20,accuracy,1.0061396160665481e-17,-0.009999999999999986,0.010588235294117652
ME_A0,60,B1_q20,balanced_accuracy,-0.0006349900099900208,-0.01178426538739039,0.010044922091797063
ME_A0,60,B1_q20,conduction_recall,0.002995892995892999,-0.009037157980907975,0.015970177738927734
ME_A0,60,B1_q20,false_negative,0.03000000000000002,-0.08,0.15
ME_A0,60,B1_q20,false_positive,-0.029999999999999992,-0.16000000000000003,0.09000000000000001
ME_A0,60,B1_q20,keyhole_recall,-0.004265873015873022,-0.024686507936507944,0.014183035714285705
ME_A0,60,B1_q30,accuracy,-0.008399999999999994,-0.015599999999999998,-0.0007999999999999926
ME_A0,60,B1_q30,balanced_accuracy,-0.008476671290525786,-0.017344428508045948,-0.00015444821668700068
ME_A0,60,B1_q30,conduction_recall,-0.007850889478598456,-0.016149363451520963,0.0011152478315887668
ME_A0,60,B1_q30,false_negative,0.08,-0.03000000000000001,0.2
ME_A0,60,B1_q30,false_positive,0.13000000000000003,-0.019999999999999997,0.27
ME_A0,60,B1_q30,keyhole_recall,-0.009102453102453107,-0.02555576298701299,0.006383928571428564
ME_A0,60,full81,accuracy,-0.0024691358024691006,-0.004691358024691323,-0.00012345679012343503
ME_A0,60,full81,balanced_accuracy,-0.002954997738579835,-0.007328068262583191,0.001213060509142588
ME_A0,60,full81,conduction_recall,-0.0022433288104929338,-0.004213025780189908,1.3568521031266562e-05
ME_A0,60,full81,false_negative,0.05,-0.07,0.18
ME_A0,60,full81,false_positive,0.15000000000000002,0.010000000000000004,0.29
ME_A0,60,full81,keyhole_recall,-0.0036666666666666466,-0.012523809523809498,0.004571428571428596
ME_A0,80,B1_q20,accuracy,0.0035294117647058964,-0.0064705882352941,0.013529411764705896
ME_A0,80,B1_q20,balanced_accuracy,0.0007219724719724616,-0.011443180430680443,0.012736369186369154
ME_A0,80,B1_q20,conduction_recall,0.012689976689976689,0.0022251165501165483,0.023138650932400934
ME_A0,80,B1_q20,false_negative,0.08000000000000002,-0.06000000000000001,0.22000000000000003
ME_A0,80,B1_q20,false_positive,-0.13999999999999999,-0.24000000000000005,-0.04
ME_A0,80,B1_q20,keyhole_recall,-0.011246031746031745,-0.03440535714285714,0.011790178571428568
ME_A0,80,B1_q30,accuracy,0.0020000000000000057,-0.005199999999999996,0.009200000000000003
ME_A0,80,B1_q30,balanced_accuracy,0.0005599928966801978,-0.00829277384498456,0.009539178640953987
ME_A0,80,B1_q30,conduction_recall,0.004560101233475847,-0.0035363096773797227,0.013136714795567347
ME_A0,80,B1_q30,false_negative,0.04000000000000001,-0.11000000000000001,0.19
ME_A0,80,B1_q30,false_positive,-0.09000000000000002,-0.23000000000000004,0.04999999999999999
ME_A0,80,B1_q30,keyhole_recall,-0.0034401154401154425,-0.02140705266955267,0.015016504329004319
ME_A0,80,full81,accuracy,0.0007407407407407716,-0.0014814814814814602,0.002962962962962994
ME_A0,80,full81,balanced_accuracy,-0.00035788589519934413,-0.005278955870000664,0.004557579795826054
ME_A0,80,full81,conduction_recall,0.0013794663048394883,-0.0005857078245137482,0.0034938941655360024
ME_A0,80,full81,false_negative,0.03,-0.11000000000000001,0.18
ME_A0,80,full81,false_positive,-0.09000000000000002,-0.23000000000000004,0.05
ME_A0,80,full81,keyhole_recall,-0.0020952380952380693,-0.011999999999999969,0.007809523809523833
ME_A1,16,B1_q20,accuracy,0.05294117647058823,0.027647058823529403,0.07764705882352939
ME_A1,16,B1_q20,balanced_accuracy,0.08446746309246309,0.05867803446553449,0.11097912816350315
ME_A1,16,B1_q20,conduction_recall,-0.055676184926184924,-0.07724368686868686,-0.033887179487179495
ME_A1,16,B1_q20,false_negative,-1.49,-1.78,-1.22
ME_A1,16,B1_q20,false_positive,0.59,0.33999999999999997,0.8399999999999999
ME_A1,16,B1_q20,keyhole_recall,0.2246111111111111,0.18302152777777778,0.2684492063492063
ME_A1,16,B1_q30,accuracy,0.04240000000000001,0.022000000000000002,0.06359999999999999
ME_A1,16,B1_q30,balanced_accuracy,0.09120952063502372,0.06800543130491372,0.11618431949135317
ME_A1,16,B1_q30,conduction_recall,-0.044863787012780834,-0.060866176777728646,-0.028340556448625348
ME_A1,16,B1_q30,false_negative,-1.83,-2.1700000000000004,-1.5000000000000002
ME_A1,16,B1_q30,false_positive,0.77,0.48,1.06
ME_A1,16,B1_q30,keyhole_recall,0.2272828282828283,0.18722496392496393,0.26989434523809525
ME_A1,16,full81,accuracy,0.013333333333333313,0.005679012345678995,0.020987654320987623
ME_A1,16,full81,balanced_accuracy,0.06292553466434066,0.04856981084835565,0.07769602959229828
ME_A1,16,full81,conduction_recall,-0.014434644957033043,-0.019439280868385363,-0.009170058796924504
ME_A1,16,full81,false_negative,-2.04,-2.43,-1.67
ME_A1,16,full81,false_positive,0.96,0.6197500000000001,1.3099999999999998
ME_A1,16,full81,keyhole_recall,0.14028571428571424,0.11438095238095239,0.16776190476190472
ME_A1,20,B1_q20,accuracy,0.06588235294117645,0.04294117647058822,0.08882352941176466
ME_A1,20,B1_q20,balanced_accuracy,0.07948076923076926,0.05509426615051614,0.10464972180597179
ME_A1,20,B1_q20,conduction_recall,0.016953601953601963,-0.005987506937506919,0.04119253871128873
ME_A1,20,B1_q20,false_negative,-0.9399999999999998,-1.16,-0.7300000000000001
ME_A1,20,B1_q20,false_positive,-0.18,-0.4402499999999998,0.07000000000000003
ME_A1,20,B1_q20,keyhole_recall,0.1420079365079365,0.10770873015873016,0.17799285714285712
ME_A1,20,B1_q30,accuracy,0.04959999999999999,0.031999999999999994,0.06680000000000001
ME_A1,20,B1_q30,balanced_accuracy,0.07640392242346578,0.05691373804106971,0.09599085791713018
ME_A1,20,B1_q30,conduction_recall,0.0013183066073932906,-0.014110021684112252,0.017221222905491464
ME_A1,20,B1_q30,false_negative,-1.2,-1.4300000000000002,-0.9799999999999999
ME_A1,20,B1_q30,false_positive,-0.04,-0.31999999999999995,0.22999999999999993
ME_A1,20,B1_q30,keyhole_recall,0.15148953823953826,0.12230022546897545,0.18189597763347765
ME_A1,20,full81,accuracy,0.01777777777777775,0.011851851851851827,0.024074074074074046
ME_A1,20,full81,balanced_accuracy,0.046720133100730143,0.03672565904245012,0.056898643955546974
ME_A1,20,full81,conduction_recall,0.001535504296698275,-0.003455450022614254,0.0068227046585255064
ME_A1,20,full81,false_negative,-1.3399999999999999,-1.5899999999999999,-1.0999999999999999
ME_A1,20,full81,false_positive,-0.09999999999999999,-0.45,0.22000000000000006
ME_A1,20,full81,keyhole_recall,0.09190476190476189,0.07466547619047616,0.10928571428571425
ME_A1,30,B1_q20,accuracy,0.051176470588235254,0.03117647058823526,0.07176470588235292
ME_A1,30,B1_q20,balanced_accuracy,0.0578940503940504,0.03383190802253302,0.08188007582695081
ME_A1,30,B1_q20,conduction_recall,0.01312937062937064,-0.002227335858585844,0.03125258838383839
ME_A1,30,B1_q20,false_negative,-0.7300000000000001,-0.99,-0.4699999999999999
ME_A1,30,B1_q20,false_positive,-0.13999999999999999,-0.32999999999999996,0.020000000000000004
ME_A1,30,B1_q20,keyhole_recall,0.10265873015873014,0.061726091269841264,0.1433111111111111
ME_A1,30,B1_q30,accuracy,0.0416,0.0256,0.05800000000000001
ME_A1,30,B1_q30,balanced_accuracy,0.06020618985847313,0.038361079354297216,0.08173216682268539
ME_A1,30,B1_q30,conduction_recall,0.004972264276830835,-0.006459229923413366,0.01778856099288567
ME_A1,30,B1_q30,false_negative,-0.96,-1.27,-0.65
ME_A1,30,B1_q30,false_positive,-0.07999999999999999,-0.3,0.11000000000000003
ME_A1,30,B1_q30,keyhole_recall,0.11544011544011545,0.07746017316017316,0.15324521103896105
ME_A1,30,full81,accuracy,0.016543209876543168,0.010987654320987607,0.022345679012345642
ME_A1,30,full81,balanced_accuracy,0.040380273954900826,0.027204456613038726,0.05435346158816309
ME_A1,30,full81,conduction_recall,0.0029986431478968233,-0.00014246947082774191,0.006592039800994968
ME_A1,30,full81,false_negative,-1.1400000000000001,-1.55,-0.7697500000000036
ME_A1,30,full81,false_positive,-0.2,-0.43000000000000005,0.009999999999999998
ME_A1,30,full81,keyhole_recall,0.07776190476190477,0.0517142857142857,0.10528690476190475
ME_A1,40,B1_q20,accuracy,0.0352941176470588,0.0188235294117647,0.05117647058823527
ME_A1,40,B1_q20,balanced_accuracy,0.040149822399822406,0.021006112984237983,0.0589265252109002
ME_A1,40,B1_q20,conduction_recall,0.01683932733932736,0.0007504960317460479,0.03337516233766234
ME_A1,40,B1_q20,false_negative,-0.43,-0.65,-0.20999999999999996
ME_A1,40,B1_q20,false_positive,-0.16999999999999998,-0.35,5.551115123125783e-18
ME_A1,40,B1_q20,keyhole_recall,0.06346031746031744,0.027082936507936504,0.0976470238095238
ME_A1,40,B1_q30,accuracy,0.029200000000000004,0.015999999999999997,0.042800000000000005
ME_A1,40,B1_q30,balanced_accuracy,0.040146950765952316,0.023247339361382506,0.05693146336485153
ME_A1,40,B1_q30,conduction_recall,0.010310856798859888,-0.0014948959408324861,0.023502527919062356
ME_A1,40,B1_q30,false_negative,-0.5599999999999999,-0.8099999999999999,-0.3
ME_A1,40,B1_q30,false_positive,-0.16999999999999998,-0.4,0.030000000000000006
ME_A1,40,B1_q30,keyhole_recall,0.06998304473304474,0.03877089646464647,0.10014402056277057
ME_A1,40,full81,accuracy,0.012098765432098722,0.006790123456790069,0.018024691358024654
ME_A1,40,full81,balanced_accuracy,0.02495170252632941,0.014618407960199017,0.03686388350455515
ME_A1,40,full81,conduction_recall,0.004665309814563491,0.0006083220262324165,0.009758028041610077
ME_A1,40,full81,false_negative,-0.6699999999999999,-1.01025,-0.37
ME_A1,40,full81,false_positive,-0.31000000000000005,-0.63,-0.04
ME_A1,40,full81,keyhole_recall,0.04523809523809523,0.025095238095238087,0.06795476190476188
ME_A1,60,B1_q20,accuracy,-0.0047058823529412,-0.015882352941176497,0.007058823529411738
ME_A1,60,B1_q20,balanced_accuracy,-0.01187597125097126,-0.025118290043290047,0.0017768200549450497
ME_A1,60,B1_q20,conduction_recall,0.02047027972027973,0.011533236208236224,0.029526568570318577
ME_A1,60,B1_q20,false_negative,0.28,0.12,0.45
ME_A1,60,B1_q20,false_positive,-0.2,-0.2900000000000001,-0.10999999999999999
ME_A1,60,B1_q20,keyhole_recall,-0.044222222222222225,-0.0696032738095238,-0.019142857142857145
ME_A1,60,B1_q30,accuracy,-0.0056000000000000025,-0.015599999999999994,0.004799999999999993
ME_A1,60,B1_q30,balanced_accuracy,-0.01316894257703082,-0.02512657655865378,-0.001072959533693868
ME_A1,60,B1_q30,conduction_recall,0.009475606909430435,0.0026980015909872654,0.016677317988598943
ME_A1,60,B1_q30,false_negative,0.29,0.11000000000000001,0.47000000000000003
ME_A1,60,B1_q30,false_positive,-0.15000000000000005,-0.28,-0.039999999999999994
ME_A1,60,B1_q30,keyhole_recall,-0.03581349206349206,-0.057684126984126984,-0.014123881673881684
ME_A1,60,full81,accuracy,-0.0008641975308642388,-0.004074074074074132,0.0024691358024690993
ME_A1,60,full81,balanced_accuracy,-0.0070205143115590705,-0.013650637235898416,-0.00015685452607092445
ME_A1,60,full81,conduction_recall,0.002578018995929394,0.0006015377657168197,0.004837177747625454
ME_A1,60,full81,false_negative,0.24,0.040000000000000015,0.43
ME_A1,60,full81,false_positive,-0.17000000000000004,-0.32,-0.04
