name,hash,P,VX,LS,ST,reaches_conduction,first_conduction_timestep,first_conduction_frame_index_0based,total_frames,conduction_frames,conduction_fraction,screenshot_bug_any,screenshot_bug_before_first_conduction,keyhole_any,label_change_count,conduction_entry_count,unexpected_start,return_to_forming_or_initial_after_conduction,suspicious_transition,transition_pattern,bug_free_field,correctly_finished_field,first_observed_conduction_timestep,first_observed_conduction_frame_index_0based,screenshot_bug_frames_before_first_observed_conduction,latest_valid_preconduction_timestep,latest_valid_preconduction_label,first_screenshot_bug_timestep_before_first_observed_conduction,last_screenshot_bug_timestep_before_first_observed_conduction,observational_ambiguity_interval_lower_bound,observational_ambiguity_interval_upper_bound,observational_ambiguity_interval_width,observational_ambiguity_lower_bound_exists,first_persistent_conduction_timestep,first_persistent_conduction_frame_index_0based,persistent_onset_exists,persistent_onset_differs_from_first_observed,persistent_minus_first_observed_timestep,intervening_reversion_count,intervening_reversion_frame_count,final_observed_timestep,final_stored_frame_index_0based,final_observed_label,final_valid_non_bug_timestep,final_valid_label,right_censored_no_conduction,exact_clean_observed_target,interval_ambiguous_due_to_pretransition_bug,other_transition_ambiguity,target_status_primary
P-114p820217584_VX-0p948189613582_LS-6p03705790634e-05_ST-353p560035146_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p08771719698e-06_H-d4c4d1b9c0,d4c4d1b9c0,114.820217584,0.948189613582,6.03705790634e-05,353.560035146,True,26021.0,91.0,403,211,0.5235732009925558,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,26021,91,35,25741,Forming Phase,0,10075,25741,26021,280,True,26021,91,True,False,0,0,0,115599,402,Screenshot Bug,86251,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-115p281467344_VX-0p424433079834_LS-5p4086019252e-05_ST-352p652659088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13660334979e-05_H-d616b14147,d616b14147,115.281467344,0.424433079834,5.4086019252e-05,352.652659088,True,50034.0,76.0,182,106,0.5824175824175825,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,50034,76,32,49408,Forming Phase,0,21879,49408,50034,626,True,50034,76,True,False,0,0,0,115599,181,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-116p440418649_VX-0p621036488786_LS-7p33150072515e-05_ST-327p034160515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p76785372538e-06_H-3f4a2df486,3f4a2df486,116.440418649,0.621036488786,7.33150072515e-05,327.034160515,True,41027.0,95.0,270,175,0.6481481481481481,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,41027,95,35,40600,Forming Phase,0,14955,40600,41027,427,True,41027,95,True,False,0,0,0,115599,269,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-116p693370328_VX-0p231004403842_LS-8p2871053211e-05_ST-317p198938228_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p08832408507e-05_H-d147d48e9f,d147d48e9f,116.693370328,0.231004403842,8.2871053211e-05,317.198938228,True,83909.0,73.0,102,29,0.28431372549019607,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,83909,73,35,82759,Forming Phase,0,39062,82759,83909,1150,True,83909,73,True,False,0,0,0,115599,101,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-118p4900546_VX-0p535113778256_LS-4p79907961621e-05_ST-385p412174328_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p01513061154e-06_H-dd169576f0,dd169576f0,118.4900546,0.535113778256,4.79907961621e-05,385.412174328,True,39182.0,77.0,232,155,0.6681034482758621,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,39182,77,35,38685,Forming Phase,0,17851,38685,39182,497,True,39182,77,True,False,0,0,0,115599,231,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-119p65849417_VX-0p305673131798_LS-5p10692886867e-05_ST-393p327897391_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p57819582462e-05_H-cb2618ba4f,cb2618ba4f,119.65849417,0.305673131798,5.10692886867e-05,393.327897391,True,72094.0,83.0,135,52,0.3851851851851852,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,72094,83,36,71225,Forming Phase,0,30381,71225,72094,869,True,72094,83,True,False,0,0,0,115599,134,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,306f9d252b,122.148440758,0.768953415756,4.5e-05,300.0,True,9630.0,72.0,516,444,0.8604651162790697,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,9630,72,0,9497,Forming Phase,,,9497,9630,133,True,9630,72,True,False,0,0,0,68795,515,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,79d0c72bd8,122.399838052,0.958262341264,8.77032416896e-05,376.830559352,True,60951.0,219.0,413,105,0.2542372881355932,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,60951,219,36,60673,Forming Phase,0,9969,60673,60951,278,True,60951,219,True,False,0,0,0,115599,412,Screenshot Bug,90611,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-123p578555013_VX-0p413960648538_LS-5p40122226787e-05_ST-380p745973079_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16535729182e-05_H-f404b6f8f4,f404b6f8f4,123.578555013,0.413960648538,5.40122226787e-05,380.745973079,True,53226.0,80.0,179,99,0.553072625698324,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,53226,80,33,52584,Forming Phase,0,22432,52584,53226,642,True,53226,80,True,False,0,0,0,115599,178,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-124p939831153_VX-0p895565001264_LS-4p79284796095e-05_ST-395p904294171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p38667834965e-06_H-cf6d926251,cf6d926251,124.939831153,0.895565001264,4.79284796095e-05,395.904294171,True,24588.0,81.0,383,228,0.5953002610966057,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,24588,81,35,24292,Forming Phase,0,10667,24292,24588,296,True,24588,81,True,False,0,0,0,115599,382,Screenshot Bug,92804,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,306f9d252b,126.228008246,0.201684842681,4.5e-05,300.0,True,33658.0,66.0,136,70,0.5147058823529411,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,33658,66,0,33147,Forming Phase,,,33147,33658,511,True,33658,66,True,False,0,0,0,68795,135,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-126p429096271_VX-0p381791494837_LS-8p54596605095e-05_ST-336p470624887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p26354847299e-05_H-bf3689621a,bf3689621a,126.429096271,0.381791494837,8.54596605095e-05,336.470624887,True,57713.0,83.0,168,85,0.5059523809523809,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,57713,83,35,57018,Forming Phase,0,23626,57018,57713,695,True,57713,83,True,False,0,0,0,115599,167,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-129p840936159_VX-0p750604494449_LS-8p84568803437e-05_ST-319p185657099_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p42698070514e-06_H-f575443233,f575443233,129.840936159,0.750604494449,8.84568803437e-05,319.185657099,True,76053.0,210.0,322,112,0.34782608695652173,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,76053,210,31,75699,Forming Phase,354,12374,75699,76053,354,True,76053,210,True,False,0,0,0,115599,321,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,306f9d252b,133.003569327,0.736244453131,4.5e-05,300.0,True,13551.0,97.0,494,397,0.8036437246963563,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,13551,97,0,13412,Forming Phase,,,13412,13551,139,True,13551,97,True,False,0,0,0,68795,493,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-133p058435031_VX-0p81650327798_LS-4p78587303962e-05_ST-362p382821566_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p90826850683e-06_H-dd169576f0,dd169576f0,133.058435031,0.81650327798,4.78587303962e-05,362.382821566,True,29896.0,91.0,354,217,0.6129943502824858,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,29896,91,36,29571,Forming Phase,0,11700,29571,29896,325,True,29896,91,True,False,0,0,0,115599,353,Screenshot Bug,100818,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,306f9d252b,133.757797566,0.645163458122,4.5e-05,300.0,True,12754.0,80.0,433,353,0.815242494226328,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,12754,80,0,12595,Forming Phase,,,12595,12754,159,True,12754,80,True,False,0,0,0,68795,432,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,b0e5aed98c,134.442185153,0.806363522352,4.5e-05,300.0,True,9949.0,78.0,541,463,0.8558225508317929,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,9949,78,0,9821,Forming Phase,,,9821,9949,128,True,9949,78,True,False,0,0,0,68795,540,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-135p171981101_VX-0p652238458987_LS-5p89001447273e-05_ST-362p997098414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p39625291417e-06_H-01d46950f6,01d46950f6,135.171981101,0.652238458987,5.89001447273e-05,362.997098414,True,36619.0,88.0,283,195,0.6890459363957597,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,36619,88,34,36212,Forming Phase,0,14240,36212,36619,407,True,36619,88,True,False,0,0,0,115599,282,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,fb250c7cf9,135.208661893,0.295797438033,4.5e-05,300.0,True,24334.0,70.0,199,108,0.542713567839196,False,False,True,3,1,False,False,False,Initial Emptiness → Forming Phase → Conduction → Keyhole,1,1,24334,70,0,23987,Forming Phase,,,23987,24334,347,True,24334,70,True,False,0,0,0,68795,198,Keyhole,68795,Keyhole,False,True,False,False,exact_clean_observed_target
P-136p115095044_VX-0p8200930762_LS-6p39666133344e-05_ST-362p502989524_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88240620853e-06_H-f575443233,f575443233,136.115095044,0.8200930762,6.39666133344e-05,362.502989524,True,27498.0,85.0,354,238,0.672316384180791,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,27498,85,36,27174,Forming Phase,0,11326,27174,27498,324,True,27498,85,True,False,0,0,0,115599,353,Screenshot Bug,105235,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-136p984349172_VX-0p357723834949_LS-5p17808569448e-05_ST-373p061688931_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p34856001521e-05_H-270d04032e,270d04032e,136.984349172,0.357723834949,5.17808569448e-05,373.061688931,True,63084.0,85.0,157,72,0.4585987261146497,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,63084,85,36,62341,Forming Phase,0,25957,62341,63084,743,True,63084,85,True,False,0,0,0,115599,156,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-137p340072051_VX-0p708357837186_LS-8p48461574474e-05_ST-331p337392673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p81028761138e-06_H-701e6757d1,701e6757d1,137.340072051,0.708357837186,8.48461574474e-05,331.337392673,True,36341.0,92.0,305,213,0.6983606557377049,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,36341,92,31,35966,Forming Phase,0,13112,35966,36341,375,True,36341,92,True,False,0,0,0,115599,304,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-137p601432421_VX-0p461948695475_LS-6p48780591522e-05_ST-397p490087405_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04429791669e-05_H-ef2aaf59fd,ef2aaf59fd,137.601432421,0.461948695475,6.48780591522e-05,397.490087405,True,55168.0,91.0,198,107,0.5404040404040404,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,55168,91,30,54593,Forming Phase,0,19528,54593,55168,575,True,55168,91,True,False,0,0,0,115599,197,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,306f9d252b,138.247900083,0.876957934743,4.5e-05,300.0,True,8679.0,74.0,106,32,0.3018867924528302,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,8679,74,0,8561,Forming Phase,,,8561,8679,118,True,8679,74,True,False,0,0,0,12315,105,Conduction,12315,Conduction,False,True,False,False,exact_clean_observed_target
P-139p278080234_VX-0p813607985113_LS-8p25985701782e-05_ST-356p830860854_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p9292935803e-06_H-6014a1f9c3,6014a1f9c3,139.278080234,0.813607985113,8.25985701782e-05,356.830860854,True,33920.0,103.0,351,228,0.6495726495726496,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,33920,103,35,33594,Forming Phase,0,11416,33594,33920,326,True,33920,103,True,False,0,0,0,115599,350,Screenshot Bug,109339,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,fb250c7cf9,140.119887795,0.222892199661,4.5e-05,300.0,True,31376.0,68.0,151,73,0.48344370860927155,False,False,True,3,1,False,False,False,Initial Emptiness → Forming Phase → Conduction → Keyhole,1,1,31376,68,0,30914,Forming Phase,,,30914,31376,462,True,31376,68,True,False,0,0,0,68795,150,Keyhole,68795,Keyhole,False,True,False,False,exact_clean_observed_target
P-140p320645521_VX-0p612281673664_LS-8p56006119926e-05_ST-348p910931315_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p87892372174e-06_H-dd169576f0,dd169576f0,140.320645521,0.612281673664,8.56006119926e-05,348.910931315,True,40313.0,91.0,265,174,0.6566037735849056,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,40313,91,33,39879,Forming Phase,0,14736,39879,40313,434,True,40313,91,True,False,0,0,0,115599,264,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,fb250c7cf9,140.539865228,0.255658736827,4.5e-05,300.0,True,30169.0,75.0,172,67,0.38953488372093026,False,False,True,3,1,False,False,False,Initial Emptiness → Forming Phase → Conduction → Keyhole,1,1,30169,75,0,29766,Forming Phase,,,29766,30169,403,True,30169,75,True,False,0,0,0,68795,171,Keyhole,68795,Keyhole,False,True,False,False,exact_clean_observed_target
P-140p573028588_VX-0p551169304036_LS-6p78791919712e-05_ST-377p8442615_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p16896078445e-05_H-bf889bf790,bf889bf790,140.573028588,0.551169304036,6.78791919712e-05,377.8442615,True,41161.0,60.0,104,44,0.4230769230769231,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,41161,60,23,40517,Forming Phase,0,16717,40517,41161,644,True,41161,60,True,False,0,0,0,68795,103,Conduction,68795,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,b0e5aed98c,140.974625597,0.98622838083,4.5e-05,300.0,True,8656.0,82.0,659,577,0.8755690440060698,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,8656,82,0,8551,Forming Phase,,,8551,8656,105,True,8656,82,True,False,0,0,0,68795,658,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-143p879945116_VX-0p336279357485_LS-6p76007351295e-05_ST-398p207663754_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p91595257833e-05_H-bf889bf790,bf889bf790,143.879945116,0.336279357485,6.76007351295e-05,398.207663754,True,64320.0,61.0,67,6,0.08955223880597014,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,64320,61,26,63265,Forming Phase,0,26341,63265,64320,1055,True,64320,61,True,False,0,0,0,68795,66,Conduction,68795,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-143p909481867_VX-0p917293492006_LS-5p50242100517e-05_ST-352p206869428_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25908081225e-06_H-cf6d926251,cf6d926251,143.909481867,0.917293492006,5.50242100517e-05,352.206869428,True,25740.0,88.0,395,233,0.589873417721519,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,25740,88,35,25451,Forming Phase,0,10125,25451,25740,289,True,25740,88,True,False,0,0,0,115599,394,Screenshot Bug,94080,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-144p684844876_VX-0p221020126644_LS-8p32765690701e-05_ST-337p418493583_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p18266122469e-05_H-73ae961aa0,73ae961aa0,144.684844876,0.221020126644,8.32765690701e-05,337.418493583,True,81692.0,68.0,98,30,0.30612244897959184,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,81692,68,33,80490,Forming Phase,0,38425,80490,81692,1202,True,81692,68,True,False,0,0,0,115599,97,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
