policy,endpoint,estimate,repeat_blocks,kind
P2_H_SEED_COVERAGE_B40,q20_keyhole_recall_AULC_B16_B40,0.7279993411295494,60,AULC
P2_H_SEED_COVERAGE_B40,q20_keyhole_recall_AULC_B16_B80,0.7389823993281023,60,AULC
P2_H_SEED_COVERAGE_B40,q30_accuracy_AULC_B16_B40,0.8689083333333334,60,AULC
P2_H_SEED_COVERAGE_B40,q30_accuracy_AULC_B16_B80,0.8865375,60,AULC
P2_H_SEED_COVERAGE_B40,full81_accuracy_AULC_B16_B40,0.9570061728395062,60,AULC
P2_H_SEED_COVERAGE_B40,full81_accuracy_AULC_B16_B80,0.9637371399176954,60,AULC
P2_H_SEED_COVERAGE_B40,B1_q20_accuracy_B24,0.8213725490196079,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_balanced_accuracy_B24,0.8034398841898842,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_keyhole_recall_B24,0.7195971620971621,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_negative_B24,1.8566666666666667,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_positive_B24,1.18,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q30_accuracy_B24,0.8648,60,checkpoint
P2_H_SEED_COVERAGE_B40,full81_accuracy_B24,0.9553086419753085,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_accuracy_B32,0.8349019607843137,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_balanced_accuracy_B32,0.8183357614607616,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_keyhole_recall_B32,0.7357692400192399,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_negative_B32,1.7566666666666666,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_positive_B32,1.05,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q30_accuracy_B32,0.8753333333333332,60,checkpoint
P2_H_SEED_COVERAGE_B40,full81_accuracy_B32,0.9595061728395061,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_accuracy_B40,0.8458823529411764,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_balanced_accuracy_B40,0.8279317996817996,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_keyhole_recall_B40,0.7386449013949014,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_negative_B40,1.74,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_positive_B40,0.88,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q30_accuracy_B40,0.8869333333333335,60,checkpoint
P2_H_SEED_COVERAGE_B40,full81_accuracy_B40,0.9640329218106996,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_accuracy_B80,0.8584313725490195,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_balanced_accuracy_B80,0.8403848558848558,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_keyhole_recall_B80,0.7484106541606542,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_negative_B80,1.6866666666666668,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q20_false_positive_B80,0.72,60,checkpoint
P2_H_SEED_COVERAGE_B40,B1_q30_accuracy_B80,0.9014666666666664,60,checkpoint
P2_H_SEED_COVERAGE_B40,full81_accuracy_B80,0.9692181069958847,60,checkpoint
P3_EARLY8_RMBC_B40,q20_accuracy_AULC_B16_B40,0.8351348039215687,60,AULC
P3_EARLY8_RMBC_B40,q20_accuracy_AULC_B16_B80,0.8477711397058824,60,AULC
P3_EARLY8_RMBC_B40,q20_balanced_accuracy_AULC_B16_B40,0.8213010803818097,60,AULC
P3_EARLY8_RMBC_B40,q20_balanced_accuracy_AULC_B16_B80,0.8312424029601765,60,AULC
P3_EARLY8_RMBC_B40,q20_keyhole_recall_AULC_B16_B40,0.7516968143738977,60,AULC
P3_EARLY8_RMBC_B40,q20_keyhole_recall_AULC_B16_B80,0.7481414658113876,60,AULC
P3_EARLY8_RMBC_B40,q30_accuracy_AULC_B16_B40,0.8785333333333333,60,AULC
P3_EARLY8_RMBC_B40,q30_accuracy_AULC_B16_B80,0.8914177083333333,60,AULC
P3_EARLY8_RMBC_B40,full81_accuracy_AULC_B16_B40,0.9618021262002742,60,AULC
P3_EARLY8_RMBC_B40,full81_accuracy_AULC_B16_B80,0.9659899048353912,60,AULC
P3_EARLY8_RMBC_B40,B1_q20_accuracy_B24,0.830392156862745,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_balanced_accuracy_B24,0.8157113303363304,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_keyhole_recall_B24,0.7439493746993747,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_negative_B24,1.7033333333333334,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_positive_B24,1.18,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q30_accuracy_B24,0.8752,60,checkpoint
P3_EARLY8_RMBC_B40,full81_accuracy_B24,0.9605761316872427,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_accuracy_B32,0.8433333333333334,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_balanced_accuracy_B32,0.8288068228068228,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_keyhole_recall_B32,0.7567468734968735,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_negative_B32,1.6166666666666667,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_positive_B32,1.0466666666666666,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q30_accuracy_B32,0.8858666666666667,60,checkpoint
P3_EARLY8_RMBC_B40,full81_accuracy_B32,0.964238683127572,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_accuracy_B40,0.8529411764705883,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_balanced_accuracy_B40,0.8390027888777888,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_keyhole_recall_B40,0.7660220057720059,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_negative_B40,1.5633333333333332,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_positive_B40,0.9366666666666666,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q30_accuracy_B40,0.8946666666666666,60,checkpoint
P3_EARLY8_RMBC_B40,full81_accuracy_B40,0.967201646090535,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_accuracy_B80,0.8592156862745097,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_balanced_accuracy_B80,0.8399035732785733,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_keyhole_recall_B80,0.7443393458393458,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_negative_B80,1.71,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q20_false_positive_B80,0.6833333333333333,60,checkpoint
P3_EARLY8_RMBC_B40,B1_q30_accuracy_B80,0.9022666666666667,60,checkpoint
P3_EARLY8_RMBC_B40,full81_accuracy_B80,0.9694650205761316,60,checkpoint
P4_PG_RMBC_ADAPTIVE,q20_accuracy_AULC_B16_B40,0.8354207516339869,60,AULC
P4_PG_RMBC_ADAPTIVE,q20_accuracy_AULC_B16_B80,0.8477910539215687,60,AULC
