population,candidate_id,unit,descriptive_direction,descriptive_threshold,band_half_width,band_semantics,within_band_count,within_band_keyhole_positive_count,within_band_keyhole_negative_count,negative_edge_score,positive_edge_score,class_gap_in_positive_direction,empty_class_gap,threshold_inside_empty_gap,nearest_below_experiment,nearest_below_value,nearest_below_distance,nearest_above_experiment,nearest_above_value,nearest_above_distance
new-data,T0_depth,um,higher,82.41506749999999,5.0,micrometre band,26,10,16,94.62022,74.3066,-20.31362,False,False,P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,82.340345,0.07472249999999292,P-389p770210211_VX-0p908238681403_LS-4p3221586392e-05_ST-323p581279452_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31151194261e-06_H-8b3ff695c9,82.48979,0.07472250000000713
new-data,T0_depth,um,higher,82.41506749999999,10.0,micrometre band,50,16,34,94.62022,74.3066,-20.31362,False,False,P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,82.340345,0.07472249999999292,P-389p770210211_VX-0p908238681403_LS-4p3221586392e-05_ST-323p581279452_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31151194261e-06_H-8b3ff695c9,82.48979,0.07472250000000713
old-data-local,G3,um,higher,76.412915,2.0,micrometre band,8,2,6,90.208,78.00963999999999,-12.198360000000008,False,False,P-209p90265043_VX-0p477857533217_LS-8p77962223972e-05_ST-386p665335025_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00953114007e-05_H-0011cc30ec,74.81618999999999,1.5967250000000064,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,78.00963999999999,1.5967249999999922
old-data-local,G3,um,higher,76.412915,5.0,micrometre band,17,3,14,90.208,78.00963999999999,-12.198360000000008,False,False,P-209p90265043_VX-0p477857533217_LS-8p77962223972e-05_ST-386p665335025_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00953114007e-05_H-0011cc30ec,74.81618999999999,1.5967250000000064,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,78.00963999999999,1.5967249999999922
old-data-local,G3,um,higher,76.412915,10.0,micrometre band,38,3,35,90.208,78.00963999999999,-12.198360000000008,False,False,P-209p90265043_VX-0p477857533217_LS-8p77962223972e-05_ST-386p665335025_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00953114007e-05_H-0011cc30ec,74.81618999999999,1.5967250000000064,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,78.00963999999999,1.5967249999999922
old-data-local,R3,dimensionless,higher,0.431491418489115,0.02,ratio analogue,27,2,25,0.5209045739596359,0.4322778508524462,-0.08862672310718966,False,False,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,0.43070498612578373,0.0007864323633312575,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,0.4322778508524462,0.000786432363331202
old-data-local,R3,dimensionless,higher,0.431491418489115,0.05,ratio analogue,62,3,59,0.5209045739596359,0.4322778508524462,-0.08862672310718966,False,False,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,0.43070498612578373,0.0007864323633312575,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,0.4322778508524462,0.000786432363331202
old-data-local,R3,dimensionless,higher,0.431491418489115,0.1,ratio analogue,108,3,105,0.5209045739596359,0.4322778508524462,-0.08862672310718966,False,False,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,0.43070498612578373,0.0007864323633312575,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,0.4322778508524462,0.000786432363331202
old-data-local,max_depth,um,higher,107.08127999999999,2.0,micrometre band,0,0,0,90.40686,123.75569999999999,33.348839999999996,True,True,P-229p39632192_VX-0p478464286668_LS-6p73160020334e-05_ST-313p601802213_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00825092644e-05_H-73ae961aa0,90.40686,16.674419999999998,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,123.75569999999999,16.674419999999998
old-data-local,max_depth,um,higher,107.08127999999999,5.0,micrometre band,0,0,0,90.40686,123.75569999999999,33.348839999999996,True,True,P-229p39632192_VX-0p478464286668_LS-6p73160020334e-05_ST-313p601802213_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00825092644e-05_H-73ae961aa0,90.40686,16.674419999999998,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,123.75569999999999,16.674419999999998
old-data-local,max_depth,um,higher,107.08127999999999,10.0,micrometre band,0,0,0,90.40686,123.75569999999999,33.348839999999996,True,True,P-229p39632192_VX-0p478464286668_LS-6p73160020334e-05_ST-313p601802213_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00825092644e-05_H-73ae961aa0,90.40686,16.674419999999998,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,123.75569999999999,16.674419999999998
old-data-local,T0_depth,um,higher,70.17236750000001,2.0,micrometre band,10,1,9,86.262795,70.55308500000001,-15.709709999999987,False,False,P-244p346847818_VX-0p692297386822_LS-7p87344285445e-05_ST-312p797130588_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p96827793206e-06_H-9bd689b964,69.79165,0.38071750000000293,P-202p397397496_VX-0p555230188132_LS-4p52196790327e-05_ST-397p348654616_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p68850560746e-06_H-0011cc30ec,70.55308500000001,0.38071750000000293
old-data-local,T0_depth,um,higher,70.17236750000001,5.0,micrometre band,24,1,23,86.262795,70.55308500000001,-15.709709999999987,False,False,P-244p346847818_VX-0p692297386822_LS-7p87344285445e-05_ST-312p797130588_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p96827793206e-06_H-9bd689b964,69.79165,0.38071750000000293,P-202p397397496_VX-0p555230188132_LS-4p52196790327e-05_ST-397p348654616_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p68850560746e-06_H-0011cc30ec,70.55308500000001,0.38071750000000293
old-data-local,T0_depth,um,higher,70.17236750000001,10.0,micrometre band,53,4,49,86.262795,70.55308500000001,-15.709709999999987,False,False,P-244p346847818_VX-0p692297386822_LS-7p87344285445e-05_ST-312p797130588_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p96827793206e-06_H-9bd689b964,69.79165,0.38071750000000293,P-202p397397496_VX-0p555230188132_LS-4p52196790327e-05_ST-397p348654616_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p68850560746e-06_H-0011cc30ec,70.55308500000001,0.38071750000000293
old-data-remote-clean,G3,um,higher,118.326565,2.0,micrometre band,0,0,0,86.80308,149.85005,63.046970000000016,True,True,P-227p690023792_VX-0p392329282459_LS-7p92871102354e-05_ST-391p94840599_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p22961013075e-05_H-12074f4927,86.80308,31.523485000000008,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,149.85005,31.523485000000008
old-data-remote-clean,G3,um,higher,118.326565,5.0,micrometre band,0,0,0,86.80308,149.85005,63.046970000000016,True,True,P-227p690023792_VX-0p392329282459_LS-7p92871102354e-05_ST-391p94840599_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p22961013075e-05_H-12074f4927,86.80308,31.523485000000008,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,149.85005,31.523485000000008
old-data-remote-clean,G3,um,higher,118.326565,10.0,micrometre band,0,0,0,86.80308,149.85005,63.046970000000016,True,True,P-227p690023792_VX-0p392329282459_LS-7p92871102354e-05_ST-391p94840599_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p22961013075e-05_H-12074f4927,86.80308,31.523485000000008,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,149.85005,31.523485000000008
old-data-remote-clean,R3,dimensionless,higher,0.7624954501869492,0.02,ratio analogue,0,0,0,0.5341994037398861,0.9907914966340123,0.4565920928941263,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,0.5341994037398861,0.22829604644706314,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,0.9907914966340123,0.22829604644706314
old-data-remote-clean,R3,dimensionless,higher,0.7624954501869492,0.05,ratio analogue,0,0,0,0.5341994037398861,0.9907914966340123,0.4565920928941263,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,0.5341994037398861,0.22829604644706314,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,0.9907914966340123,0.22829604644706314
old-data-remote-clean,R3,dimensionless,higher,0.7624954501869492,0.1,ratio analogue,0,0,0,0.5341994037398861,0.9907914966340123,0.4565920928941263,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,0.5341994037398861,0.22829604644706314,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,0.9907914966340123,0.22829604644706314
old-data-remote-clean,max_depth,um,higher,123.209585,2.0,micrometre band,0,0,0,90.58417,155.835,65.25083000000001,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,90.58417,32.625415000000004,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,155.835,32.625415000000004
old-data-remote-clean,max_depth,um,higher,123.209585,5.0,micrometre band,0,0,0,90.58417,155.835,65.25083000000001,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,90.58417,32.625415000000004,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,155.835,32.625415000000004
old-data-remote-clean,max_depth,um,higher,123.209585,10.0,micrometre band,0,0,0,90.58417,155.835,65.25083000000001,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,90.58417,32.625415000000004,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,155.835,32.625415000000004
old-data-remote-clean,T0_depth,um,higher,80.68371,2.0,micrometre band,3,1,2,86.77511,82.64709,-4.128019999999992,False,False,P-213p87237204_VX-0p329966780459_LS-7p13970627017e-05_ST-390p008507958_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p46200190101e-05_H-765072ed36,78.72033,1.9633800000000008,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,82.64709,1.9633800000000008
old-data-remote-clean,T0_depth,um,higher,80.68371,5.0,micrometre band,4,1,3,86.77511,82.64709,-4.128019999999992,False,False,P-213p87237204_VX-0p329966780459_LS-7p13970627017e-05_ST-390p008507958_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p46200190101e-05_H-765072ed36,78.72033,1.9633800000000008,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,82.64709,1.9633800000000008
old-data-remote-clean,T0_depth,um,higher,80.68371,10.0,micrometre band,15,1,14,86.77511,82.64709,-4.128019999999992,False,False,P-213p87237204_VX-0p329966780459_LS-7p13970627017e-05_ST-390p008507958_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p46200190101e-05_H-765072ed36,78.72033,1.9633800000000008,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,82.64709,1.9633800000000008
all-old,G3,um,higher,76.43563499999999,2.0,micrometre band,15,2,13,90.208,78.00963999999999,-12.198360000000008,False,False,P-236p206080041_VX-0p584146530445_LS-8p43378292301e-05_ST-319p849522294_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p25840838144e-06_H-b41981edcb,74.86163,1.5740049999999854,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,78.00963999999999,1.5740049999999997
all-old,G3,um,higher,76.43563499999999,5.0,micrometre band,28,3,25,90.208,78.00963999999999,-12.198360000000008,False,False,P-236p206080041_VX-0p584146530445_LS-8p43378292301e-05_ST-319p849522294_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p25840838144e-06_H-b41981edcb,74.86163,1.5740049999999854,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,78.00963999999999,1.5740049999999997
all-old,G3,um,higher,76.43563499999999,10.0,micrometre band,55,3,52,90.208,78.00963999999999,-12.198360000000008,False,False,P-236p206080041_VX-0p584146530445_LS-8p43378292301e-05_ST-319p849522294_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p25840838144e-06_H-b41981edcb,74.86163,1.5740049999999854,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,78.00963999999999,1.5740049999999997
all-old,R3,dimensionless,higher,0.431491418489115,0.02,ratio analogue,30,2,28,0.5341994037398861,0.4322778508524462,-0.10192155288743987,False,False,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,0.43070498612578373,0.0007864323633312575,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,0.4322778508524462,0.000786432363331202
all-old,R3,dimensionless,higher,0.431491418489115,0.05,ratio analogue,72,3,69,0.5341994037398861,0.4322778508524462,-0.10192155288743987,False,False,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,0.43070498612578373,0.0007864323633312575,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,0.4322778508524462,0.000786432363331202
all-old,R3,dimensionless,higher,0.431491418489115,0.1,ratio analogue,137,3,134,0.5341994037398861,0.4322778508524462,-0.10192155288743987,False,False,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,0.43070498612578373,0.0007864323633312575,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,0.4322778508524462,0.000786432363331202
all-old,max_depth,um,higher,107.169935,2.0,micrometre band,0,0,0,90.58417,123.75569999999999,33.17152999999999,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,90.58417,16.585764999999995,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,123.75569999999999,16.585764999999995
all-old,max_depth,um,higher,107.169935,5.0,micrometre band,0,0,0,90.58417,123.75569999999999,33.17152999999999,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,90.58417,16.585764999999995,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,123.75569999999999,16.585764999999995
all-old,max_depth,um,higher,107.169935,10.0,micrometre band,0,0,0,90.58417,123.75569999999999,33.17152999999999,True,True,P-246p298220115_VX-0p718479932945_LS-4p8795144948e-05_ST-311p768373355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p71434285331e-06_H-0b12abf205,90.58417,16.585764999999995,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,123.75569999999999,16.585764999999995
all-old,T0_depth,um,higher,78.59645499999999,2.0,micrometre band,10,3,7,86.77511,70.55308500000001,-16.222024999999988,False,False,P-209p697266982_VX-0p34452106985_LS-7p55711119508e-05_ST-302p470939697_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p4002396443e-05_H-b40dbd8ddd,78.57048999999999,0.02596499999999935,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,78.62241999999999,0.02596499999999935
