dataset,material,setting,repeat,fold,train_rows,test_rows,model,features,train_only_scaling,converged,n_iter,warnings,gamma_P,gamma_VX,sigma_P,sigma_VX,beta_P,beta_VX,alpha,beta_P_near_zero,alpha_extreme,alpha_valid,beta_P_positive,beta_VX_negative
transition_inclusive,Ti64,R1_C1,5,2,49,11,G,log_P|log_VX,True,True,7,,0.5564150654123647,-2.7189640753072357,0.09599280367113967,0.5915515525772861,5.7964247749089495,-4.596326496754488,-0.7929588798686147,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,5,3,48,12,G,log_P|log_VX,True,True,7,,0.1614133159992571,-2.8312365042513337,0.08502209623080867,0.5524634242081693,1.8984866658788313,-5.124749223551346,-2.6993864722136673,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,5,4,47,13,G,log_P|log_VX,True,True,6,,0.2711940730370585,-2.788214877735067,0.0986961279465142,0.5935799902745775,2.7477681108627188,-4.697285830752647,-1.7094913548865072,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,6,0,48,12,G,log_P|log_VX,True,True,7,,0.4614817451320829,-2.7353514222633284,0.10052080699820198,0.5784319221416867,4.59090768282767,-4.728908135179484,-1.0300595136922501,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,6,1,47,13,G,log_P|log_VX,True,True,7,,0.43590207035292455,-2.8026098225341896,0.09396989829908703,0.5022460640648367,4.638741535779225,-5.580152883333279,-1.202945419634361,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,6,2,49,11,G,log_P|log_VX,True,True,7,,0.28642897037892695,-2.744115830755033,0.09383737763975757,0.5539085005488427,3.0523974303558443,-4.954095898575331,-1.6230179757417071,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,6,3,49,11,G,log_P|log_VX,True,True,7,,0.07615360501929719,-2.7658789114265385,0.09203626013469764,0.5557545273007808,0.8274304595584856,-4.976799604062627,-6.014764801767429,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,6,4,47,13,G,log_P|log_VX,True,True,7,,0.31590840980300794,-2.7934554576460173,0.08938371082732725,0.5969233307788943,3.5342950844062,-4.67975586412577,-1.3240987954779164,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,7,0,48,12,G,log_P|log_VX,True,True,7,,0.29353910465095046,-2.7530387688670315,0.09767514610938874,0.5478200346237522,3.0052589255634077,-5.025443749529613,-1.6722165623674083,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,7,1,47,13,G,log_P|log_VX,True,True,7,,0.3495010495442375,-2.864089564793716,0.09801357719737733,0.5270210413720062,3.5658432182351727,-5.43448807534812,-1.524040105733473,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,7,2,49,11,G,log_P|log_VX,True,True,7,,0.2856357204984988,-2.7504233508579388,0.08686044336429248,0.5640801382981429,3.2884441920304655,-4.875944327974566,-1.482751125833731,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,7,3,49,11,G,log_P|log_VX,True,True,7,,0.291107644136343,-2.746861479556316,0.07987821532820052,0.5485560190735141,3.6443934424454922,-5.007440232258573,-1.3740119751994828,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,7,4,47,13,G,log_P|log_VX,True,True,7,,0.3829675279742921,-2.78059214080698,0.10157955673913785,0.6006344473551367,3.7701240315290487,-4.629425023907929,-1.2279237991091698,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,8,0,48,12,G,log_P|log_VX,True,True,7,,0.3165117711293655,-2.7616704435003827,0.10052080699820198,0.536437071067344,3.148718962582811,-5.148172250671476,-1.6350053186228366,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,8,1,47,13,G,log_P|log_VX,True,True,7,,0.24414500797771624,-2.8007007793212098,0.09396989829908703,0.5326867445598761,2.598119316897124,-5.257688140213146,-2.0236515336379104,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,8,2,49,11,G,log_P|log_VX,True,True,7,,0.3752004821145039,-2.7388399405637305,0.08668415650480293,0.5808820825140146,4.328362843257465,-4.714967156002186,-1.0893188317950184,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,8,3,49,11,G,log_P|log_VX,True,True,7,,0.2744689161234903,-2.761202200704354,0.09206567102504785,0.5387542837375,2.9812297359872266,-5.125160549163649,-1.71914310638206,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,8,4,47,13,G,log_P|log_VX,True,True,7,,0.3732960646205579,-2.8199957459494076,0.09577407842460432,0.60136841943521,3.897673261501813,-4.6892980323075095,-1.2031018809669736,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,9,0,48,12,G,log_P|log_VX,True,True,7,,0.3649931050194987,-2.75868100176106,0.10555113448533007,0.5332902299315323,3.4579742491562415,-5.172944949910745,-1.4959466373044745,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,9,1,47,13,G,log_P|log_VX,True,True,7,,0.2259842242762707,-2.742759854048999,0.09396989829908703,0.5791438182173213,2.40485760192066,-4.735887300828945,-1.9693005095381069,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,9,2,49,11,G,log_P|log_VX,True,True,6,,0.3654219558914261,-2.7957406541078997,0.08668415650480293,0.5605870541749328,4.215556459514941,-4.987165924162567,-1.1830385791432172,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,9,3,49,11,G,log_P|log_VX,True,True,7,,0.3201952828926826,-2.855172297916147,0.09203626013469764,0.5142449092625291,3.479012319971149,-5.552164438556536,-1.5959024941316045,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,9,4,47,13,G,log_P|log_VX,True,True,8,,0.3089875154563928,-2.7398397168267006,0.09238763364777704,0.5963376678981113,3.34446833690309,-4.594443491191341,-1.3737440538742558,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,10,0,47,13,G,log_P|log_VX,True,True,6,,0.280202095025974,-2.8330531674531128,0.09396989829908703,0.5433713525036586,2.9818282247592505,-5.213843450523162,-1.7485391704426976,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,10,1,49,11,G,log_P|log_VX,True,True,7,,0.35886755139195964,-2.769728238193915,0.09949448650776,0.5630574046685093,3.606908925189237,-4.919086784454147,-1.3637956728269944,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,10,2,49,11,G,log_P|log_VX,True,True,7,,0.2449248491009657,-2.7275539719818083,0.08417371113084288,0.5481226457957163,2.9097546705555732,-4.976174571335553,-1.7101698028670673,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,10,3,48,12,G,log_P|log_VX,True,True,7,,0.30755710852650675,-2.7679613085694945,0.09299065746844824,0.578269077818171,3.307397935441643,-4.786632062383669,-1.4472501210364639,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,10,4,47,13,G,log_P|log_VX,True,True,7,,0.375011653393829,-2.7967855718340955,0.09801357719737734,0.5589053217987635,3.826119443009816,-5.004041762982338,-1.307863446899062,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,11,0,48,12,G,log_P|log_VX,True,True,6,,0.30813637697145174,-2.8192073385697385,0.09698740512715351,0.5764116977310392,3.177076204559503,-4.890961355689238,-1.5394535858693268,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,11,1,47,13,G,log_P|log_VX,True,True,7,,0.4270003226470749,-2.7596933213843395,0.09394405708351174,0.48500245383194296,4.545261679166061,-5.690060533880503,-1.2518664348769648,False,False,True,True,True
