dataset,material,setting,repeat,model,roc_auc,pr_auc,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,accuracy,false_negative,false_positive,true_negative,true_positive
strict_C_vs_K,316L,R1_C1,8,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.022757898226409518,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,9,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02034721968839735,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,9,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.020209611295182287,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,10,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.020817305398696275,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,10,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02434846597886201,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,11,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.01990507639787695,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,11,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021803499144542392,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,12,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021230596397261232,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,12,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021844777025154527,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,13,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021714425854444816,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,13,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.023104623750492926,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,14,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02068225471839551,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,14,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02067898522408246,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,15,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.01950607654968689,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,15,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.019843789683990663,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,16,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.020248274378355996,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,16,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021764839367368186,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,17,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02178497029830995,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,17,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.020992890655683067,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,18,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.019756318472279575,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,18,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.022610629763035333,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,19,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02107141749844228,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,19,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02471737862260674,0.9791666666666666,1,0,37,10
