method,budget,top_candidate_occurrences,keyhole_fraction_posthoc,q20_concentration_posthoc,q30_concentration_posthoc,median_B1_distance_posthoc,median_nearest_revealed_distance,median_P,median_VX,median_LS,median_ST,median_h
M3_TMES_GSUR,16,100,0.5,0.67,0.78,0.7914133471407223,1.2710302046728161,243.4895796525,0.448965084658,5.29394366699e-05,351.894554175,920768477.1977149
M3_TMES_GSUR,24,100,0.42,0.79,0.85,0.7827827999262398,1.1275271398874946,225.511353261,0.42060205025700004,5.29394366699e-05,346.005476369,897128159.6130042
M3_TMES_GSUR,32,100,0.38,0.73,0.95,0.7735585831182544,0.9053202700920411,246.298220115,0.555230188132,5.23440775955e-05,330.289975384,880518309.0740157
M3_TMES_GSUR,40,100,0.51,0.73,0.9,0.7914133471407223,0.8245950472667722,297.863120885,0.5128438024475,5.3362114496e-05,330.289975384,849139509.2092178
M3_TMES_GSUR,60,100,0.42,0.53,0.67,0.9084295906084319,0.7723807510167293,353.971838789,0.8980979522195001,4.49939505126e-05,371.522412287,1343660346.3735683
M3_TMES_GSUR,80,100,0.33,0.34,0.59,1.0232400033929963,0.7122892514327924,238.568860016,0.781444456167,4.64611349328e-05,375.783913497,662544677.8814384
PA_TVR_CANDIDATE,16,100,0.59,0.76,0.85,0.7914133471407223,1.3367228510548923,341.923576441,0.471971299611,6.473857763605e-05,338.608523688,920768477.1977149
PA_TVR_CANDIDATE,24,100,0.52,0.86,0.92,0.7219602080064724,1.1481167088181894,336.384535968,0.471971299611,5.78341655667e-05,330.289975384,893503754.2726467
PA_TVR_CANDIDATE,32,100,0.58,0.79,0.95,0.5236292277987136,1.0365097478148932,339.704237738,0.471971299611,5.78341655667e-05,330.289975384,852489489.7611367
PA_TVR_CANDIDATE,40,100,0.58,0.72,0.88,0.7914133471407223,0.8957470418410161,339.704237738,0.538821581396,5.8783513777e-05,330.289975384,826474037.0349798
PA_TVR_CANDIDATE,60,100,0.24,0.26,0.36,1.2391683093557402,0.9424392716871619,324.489523844,0.76958695679,6.29715413405e-05,384.3402133085,701531236.8363744
PA_TVR_CANDIDATE,80,100,0.2,0.21,0.47,1.2168548341437737,0.7145546741878617,251.6022239,0.7863302228469999,5.18819698292e-05,375.783913497,649732452.5482938
