benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30
branin,smallest_abs_mu,1,12,17,18,831,1.0204504247556478,True,True,True
branin,smallest_abs_mu,1,13,18,19,712,1.5291638553566749,True,True,True
branin,smallest_abs_mu,1,14,19,20,1175,22.33152103805653,False,False,False
branin,smallest_abs_mu,1,15,20,21,970,37.22603678463891,False,False,False
branin,smallest_abs_mu,1,16,21,22,787,12.820396678643633,False,False,False
branin,smallest_abs_mu,1,17,22,23,1442,63.065477785928834,False,False,False
branin,smallest_abs_mu,1,18,23,24,503,9.044545605532626,False,False,True
branin,smallest_abs_mu,1,19,24,25,198,19.836440202007047,False,False,False
branin,smallest_abs_mu,1,20,25,26,52,2.283042814695513,True,True,True
branin,smallest_abs_mu,1,21,26,27,536,2.731736382117141,True,True,True
branin,smallest_abs_mu,1,22,27,28,1368,6.287782300896517,False,True,True
branin,smallest_abs_mu,1,23,28,29,64,5.589214186524398,False,True,True
branin,smallest_abs_mu,1,24,29,30,1145,1.626901685413845,True,True,True
branin,smallest_abs_mu,1,25,30,31,660,6.189311703498852,False,True,True
branin,smallest_abs_mu,1,26,31,32,70,18.42973844916832,False,False,False
branin,smallest_abs_mu,1,27,32,33,148,22.739788140570184,False,False,False
branin,smallest_abs_mu,1,28,33,34,529,13.741704239026959,False,False,False
branin,smallest_abs_mu,1,29,34,35,1483,13.3782768805174,False,False,False
branin,smallest_abs_mu,1,30,35,36,73,9.857750689247865,False,False,True
branin,smallest_abs_mu,1,31,36,37,825,5.5248676555320415,False,True,True
branin,smallest_abs_mu,1,32,37,38,537,50.918053138494884,False,False,False
branin,smallest_abs_mu,1,33,38,39,1385,13.787986670776775,False,False,False
branin,smallest_abs_mu,1,34,39,40,1296,6.281883039429754,False,True,True
branin,smallest_abs_mu,1,35,40,41,886,12.54825863587019,False,False,False
branin,smallest_abs_mu,1,36,41,42,797,7.237779839116669,False,True,True
branin,smallest_abs_mu,1,37,42,43,1382,88.70441436939532,False,False,False
branin,smallest_abs_mu,1,38,43,44,1289,0.26085588687742955,True,True,True
branin,smallest_abs_mu,1,39,44,45,253,5.474030216800969,False,True,True
branin,smallest_abs_mu,1,40,45,46,898,8.674711265688671,False,True,True
branin,smallest_abs_mu,1,41,46,47,391,5.049987257792694,True,True,True
branin,smallest_abs_mu,1,42,47,48,277,3.29575639592813,True,True,True
branin,smallest_abs_mu,1,43,48,49,1467,34.94566009139929,False,False,False
branin,smallest_abs_mu,1,44,49,50,820,2.9174638288135526,True,True,True
branin,smallest_abs_mu,2,1,6,7,315,141.56671189566478,False,False,False
branin,smallest_abs_mu,2,2,7,8,1120,23.00946859187502,False,False,False
branin,smallest_abs_mu,2,3,8,9,1006,38.77780230132075,False,False,False
branin,smallest_abs_mu,2,4,9,10,1389,22.291080263289132,False,False,False
branin,smallest_abs_mu,2,5,10,11,1224,3.291474451872233,True,True,True
branin,smallest_abs_mu,2,6,11,12,414,244.4638281273451,False,False,False
branin,smallest_abs_mu,2,7,12,13,1476,14.817226257049956,False,False,False
branin,smallest_abs_mu,2,8,13,14,1174,9.484264614692492,False,False,True
branin,smallest_abs_mu,2,9,14,15,42,130.3332679028283,False,False,False
branin,smallest_abs_mu,2,10,15,16,1469,10.971265017021523,False,False,True
branin,smallest_abs_mu,2,11,16,17,1183,116.68350791372171,False,False,False
branin,smallest_abs_mu,2,12,17,18,1171,24.072895590258145,False,False,False
branin,smallest_abs_mu,2,13,18,19,866,9.11031030061531,False,True,True
branin,smallest_abs_mu,2,14,19,20,1354,27.794214140232526,False,False,False
branin,smallest_abs_mu,2,15,20,21,716,9.345127806771018,False,False,True
branin,smallest_abs_mu,2,16,21,22,1470,3.462498655265037,True,True,True
branin,smallest_abs_mu,2,17,22,23,916,85.69373933110934,False,False,False
branin,smallest_abs_mu,2,18,23,24,1365,21.825594671282825,False,False,False
branin,smallest_abs_mu,2,19,24,25,561,2.380708121395042,True,True,True
branin,smallest_abs_mu,2,20,25,26,1404,4.7238152960877855,True,True,True
branin,smallest_abs_mu,2,21,26,27,935,11.332188091903568,False,False,True
branin,smallest_abs_mu,2,22,27,28,950,16.708298458150807,False,False,False
branin,smallest_abs_mu,2,23,28,29,699,10.711772388382307,False,False,True
branin,smallest_abs_mu,2,24,29,30,588,1.7245921938157238,True,True,True
branin,smallest_abs_mu,2,25,30,31,1232,91.35203049910272,False,False,False
branin,smallest_abs_mu,2,26,31,32,560,9.839176074850094,False,False,True
branin,smallest_abs_mu,2,27,32,33,614,11.340605984120963,False,False,True
branin,smallest_abs_mu,2,28,33,34,407,71.03908109311037,False,False,False
branin,smallest_abs_mu,2,29,34,35,1239,22.676570181569957,False,False,False
branin,smallest_abs_mu,2,30,35,36,81,1.183206157981477,True,True,True
branin,smallest_abs_mu,2,31,36,37,1251,1.4240628571249871,True,True,True
branin,smallest_abs_mu,2,32,37,38,76,4.136107010003972,True,True,True
branin,smallest_abs_mu,2,33,38,39,10,5.838253182030165,False,True,True
branin,smallest_abs_mu,2,34,39,40,138,29.13742430973312,False,False,False
branin,smallest_abs_mu,2,35,40,41,1181,9.21393080959411,False,False,True
branin,smallest_abs_mu,2,36,41,42,772,14.046783464577617,False,False,False
branin,smallest_abs_mu,2,37,42,43,786,4.508287361702866,True,True,True
branin,smallest_abs_mu,2,38,43,44,364,4.761086985865283,True,True,True
branin,smallest_abs_mu,2,39,44,45,1068,6.800197165835289,False,True,True
branin,smallest_abs_mu,2,40,45,46,1333,10.511932063056154,False,False,True
branin,smallest_abs_mu,2,41,46,47,630,87.73622136833772,False,False,False
branin,smallest_abs_mu,2,42,47,48,1434,3.276145560474909,True,True,True
branin,smallest_abs_mu,2,43,48,49,733,35.53488413859125,False,False,False
branin,smallest_abs_mu,2,44,49,50,927,96.49080341194399,False,False,False
branin,smallest_abs_mu,3,1,6,7,1105,22.281638550511406,False,False,False
branin,smallest_abs_mu,3,2,7,8,1053,25.127880094030978,False,False,False
branin,smallest_abs_mu,3,3,8,9,1060,160.93601151366263,False,False,False
branin,smallest_abs_mu,3,4,9,10,1040,0.6178297913712036,True,True,True
branin,smallest_abs_mu,3,5,10,11,140,20.490259427369118,False,False,False
branin,smallest_abs_mu,3,6,11,12,1364,11.95661850885688,False,False,True
branin,smallest_abs_mu,3,7,12,13,1061,12.24870510473751,False,False,False
branin,smallest_abs_mu,3,8,13,14,1236,256.3731998129815,False,False,False
branin,smallest_abs_mu,3,9,14,15,1312,7.903819627805888,False,True,True
branin,smallest_abs_mu,3,10,15,16,896,23.39996740544479,False,False,False
branin,smallest_abs_mu,3,11,16,17,599,72.5246635731823,False,False,False
branin,smallest_abs_mu,3,12,17,18,567,4.287165864396556,True,True,True
branin,smallest_abs_mu,3,13,18,19,516,30.333275699129302,False,False,False
branin,smallest_abs_mu,3,14,19,20,538,25.6765258966745,False,False,False
branin,smallest_abs_mu,3,15,20,21,915,17.825378790032595,False,False,False
branin,smallest_abs_mu,3,16,21,22,213,9.121311253464086,False,False,True
branin,smallest_abs_mu,3,17,22,23,55,9.9210703698479,False,False,True
branin,smallest_abs_mu,3,18,23,24,1204,1.8438154086318121,True,True,True
branin,smallest_abs_mu,3,19,24,25,208,0.4386479587619121,True,True,True
branin,smallest_abs_mu,3,20,25,26,1036,1.0342821962749262,True,True,True
branin,smallest_abs_mu,3,21,26,27,1235,2.3349128307772062,True,True,True
branin,smallest_abs_mu,3,22,27,28,1435,19.719302107132428,False,False,False
branin,smallest_abs_mu,3,23,28,29,954,26.226031106022138,False,False,False
branin,smallest_abs_mu,3,24,29,30,633,23.087520664300307,False,False,False
branin,smallest_abs_mu,3,25,30,31,814,14.861002737749173,False,False,False
branin,smallest_abs_mu,3,26,31,32,1388,7.199844321004264,False,True,True
branin,smallest_abs_mu,3,27,32,33,573,8.188982465853037,False,True,True
branin,smallest_abs_mu,3,28,33,34,1465,11.791509421193908,False,False,True
branin,smallest_abs_mu,3,29,34,35,994,11.355862064625512,False,False,True
branin,smallest_abs_mu,3,30,35,36,1272,6.982622401694929,False,True,True
branin,smallest_abs_mu,3,31,36,37,780,5.188533856200422,False,True,True
branin,smallest_abs_mu,3,32,37,38,692,2.6214663348986633,True,True,True
branin,smallest_abs_mu,3,33,38,39,374,10.837031654270433,False,False,True
branin,smallest_abs_mu,3,34,39,40,781,19.67601383347617,False,False,False
branin,smallest_abs_mu,3,35,40,41,183,20.12525519588429,False,False,False
branin,smallest_abs_mu,3,36,41,42,729,4.894852839318666,True,True,True
branin,smallest_abs_mu,3,37,42,43,214,11.470301499913333,False,False,True
branin,smallest_abs_mu,3,38,43,44,698,4.932408455837084,True,True,True
branin,smallest_abs_mu,3,39,44,45,294,2.954211891204853,True,True,True
branin,smallest_abs_mu,3,40,45,46,892,44.54686189971531,False,False,False
branin,smallest_abs_mu,3,41,46,47,1454,3.5419652648959996,True,True,True
branin,smallest_abs_mu,3,42,47,48,309,0.734721950682907,True,True,True
branin,smallest_abs_mu,3,43,48,49,1059,1.4125295895207266,True,True,True
branin,smallest_abs_mu,3,44,49,50,334,18.295929628824002,False,False,False
branin,smallest_abs_mu,4,1,6,7,597,23.615901493913498,False,False,False
branin,smallest_abs_mu,4,2,7,8,1385,15.699853264182124,False,False,False
branin,smallest_abs_mu,4,3,8,9,497,18.888859529592672,False,False,False
branin,smallest_abs_mu,4,4,9,10,310,68.8674446610712,False,False,False
branin,smallest_abs_mu,4,5,10,11,1182,272.51372207838523,False,False,False
branin,smallest_abs_mu,4,6,11,12,667,122.1739300800132,False,False,False
branin,smallest_abs_mu,4,7,12,13,499,4.360254524464622,True,True,True
branin,smallest_abs_mu,4,8,13,14,1296,1.9422213402426465,True,True,True
branin,smallest_abs_mu,4,9,14,15,757,15.046293868073779,False,False,False
branin,smallest_abs_mu,4,10,15,16,106,16.732552430596805,False,False,False
branin,smallest_abs_mu,4,11,16,17,1461,19.41076149284327,False,False,False
branin,smallest_abs_mu,4,12,17,18,1299,16.338712290539238,False,False,False
branin,smallest_abs_mu,4,13,18,19,779,24.525628203210104,False,False,False
branin,smallest_abs_mu,4,14,19,20,477,18.70170862364659,False,False,False
branin,smallest_abs_mu,4,15,20,21,147,11.116473743417217,False,False,True
branin,smallest_abs_mu,4,16,21,22,609,4.51250588913863,True,True,True
branin,smallest_abs_mu,4,17,22,23,983,13.775366736233352,False,False,False
branin,smallest_abs_mu,4,18,23,24,1304,2.6467704767957763,True,True,True
branin,smallest_abs_mu,4,19,24,25,17,25.372729493104153,False,False,False
branin,smallest_abs_mu,4,20,25,26,715,7.708811544378811,False,True,True
