simulation_id,numeric_simulation_id,target,target_label,target_definition,target_definition_label,aggregation,available,target_value_m,target_value_um,window_observation_count,within_window_cv,within_window_relative_trend,within_window_absolute_relative_trend,window_unstable,instability_cv_threshold,in_target_modelling_population,minimum_50_row_fallback_used,fewer_than_50_valid_rows,selected_rows_after_90pct_cutoff,selected_rows_after_full_domain_exit,sentinel_rows_excluded,P,VX,LS,ST
sim_00002,2,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,2.661267e-05,26.61267,11635,0.06420215468500232,-0.1864203702410534,0.1864203702410534,False,0.15,True,False,False,3641,0,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652
sim_00003,3,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,3.4838855e-05,34.838855,10732,0.002427615413732977,-0.0019666945094808336,0.0019666945094808336,False,0.15,True,False,False,0,0,True,105.276295276,0.639039009111,7.6636834293e-05,367.44858305
sim_00004,4,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,4.6715575e-05,46.715575,17286,0.0034365315924275433,-0.010458189672006608,0.010458189672006608,False,0.15,True,False,False,0,0,True,107.176159755,0.320752066655,8.75302281584e-05,393.859643937
sim_00005,5,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,6.661901499999999e-05,66.61901499999999,13746,0.01640878643116823,0.033840116583218255,0.033840116583218255,False,0.15,True,False,False,0,0,True,109.759946449,0.241926176876,4.5e-05,300.0
sim_00006,6,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,2.6847625e-05,26.847624999999997,12364,0.007406426234389884,-0.011764599240442448,0.011764599240442448,False,0.15,True,False,False,3850,0,True,110.234671953,0.866589137882,8.08580037422e-05,348.980680204
sim_00007,7,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,5.078583e-05,50.78583,16368,0.001588698639644637,-0.0021245552449354658,0.0021245552449354658,False,0.15,True,False,False,0,0,True,110.642328299,0.274154737479,7.4676600105e-05,358.612942181
sim_00008,8,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,3.6014305e-05,36.014305,15258,0.09131942041744595,-0.3038670274365333,0.3038670274365333,False,0.15,True,False,False,4734,0,True,112.428225508,0.704865651228,6.30987392704e-05,309.241492678
sim_00009,9,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,5.458924e-05,54.58924,10176,0.0028751539341820404,-0.006691609553037272,0.006691609553037272,False,0.15,True,False,False,0,0,True,112.904894498,0.537693260466,4.63068354409e-05,322.169166627
sim_00010,10,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,4.68229e-05,46.822900000000004,10404,0.001441271130423931,-0.0013595360297827535,0.0013595360297827535,False,0.15,True,False,False,0,0,True,113.286681534,0.56768277259,5.80401726566e-05,302.148970527
sim_00011,11,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,3.472779e-05,34.727790000000006,11327,0.045051659357858646,-0.12290872611423859,0.12290872611423859,False,0.15,True,False,False,3519,0,True,114.820217584,0.948189613582,6.03705790634e-05,353.560035146
sim_00012,12,depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,median,True,5.470013e-05,54.700129999999994,18661,0.020877728903427248,-0.05032829735534139,0.05032829735534139,False,0.15,True,False,False,0,0,True,115.281467344,0.424433079834,5.4086019252e-05,352.652659088
sim_00001,1,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,5.0735079199999994e-05,50.735079199999994,50,9.578121235462894e-05,-0.0003140317070684491,0.0003140317070684491,False,0.15,True,False,False,0,0,True,101.127472137,0.52394730996,4.5e-05,300.0
sim_00002,2,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,0.0,0.0,50,,,,False,0.15,True,False,False,50,50,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652
sim_00003,3,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,3.48050442e-05,34.8050442,50,0.00046772741100286757,0.0015877745877386396,0.0015877745877386396,False,0.15,True,False,False,0,0,True,105.276295276,0.639039009111,7.6636834293e-05,367.44858305
sim_00004,4,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,4.63400122e-05,46.340012200000004,50,3.8007812334485604e-06,-1.0368881984513724e-05,1.0368881984513724e-05,False,0.15,True,False,False,0,0,True,107.176159755,0.320752066655,8.75302281584e-05,393.859643937
sim_00005,5,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,6.67481702e-05,66.7481702,50,3.890451157180802e-06,8.770806635260052e-06,8.770806635260052e-06,False,0.15,True,False,False,0,0,True,109.759946449,0.241926176876,4.5e-05,300.0
sim_00006,6,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,0.0,0.0,50,,,,False,0.15,True,False,False,50,50,True,110.234671953,0.866589137882,8.08580037422e-05,348.980680204
sim_00007,7,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,5.0728651599999997e-05,50.7286516,50,2.7576894699707437e-05,-9.34939798286758e-05,9.34939798286758e-05,False,0.15,True,False,False,0,0,True,110.642328299,0.274154737479,7.4676600105e-05,358.612942181
sim_00008,8,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,0.0,0.0,50,,,,False,0.15,True,False,False,50,50,True,112.428225508,0.704865651228,6.30987392704e-05,309.241492678
sim_00009,9,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,5.43981494e-05,54.398149399999994,50,8.882274976131184e-05,0.0003006473382623425,0.0003006473382623425,False,0.15,True,False,False,0,0,True,112.904894498,0.537693260466,4.63068354409e-05,322.169166627
sim_00010,10,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,4.67473664e-05,46.7473664,50,7.815269727798721e-05,-0.00026467474024032873,0.00026467474024032873,False,0.15,True,False,False,0,0,True,113.286681534,0.56768277259,5.80401726566e-05,302.148970527
sim_00011,11,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,0.0,0.0,50,,,,False,0.15,True,False,False,50,50,True,114.820217584,0.948189613582,6.03705790634e-05,353.560035146
sim_00012,12,depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,mean,True,5.10194926e-05,51.0194926,50,1.3128830606701395e-05,4.2766122733618655e-05,4.2766122733618655e-05,False,0.15,True,False,False,0,0,True,115.281467344,0.424433079834,5.4086019252e-05,352.652659088
sim_00001,1,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.00026257084999999997,262.57084999999995,13744,0.009556237158138768,0.010847025423060304,0.010847025423060304,False,0.1,True,False,False,0,0,True,101.127472137,0.52394730996,4.5e-05,300.0
sim_00002,2,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.00029770070000000005,297.70070000000004,10906,0.03057502714701131,-0.09708608405471857,0.09708608405471857,False,0.1,True,False,False,0,0,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652
sim_00003,3,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.0002618447,261.8447,10732,0.011521455803019727,0.030865072322356878,0.030865072322356878,False,0.1,True,False,False,0,0,True,105.276295276,0.639039009111,7.6636834293e-05,367.44858305
