benchmark,method,seed,budget,global_error,latent_uncertainty_region_fraction,near_boundary_error_q10,latent_uncertainty_region_fraction_q10,near_boundary_test_size_q10,near_boundary_error_q20,latent_uncertainty_region_fraction_q20,near_boundary_test_size_q20,near_boundary_error_q30,latent_uncertainty_region_fraction_q30,near_boundary_test_size_q30
ackley,random,2,25,0.4,0.8086,0.502,0.854,1000,0.5015,0.864,2000,0.49466666666666664,0.8643333333333333,3000
ackley,random,2,26,0.3833,0.9031,0.49,0.931,1000,0.5,0.936,2000,0.48966666666666664,0.932,3000
ackley,random,2,27,0.3839,0.8934,0.487,0.925,1000,0.4975,0.931,2000,0.4876666666666667,0.9276666666666666,3000
ackley,random,2,28,0.3848,0.8897,0.488,0.924,1000,0.498,0.9295,2000,0.48633333333333334,0.9256666666666666,3000
ackley,random,2,29,0.3824,0.8769,0.492,0.916,1000,0.5,0.9235,2000,0.48733333333333334,0.9206666666666666,3000
ackley,random,2,30,0.3604,0.8995,0.485,0.929,1000,0.4955,0.936,2000,0.4786666666666667,0.933,3000
ackley,random,2,31,0.3574,0.906,0.496,0.928,1000,0.5,0.9335,2000,0.48433333333333334,0.9316666666666666,3000
ackley,random,2,32,0.3636,0.8944,0.494,0.923,1000,0.4985,0.9265,2000,0.4846666666666667,0.9223333333333333,3000
ackley,random,2,33,0.3646,0.8855,0.49,0.915,1000,0.498,0.9205,2000,0.4846666666666667,0.9156666666666666,3000
ackley,random,2,34,0.3614,0.8957,0.494,0.923,1000,0.494,0.926,2000,0.48,0.9233333333333333,3000
ackley,random,2,35,0.3553,0.8978,0.487,0.926,1000,0.49,0.929,2000,0.47433333333333333,0.9263333333333333,3000
ackley,random,2,36,0.3375,0.906,0.483,0.935,1000,0.4845,0.936,2000,0.4666666666666667,0.9333333333333333,3000
ackley,random,2,37,0.3252,0.9002,0.481,0.936,1000,0.4785,0.9365,2000,0.46066666666666667,0.935,3000
ackley,random,2,38,0.3312,0.8864,0.489,0.932,1000,0.4795,0.934,2000,0.45966666666666667,0.931,3000
ackley,random,2,39,0.3363,0.8671,0.489,0.922,1000,0.48,0.9245,2000,0.461,0.9203333333333333,3000
ackley,random,2,40,0.3321,0.8598,0.483,0.918,1000,0.475,0.922,2000,0.45666666666666667,0.9166666666666666,3000
