simulation_id,numeric_simulation_id,response,candidate,value_m,available,window_observation_count,window_cv,absolute_relative_trend,relative_difference_from_selected,laser_exits_domain_before_recording_end
sim_00067,67,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.676979e-05,True,18540,0.0016058298890322435,0.00043296683840750733,0.0,False
sim_00068,68,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.663597e-05,True,10500,0.011113297501921639,0.01966127850786607,0.0,True
sim_00069,69,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.673917e-05,True,15533,0.0011521328963034715,0.0008074334446656445,0.0,False
sim_00070,70,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.6827485e-05,True,11100,0.002461431087958616,0.001020070619114837,0.0,True
sim_00071,71,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.6733e-05,True,15459,0.0010763754989939298,0.0025995438002934567,0.0,False
sim_00072,72,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.63826e-05,True,10239,0.015807042824485466,0.02884642219208925,0.0,True
sim_00073,73,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.126925e-05,True,17630,0.060809014153863764,0.20705441411753708,0.0,True
sim_00074,74,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.4756665e-05,True,13152,0.029144687796424335,0.08331697978318485,0.0,True
sim_00075,75,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.572084e-05,True,12949,0.04413804972828089,0.14492567148932958,0.0,True
sim_00076,76,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.8802625e-05,True,15380,0.05841671092586005,0.1984940577477159,0.0,True
sim_00077,77,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.987088e-05,True,15821,0.06313215837334893,0.21613347054443155,0.0,True
sim_00078,78,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.07484e-05,True,17109,0.0011421664927476049,0.0005469974440228022,0.0,False
sim_00079,79,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.8488870000000006e-05,True,12896,0.033874193223041915,0.10485398556269279,0.0,True
sim_00080,80,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.455737e-05,True,10923,0.03072911507037796,0.08958299289442317,0.0,True
sim_00081,81,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.4731820000000005e-05,True,11904,0.03010304591976153,0.08927710441935602,0.0,True
sim_00082,82,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.817874e-05,True,19455,0.060492804489116585,0.20717958756129456,0.0,False
