subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family,verdict,verdict_after_holm,metric_family
q30,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,balanced_accuracy,False,0.002092475767043178,-0.003731408905300399,0.007805809921763879,0.4752762361881906,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,keyhole_recall,False,0.005482456140350872,-0.005439041014698909,0.017459054449186023,0.3490825458727064,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,brier_score,True,-0.0018512844183430806,-0.002312294170467667,-0.0013256962818995425,9.99950002499875e-05,20,0.0004999750012499375,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,pr_auc,False,0.005452786161850476,0.0031622370620812312,0.008246356184420848,9.99950002499875e-05,20,0.0004999750012499375,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,roc_auc,False,0.0026328694619970616,0.0019293801663123507,0.0033772073741702336,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,accuracy,False,0.0007142857142857118,-0.0011428571428571343,0.002428571428571441,0.5354232288385581,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,balanced_accuracy,False,0.0036607142857142836,-0.00035714285714286695,0.007767857142857121,0.10669466526673667,20,0.40272986350682466,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,keyhole_recall,False,0.008571428571428586,0.0007142857142857229,0.01714285714285716,0.08054597270136493,20,0.40272986350682466,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,brier_score,True,0.0009224202382032056,0.000480230683370134,0.0013624101127435008,0.000999950002499875,20,0.00599970001499925,DEGRADES,DEGRADES,ranking_or_probability
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,pr_auc,False,0.0010965661649403324,-5.676813234009855e-05,0.002212545626703414,0.0807459627018649,20,0.40272986350682466,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,roc_auc,False,1.2755102040790111e-05,-0.00058928571428572,0.0005714285714285793,0.9745512724363782,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,accuracy,False,0.005290140158561213,-0.0025971616103195073,0.013732557597689165,0.20128993550322483,20,0.22248887555622218,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,balanced_accuracy,False,0.008680451607825624,-0.0011221515123866067,0.018905340374306273,0.11124443777811109,20,0.22248887555622218,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,keyhole_recall,False,0.024887060358069805,0.0070432611135388375,0.04326029790044493,0.019399030048497575,20,0.0775961201939903,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,brier_score,True,-0.0019845243507200052,-0.0035901406020990936,-0.00031632810105408567,0.0391980400979951,20,0.1175941202939853,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,pr_auc,False,0.014534453829905142,0.009295338744569935,0.01981618176281811,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
