experiment_name,population_row_index,has_keyhole,full_trace_duration_ms,max_positive_delta_W_p02,observed_ms_p02,transitions_used_p02,max_positive_delta_W_p05,observed_ms_p05,transitions_used_p05,max_positive_delta_W_p10,observed_ms_p10,transitions_used_p10,max_positive_delta_W_p20,observed_ms_p20,transitions_used_p20,max_positive_delta_W_p40,observed_ms_p40,transitions_used_p40,max_positive_delta_W_p100,observed_ms_p100,transitions_used_p100,P,VX,LS,ST,log_h
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,1.037499,31.37067608241759,0.0207499799999999,4,31.37067608241759,0.05187495,10,31.37067608241759,0.1037499,20,31.37067608241759,0.2074998,40,31.37067608241759,0.4149996,80,31.37067608241759,1.037499,200,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,1.7095633,29.820678372527347,0.034191266,4,29.820678372527347,0.085478165,10,29.820678372527347,0.17095633,20,29.820678372527347,0.34191266,40,29.820678372527347,0.68382532,80,29.820678372527347,1.7095633,200,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,1.2691665,19.71032690649172,0.02538333,4,19.71032690649172,0.063458325,10,20.722318401022967,0.12691665,20,20.722318401022967,0.2538333,40,20.722318401022967,0.5076666000000001,80,20.722318401022967,1.2691665,200,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,1.601904,28.893886846153947,0.03203808,4,28.893886846153947,0.0800952,10,28.893886846153947,0.1601904,20,28.893886846153947,0.3203808,40,28.893886846153947,0.6407616,80,28.893886846153947,1.601904,200,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,19.84062092917375
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,14,0,1.7126874,28.99002329558006,0.034253748,4,28.99002329558006,0.08563437,10,28.99002329558006,0.17126874,20,28.99002329558006,0.34253748,40,28.99002329558006,0.6850749600000001,80,28.99002329558006,1.7126874,200,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,19.706606147998375
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,15,0,1.7236376999999998,28.549166440384525,0.0344727539999999,4,28.549166440384525,0.086181885,10,28.549166440384525,0.17236377,20,28.549166440384525,0.34472754,40,28.549166440384525,0.68945508,80,28.549166440384525,1.7236376999999998,200,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,19.43429034824653
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,16,0,1.1489713,31.338812866483515,0.022979426,4,31.338812866483515,0.057448565,10,31.338812866483515,0.11489713,20,31.338812866483515,0.22979426,40,31.338812866483515,0.45958852,80,31.338812866483515,1.1489713,200,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,19.96440431836706
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,17,0,1.6794269000000002,25.830702759065893,0.033588538,4,25.830702759065893,0.083971345,10,25.830702759065893,0.16794269,20,25.830702759065893,0.33588538,40,25.830702759065893,0.6717707600000001,80,25.830702759065893,1.6794269000000002,200,140.236446589,0.550532928497,7.91865165046e-05,370.758962256,19.407320936404485
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,18,0,0.9650709,26.465326222099407,0.019301418,4,26.465326222099407,0.048253545,10,26.465326222099407,0.09650709,20,26.465326222099407,0.19301418,40,26.465326222099407,0.38602836,80,26.465326222099407,0.9650709,200,143.707582907,0.952433280409,8.80948922839e-05,329.530804101,18.997792175902806
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,19,0,1.6918236,21.183839188241855,0.033836472,4,21.183839188241855,0.08459118,10,21.183839188241855,0.16918236,20,21.183839188241855,0.33836472,40,21.183839188241855,0.67672944,80,21.183839188241855,1.6918236,200,144.087720513,0.415546267467,5.02923295381e-05,327.07537462,20.255989923062774
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,20,0,1.3670156,27.60187451208791,0.027340312,4,27.60187451208791,0.06835078,10,27.60187451208791,0.13670156,20,27.60187451208791,0.27340312,40,27.60187451208791,0.54680624,80,27.60187451208791,1.3670156,200,148.299467422,0.674162518859,5.7557139752e-05,331.520012414,19.8404742466899
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,21,0,1.7178169,28.990713335164862,0.034356338,4,28.990713335164862,0.085890845,10,28.990713335164862,0.17178169,20,28.990713335164862,0.34356338,40,28.990713335164862,0.68712676,80,28.990713335164862,1.7178169,200,150.071418192,0.423845414489,8.67749479825e-05,322.128190627,19.468593434919327
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,22,0,1.0059840000000002,30.634420000000063,0.02011968,4,30.634420000000063,0.0502992,10,30.634420000000063,0.1005984,20,30.634420000000063,0.2011968,40,30.634420000000063,0.4023936000000001,80,30.634420000000063,1.0059840000000002,200,155.252053768,0.916931554055,7.35634948929e-05,366.816583574,19.364453647708604
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,23,0,1.0632325,29.978895027472454,0.02126465,4,29.978895027472454,0.053161625,10,29.978895027472454,0.10632325,20,29.978895027472454,0.2126465,40,29.978895027472454,0.425293,80,29.978895027472454,1.0632325,200,155.610380822,0.863747905944,4.82199969556e-05,303.817651114,20.030197610973932
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,24,0,1.2949017,31.368295807142893,0.025898034,4,31.368295807142893,0.064745085,10,31.368295807142893,0.12949017,20,31.368295807142893,0.25898034,40,31.368295807142893,0.5179606800000001,80,31.368295807142893,1.2949017,200,157.183722649,0.714259673467,7.38607203139e-05,347.368293375,19.49566377060797
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,25,0,1.57364,28.4463375824175,0.0314728,4,28.4463375824175,0.078682,10,28.4463375824175,0.157364,20,28.4463375824175,0.314728,40,28.4463375824175,0.6294560000000001,80,28.4463375824175,1.57364,200,160.605564338,0.585171267024,4.89218084001e-05,323.833105745,20.234807725350827
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,26,0,0.9954157,29.817672111813202,0.019908314,4,29.817672111813202,0.049770785,10,29.817672111813202,0.09954157,20,29.817672111813202,0.19908314,40,29.817672111813202,0.39816628,80,29.817672111813202,0.9954157,200,162.142815649,0.926926325143,6.49234891537e-05,377.454931887,19.589869728553882
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,27,0,1.2619028,28.351239806593433,0.025238056,4,28.351239806593433,0.06309514,10,28.351239806593433,0.12619028,20,28.351239806593433,0.25238056,40,28.351239806593433,0.50476112,80,28.351239806593433,1.2619028,200,163.562272254,0.729793018519,5.10150522361e-05,318.261957537,20.07977568889144
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,28,0,1.7781528000000002,28.63452709230772,0.035563056,4,28.63452709230772,0.08890764,10,28.63452709230772,0.17781528,20,28.63452709230772,0.35563056,40,28.63452709230772,0.7112611200000001,80,28.63452709230772,1.7781528000000002,200,164.187091551,0.507792014735,6.92164167976e-05,301.020288893,19.807256977046084
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,29,0,1.0618184000000002,28.346147002197718,0.021236368,4,28.346147002197718,0.05309092,10,28.346147002197718,0.10618184,20,28.346147002197718,0.21236368,40,28.346147002197718,0.4247273600000001,80,28.346147002197718,1.0618184000000002,200,164.607131174,0.867199563125,5.32762751968e-05,314.058214573,19.934833853824976
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,30,0,1.7437921,25.743328168956083,0.034875842,4,25.743328168956083,0.087189605,10,25.743328168956083,0.17437921,20,25.743328168956083,0.34875842,40,25.743328168956083,0.69751684,80,25.743328168956083,1.7437921,200,166.111836501,0.454755470987,7.13150844087e-05,303.391516497,19.82926302640283
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,31,0,1.7838281,39.00705475631872,0.035676562,4,39.00705475631872,0.089191405,10,39.00705475631872,0.17838281,20,39.00705475631872,0.35676562,40,39.00705475631872,0.71353124,80,39.00705475631872,1.7838281,200,167.350234557,0.509305540745,7.79284260895e-05,367.465417979,19.647022062424472
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,32,0,1.4006044,38.37028978571421,0.028012088,4,38.37028978571421,0.07003022,10,38.37028978571421,0.14006044,20,38.37028978571421,0.28012088,40,38.37028978571421,0.56024176,80,38.37028978571421,1.4006044,200,168.279672268,0.662944494492,8.51138696034e-05,361.222757169,19.388440150090464
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,33,0,1.5526019000000002,22.357522684615407,0.031052038,4,23.65812460000027,0.077630095,10,23.65812460000027,0.15526019,20,23.65812460000027,0.31052038,40,23.65812460000027,0.6210407600000001,80,23.65812460000027,1.5526019000000002,200,172.471893954,0.300060565388,5.45268436948e-05,394.546009672,20.47734590867905
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,34,0,1.0672522,26.53483545439563,0.021345044,4,26.53483545439563,0.05336261,10,26.53483545439563,0.10672522,20,26.53483545439563,0.21345044,40,26.53483545439563,0.42690088,80,26.53483545439563,1.0672522,200,173.043282634,0.866796851528,6.96390683614e-05,349.021338305,19.58329430426774
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,35,0,1.3715165,39.963182910714266,0.02743033,4,39.963182910714266,0.068575825,10,39.963182910714266,0.13715165,20,39.963182910714266,0.2743033,40,39.963182910714266,0.5486066,80,39.963182910714266,1.3715165,200,173.906668607,0.677544388934,8.62016404031e-05,334.396108383,19.391390898233666
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,36,0,1.4546604,43.29864829340663,0.029093208,4,43.29864829340663,0.07273302,10,43.29864829340663,0.14546604,20,43.29864829340663,0.29093208,40,43.29864829340663,0.5818641600000001,80,43.29864829340663,1.4546604,200,177.821134596,0.63969291749,8.76195222961e-05,320.228793407,19.417921791743517
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,37,0,1.71849,28.344944505494528,0.0343698,4,28.344944505494528,0.0859245,10,28.344944505494528,0.171849,20,28.344944505494528,0.343698,40,28.344944505494528,0.6873960000000001,80,28.344944505494528,1.71849,200,185.872045369,0.416268682161,7.15564692144e-05,371.982346013,19.98080614830166
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,38,0,1.1112265,29.048842048342543,0.02222453,4,29.048842048342543,0.0555613249999999,10,29.048842048342543,0.1111226499999999,20,29.048842048342543,0.2222452999999999,40,29.048842048342543,0.4444905999999999,80,29.048842048342543,1.1112265,200,187.255870651,0.828194463092,4.64611349328e-05,375.783913497,20.292071224654542
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,39,0,1.4658343,35.81674231381219,0.029316686,4,35.81674231381219,0.073291715,10,35.81674231381219,0.14658343,20,35.81674231381219,0.29316686,40,35.81674231381219,0.5863337200000001,80,35.81674231381219,1.4658343,200,198.376734591,0.636800402216,8.40585875992e-05,361.411435367,19.59181222545722
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,40,0,1.7388445,28.135619480769265,0.03477689,4,28.135619480769265,0.086942225,10,28.135619480769265,0.17388445,20,28.135619480769265,0.3477689,40,28.135619480769265,0.6955378,80,28.135619480769265,1.7388445,200,199.601335125,0.449852506485,5.7030843283e-05,364.706449651,20.353617298886796
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,41,0,1.4195432,28.448411309890147,0.028390864,4,28.448411309890147,0.07097716,10,28.448411309890147,0.14195432,20,28.448411309890147,0.28390864,40,28.448411309890147,0.56781728,80,28.448411309890147,1.4195432,200,203.030488295,0.654564663741,6.39602473907e-05,333.568221635,20.01112180948569
P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,42,0,1.2762901,25.311111513259675,0.025525802,4,25.311111513259675,0.063814505,10,25.311111513259675,0.12762901,20,25.311111513259675,0.25525802,40,25.311111513259675,0.5105160400000001,80,25.311111513259675,1.2762901,200,203.317554156,0.724937635215,5.40301996917e-05,325.306920736,20.214555008347787
P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,43,0,0.9723636,37.46731070989018,0.019447272,4,37.46731070989018,0.04861818,10,37.46731070989018,0.09723636,20,37.46731070989018,0.19447272,40,37.46731070989018,0.38894544,80,37.46731070989018,0.9723636,200,204.071587815,0.957219619336,8.8582220221e-05,334.090301355,19.337701159028157
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,44,0,1.3742011,31.842669986263722,0.027484022,4,31.842669986263722,0.068710055,10,31.842669986263722,0.13742011,20,31.842669986263722,0.27484022,40,31.842669986263722,0.54968044,80,31.842669986263722,1.3742011,200,207.432942583,0.674802143379,5.74396795379e-05,382.34582068,20.17863881363804
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,45,1,1.4534077,7.797215346132564,0.029068154,4,19.15002659670315,0.072670385,10,19.15002659670315,0.14534077,20,19.15002659670315,0.29068154,40,19.15002659670315,0.58136308,80,19.15002659670315,1.4534077,200,208.096600196,0.256636148953,4.52492384214e-05,395.602757306,21.02303745357591
P-209p47686991_VX-0p866693950214_LS-6p90699464413e-05_ST-369p570871734_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56611777644e-06_H-b021dd2b47,46,0,1.0723237,28.65188668296705,0.0214464739999999,4,28.65188668296705,0.053616185,10,28.65188668296705,0.10723237,20,28.65188668296705,0.21446474,40,28.65188668296705,0.42892948,80,28.65188668296705,1.0723237,200,209.47686991,0.866693950214,6.90699464413e-05,369.570871734,19.786734284104593
P-210p211145159_VX-0p921242046338_LS-8p23126060485e-05_ST-311p238003519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p23653975868e-06_H-0e4c2fc094,47,0,1.0107869,37.21552748159348,0.020215738,4,37.21552748159348,0.050539345,10,37.21552748159348,0.10107869,20,37.21552748159348,0.20215738,40,37.21552748159348,0.40431476,80,37.21552748159348,1.0107869,200,210.211145159,0.921242046338,8.23126060485e-05,311.238003519,19.496608148406963
P-210p302841339_VX-0p779412575788_LS-5p86430912284e-05_ST-304p177226769_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18943131388e-06_H-c15424829d,48,0,1.189459,31.936764304945058,0.02378918,4,31.936764304945058,0.05947295,10,31.936764304945058,0.1189459,20,31.936764304945058,0.2378918,40,31.936764304945058,0.4757836,80,31.936764304945058,1.189459,200,210.302841339,0.779412575788,5.86430912284e-05,304.177226769,20.089217148628133
P-210p331349445_VX-0p877062157481_LS-5p88084341536e-05_ST-346p930868597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p50031780743e-06_H-0e4c2fc094,49,0,1.0563954999999998,29.57246065659895,0.0211279099999999,4,29.57246065659895,0.0528197749999999,10,29.57246065659895,0.1056395499999999,20,29.57246065659895,0.2112790999999999,40,29.57246065659895,0.4225581999999999,80,29.57246065659895,1.0563954999999998,200,210.331349445,0.877062157481,5.88084341536e-05,346.930868597,20.026110761752552
P-211p964201781_VX-0p31026524833_LS-8p22948660567e-05_ST-308p041416816_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p5548375556e-05_H-22f5435fc5,50,0,1.6128794,29.300247647146485,0.032257588,4,29.300247647146485,0.08064397,10,29.300247647146485,0.16128794,20,29.300247647146485,0.32257588,40,29.300247647146485,0.6451517600000001,80,29.300247647146485,1.6128794,200,211.964201781,0.31026524833,8.22948660567e-05,308.041416816,20.04938400428353
P-212p474685749_VX-0p445530901525_LS-8p01654967217e-05_ST-390p176194232_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p08278024858e-05_H-4e23685f04,51,0,1.7550335,39.79863762362641,0.03510067,4,39.79863762362641,0.087751675,10,39.79863762362641,0.17550335,20,39.79863762362641,0.3510067,40,39.79863762362641,0.7020134,80,39.79863762362641,1.7550335,200,212.474685749,0.445530901525,8.01654967217e-05,390.176194232,19.910193217425284
P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,52,1,1.6304327,18.159748101179243,0.032608654,4,24.5201492442308,0.081521635,10,24.5201492442308,0.16304327,20,24.5201492442308,0.32608654,40,24.5201492442308,0.6521730800000001,80,24.5201492442308,1.6304327,200,212.944274192,0.351323873231,4.80439392259e-05,351.894554175,20.799145738428294
P-213p315910834_VX-0p426447159191_LS-8p60684535809e-05_ST-346p722503996_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13123525366e-05_H-6aeda8a35c,53,0,1.7436284,26.10980372928168,0.034872568,4,26.10980372928168,0.08718142,10,26.10980372928168,0.17436284,20,26.10980372928168,0.34872568,40,26.10980372928168,0.6974513600000001,80,26.10980372928168,1.7436284,200,213.315910834,0.426447159191,8.60684535809e-05,346.722503996,19.829459032955192
P-217p682945702_VX-0p631899079757_LS-7p17459883069e-05_ST-324p134516573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p63432129838e-06_H-7c2e16b959,54,0,1.4759814,38.0629163609889,0.029519628,4,38.0629163609889,0.07379907,10,38.0629163609889,0.14759814,20,38.0629163609889,0.29519628,40,38.0629163609889,0.5903925600000001,80,38.0629163609889,1.4759814,200,217.682945702,0.631899079757,7.17459883069e-05,324.134516573,19.926120342879205
