repeat,model,subset,row_count,keyhole_count,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,brier_score
2,gpc_4d_plus_early_p05,q30,112,36,0.9652777777777779,0.9332045286758386,0.9017857142857143,0.8837719298245614,0.8333333333333334,0.9342105263157895,6,5,0.07037919718422213
2,gpc_4d_plus_early_p05,q20,77,29,0.9439655172413793,0.9178400347882782,0.8701298701298701,0.8617097701149425,0.8275862068965517,0.8958333333333334,5,5,0.09212180737344094
2,gpc_4d_plus_early_p10,full,350,70,0.9923979591836735,0.9773319419218855,0.9685714285714285,0.9482142857142857,0.9142857142857143,0.9821428571428571,6,5,0.02672180633294746
2,gpc_4d_plus_early_p10,q30,112,36,0.9660087719298245,0.9343634905986893,0.9017857142857143,0.8837719298245614,0.8333333333333334,0.9342105263157895,6,5,0.06993559239268124
2,gpc_4d_plus_early_p10,q20,77,29,0.9454022988505747,0.9196075629058389,0.8701298701298701,0.8617097701149425,0.8275862068965517,0.8958333333333334,5,5,0.09158286442070965
2,gpc_4d_plus_early_p100,full,350,70,0.9923979591836735,0.9773319419218855,0.9685714285714285,0.9482142857142857,0.9142857142857143,0.9821428571428571,6,5,0.026694475906475883
2,gpc_4d_plus_early_p100,q30,112,36,0.9660087719298245,0.9343634905986893,0.9017857142857143,0.8837719298245614,0.8333333333333334,0.9342105263157895,6,5,0.06984730392175355
2,gpc_4d_plus_early_p100,q20,77,29,0.9454022988505747,0.9196075629058389,0.8701298701298701,0.8617097701149425,0.8275862068965517,0.8958333333333334,5,5,0.0914516427469246
2,gpc_4d_plus_early_p20,full,350,70,0.9923979591836735,0.9773319419218855,0.9685714285714285,0.9482142857142857,0.9142857142857143,0.9821428571428571,6,5,0.02669545878875265
2,gpc_4d_plus_early_p20,q30,112,36,0.9660087719298245,0.9343634905986893,0.9017857142857143,0.8837719298245614,0.8333333333333334,0.9342105263157895,6,5,0.0698551548210395
2,gpc_4d_plus_early_p20,q20,77,29,0.9454022988505747,0.9196075629058389,0.8701298701298701,0.8617097701149425,0.8275862068965517,0.8958333333333334,5,5,0.09146422495787103
2,gpc_4d_plus_early_p40,full,350,70,0.9923979591836735,0.9773319419218855,0.9685714285714285,0.9482142857142857,0.9142857142857143,0.9821428571428571,6,5,0.026694475906475883
2,gpc_4d_plus_early_p40,q30,112,36,0.9660087719298245,0.9343634905986893,0.9017857142857143,0.8837719298245614,0.8333333333333334,0.9342105263157895,6,5,0.06984730392175355
2,gpc_4d_plus_early_p40,q20,77,29,0.9454022988505747,0.9196075629058389,0.8701298701298701,0.8617097701149425,0.8275862068965517,0.8958333333333334,5,5,0.0914516427469246
3,gpc_4d,full,350,70,0.9936734693877551,0.9769486033954811,0.98,0.9660714285714286,0.9428571428571428,0.9892857142857143,4,3,0.022764880471461912
3,gpc_4d,q30,113,38,0.9642105263157894,0.9247399751436196,0.9380530973451328,0.9273684210526316,0.8947368421052632,0.96,4,3,0.0675151470119525
3,gpc_4d,q20,76,28,0.9427083333333333,0.8947337281315917,0.9078947368421053,0.8973214285714286,0.8571428571428571,0.9375,4,3,0.0885891641202106
3,gpc_4d_plus_early_p02,full,350,70,0.9941326530612244,0.9788163266324599,0.98,0.9660714285714286,0.9428571428571428,0.9892857142857143,4,3,0.02298817066019253
3,gpc_4d_plus_early_p02,q30,113,38,0.967719298245614,0.9316953247893359,0.9380530973451328,0.9273684210526316,0.8947368421052632,0.96,4,3,0.06619671103603347
3,gpc_4d_plus_early_p02,q20,76,28,0.9479166666666666,0.9043425352050214,0.9210526315789473,0.9151785714285714,0.8928571428571429,0.9375,3,3,0.08627560234957095
3,gpc_4d_plus_early_p05,full,350,70,0.9948469387755101,0.9821412375832743,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.022469599328625647
3,gpc_4d_plus_early_p05,q30,113,38,0.972280701754386,0.9469221706863374,0.9469026548672567,0.9405263157894737,0.9210526315789473,0.96,3,3,0.06328952492675692
3,gpc_4d_plus_early_p05,q20,76,28,0.9575892857142858,0.9319885560346917,0.9210526315789473,0.9151785714285714,0.8928571428571429,0.9375,3,3,0.08148027906121683
3,gpc_4d_plus_early_p10,full,350,70,0.9946938775510203,0.9819311241220052,0.98,0.9660714285714286,0.9428571428571428,0.9892857142857143,4,3,0.02244268617789096
3,gpc_4d_plus_early_p10,q30,113,38,0.972280701754386,0.9469221706863374,0.9380530973451328,0.9273684210526316,0.8947368421052632,0.96,4,3,0.063258323338627
3,gpc_4d_plus_early_p10,q20,76,28,0.9575892857142858,0.9319885560346917,0.9210526315789473,0.9151785714285714,0.8928571428571429,0.9375,3,3,0.08143374152091687
3,gpc_4d_plus_early_p100,full,350,70,0.9946428571428572,0.9818633826235633,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.022462522221911054
3,gpc_4d_plus_early_p100,q30,113,38,0.9719298245614035,0.9467090419565848,0.9469026548672567,0.9405263157894737,0.9210526315789473,0.96,3,3,0.06329743301749464
3,gpc_4d_plus_early_p100,q20,76,28,0.956845238095238,0.9315963991719466,0.9342105263157895,0.9330357142857143,0.9285714285714286,0.9375,2,3,0.08148153918519413
3,gpc_4d_plus_early_p20,full,350,70,0.9946428571428572,0.9818633826235633,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.02245904637090148
3,gpc_4d_plus_early_p20,q30,113,38,0.9719298245614035,0.9467090419565848,0.9469026548672567,0.9405263157894737,0.9210526315789473,0.96,3,3,0.06328995729723079
3,gpc_4d_plus_early_p20,q20,76,28,0.956845238095238,0.9315963991719466,0.9342105263157895,0.9330357142857143,0.9285714285714286,0.9375,2,3,0.08147091496225187
3,gpc_4d_plus_early_p40,full,350,70,0.9946428571428572,0.9818633826235633,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.022462522221911054
