subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,brier_score,True,-8.370281960990051e-06,-8.761778714468914e-05,7.642537523899561e-05,0.8416079196040198,20,1.0
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,roc_auc,False,0.0006428571428571672,0.00038775510204084316,0.0009311862244898398,4.999750012499375e-05,20,0.0002999850007499625
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,pr_auc,False,0.0017752208709166273,0.0012673292162213821,0.0023591517380499505,4.999750012499375e-05,20,0.0002999850007499625
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,accuracy,False,0.0004285714285714226,-0.0008571428571428619,0.001574999999999955,0.6760161991900405,20,1.0
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,balanced_accuracy,False,0.0016071428571428682,-0.001428571428571418,0.004464285714285715,0.33798310084495775,20,1.0
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,keyhole_recall,False,0.0035714285714285865,-0.002142857142857141,0.009285714285714309,0.3708814559272036,20,1.0
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,conduction_recall,False,-0.00035714285714286695,-0.0014285714285714457,0.0005357142857142838,0.7534123293835309,20,
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,false_negative,True,-0.25,-0.65,0.15,0.3729813509324534,20,
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,false_positive,True,0.1,-0.15,0.4,0.7530623468826558,20,
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,brier_score,True,-0.0006236733148958741,-0.0009130346394084479,-0.0002780924563176498,0.0020998950052497373,20,0.00839958002099895
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,roc_auc,False,0.003899519656514938,0.0008054585163420447,0.007047906683604852,0.02839858007099645,20,0.14199290035498224
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,pr_auc,False,0.008475656229713852,0.0032170219200996965,0.013306268269542945,0.005949702514874256,20,0.03569821508924554
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,accuracy,False,0.003333579649369117,-0.002563226247436773,0.008695306293990486,0.2087895605219739,20,0.4175791210439478
